Keys,pi1,pizero,pi2,pi2b,pizero2,pi3,pi4
ecdh,0.048255581,0.049987681,0.037994761,0.034574595,0.038188496,0.043585524,0.031920613
ml-kem-512,0.051855704,0.051689759,0.039763979,0.03565524,0.038845593,0.042774465,0.034527107
ml-dsa-44,0.052510799,0.051927397,0.041181828,0.036061774,0.037073251,0.044356263,0.034695548
slh-dsa-sha2-128f,0.060125249,0.064432301,0.050251755,0.043130931,0.04637809,0.052534651,0.040668395
slh-dsa-sha2-128s,0.725871706,0.918235363,0.70931919,0.55214794,0.626526098,0.630430563,0.461214824
slh-dsa-shake-192s,2.053397102,2.609213797,2.299207671,0.665413943,0.761339384,0.848456761,0.636987046
,,,,,,,
Signing,pi1,pizero,pi2,pi2b,pizero2,pi3,pi4
ecdsa,0.025382189,0.025813985,0.020607273,0.01839848,0.019178685,0.024101315,0.019726068
ml-dsa-44,0.030309979,0.031959742,0.025136461,0.021812437,0.021416977,0.028402748,0.019985945
slh-dsa-sha2-128f,0.275717757,0.377576858,0.27109028,0.210336958,0.235922473,0.239627629,0.17297876
slh-dsa-sha2-128s,5.135371774,7.22215405,5.138071123,3.994283995,4.511679155,4.598406883,3.22582416
slh-dsa-shake-192s,18.76015142,24.76296897,19.65578286,5.730838546,6.528834304,7.374940633,5.471396597
