# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.4033257000000003, P max: 2.7172766075999997
Time,Power
0.00000000,2.48325047
0.02000000,2.48325047
0.04000000,2.48325047
0.06000000,2.48335152
0.08000000,2.48335152
0.10000000,2.48335152
0.12000000,2.48335152
0.14000000,2.48335152
0.16000000,2.48365468
0.18000000,2.48365468
0.20000000,2.48365468
0.22000000,2.48365468
0.24000000,2.48365468
0.26000000,2.48351156
0.28000000,2.48351156
0.30000000,2.53621247
0.32000000,2.48351156
0.34000000,2.48351156
0.36000000,2.40691081
0.38000000,2.40438440
0.40000000,2.48356209
0.42000000,2.41191310
0.44000000,2.42070501
0.46000000,2.47839692
0.48000000,2.47839692
0.50000000,2.47839692
0.52000000,2.47839692
0.54000000,2.47839692
0.56000000,2.47771744
0.58000000,2.47771744
0.60000000,2.47771744
0.62000000,2.47771744
0.64000000,2.47771744
0.66000000,2.47583157
0.68000000,2.47583157
0.70000000,2.47583157
0.72000000,2.47583157
0.74000000,2.47583157
0.76000000,2.47705262
0.78000000,2.47705262
0.80000000,2.47705262
0.82000000,2.47705262
0.84000000,2.47705262
0.86000000,2.47880996
0.88000000,2.47880996
0.90000000,2.47880996
0.92000000,2.47880996
0.94000000,2.47880996
0.96000000,2.47868928
0.98000000,2.47868928
1.00000000,2.47868928
1.02000000,2.47868928
1.04000000,2.47868928
1.06000000,2.47893065
1.08000000,2.47893065
1.10000000,2.47893065
1.12000000,2.47893065
1.14000000,2.47893065
1.16000000,2.47877905
1.18000000,2.47877905
1.20000000,2.53274904
1.22000000,2.47877905
1.24000000,2.47877905
1.26000000,2.47864707
1.28000000,2.47864707
1.30000000,2.47864707
1.32000000,2.47864707
1.34000000,2.47864707
1.36000000,2.47869761
1.38000000,2.47869761
1.40000000,2.47869761
1.42000000,2.47869761
1.44000000,2.47869761
1.46000000,2.48253820
1.48000000,2.48253820
1.50000000,2.48253820
1.52000000,2.48253820
1.54000000,2.54782825
1.56000000,2.53777197
1.58000000,2.48506490
1.60000000,2.48506490
1.62000000,2.48506490
1.64000000,2.48506490
1.66000000,2.48523618
1.68000000,2.48523618
1.70000000,2.48523618
1.72000000,2.48523618
1.74000000,2.48523618
1.76000000,2.48515478
1.78000000,2.48515478
1.80000000,2.48515478
1.82000000,2.48515478
1.84000000,2.48515478
1.86000000,2.48497231
1.88000000,2.48497231
1.90000000,2.48497231
1.92000000,2.48497231
1.94000000,2.53656885
1.96000000,2.48507338
1.98000000,2.48507338
2.00000000,2.48507338
2.02000000,2.48507338
2.04000000,2.48507338
2.06000000,2.48530638
2.08000000,2.48530638
2.10000000,2.48530638
2.12000000,2.48530638
2.14000000,2.48530638
2.16000000,2.48517445
2.18000000,2.48517445
2.20000000,2.48517445
2.22000000,2.48517445
2.24000000,2.48517445
2.26000000,2.48510424
2.28000000,2.48510424
2.30000000,2.48510424
2.32000000,2.48510424
2.34000000,2.48510424
2.36000000,2.48527552
2.38000000,2.48527552
2.40000000,2.48527552
2.42000000,2.48527552
2.44000000,2.48527552
2.46000000,2.48567218
2.48000000,2.48567218
2.50000000,2.48567218
2.52000000,2.48567218
2.54000000,2.48567218
2.56000000,2.48547003
2.58000000,2.48547003
2.60000000,2.48547003
2.62000000,2.48547003
2.64000000,2.48547003
2.66000000,2.48523702
2.68000000,2.48523702
2.70000000,2.48523702
2.72000000,2.48523702
2.74000000,2.48523702
2.76000000,2.48525669
2.78000000,2.48525669
2.80000000,2.48525669
2.82000000,2.48525669
2.84000000,2.54297108
2.86000000,2.48552905
2.88000000,2.48552905
2.90000000,2.48552905
2.92000000,2.48552905
2.94000000,2.48552905
2.96000000,2.48558807
2.98000000,2.48558807
3.00000000,2.48558807
3.02000000,2.48558807
3.04000000,2.48558807
3.06000000,2.48525751
3.08000000,2.48525751
3.10000000,2.48525751
3.12000000,2.48525751
3.14000000,2.48525751
3.16000000,2.48535859
3.18000000,2.48535859
3.20000000,2.48535859
3.22000000,2.48535859
3.24000000,2.48535859
3.26000000,2.48568151
3.28000000,2.48568151
3.30000000,2.48568151
3.32000000,2.48568151
3.34000000,2.48568151
3.36000000,2.48563097
3.38000000,2.48563097
3.40000000,2.48563097
3.42000000,2.48563097
3.44000000,2.48563097
3.46000000,2.48540913
3.48000000,2.48540913
3.50000000,2.48540913
3.52000000,2.48540913
3.54000000,2.53685997
3.56000000,2.48566184
3.58000000,2.48566184
3.60000000,2.48566184
3.62000000,2.48566184
3.64000000,2.48566184
3.66000000,2.48579379
3.68000000,2.48579379
3.70000000,2.48579379
3.72000000,2.48579379
3.74000000,2.48579379
3.76000000,2.48592574
