# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.3835518252, P max: 3.0435204207999997
Time,Power
0.00000000,2.49534170
0.02000000,2.49534170
0.04000000,2.49534170
0.06000000,2.63668761
0.08000000,2.49534170
0.10000000,2.49591259
0.12000000,2.49591259
0.14000000,2.49591259
0.16000000,2.43322662
0.18000000,2.59524963
0.20000000,2.54758788
0.22000000,2.49647738
0.24000000,2.49647738
0.26000000,2.49647738
0.28000000,2.42822894
0.30000000,2.49676966
0.32000000,2.49676966
0.34000000,2.49676966
0.36000000,2.49676966
0.38000000,2.49676966
0.40000000,2.57916071
0.42000000,2.55656133
0.44000000,2.49735803
0.46000000,2.49735803
0.48000000,2.49735803
0.50000000,2.44486265
0.52000000,2.67481271
0.54000000,2.49678849
0.56000000,2.43985714
0.58000000,2.49678849
0.60000000,2.49695263
0.62000000,2.49695263
0.64000000,2.49695263
0.66000000,2.49695263
0.68000000,2.49695263
0.70000000,2.49672825
0.72000000,2.49672825
0.74000000,2.43251121
0.76000000,2.49672825
0.78000000,2.57196838
0.80000000,2.49653468
0.82000000,2.49653468
0.84000000,2.49653468
0.86000000,2.55822495
0.88000000,2.49653468
0.90000000,2.42879092
0.92000000,2.49624609
0.94000000,2.49624609
0.96000000,2.49624609
0.98000000,2.59844018
1.00000000,2.49652735
1.02000000,2.49652735
1.04000000,2.49652735
1.06000000,2.44272332
1.08000000,2.43766655
1.10000000,2.49551599
1.12000000,2.43266034
1.14000000,2.49551599
1.16000000,2.49551599
1.18000000,2.42760357
1.20000000,2.55202030
1.22000000,2.49528289
1.24000000,2.49528289
1.26000000,2.49528289
1.28000000,2.49528289
1.30000000,2.49538403
1.32000000,2.62367530
1.34000000,2.49538403
1.36000000,2.49538403
1.38000000,2.43895003
1.40000000,2.49498194
1.42000000,2.49498194
1.44000000,2.49498194
1.46000000,2.58964168
1.48000000,2.49498194
1.50000000,2.40238116
1.52000000,2.41997806
1.54000000,2.42377049
1.56000000,2.42377049
1.58000000,2.40996603
1.60000000,2.48859585
1.62000000,2.48859585
1.64000000,2.57829958
1.66000000,2.48859585
1.68000000,2.48859585
1.70000000,2.48814075
1.72000000,2.48814075
1.74000000,2.48814075
1.76000000,2.59716062
1.78000000,2.48814075
1.80000000,2.48929526
1.82000000,2.48929526
1.84000000,2.48929526
1.86000000,2.48929526
1.88000000,2.54056776
1.90000000,2.49006489
1.92000000,2.49006489
1.94000000,2.49006489
1.96000000,2.49006489
1.98000000,2.59326561
2.00000000,2.49013779
2.02000000,2.49013779
2.04000000,2.49013779
2.06000000,2.49013779
2.08000000,2.68869555
2.10000000,2.49091489
2.12000000,2.49091489
2.14000000,2.49091489
2.16000000,2.49091489
2.18000000,2.49091489
2.20000000,2.42966100
2.22000000,2.65327859
2.24000000,2.49134164
2.26000000,2.49134164
2.28000000,2.49134164
2.30000000,2.49136884
2.32000000,2.43338064
2.34000000,2.49136884
2.36000000,2.54516085
2.38000000,2.49136884
2.40000000,2.49121972
2.42000000,2.56770853
2.44000000,2.42949280
2.46000000,2.54758788
2.48000000,2.49121972
2.50000000,2.49097444
2.52000000,2.49097444
2.54000000,2.49097444
2.56000000,2.59521369
2.58000000,2.49097444
2.60000000,2.49595939
2.62000000,2.49595939
2.64000000,2.49595939
2.66000000,2.44444680
2.68000000,2.59772076
2.70000000,2.49719470
2.72000000,2.49719470
2.74000000,2.49719470
2.76000000,2.49719470
2.78000000,2.49719470
2.80000000,2.49708487
2.82000000,2.58251319
2.84000000,2.49708487
2.86000000,2.49708487
2.88000000,2.49708487
2.90000000,2.49765915
2.92000000,2.49765915
2.94000000,2.49765915
2.96000000,2.49765915
2.98000000,2.44670817
3.00000000,2.49828548
3.02000000,2.49828548
3.04000000,2.49828548
3.06000000,2.44546386
3.08000000,2.49828548
3.10000000,2.44431140
3.12000000,2.49759036
3.14000000,2.59004503
3.16000000,2.49759036
3.18000000,2.43303891
3.20000000,2.49427385
3.22000000,2.49427385
3.24000000,2.42673945
3.26000000,2.63278003
3.28000000,2.56367859
3.30000000,2.49459688
3.32000000,2.49459688
3.34000000,2.49459688
3.36000000,2.42675865
3.38000000,2.49459688
3.40000000,2.49395704
3.42000000,2.49395704
3.44000000,2.49395704
3.46000000,2.41433685
3.48000000,2.49395704
3.50000000,2.49426035
3.52000000,2.49426035
3.54000000,2.44072525
3.56000000,2.44198907
3.58000000,2.44320233
3.60000000,2.72952480
3.62000000,2.49244295
3.64000000,2.43810117
3.66000000,2.49244295
3.68000000,2.49244295
3.70000000,2.49391134
3.72000000,2.59879948
3.74000000,2.49391134
3.76000000,2.49391134
3.78000000,2.49391134
3.80000000,2.49227038
3.82000000,2.42787350
3.84000000,2.55853750
3.86000000,2.60999435
3.88000000,2.49227038
3.90000000,2.49284613
3.92000000,2.49284613
3.94000000,2.43921533
3.96000000,2.49284613
3.98000000,2.43668796
4.00000000,2.49311859
4.02000000,2.49311859
4.04000000,2.42917562
4.06000000,2.63642160
4.08000000,2.49311859
4.10000000,2.49292749
4.12000000,2.49292749
4.14000000,2.49292749
4.16000000,2.43666868
4.18000000,2.49292749
4.20000000,2.58737936
4.22000000,2.49341323
4.24000000,2.49341323
4.26000000,2.49341323
4.28000000,2.44044039
4.30000000,2.57978667
4.32000000,2.49254531
4.34000000,2.49254531
4.36000000,2.49254531
4.38000000,2.49254531
4.40000000,2.65012490
4.42000000,2.49414303
4.44000000,2.49414303
4.46000000,2.49414303
4.48000000,2.49414303
4.50000000,2.49301131
4.52000000,2.65763507
4.54000000,2.49301131
4.56000000,2.49301131
4.58000000,2.42528154
4.60000000,2.49314321
4.62000000,2.44158813
4.64000000,2.49314321
4.66000000,2.56719046
4.68000000,2.49314321
4.70000000,2.44034383
4.72000000,2.41143232
4.74000000,2.62998717
4.76000000,2.55715240
4.78000000,2.42775823
4.80000000,2.49298913
4.82000000,2.44168474
4.84000000,2.42535831
4.86000000,2.63760181
4.88000000,2.49298913
4.90000000,2.49263531
4.92000000,2.49263531
4.94000000,2.49263531
4.96000000,2.49263531
4.98000000,2.55344239
5.00000000,2.49307913
5.02000000,2.49307913
5.04000000,2.43793236
5.06000000,2.44045971
5.08000000,2.58487249
5.10000000,2.49284983
5.12000000,2.49284983
5.14000000,2.49284983
5.16000000,2.49284983
5.18000000,2.42668184
5.20000000,2.73949764
5.22000000,2.49175748
5.24000000,2.49175748
5.26000000,2.49175748
5.28000000,2.49175748
5.30000000,2.49293736
5.32000000,2.66425572
5.34000000,2.58135158
5.36000000,2.49293736
5.38000000,2.44193110
5.40000000,2.49276598
5.42000000,2.49276598
5.44000000,2.49276598
5.46000000,2.54741150
5.48000000,2.49276598
5.50000000,2.49390648
5.52000000,2.43946144
5.54000000,2.71456814
5.56000000,2.49390648
5.58000000,2.49390648
5.60000000,2.49428009
5.62000000,2.49428009
5.64000000,2.49428009
5.66000000,2.54498464
5.68000000,2.38796734
5.70000000,2.41186170
5.72000000,2.42444955
5.74000000,2.41939419
5.76000000,2.49077587
5.78000000,2.49077587
5.80000000,2.48875373
5.82000000,2.48875373
5.84000000,2.48875373
5.86000000,2.48875373
5.88000000,2.55508005
5.90000000,2.48905705
5.92000000,2.48905705
5.94000000,2.48905705
5.96000000,2.48905705
5.98000000,2.43324588
6.00000000,2.63543942
6.02000000,2.48883514
6.04000000,2.48883514
6.06000000,2.48883514
6.08000000,2.48883514
6.10000000,2.62787061
6.12000000,2.48738521
6.14000000,2.48738521
6.16000000,2.48738521
6.18000000,2.48738521
6.20000000,2.48741965
6.22000000,2.48741965
6.24000000,2.59398580
6.26000000,2.48741965
6.28000000,2.48741965
6.30000000,2.48693380
6.32000000,2.48693380
6.34000000,2.48693380
6.36000000,2.48693380
6.38000000,2.48693380
6.40000000,2.48671191
6.42000000,2.43069896
6.44000000,2.55632366
6.46000000,2.55379600
6.48000000,2.42690747
6.50000000,2.48689936
6.52000000,2.48689936
6.54000000,2.48689936
6.56000000,2.59649805
6.58000000,2.48689936
6.60000000,2.48693380
6.62000000,2.48693380
6.64000000,2.48693380
6.66000000,2.48693380
6.68000000,2.65810829
6.70000000,2.48783258
6.72000000,2.48783258
6.74000000,2.48783258
6.76000000,2.48783258
6.78000000,2.48783258
6.80000000,2.49151192
6.82000000,2.49151192
6.84000000,2.49151192
6.86000000,2.49151192
6.88000000,2.49151192
6.90000000,2.49425055
6.92000000,2.59288609
6.94000000,2.49425055
6.96000000,2.49425055
6.98000000,2.67959031
7.00000000,2.72598694
7.02000000,2.96844968
7.04000000,2.65065969
7.06000000,2.60541279
7.08000000,3.02249319
7.10000000,2.45699539
7.12000000,2.52589681
7.14000000,2.86145634
7.16000000,2.85266041
7.18000000,2.73335934
7.20000000,2.64786479
7.22000000,2.83252430
7.24000000,2.65792426
7.26000000,2.54772504
7.28000000,3.04352042
7.30000000,2.73173345
7.32000000,2.78697870
7.34000000,2.44160745
7.36000000,2.44534775
7.38000000,2.76938918
7.40000000,2.43279343
7.42000000,2.48177076
7.44000000,2.58341515
7.46000000,2.44659200
7.48000000,2.46291778
