# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.3891482623, P max: 2.8835366571
Time,Power
0.00000000,2.48990964
0.02000000,2.48990964
0.04000000,2.48990964
0.06000000,2.48990964
0.08000000,2.48963702
0.10000000,2.48963702
0.12000000,2.48963702
0.14000000,2.48963702
0.16000000,2.48963702
0.18000000,2.54649997
0.20000000,2.48944235
0.22000000,2.48944235
0.24000000,2.48944235
0.26000000,2.48944235
0.28000000,2.48951535
0.30000000,2.48951535
0.32000000,2.48951535
0.34000000,2.54014733
0.36000000,2.48951535
0.38000000,2.48671370
0.40000000,2.48671370
0.42000000,2.48671370
0.44000000,2.48671370
0.46000000,2.48671370
0.48000000,2.48672212
0.50000000,2.48672212
0.52000000,2.48672212
0.54000000,2.48672212
0.56000000,2.48672212
0.58000000,2.48646080
0.60000000,2.48646080
0.62000000,2.48646080
0.64000000,2.48646080
0.66000000,2.48646080
0.68000000,2.48601683
0.70000000,2.48601683
0.72000000,2.54388058
0.74000000,2.48601683
0.76000000,2.48601683
0.78000000,2.48580324
0.80000000,2.48580324
0.82000000,2.48580324
0.84000000,2.48580324
0.86000000,2.48580324
0.88000000,2.54637915
0.90000000,2.48578359
0.92000000,2.48578359
0.94000000,2.48578359
0.96000000,2.48578359
0.98000000,2.48561219
1.00000000,2.48561219
1.02000000,2.48561219
1.04000000,2.48561219
1.06000000,2.48561219
1.08000000,2.48583417
1.10000000,2.48583417
1.12000000,2.48583417
1.14000000,2.48583417
1.16000000,2.48583417
1.18000000,2.48580324
1.20000000,2.48580324
1.22000000,2.48580324
1.24000000,2.48580324
1.26000000,2.48580324
1.28000000,2.48586222
1.30000000,2.48586222
1.32000000,2.48586222
1.34000000,2.48586222
1.36000000,2.48586222
1.38000000,2.48578359
1.40000000,2.48578359
1.42000000,2.48578359
1.44000000,2.48578359
1.46000000,2.48578359
1.48000000,2.48592693
1.50000000,2.48592693
1.52000000,2.48592693
1.54000000,2.48592693
1.56000000,2.48592693
1.58000000,2.48602460
1.60000000,2.48602460
1.62000000,2.48602460
1.64000000,2.54879227
1.66000000,2.48602460
1.68000000,2.48636182
