# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.4002710871999997, P max: 2.7082822856
Time,Power
0.00000000,2.48741971
0.02000000,2.48741971
0.04000000,2.48722927
0.06000000,2.48722927
0.08000000,2.48722927
0.10000000,2.48722927
0.12000000,2.48722927
0.14000000,2.48719486
0.16000000,2.48719486
0.18000000,2.48719486
0.20000000,2.48719486
0.22000000,2.48719486
0.24000000,2.48715553
0.26000000,2.48715553
0.28000000,2.48715553
0.30000000,2.48715553
0.32000000,2.48715553
0.34000000,2.48770074
0.36000000,2.48770074
0.38000000,2.48770074
0.40000000,2.48770074
0.42000000,2.48770074
0.44000000,2.48763048
0.46000000,2.48763048
0.48000000,2.48763048
0.50000000,2.48763048
0.52000000,2.58066052
0.54000000,2.48815883
0.56000000,2.48815883
0.58000000,2.56423972
0.60000000,2.54162791
0.62000000,2.54916518
0.64000000,2.48809980
0.66000000,2.48809980
0.68000000,2.48809980
0.70000000,2.48809980
0.72000000,2.48809980
0.74000000,2.48848127
0.76000000,2.48848127
0.78000000,2.55656599
0.80000000,2.58423489
0.82000000,2.48848127
0.84000000,2.48999027
0.86000000,2.43333865
0.88000000,2.48999027
0.90000000,2.58791663
0.92000000,2.48999027
0.94000000,2.49426140
0.96000000,2.49426140
0.98000000,2.49426140
1.00000000,2.49426140
1.02000000,2.42820366
1.04000000,2.49449091
1.06000000,2.49449091
1.08000000,2.49449091
1.10000000,2.49449091
1.12000000,2.49449091
1.14000000,2.49443172
1.16000000,2.49443172
1.18000000,2.49443172
1.20000000,2.49443172
1.22000000,2.49443172
1.24000000,2.49427139
1.26000000,2.49427139
1.28000000,2.49427139
1.30000000,2.57256350
1.32000000,2.55749176
1.34000000,2.49384705
1.36000000,2.49384705
1.38000000,2.49384705
1.40000000,2.49384705
1.42000000,2.49384705
1.44000000,2.49367560
1.46000000,2.49367560
1.48000000,2.56119390
1.50000000,2.56878022
1.52000000,2.49367560
1.54000000,2.49311927
1.56000000,2.49311927
1.58000000,2.49311927
