# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.411772342, P max: 2.6510181242999997
Time,Power
0.00000000,2.48461286
0.02000000,2.48461286
0.04000000,2.48461286
0.06000000,2.48461286
0.08000000,2.48562478
0.10000000,2.48562478
0.12000000,2.62132298
0.14000000,2.48562478
0.16000000,2.48562478
0.18000000,2.48571761
0.20000000,2.48571761
0.22000000,2.48571761
0.24000000,2.48571761
0.26000000,2.48571761
0.28000000,2.48615331
0.30000000,2.48615331
0.32000000,2.48615331
0.34000000,2.48615331
0.36000000,2.48615331
0.38000000,2.56969446
0.40000000,2.48520331
0.42000000,2.48520331
0.44000000,2.48520331
0.46000000,2.48520331
0.48000000,2.48953114
0.50000000,2.56202947
0.52000000,2.57963549
0.54000000,2.48953114
0.56000000,2.48953114
0.58000000,2.49214222
0.60000000,2.49214222
0.62000000,2.49214222
0.64000000,2.49214222
0.66000000,2.59221240
0.68000000,2.49141692
0.70000000,2.49141692
0.72000000,2.57701385
0.74000000,2.49141692
0.76000000,2.49141692
0.78000000,2.49001164
0.80000000,2.49001164
0.82000000,2.49001164
0.84000000,2.49001164
0.86000000,2.56564129
0.88000000,2.48988722
0.90000000,2.48988722
0.92000000,2.48988722
0.94000000,2.48988722
0.96000000,2.48988722
0.98000000,2.49121634
1.00000000,2.49121634
1.02000000,2.49121634
1.04000000,2.56921702
1.06000000,2.58049728
1.08000000,2.49165189
1.10000000,2.49165189
1.12000000,2.49165189
1.14000000,2.49165189
1.16000000,2.49165189
1.18000000,2.48982732
1.20000000,2.60556031
1.22000000,2.48982732
1.24000000,2.48982732
1.26000000,2.48982732
1.28000000,2.49059725
1.30000000,2.49059725
1.32000000,2.49059725
1.34000000,2.54896865
1.36000000,2.49059725
1.38000000,2.49146832
1.40000000,2.49146832
1.42000000,2.49146832
1.44000000,2.49146832
1.46000000,2.49146832
1.48000000,2.49244052
1.50000000,2.49244052
1.52000000,2.49244052
1.54000000,2.49244052
1.56000000,2.49244052
1.58000000,2.49071228
1.60000000,2.60036755
1.62000000,2.49071228
1.64000000,2.49071228
1.66000000,2.49071228
1.68000000,2.49172024
1.70000000,2.49172024
1.72000000,2.49172024
1.74000000,2.54250046
1.76000000,2.49172024
1.78000000,2.49190285
1.80000000,2.58521834
1.82000000,2.49190285
1.84000000,2.49190285
1.86000000,2.49190285
1.88000000,2.49146735
1.90000000,2.49146735
1.92000000,2.49146735
1.94000000,2.49146735
1.96000000,2.49146735
1.98000000,2.49034703
2.00000000,2.49034703
2.02000000,2.49034703
2.04000000,2.49034703
2.06000000,2.49034703
2.08000000,2.49145979
2.10000000,2.49145979
2.12000000,2.49145979
2.14000000,2.49145979
2.16000000,2.49145979
2.18000000,2.49191501
2.20000000,2.49191501
2.22000000,2.49191501
2.24000000,2.49191501
2.26000000,2.49191501
2.28000000,2.49110307
2.30000000,2.49110307
2.32000000,2.49110307
2.34000000,2.49110307
2.36000000,2.49110307
2.38000000,2.49090925
2.40000000,2.49090925
2.42000000,2.59425032
2.44000000,2.49090925
2.46000000,2.49090925
2.48000000,2.49148537
2.50000000,2.49148537
2.52000000,2.49148537
2.54000000,2.55157845
2.56000000,2.55658620
2.58000000,2.49189364
2.60000000,2.49189364
2.62000000,2.49189364
2.64000000,2.49189364
2.66000000,2.49189364
2.68000000,2.49108161
2.70000000,2.55674288
2.72000000,2.49108161
2.74000000,2.49108161
2.76000000,2.49108161
2.78000000,2.49182164
2.80000000,2.49182164
2.82000000,2.54306849
2.84000000,2.49182164
2.86000000,2.49182164
2.88000000,2.49318493
2.90000000,2.49318493
2.92000000,2.49827565
2.94000000,2.55445087
2.96000000,2.56704808
2.98000000,2.49401774
3.00000000,2.49401774
3.02000000,2.49401774
3.04000000,2.49401774
3.06000000,2.49401774
3.08000000,2.49268850
3.10000000,2.59367712
3.12000000,2.49268850
3.14000000,2.49268850
3.16000000,2.49268850
3.18000000,2.58119617
3.20000000,2.49361138
3.22000000,2.56611802
3.24000000,2.49361138
3.26000000,2.49361138
3.28000000,2.49395440
3.30000000,2.49395440
3.32000000,2.49395440
3.34000000,2.49395440
3.36000000,2.56995349
3.38000000,2.49386174
3.40000000,2.49386174
3.42000000,2.49386174
3.44000000,2.49386174
3.46000000,2.49386174
3.48000000,2.49245704
3.50000000,2.49245704
3.52000000,2.49245704
3.54000000,2.43932483
3.56000000,2.49245704
3.58000000,2.49169528
3.60000000,2.42687143
3.62000000,2.43815614
3.64000000,2.49169528
3.66000000,2.49169528
3.68000000,2.48839475
3.70000000,2.48839475
3.72000000,2.48839475
3.74000000,2.58282349
3.76000000,2.48839475
3.78000000,2.48840950
3.80000000,2.48840950
3.82000000,2.48840950
3.84000000,2.48840950
3.86000000,2.48840950
3.88000000,2.55389263
3.90000000,2.48719497
3.92000000,2.48719497
3.94000000,2.48719497
3.96000000,2.48719497
3.98000000,2.48814172
4.00000000,2.48814172
4.02000000,2.48814172
4.04000000,2.48814172
4.06000000,2.48814172
4.08000000,2.48763567
4.10000000,2.48763567
4.12000000,2.48763567
4.14000000,2.48763567
4.16000000,2.48763567
4.18000000,2.48767789
4.20000000,2.48767789
4.22000000,2.48767789
4.24000000,2.48767789
4.26000000,2.48767789
4.28000000,2.56649332
4.30000000,2.48582863
4.32000000,2.48582863
4.34000000,2.48582863
4.36000000,2.48582863
4.38000000,2.48723374
4.40000000,2.48723374
4.42000000,2.48723374
4.44000000,2.48723374
4.46000000,2.48723374
4.48000000,2.48636168
4.50000000,2.48636168
4.52000000,2.48636168
4.54000000,2.48636168
4.56000000,2.58133901
4.58000000,2.48728377
4.60000000,2.48728377
4.62000000,2.54608074
4.64000000,2.48728377
