# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.4133587659999995, P max: 2.6614208280000002
Time,Power
0.00000000,2.49532762
0.02000000,2.49532762
0.04000000,2.60043400
0.06000000,2.49532762
0.08000000,2.49532762
0.10000000,2.49292948
0.12000000,2.49292948
0.14000000,2.49292948
0.16000000,2.49292948
0.18000000,2.49292948
0.20000000,2.49412428
0.22000000,2.63687844
0.24000000,2.49412428
0.26000000,2.49412428
0.28000000,2.49412428
0.30000000,2.49421694
0.32000000,2.49421694
0.34000000,2.49421694
0.36000000,2.49421694
0.38000000,2.49421694
0.40000000,2.49277184
0.42000000,2.54742125
0.44000000,2.49277184
0.46000000,2.56376547
0.48000000,2.49277184
0.50000000,2.49528218
0.52000000,2.49528218
0.54000000,2.44306205
0.56000000,2.49528218
0.58000000,2.49528218
0.60000000,2.49417751
0.62000000,2.49417751
0.64000000,2.49417751
0.66000000,2.49417751
0.68000000,2.49417751
0.70000000,2.49515867
0.72000000,2.49515867
0.74000000,2.49515867
0.76000000,2.55628649
0.78000000,2.49515867
0.80000000,2.50068541
0.82000000,2.50068541
0.84000000,2.50068541
0.86000000,2.50068541
0.88000000,2.50068541
0.90000000,2.49986471
0.92000000,2.49986471
0.94000000,2.49986471
0.96000000,2.49986471
0.98000000,2.49986471
1.00000000,2.57263110
1.02000000,2.49885265
1.04000000,2.49885265
1.06000000,2.49885265
1.08000000,2.49885265
1.10000000,2.50023869
1.12000000,2.50023869
1.14000000,2.50023869
1.16000000,2.50023869
1.18000000,2.50023869
1.20000000,2.50061267
1.22000000,2.50061267
1.24000000,2.55506182
1.26000000,2.50061267
1.28000000,2.56012215
1.30000000,2.50090523
1.32000000,2.50090523
1.34000000,2.50090523
1.36000000,2.50090523
1.38000000,2.50090523
1.40000000,2.50023629
1.42000000,2.50023629
1.44000000,2.50023629
1.46000000,2.50023629
1.48000000,2.57027348
1.50000000,2.49962904
1.52000000,2.55767286
1.54000000,2.44699994
1.56000000,2.49962904
1.58000000,2.49962904
1.60000000,2.50013882
1.62000000,2.56152390
1.64000000,2.50013882
1.66000000,2.50013882
1.68000000,2.50013882
1.70000000,2.50003761
1.72000000,2.50003761
1.74000000,2.50003761
1.76000000,2.59168508
1.78000000,2.50003761
1.80000000,2.55397338
1.82000000,2.50012774
1.84000000,2.50012774
1.86000000,2.50012774
1.88000000,2.50012774
1.90000000,2.50084493
1.92000000,2.50084493
1.94000000,2.50084493
1.96000000,2.50084493
1.98000000,2.50084493
2.00000000,2.50088446
2.02000000,2.64213362
2.04000000,2.55159448
2.06000000,2.55786997
2.08000000,2.50088446
2.10000000,2.50068577
2.12000000,2.50068577
