# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.410302419, P max: 2.7195735527999996
Time,Power
0.00000000,2.50084629
0.02000000,2.50127227
0.04000000,2.50127227
0.06000000,2.50127227
0.08000000,2.50127227
0.10000000,2.55581163
0.12000000,2.50099721
0.14000000,2.50099721
0.16000000,2.50099721
0.18000000,2.50099721
0.20000000,2.50099721
0.22000000,2.50143426
0.24000000,2.58997971
0.26000000,2.56483280
0.28000000,2.50143426
0.30000000,2.50143426
0.32000000,2.50490349
0.34000000,2.50490349
0.36000000,2.50490349
0.38000000,2.58505231
0.40000000,2.50490349
0.42000000,2.50532096
0.44000000,2.50532096
0.46000000,2.50532096
0.48000000,2.50532096
0.50000000,2.50532096
0.52000000,2.50569281
0.54000000,2.50569281
0.56000000,2.50569281
0.58000000,2.50569281
0.60000000,2.50569281
0.62000000,2.50523738
0.64000000,2.50523738
0.66000000,2.50523738
0.68000000,2.50523738
0.70000000,2.50523738
0.72000000,2.50525718
0.74000000,2.50525718
0.76000000,2.50525718
0.78000000,2.50525718
0.80000000,2.44949146
0.82000000,2.50545960
0.84000000,2.50545960
0.86000000,2.50545960
0.88000000,2.41680121
0.90000000,2.43061613
0.92000000,2.43066897
0.94000000,2.42064914
0.96000000,2.44453479
0.98000000,2.41305836
1.00000000,2.50257896
1.02000000,2.49776034
1.04000000,2.49776034
1.06000000,2.49776034
1.08000000,2.49776034
1.10000000,2.49776034
1.12000000,2.50020051
1.14000000,2.50020051
1.16000000,2.50020051
1.18000000,2.50020051
1.20000000,2.50020051
1.22000000,2.41800897
1.24000000,2.49720251
1.26000000,2.49720251
1.28000000,2.49720251
1.30000000,2.49720251
1.32000000,2.49656694
1.34000000,2.49656694
1.36000000,2.55248138
1.38000000,2.49656694
1.40000000,2.44556083
1.42000000,2.49364817
1.44000000,2.56752504
1.46000000,2.49364817
1.48000000,2.49364817
1.50000000,2.49364817
1.52000000,2.49534028
1.54000000,2.49534028
1.56000000,2.49534028
1.58000000,2.49534028
1.60000000,2.49534028
1.62000000,2.49332750
1.64000000,2.57114753
1.66000000,2.49332750
1.68000000,2.49332750
1.70000000,2.49332750
1.72000000,2.49536257
1.74000000,2.49536257
1.76000000,2.49536257
1.78000000,2.49536257
1.80000000,2.54975478
1.82000000,2.49268091
1.84000000,2.49268091
1.86000000,2.49268091
1.88000000,2.49268091
1.90000000,2.57237182
1.92000000,2.49561556
1.94000000,2.49561556
1.96000000,2.49561556
1.98000000,2.49561556
2.00000000,2.49561556
2.02000000,2.49928941
2.04000000,2.49928941
2.06000000,2.44034391
2.08000000,2.49928941
2.10000000,2.49928941
2.12000000,2.56485308
2.14000000,2.49877235
2.16000000,2.49877235
2.18000000,2.49877235
2.20000000,2.49877235
2.22000000,2.49900317
2.24000000,2.49900317
2.26000000,2.49900317
2.28000000,2.49900317
2.30000000,2.49900317
2.32000000,2.49810473
2.34000000,2.49810473
2.36000000,2.49810473
2.38000000,2.49810473
2.40000000,2.49810473
2.42000000,2.49872060
2.44000000,2.49872060
2.46000000,2.49872060
2.48000000,2.49872060
2.50000000,2.49872060
2.52000000,2.49954133
2.54000000,2.49954133
2.56000000,2.49954133
2.58000000,2.49954133
2.60000000,2.49954133
2.62000000,2.49928589
2.64000000,2.49928589
2.66000000,2.49928589
2.68000000,2.56770264
2.70000000,2.55009241
2.72000000,2.49915384
2.74000000,2.49915384
2.76000000,2.49915384
2.78000000,2.49915384
2.80000000,2.49915384
2.82000000,2.49932541
2.84000000,2.49932541
2.86000000,2.49932541
2.88000000,2.49932541
2.90000000,2.49932541
2.92000000,2.56524847
2.94000000,2.49870211
2.96000000,2.44455411
2.98000000,2.49870211
3.00000000,2.49870211
3.02000000,2.49951180
3.04000000,2.49951180
3.06000000,2.49951180
3.08000000,2.49951180
3.10000000,2.49951180
3.12000000,2.49929828
3.14000000,2.49929828
3.16000000,2.49929828
3.18000000,2.49929828
3.20000000,2.49929828
3.22000000,2.50003761
3.24000000,2.50003761
3.26000000,2.50003761
3.28000000,2.50003761
3.30000000,2.50003761
3.32000000,2.50042270
3.34000000,2.50042270
3.36000000,2.43068818
3.38000000,2.50042270
3.40000000,2.50042270
3.42000000,2.50009556
3.44000000,2.55636732
3.46000000,2.50009556
3.48000000,2.50009556
3.50000000,2.50009556
3.52000000,2.61669664
3.54000000,2.59407697
3.56000000,2.49990423
3.58000000,2.49990423
3.60000000,2.49990423
3.62000000,2.49995723
3.64000000,2.49995723
3.66000000,2.49995723
3.68000000,2.49995723
3.70000000,2.49995723
3.72000000,2.49919448
3.74000000,2.49919448
3.76000000,2.49919448
3.78000000,2.59513246
3.80000000,2.49919448
3.82000000,2.50085558
3.84000000,2.50085558
3.86000000,2.50085558
3.88000000,2.50085558
3.90000000,2.50085558
3.92000000,2.50051245
3.94000000,2.50051245
3.96000000,2.50051245
3.98000000,2.50051245
4.00000000,2.42906779
4.02000000,2.50031736
4.04000000,2.50031736
4.06000000,2.50031736
4.08000000,2.50031736
4.10000000,2.50031736
4.12000000,2.42513658
4.14000000,2.49981377
4.16000000,2.49981377
4.18000000,2.49981377
4.20000000,2.49981377
4.22000000,2.49991732
4.24000000,2.49991732
4.26000000,2.49991732
4.28000000,2.49991732
4.30000000,2.49991732
4.32000000,2.49960131
4.34000000,2.62981997
4.36000000,2.49960131
4.38000000,2.58332776
4.40000000,2.49960131
4.42000000,2.50005896
4.44000000,2.50005896
4.46000000,2.50005896
4.48000000,2.50005896
4.50000000,2.50005896
4.52000000,2.49978248
4.54000000,2.49978248
4.56000000,2.49978248
4.58000000,2.49978248
4.60000000,2.49978248
4.62000000,2.50015636
4.64000000,2.50015636
4.66000000,2.50015636
4.68000000,2.50015636
4.70000000,2.50015636
4.72000000,2.50029939
4.74000000,2.50029939
4.76000000,2.56929829
4.78000000,2.62959644
4.80000000,2.50029939
4.82000000,2.50058313
4.84000000,2.50058313
4.86000000,2.50058313
4.88000000,2.50058313
4.90000000,2.50058313
4.92000000,2.50039183
4.94000000,2.50039183
4.96000000,2.50039183
4.98000000,2.60191493
5.00000000,2.50039183
5.02000000,2.55034915
5.04000000,2.42717687
5.06000000,2.42839089
5.08000000,2.41331683
5.10000000,2.41963984
5.12000000,2.49675839
5.14000000,2.49675839
5.16000000,2.49675839
5.18000000,2.49675839
5.20000000,2.49675839
5.22000000,2.49335800
5.24000000,2.49335800
5.26000000,2.49335800
5.28000000,2.49335800
5.30000000,2.49335800
5.32000000,2.54673658
5.34000000,2.49488419
5.36000000,2.49488419
5.38000000,2.49488419
5.40000000,2.49488419
5.42000000,2.49242871
5.44000000,2.49242871
5.46000000,2.49242871
5.48000000,2.49242871
5.50000000,2.49242871
5.52000000,2.49439912
5.54000000,2.49439912
5.56000000,2.43379086
5.58000000,2.49439912
5.60000000,2.49439912
5.62000000,2.49265931
5.64000000,2.49265931
5.66000000,2.49265931
5.68000000,2.49265931
5.70000000,2.58589815
5.72000000,2.49425955
5.74000000,2.49425955
5.76000000,2.49425955
5.78000000,2.49425955
5.80000000,2.49425955
5.82000000,2.49224433
5.84000000,2.49224433
5.86000000,2.56722567
5.88000000,2.49224433
5.90000000,2.49224433
5.92000000,2.49433091
5.94000000,2.49433091
5.96000000,2.49433091
5.98000000,2.49433091
6.00000000,2.49433091
6.02000000,2.49384465
6.04000000,2.54595997
6.06000000,2.54722491
6.08000000,2.49384465
6.10000000,2.49384465
6.12000000,2.49727416
6.14000000,2.49727416
6.16000000,2.49727416
6.18000000,2.49727416
6.20000000,2.49727416
6.22000000,2.50106903
6.24000000,2.56112909
6.26000000,2.50106903
6.28000000,2.50106903
6.30000000,2.50106903
6.32000000,2.50242414
6.34000000,2.58879664
6.36000000,2.50242414
6.38000000,2.50242414
6.40000000,2.50242414
6.42000000,2.50115045
6.44000000,2.50115045
6.46000000,2.50115045
6.48000000,2.50115045
6.50000000,2.50115045
6.52000000,2.50202165
6.54000000,2.50202165
6.56000000,2.50202165
6.58000000,2.50202165
6.60000000,2.50202165
6.62000000,2.50214262
6.64000000,2.50214262
6.66000000,2.50214262
6.68000000,2.50214262
6.70000000,2.50214262
6.72000000,2.50270641
6.74000000,2.50270641
6.76000000,2.65525184
6.78000000,2.50270641
6.80000000,2.50270641
6.82000000,2.50270866
6.84000000,2.50270866
6.86000000,2.50270866
6.88000000,2.50270866
6.90000000,2.45150804
6.92000000,2.50221376
6.94000000,2.50221376
6.96000000,2.58220082
6.98000000,2.50221376
7.00000000,2.50221376
7.02000000,2.50274666
7.04000000,2.50274666
7.06000000,2.50274666
7.08000000,2.50274666
7.10000000,2.55571565
7.12000000,2.50211979
7.14000000,2.50211979
7.16000000,2.50211979
7.18000000,2.50211979
7.20000000,2.50211979
7.22000000,2.50192845
7.24000000,2.50192845
7.26000000,2.56445769
7.28000000,2.50192845
7.30000000,2.56698719
7.32000000,2.50155454
7.34000000,2.50155454
7.36000000,2.50155454
7.38000000,2.50155454
7.40000000,2.50155454
7.42000000,2.50135218
7.44000000,2.50135218
7.46000000,2.50135218
7.48000000,2.50135218
7.50000000,2.50135218
7.52000000,2.50120915
7.54000000,2.57330104
7.56000000,2.50120915
7.58000000,2.50120915
7.60000000,2.50120915
7.62000000,2.50145107
7.64000000,2.44888640
7.66000000,2.50145107
7.68000000,2.50145107
7.70000000,2.50145107
7.72000000,2.50153248
7.74000000,2.50153248
7.76000000,2.57711573
7.78000000,2.50153248
7.80000000,2.50153248
7.82000000,2.50163366
7.84000000,2.50163366
