# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.683163936, P max: 2.3929160767
Time,Power
0.00000000,1.73227878
0.02000000,1.73227878
0.04000000,1.73227878
0.06000000,1.72741513
0.08000000,1.72741513
0.10000000,1.72741513
0.12000000,1.72741513
0.14000000,1.72741513
0.16000000,1.72073410
0.18000000,1.72073410
0.20000000,1.72073410
0.22000000,1.72073410
0.24000000,1.72073410
0.26000000,1.72059642
0.28000000,1.72059642
0.30000000,1.72059642
0.32000000,1.72059642
0.34000000,1.72059642
0.36000000,1.72035713
0.38000000,1.72035713
0.40000000,1.72035713
0.42000000,1.72035713
0.44000000,1.72035713
0.46000000,1.72073840
0.48000000,1.72073840
0.50000000,1.72073840
0.52000000,1.72073840
0.54000000,1.72073840
0.56000000,1.72114305
0.58000000,1.72114305
0.60000000,1.72114305
0.62000000,1.72114305
0.64000000,1.72114305
0.66000000,1.72129865
0.68000000,1.72129865
0.70000000,1.72129865
0.72000000,1.72129865
0.74000000,1.72129865
0.76000000,1.72178112
0.78000000,1.72178112
0.80000000,1.72178112
0.82000000,1.72178112
0.84000000,1.72178112
0.86000000,1.72171692
0.88000000,1.72171692
0.90000000,1.72171692
0.92000000,1.72171692
0.94000000,1.72171692
0.96000000,1.72194649
0.98000000,1.72194649
1.00000000,1.72194649
1.02000000,1.72194649
1.04000000,1.72194649
1.06000000,1.72164346
1.08000000,1.72164346
1.10000000,1.72164346
1.12000000,1.72164346
1.14000000,1.72164346
1.16000000,1.72298199
1.18000000,1.72298199
1.20000000,1.72298199
1.22000000,1.72298199
1.24000000,1.72298199
1.26000000,1.72302286
1.28000000,1.72302286
1.30000000,1.72302286
1.32000000,1.72302286
1.34000000,1.72302286
1.36000000,1.72327971
1.38000000,1.72327971
1.40000000,1.72327971
1.42000000,1.72327971
1.44000000,1.72327971
1.46000000,1.72305011
1.48000000,1.72305011
1.50000000,1.72305011
1.52000000,1.72305011
1.54000000,1.72305011
1.56000000,1.72269601
1.58000000,1.72269601
1.60000000,1.72269601
1.62000000,1.72269601
1.64000000,1.72269601
1.66000000,1.72274219
1.68000000,1.72274219
1.70000000,1.72274219
1.72000000,1.72274219
1.74000000,1.72274219
1.76000000,1.72264103
1.78000000,1.72264103
1.80000000,1.72264103
1.82000000,1.72264103
1.84000000,1.72264103
1.86000000,1.72270523
1.88000000,1.72270523
1.90000000,1.72270523
1.92000000,1.72270523
1.94000000,1.79863031
1.96000000,1.72301844
1.98000000,1.72301844
2.00000000,1.72301844
2.02000000,1.72301844
2.04000000,1.72301844
2.06000000,1.72309235
2.08000000,1.72309235
2.10000000,1.72309235
2.12000000,1.72309235
2.14000000,1.72309235
2.16000000,1.72279857
2.18000000,1.72279857
2.20000000,1.72279857
2.22000000,1.72279857
2.24000000,1.72279857
2.26000000,1.72135898
2.28000000,1.72135898
2.30000000,1.72135898
2.32000000,1.72135898
2.34000000,1.72135898
2.36000000,1.72124421
2.38000000,1.72124421
2.40000000,1.72124421
2.42000000,1.72124421
2.44000000,1.72124421
2.46000000,1.72103213
2.48000000,1.72103213
2.50000000,1.72103213
2.52000000,1.72103213
2.54000000,1.72103213
2.56000000,1.72122471
2.58000000,1.72122471
2.60000000,1.72122471
2.62000000,1.72122471
2.64000000,1.72122471
2.66000000,1.72102283
2.68000000,1.72102283
2.70000000,1.72102283
2.72000000,1.72102283
2.74000000,1.72102283
2.76000000,1.72105005
2.78000000,1.72105005
2.80000000,1.72105005
2.82000000,1.72105005
2.84000000,1.72105005
2.86000000,1.72130298
2.88000000,1.72130298
2.90000000,1.72130298
2.92000000,1.72130298
2.94000000,1.83764825
2.96000000,1.83515508
2.98000000,1.72477970
3.00000000,1.72477970
3.02000000,1.72477970
3.04000000,1.72477970
3.06000000,1.72881279
3.08000000,1.72881279
3.10000000,1.72881279
3.12000000,1.72881279
3.14000000,1.72881279
3.16000000,1.72855987
3.18000000,1.72855987
3.20000000,1.72855987
3.22000000,1.72855987
3.24000000,1.72855987
3.26000000,1.72862412
3.28000000,1.72862412
3.30000000,1.72862412
3.32000000,1.72862412
3.34000000,1.72862412
3.36000000,1.72829328
3.38000000,1.72829328
3.40000000,1.72829328
3.42000000,1.72829328
3.44000000,1.72829328
3.46000000,1.72845870
3.48000000,1.72845870
3.50000000,1.72845870
3.52000000,1.72845870
3.54000000,1.72845870
3.56000000,1.72843478
3.58000000,1.72843478
3.60000000,1.72843478
3.62000000,1.72843478
3.64000000,1.72843478
3.66000000,1.72834319
3.68000000,1.72834319
3.70000000,1.72834319
3.72000000,1.72834319
3.74000000,1.72834319
3.76000000,1.72832952
3.78000000,1.72832952
3.80000000,1.72832952
3.82000000,1.72832952
3.84000000,1.72832952
3.86000000,1.72817778
3.88000000,1.72817778
3.90000000,1.72817778
3.92000000,1.72817778
3.94000000,1.72817778
3.96000000,1.72738213
3.98000000,1.72738213
4.00000000,1.72738213
4.02000000,1.72738213
4.04000000,1.72738213
4.06000000,1.72053016
4.08000000,1.72053016
4.10000000,1.72053016
4.12000000,1.72053016
4.14000000,1.72053016
4.16000000,1.72071889
4.18000000,1.72071889
4.20000000,1.72071889
4.22000000,1.72071889
4.24000000,1.72071889
4.26000000,1.72039795
4.28000000,1.72039795
4.30000000,1.72039795
4.32000000,1.72039795
4.34000000,1.72039795
4.36000000,1.72043448
