# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.981929915, P max: 2.8300704660000005
Time,Power
0.00000000,2.15790960
0.02000000,2.05318224
0.04000000,2.08337163
0.06000000,2.00667804
0.08000000,2.10093623
0.10000000,2.15802717
0.12000000,2.10341405
0.14000000,2.21147722
0.16000000,2.09962221
0.18000000,2.33581833
0.20000000,2.15691406
0.22000000,2.09835805
0.24000000,2.15691406
0.26000000,2.09084018
0.28000000,2.15774019
0.30000000,2.15774019
0.32000000,2.29816447
0.34000000,2.09584630
0.36000000,2.38745891
0.38000000,2.15903919
0.40000000,2.15903919
0.42000000,2.15903919
0.44000000,2.09345132
0.46000000,2.15907334
0.48000000,2.10728997
0.50000000,2.33849464
0.52000000,2.15907334
0.54000000,2.32843127
0.56000000,2.10109827
0.58000000,2.15880046
0.60000000,2.15880046
0.62000000,2.09356310
0.64000000,2.15880046
0.66000000,2.09999591
0.68000000,2.25329025
0.70000000,2.09873152
0.72000000,2.35009176
0.74000000,2.15891637
0.76000000,2.09262152
0.78000000,2.15832416
0.80000000,2.08255622
0.82000000,2.08882806
0.84000000,2.04361008
0.86000000,2.02730500
0.88000000,2.15476710
0.90000000,2.10019106
0.92000000,2.15476710
0.94000000,2.15476710
0.96000000,2.15196864
0.98000000,2.15196864
1.00000000,2.08009304
1.02000000,2.15196864
1.04000000,2.15196864
1.06000000,2.20339548
1.08000000,2.14997983
1.10000000,2.14997983
1.12000000,2.14997983
1.14000000,2.14997983
1.16000000,2.15284227
1.18000000,2.09532861
1.20000000,2.15284227
1.22000000,2.08900564
1.24000000,2.25871396
1.26000000,2.10029072
1.28000000,2.20712117
1.30000000,2.15142973
1.32000000,2.32275299
1.34000000,2.10029072
1.36000000,2.09771182
1.38000000,2.21966358
1.40000000,2.08390310
1.42000000,2.21839904
1.44000000,2.09143973
1.46000000,2.27111952
1.48000000,2.15255859
1.50000000,2.15255859
1.52000000,2.15255859
1.54000000,2.15255859
1.56000000,2.15299629
1.58000000,2.09007602
1.60000000,2.15299629
1.62000000,2.08754707
1.64000000,2.15299629
1.66000000,2.15149926
1.68000000,2.30869288
1.70000000,2.08499037
1.72000000,2.22321758
1.74000000,2.15149926
1.76000000,2.09988380
1.78000000,2.15156920
1.80000000,2.09609084
1.82000000,2.22049993
1.84000000,2.15156920
1.86000000,2.15597154
1.88000000,2.15597154
1.90000000,2.25807095
1.92000000,2.15597154
1.94000000,2.07961189
1.96000000,2.15893672
1.98000000,2.09335197
2.00000000,2.15893672
2.02000000,2.09962221
2.04000000,2.28681940
2.06000000,2.09077816
2.08000000,2.15828297
2.10000000,2.09831240
2.12000000,2.09077816
2.14000000,2.15828297
2.16000000,2.15806233
2.18000000,2.15806233
2.20000000,2.15806233
2.22000000,2.15806233
2.24000000,2.10446597
2.26000000,2.15765783
2.28000000,2.15765783
2.30000000,2.01527355
2.32000000,2.15765783
2.34000000,2.03787503
2.36000000,2.06932497
2.38000000,2.10072434
2.40000000,2.15194426
2.42000000,2.23638380
2.44000000,2.15194426
2.46000000,2.33059561
2.48000000,2.14938212
2.50000000,2.08562369
2.52000000,2.14938212
2.54000000,2.08936526
2.56000000,2.22753744
2.58000000,2.15078509
2.60000000,2.20245894
2.62000000,2.08682479
2.64000000,2.35571085
2.66000000,2.15025868
2.68000000,2.08938179
2.70000000,2.15025868
2.72000000,2.15025868
2.74000000,2.20875914
2.76000000,2.14803394
2.78000000,2.14803394
2.80000000,2.14803394
2.82000000,2.14803394
2.84000000,2.14803394
2.86000000,2.31558315
2.88000000,2.07935281
2.90000000,2.14710723
2.92000000,2.14710723
2.94000000,2.14710723
2.96000000,2.14956827
2.98000000,2.14956827
3.00000000,2.22642524
3.02000000,2.08944791
3.04000000,2.37467830
3.06000000,2.15052898
3.08000000,2.15052898
3.10000000,2.15052898
3.12000000,2.03918749
3.14000000,2.15052898
3.16000000,2.02797593
3.18000000,2.01412101
3.20000000,2.06064118
3.22000000,2.14579331
3.24000000,2.30310227
3.26000000,2.14184524
3.28000000,2.14184524
3.30000000,2.14184524
3.32000000,2.14184524
3.34000000,2.23908462
3.36000000,2.14545243
3.38000000,2.30069282
3.40000000,2.14545243
3.42000000,2.32956652
3.44000000,2.14545243
3.46000000,2.26426990
3.48000000,2.14973406
3.50000000,2.07580409
3.52000000,2.14973406
3.54000000,2.14973406
3.56000000,2.15135271
3.58000000,2.15135271
3.60000000,2.26932996
3.62000000,2.15135271
3.64000000,2.36359039
3.66000000,2.09468241
3.68000000,2.08588356
3.70000000,2.07455630
3.72000000,2.08082675
3.74000000,2.15227947
3.76000000,2.15135319
3.78000000,2.22918058
3.80000000,2.15135319
3.82000000,2.41264890
3.84000000,2.15135319
3.86000000,2.15141701
3.88000000,2.15141701
3.90000000,2.09730540
3.92000000,2.15141701
3.94000000,2.15141701
3.96000000,2.15229425
3.98000000,2.15229425
4.00000000,2.15229425
4.02000000,2.08482960
4.04000000,2.24944536
4.06000000,2.26198752
4.08000000,2.28211565
4.10000000,2.15694698
4.12000000,2.09489366
4.14000000,2.25197402
4.16000000,2.16326939
