# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.011575889, P max: 2.4792840408
Time,Power
0.00000000,2.36373228
0.02000000,2.15637758
0.04000000,2.06192894
0.06000000,2.16737309
0.08000000,2.16737309
0.10000000,2.22788710
0.12000000,2.09835878
0.14000000,2.17081709
0.16000000,2.10210786
0.18000000,2.35478378
0.20000000,2.10210786
0.22000000,2.08824458
0.24000000,2.17184526
0.26000000,2.12089600
0.28000000,2.17184526
0.30000000,2.10455378
0.32000000,2.17184526
0.34000000,2.09691564
0.36000000,2.39111219
0.38000000,2.17204580
0.40000000,2.17204580
0.42000000,2.11325708
0.44000000,2.17020730
0.46000000,2.17020730
0.48000000,2.17020730
0.50000000,2.29552443
0.52000000,2.11202616
0.54000000,2.16935066
0.56000000,2.09811825
0.58000000,2.33068599
0.60000000,2.10945068
0.62000000,2.16935066
0.64000000,2.17081690
0.66000000,2.17081690
0.68000000,2.17081690
0.70000000,2.10940064
0.72000000,2.17081690
0.74000000,2.09555643
0.76000000,2.07795139
0.78000000,2.17123787
0.80000000,2.17123787
0.82000000,2.25643009
0.84000000,2.09309317
0.86000000,2.26656902
0.88000000,2.10690446
0.90000000,2.31812105
0.92000000,2.09309317
0.94000000,2.08054541
0.96000000,2.16994147
0.98000000,2.16994147
1.00000000,2.16994147
1.02000000,2.10068102
1.04000000,2.16206194
1.06000000,2.09442004
1.08000000,2.40116115
1.10000000,2.16206194
1.12000000,2.16206194
1.14000000,2.09810166
1.16000000,2.16270611
1.18000000,2.16270611
1.20000000,2.03526788
1.22000000,2.05287348
1.24000000,2.03403528
1.26000000,2.04410301
1.28000000,2.15763056
1.30000000,2.10192921
1.32000000,2.07804997
1.34000000,2.15469624
1.36000000,2.15469624
1.38000000,2.15469624
1.40000000,2.09687005
1.42000000,2.15469624
1.44000000,2.09189042
1.46000000,2.15508020
1.48000000,2.09816387
1.50000000,2.15508020
1.52000000,2.15508020
1.54000000,2.09445315
1.56000000,2.15501309
1.58000000,2.09192350
1.60000000,2.15501309
1.62000000,2.09819704
1.64000000,2.21511770
1.66000000,2.08939384
1.68000000,2.31822644
1.70000000,2.15622733
1.72000000,2.08812902
1.74000000,2.09821363
1.76000000,2.07559834
1.78000000,2.24908345
1.80000000,2.15624438
1.82000000,2.15624438
1.84000000,2.15596103
1.86000000,2.29549267
1.88000000,2.15596103
1.90000000,2.10440819
1.92000000,2.15596103
1.94000000,2.08433981
1.96000000,2.15547216
1.98000000,2.15547216
2.00000000,2.15547216
2.02000000,2.15547216
2.04000000,2.23651858
2.06000000,2.15572140
2.08000000,2.15572140
2.10000000,2.15572140
2.12000000,2.08312030
2.14000000,2.15626197
2.16000000,2.15626197
2.18000000,2.15626197
2.20000000,2.15626197
2.22000000,2.22901773
2.24000000,2.15983778
2.26000000,2.34977479
2.28000000,2.10711685
2.30000000,2.08576538
2.32000000,2.15983778
2.34000000,2.16506627
2.36000000,2.21778762
2.38000000,2.09706485
2.40000000,2.16506627
2.42000000,2.16506627
2.44000000,2.36736344
2.46000000,2.10082635
2.48000000,2.08574889
2.50000000,2.16432370
2.52000000,2.08068934
2.54000000,2.16442489
2.56000000,2.16442489
2.58000000,2.16442489
2.60000000,2.16442489
2.62000000,2.41512560
2.64000000,2.16386834
2.66000000,2.16386834
2.68000000,2.10583531
2.70000000,2.01658484
2.72000000,2.16386834
2.74000000,2.03166230
2.76000000,2.01157589
2.78000000,2.07568039
2.80000000,2.16037725
2.82000000,2.16037725
2.84000000,2.08451696
2.86000000,2.15651550
