# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.9922547785, P max: 2.5375672064
Time,Power
0.00000000,2.15134648
0.02000000,2.14965903
0.04000000,2.14965903
0.06000000,2.09378823
0.08000000,2.14965903
0.10000000,2.14965903
0.12000000,2.14938864
0.14000000,2.14938864
0.16000000,2.14938864
0.18000000,2.33136781
0.20000000,2.08992659
0.22000000,2.09109670
0.24000000,2.29730677
0.26000000,2.14772224
0.28000000,2.09489197
0.30000000,2.14772224
0.32000000,2.03445743
0.34000000,2.04073209
0.36000000,2.27714510
0.38000000,2.03319238
0.40000000,2.14603506
0.42000000,2.25064630
0.44000000,2.14175467
0.46000000,2.14175467
0.48000000,2.14175467
0.50000000,2.14175467
0.52000000,2.19899777
0.54000000,2.22161517
0.56000000,2.14283377
0.58000000,2.14283377
0.60000000,2.14283377
0.62000000,2.31960129
0.64000000,2.09703169
0.66000000,2.08448400
0.68000000,2.21775255
0.70000000,2.33842282
0.72000000,2.23024734
0.74000000,2.27679409
0.76000000,2.09824681
0.78000000,2.09197312
0.80000000,2.15379935
0.82000000,2.15917942
0.84000000,2.42136115
0.86000000,2.10580201
0.88000000,2.08192131
0.90000000,2.28182097
0.92000000,2.15946654
0.94000000,2.08701378
0.96000000,2.15946654
0.98000000,2.15946654
1.00000000,2.15946654
1.02000000,2.09832975
1.04000000,2.09706485
1.06000000,2.16000664
1.08000000,2.16000664
1.10000000,2.08826109
1.12000000,2.15757802
1.14000000,2.05183175
1.16000000,2.02162576
1.18000000,2.15757802
1.20000000,2.15757802
1.22000000,2.09081983
1.24000000,2.27312082
1.26000000,2.15204220
1.28000000,2.08075103
1.30000000,2.22409233
1.32000000,2.15325700
1.34000000,2.15325700
1.36000000,2.15325700
1.38000000,2.09840855
1.40000000,2.32726421
1.42000000,2.15995304
1.44000000,2.10596433
1.46000000,2.25057513
1.48000000,2.15995304
1.50000000,2.35870434
1.52000000,2.10609336
1.54000000,2.15988296
1.56000000,2.15988296
1.58000000,2.15988296
1.60000000,2.15988296
1.62000000,2.16000186
1.64000000,2.07974503
1.66000000,2.26459888
1.68000000,2.16000186
1.70000000,2.09735498
1.72000000,2.24704222
1.74000000,2.15848434
1.76000000,2.15848434
1.78000000,2.10494478
1.80000000,2.15848434
1.82000000,2.29746567
1.84000000,2.15004689
1.86000000,2.08749639
1.88000000,2.15004689
1.90000000,2.15004689
1.92000000,2.05734894
1.94000000,2.07875646
1.96000000,2.14829295
1.98000000,2.02091060
2.00000000,2.14829295
2.02000000,2.14404181
2.04000000,2.08756239
2.06000000,2.25983475
2.08000000,2.14404181
2.10000000,2.34030274
2.12000000,2.14755079
2.14000000,2.14755079
2.16000000,2.26238307
2.18000000,2.14755079
2.20000000,2.14755079
2.22000000,2.15332024
2.24000000,2.15332024
2.26000000,2.47868679
2.28000000,2.09385443
2.30000000,2.09385443
2.32000000,2.21587076
2.34000000,2.15518902
2.36000000,2.30393269
2.38000000,2.15518902
2.40000000,2.15518902
2.42000000,2.29757008
2.44000000,2.15525617
2.46000000,2.09513208
2.48000000,2.15525617
2.50000000,2.15525617
2.52000000,2.26482712
2.54000000,2.15606967
2.56000000,2.09255612
2.58000000,2.15606967
2.60000000,2.09255612
2.62000000,2.09638489
2.64000000,2.15549644
2.66000000,2.15549644
2.68000000,2.24725092
2.70000000,2.15549644
2.72000000,2.09380478
2.74000000,2.08626419
2.76000000,2.02209325
2.78000000,2.00073667
2.80000000,2.15559715
2.82000000,2.14962541
2.84000000,2.09380478
2.86000000,2.20068888
2.88000000,2.14962541
2.90000000,2.06485701
2.92000000,2.15009712
2.94000000,2.15009712
2.96000000,2.22448794
2.98000000,2.15009712
3.00000000,2.08744689
3.02000000,2.15662902
3.04000000,2.15662902
3.06000000,2.15662902
3.08000000,2.15662902
3.10000000,2.22190934
3.12000000,2.26092572
3.14000000,2.09620677
3.16000000,2.08360615
3.18000000,2.21816458
3.20000000,2.15490846
3.22000000,2.25466694
3.24000000,2.15320111
3.26000000,2.08240275
3.28000000,2.31129550
3.30000000,2.15320111
3.32000000,2.09495407
3.34000000,2.15208734
3.36000000,2.08989355
3.38000000,2.43947427
3.40000000,2.15208734
3.42000000,2.15148049
3.44000000,2.15148049
3.46000000,2.09626891
3.48000000,2.09120827
3.50000000,2.15148049
3.52000000,2.15102503
3.54000000,2.15102503
3.56000000,2.09748346
3.58000000,2.15102503
3.60000000,2.23584136
3.62000000,2.15117685
3.64000000,2.15117685
3.66000000,2.20942482
3.68000000,2.10001378
3.70000000,2.20562934
3.72000000,2.09380478
3.74000000,2.09633518
3.76000000,2.22331066
3.78000000,2.15210520
3.80000000,2.41572227
3.82000000,2.15917384
3.84000000,2.08756239
3.86000000,2.30760945
3.88000000,2.15917384
3.90000000,2.15917384
3.92000000,2.15952443
3.94000000,2.15952443
3.96000000,2.36049635
3.98000000,2.15952443
4.00000000,2.10142427
4.02000000,2.15917075
4.04000000,2.15917075
4.06000000,2.10147409
4.08000000,2.15917075
4.10000000,2.15917075
4.12000000,2.24613837
4.14000000,2.10523595
4.16000000,2.09648016
4.18000000,2.23606668
4.20000000,2.15852986
4.22000000,2.09891036
4.24000000,2.09516520
4.26000000,2.05366475
4.28000000,2.02471566
4.30000000,2.15777014
4.32000000,2.05371345
4.34000000,2.09268430
4.36000000,2.15240587
4.38000000,2.15240587
4.40000000,2.33789702
4.42000000,2.09767826
4.44000000,2.08887193
4.46000000,2.23098790
4.48000000,2.15228764
4.50000000,2.15228764
4.52000000,2.15237185
4.54000000,2.15237185
4.56000000,2.40577962
4.58000000,2.15237185
4.60000000,2.15237185
4.62000000,2.15318206
4.64000000,2.10150731
4.66000000,2.15318206
4.68000000,2.15318206
4.70000000,2.09396614
4.72000000,2.15319908
4.74000000,2.15319908
4.76000000,2.15319908
4.78000000,2.30402373
4.80000000,2.15319908
4.82000000,2.28125927
4.84000000,2.34917830
4.86000000,2.15690977
4.88000000,2.09643046
4.90000000,2.15690977
4.92000000,2.07756923
4.94000000,2.27120577
4.96000000,2.09391649
4.98000000,2.09138596
5.00000000,2.15895124
5.02000000,2.15925490
5.04000000,2.38816710
5.06000000,2.15925490
5.08000000,2.15925490
5.10000000,2.15925490
5.12000000,2.10022542
5.14000000,2.09394959
5.16000000,2.15964332
5.18000000,2.15964332
5.20000000,2.35176457
5.22000000,2.15950914
5.24000000,2.10783316
5.26000000,2.15950914
5.28000000,2.09401579
5.30000000,2.08647443
5.32000000,2.16423256
5.34000000,2.09651330
5.36000000,2.16423256
5.38000000,2.16423256
5.40000000,2.10152392
5.42000000,2.27764011
5.44000000,2.10530251
5.46000000,2.16750601
5.48000000,2.11162915
5.50000000,2.09654644
5.52000000,2.33046181
5.54000000,2.11292369
5.56000000,2.16723230
5.58000000,2.16723230
5.60000000,2.10786231
5.62000000,2.35565410
5.64000000,2.06386093
5.66000000,2.16524197
5.68000000,2.16524197
5.70000000,2.09660858
5.72000000,2.07897826
5.74000000,2.16512363
5.76000000,2.16512363
5.78000000,2.03367856
5.80000000,2.16512363
5.82000000,2.03495999
5.84000000,2.02235696
5.86000000,2.23493828
5.88000000,2.15871269
5.90000000,2.10161942
5.92000000,2.15225103
5.94000000,2.15225103
5.96000000,2.30915753
5.98000000,2.09783990
6.00000000,2.08528738
6.02000000,2.23369056
6.04000000,2.15189672
6.06000000,2.15189672
6.08000000,2.15189672
6.10000000,2.09662514
6.12000000,2.22609615
6.14000000,2.15164325
6.16000000,2.09779017
6.18000000,2.22230012
6.20000000,2.15164325
6.22000000,2.15217024
6.24000000,2.15217024
6.26000000,2.15217024
6.28000000,2.45119243
6.30000000,2.15217024
6.32000000,2.15262576
6.34000000,2.15262576
6.36000000,2.15262576
6.38000000,2.15262576
6.40000000,2.15262576
6.42000000,2.09017025
6.44000000,2.15343512
6.46000000,2.15343512
6.48000000,2.15343512
6.50000000,2.23481906
6.52000000,2.15284436
6.54000000,2.33666388
6.56000000,2.15284436
6.58000000,2.09140249
6.60000000,2.22724268
6.62000000,2.09761195
6.64000000,2.21330526
6.66000000,2.15302935
6.68000000,2.15302935
6.70000000,2.36047769
6.72000000,2.15375870
6.74000000,2.03472680
6.76000000,2.30887467
6.78000000,2.15375870
6.80000000,2.10137859
6.82000000,2.15686182
6.84000000,2.10504045
6.86000000,2.15686182
6.88000000,2.15686182
6.90000000,2.15686182
6.92000000,2.28487896
6.94000000,2.11008445
6.96000000,2.29995967
6.98000000,2.16124752
7.00000000,2.09874862
7.02000000,2.23832107
7.04000000,2.09748346
7.06000000,2.09500375
7.08000000,2.16053904
7.10000000,2.16053904
7.12000000,2.36660830
7.14000000,2.15988115
7.16000000,2.05725137
7.18000000,2.27227797
7.20000000,2.15988115
7.22000000,2.09500375
7.24000000,2.15805932
7.26000000,2.08619823
7.28000000,2.23584136
7.30000000,2.05097618
7.32000000,2.04972722
7.34000000,2.02584081
7.36000000,2.15519179
7.38000000,2.08747989
7.40000000,2.08115404
7.42000000,2.09876521
7.44000000,2.15063718
7.46000000,2.44461208
7.48000000,2.15063718
7.50000000,2.15063718
7.52000000,2.23842722
7.54000000,2.15082339
7.56000000,2.15082339
7.58000000,2.15082339
7.60000000,2.08503195
7.62000000,2.15141025
7.64000000,2.15141025
7.66000000,2.09644703
7.68000000,2.22970500
7.70000000,2.15141025
7.72000000,2.36561890
7.74000000,2.15026357
7.76000000,2.06756307
7.78000000,2.26125634
7.80000000,2.15026357
7.82000000,2.09029827
7.84000000,2.14926474
7.86000000,2.14926474
7.88000000,2.37956299
7.90000000,2.14926474
7.92000000,2.14958577
7.94000000,2.14958577
7.96000000,2.14958577
7.98000000,2.09416059
8.00000000,2.14958577
8.02000000,2.14946755
8.04000000,2.39222284
8.06000000,2.14946755
8.08000000,2.14946755
8.10000000,2.25636896
8.12000000,2.15004096
8.14000000,2.15004096
8.16000000,2.15004096
8.18000000,2.09664171
8.20000000,2.23117745
8.22000000,2.15049650
8.24000000,2.09158017
8.26000000,2.26387500
8.28000000,2.15049650
8.30000000,2.15049650
8.32000000,2.15260534
8.34000000,2.15260534
8.36000000,2.15260534
8.38000000,2.15260534
8.40000000,2.09783990
8.42000000,2.16031589
8.44000000,2.09785648
8.46000000,2.40099211
8.48000000,2.16031589
8.50000000,2.05387170
8.52000000,2.16002867
8.54000000,2.10161942
8.56000000,2.09782333
8.58000000,2.16002867
8.60000000,2.16002867
8.62000000,2.28400187
8.64000000,2.09910528
8.66000000,2.09662514
8.68000000,2.15908405
8.70000000,2.09535977
8.72000000,2.10286817
8.74000000,2.15889809
8.76000000,2.09279594
8.78000000,2.15889809
8.80000000,2.06384462
8.82000000,2.02607699
8.84000000,2.28136745
8.86000000,2.15736634
8.88000000,2.15736634
8.90000000,2.21344521
8.92000000,2.23981193
8.94000000,2.15944087
8.96000000,2.10149070
8.98000000,2.15944087
9.00000000,2.15944087
9.02000000,2.28001203
9.04000000,2.15900185
9.06000000,2.09391649
9.08000000,2.15900185
9.10000000,2.15900185
9.12000000,2.35302986
9.14000000,2.15802375
9.16000000,2.09394959
9.18000000,2.27503754
9.20000000,2.15802375
9.22000000,2.09767826
9.24000000,2.15841158
9.26000000,2.15841158
9.28000000,2.34547021
9.30000000,2.15841158
9.32000000,2.03984590
9.34000000,2.15863109
9.36000000,2.15863109
9.38000000,2.09521488
9.40000000,2.15863109
9.42000000,2.15809086
9.44000000,2.41210596
9.46000000,2.15809086
9.48000000,2.15809086
9.50000000,2.25237859
9.52000000,2.15716282
9.54000000,2.15716282
9.56000000,2.15716282
9.58000000,2.15716282
9.60000000,2.15716282
9.62000000,2.09132397
9.64000000,2.02340643
9.66000000,2.26486292
9.68000000,2.05235489
9.70000000,2.05235489
9.72000000,2.14861325
9.74000000,2.14861325
9.76000000,2.14861325
9.78000000,2.22584106
9.80000000,2.14861325
9.82000000,2.09630205
9.84000000,2.14959143
9.86000000,2.14959143
9.88000000,2.36664571
9.90000000,2.14959143
9.92000000,2.06607322
9.94000000,2.15352177
9.96000000,2.15352177
9.98000000,2.09750004
10.00000000,2.15352177
10.02000000,2.15144689
10.04000000,2.21197262
10.06000000,2.15144689
10.08000000,2.15144689
10.10000000,2.22578828
10.12000000,2.08869446
10.14000000,2.09248997
10.16000000,2.15169992
10.18000000,2.09375514
10.20000000,2.20944228
10.22000000,2.09377169
10.24000000,2.15222300
10.26000000,2.15222300
10.28000000,2.15222300
10.30000000,2.36791089
10.32000000,2.15220599
10.34000000,2.05726763
10.36000000,2.15220599
10.38000000,2.15220599
10.40000000,2.15220599
10.42000000,2.15370717
10.44000000,2.06605689
10.46000000,2.03336515
10.48000000,2.07359724
10.50000000,2.02835512
10.52000000,2.14695985
10.54000000,2.14695985
10.56000000,2.14695985
10.58000000,2.09124133
10.60000000,2.14695985
10.62000000,2.08874398
10.64000000,2.14790474
10.66000000,2.14790474
10.68000000,2.09633518
10.70000000,2.25853382
10.72000000,2.15358940
10.74000000,2.15358940
10.76000000,2.15358940
10.78000000,2.15358940
10.80000000,2.22327551
10.82000000,2.15333636
10.84000000,2.09503687
10.86000000,2.15333636
10.88000000,2.15333636
10.90000000,2.41568408
10.92000000,2.15320065
10.94000000,2.15320065
10.96000000,2.15320065
10.98000000,2.15320065
11.00000000,2.08989355
11.02000000,2.25575824
11.04000000,2.09357723
11.06000000,2.15374360
11.08000000,2.09104711
11.10000000,2.15374360
11.12000000,2.20917160
11.14000000,2.15376394
11.16000000,2.15376394
11.18000000,2.15376394
11.20000000,2.09349862
11.22000000,2.09962371
11.24000000,2.04179134
11.26000000,2.02043940
11.28000000,2.22156248
11.30000000,2.06567312
11.32000000,2.14766115
11.34000000,2.14766115
11.36000000,2.14766115
11.38000000,2.09458563
11.40000000,2.20518914
11.42000000,2.14671583
11.44000000,2.09192350
11.46000000,2.19877613
11.48000000,2.14671583
11.50000000,2.33704707
11.52000000,2.15137421
11.54000000,2.07174240
11.56000000,2.32318464
11.58000000,2.20879613
11.60000000,2.15137421
11.62000000,2.15386925
11.64000000,2.15386925
11.66000000,2.15386925
11.68000000,2.15386925
11.70000000,2.15386925
11.72000000,2.15526873
11.74000000,2.10184611
11.76000000,2.15526873
11.78000000,2.15526873
11.80000000,2.07918197
11.82000000,2.22497901
11.84000000,2.09299387
11.86000000,2.09552329
11.88000000,2.27273446
11.90000000,2.15597643
11.92000000,2.33681148
11.94000000,2.08918322
11.96000000,2.08791852
11.98000000,2.27018709
12.00000000,2.15626291
12.02000000,2.10063120
12.04000000,2.15628108
12.06000000,2.15628108
12.08000000,2.28290985
12.10000000,2.15628108
12.12000000,2.08055775
12.14000000,2.15548494
12.16000000,2.09816387
12.18000000,2.15548494
12.20000000,2.15548494
12.22000000,2.15437292
12.24000000,2.15437292
12.26000000,2.09198966
12.28000000,2.15437292
12.30000000,2.24033332
12.32000000,2.15899411
12.34000000,2.35980606
12.36000000,2.15899411
12.38000000,2.09074132
12.40000000,2.29443719
12.42000000,2.16299183
12.44000000,2.07070417
12.46000000,2.16299183
12.48000000,2.10085957
12.50000000,2.37868385
12.52000000,2.16290346
12.54000000,2.16290346
12.56000000,2.16290346
12.58000000,2.09834220
12.60000000,2.09459805
12.62000000,2.16209391
12.64000000,2.08705915
12.66000000,2.16209391
12.68000000,2.11094075
12.70000000,2.16209391
12.72000000,2.24922126
12.74000000,2.16128437
12.76000000,2.07071645
12.78000000,2.16128437
12.80000000,2.02669741
12.82000000,2.09211783
12.84000000,2.15410014
12.86000000,2.10092185
12.88000000,2.09712702
12.90000000,2.15410014
12.92000000,2.15254862
12.94000000,2.45421509
12.96000000,2.29705708
12.98000000,2.26816551
13.00000000,2.40518544
13.02000000,2.16074851
13.04000000,2.01533589
13.06000000,2.30449146
13.08000000,2.16074851
13.10000000,2.09583397
13.12000000,2.16052839
13.14000000,2.16052839
13.16000000,2.36477758
13.18000000,2.09450283
13.20000000,2.09824681
13.22000000,2.16088255
13.24000000,2.16088255
13.26000000,2.09323797
13.28000000,2.16088255
13.30000000,2.09070826
13.32000000,2.25915156
13.34000000,2.10954658
13.36000000,2.09694879
13.38000000,2.16180966
13.40000000,2.10448723
13.42000000,2.16157378
13.44000000,2.16157378
13.46000000,2.09448627
13.48000000,2.31952794
13.50000000,2.16157378
13.52000000,2.08937732
13.54000000,2.16162370
13.56000000,2.03660914
13.58000000,2.02780601
13.60000000,2.16162370
13.62000000,2.04160167
13.64000000,2.04286648
13.66000000,2.23769743
13.68000000,2.15710390
13.70000000,2.09816387
13.72000000,2.15435863
13.74000000,2.10189597
13.76000000,2.41996033
13.78000000,2.15435863
13.80000000,2.04781440
13.82000000,2.15788292
13.84000000,2.15788292
13.86000000,2.15788292
13.88000000,2.15788292
13.90000000,2.08928234
13.92000000,2.16071532
13.94000000,2.10430836
13.96000000,2.09049751
13.98000000,2.21241748
14.00000000,2.10056476
14.02000000,2.33806232
14.04000000,2.15367015
14.06000000,2.06028526
14.08000000,2.22115414
14.10000000,2.10176717
14.12000000,2.10046926
14.14000000,2.15242201
14.16000000,2.15242201
14.18000000,2.37576317
14.20000000,2.15242201
14.22000000,2.15292739
14.24000000,2.22233097
14.26000000,2.09789015
14.28000000,2.08408025
14.30000000,2.20852108
14.32000000,2.15237095
14.34000000,2.35936763
14.36000000,2.15237095
14.38000000,2.09662551
14.40000000,2.33422654
14.42000000,2.15221872
14.44000000,2.09536174
14.46000000,2.15221872
14.48000000,2.09030329
14.50000000,2.15221872
14.52000000,2.09910500
14.54000000,2.15216814
14.56000000,2.23861705
14.58000000,2.15216814
14.60000000,2.24741875
14.62000000,2.15616801
14.64000000,2.09653018
14.66000000,2.26244373
14.68000000,2.09653018
14.70000000,2.09653018
14.72000000,2.22974922
14.74000000,2.16085518
14.76000000,2.40071976
14.78000000,2.10405047
14.80000000,2.07263843
14.82000000,2.23227837
14.84000000,2.15994468
14.86000000,2.09150588
14.88000000,2.15994468
14.90000000,2.15994468
14.92000000,2.40954026
14.94000000,2.15915243
14.96000000,2.09905935
14.98000000,2.15915243
15.00000000,2.15915243
15.02000000,2.15901475
15.04000000,2.15901475
15.06000000,2.08662604
15.08000000,2.20980319
15.10000000,2.04135148
15.12000000,2.07161136
15.14000000,2.03012854
15.16000000,2.08921626
15.18000000,2.15685349
15.20000000,2.15685349
15.22000000,2.15248677
15.24000000,2.08681991
15.26000000,2.22007608
15.28000000,2.15248677
15.30000000,2.15248677
15.32000000,2.15244940
15.34000000,2.15244940
15.36000000,2.43510858
15.38000000,2.15244940
15.40000000,2.08809600
15.42000000,2.15251701
15.44000000,2.15251701
15.46000000,2.15251701
15.48000000,2.15251701
15.50000000,2.09443659
15.52000000,2.15322627
15.54000000,2.15322627
15.56000000,2.08821156
15.58000000,2.15322627
15.60000000,2.15322627
15.62000000,2.23152984
15.64000000,2.15204556
15.66000000,2.15204556
15.68000000,2.22272636
15.70000000,2.10079313
15.72000000,2.15150646
15.74000000,2.15150646
15.76000000,2.15150646
15.78000000,2.34478433
15.80000000,2.15150646
15.82000000,2.07707253
15.84000000,2.28073189
15.86000000,2.15084529
15.88000000,2.27192774
15.90000000,2.15084529
15.92000000,2.02309058
15.94000000,2.02435561
15.96000000,2.23435100
15.98000000,2.03695533
16.00000000,2.14949262
16.02000000,2.25577608
16.04000000,2.14475331
16.06000000,2.14475331
16.08000000,2.14475331
16.10000000,2.08853349
16.12000000,2.14590022
16.14000000,2.14590022
16.16000000,2.14590022
16.18000000,2.19665453
16.20000000,2.14590022
16.22000000,2.06967649
16.24000000,2.15124708
16.26000000,2.15124708
16.28000000,2.30102929
16.30000000,2.15124708
16.32000000,2.15092687
16.34000000,2.15092687
16.36000000,2.15092687
16.38000000,2.15092687
16.40000000,2.15092687
16.42000000,2.15156812
16.44000000,2.15156812
16.46000000,2.15156812
16.48000000,2.15156812
16.50000000,2.24700669
16.52000000,2.15107908
16.54000000,2.15107908
16.56000000,2.15107908
16.58000000,2.09111322
16.60000000,2.21559931
16.62000000,2.08744689
16.64000000,2.09625234
16.66000000,2.15161530
16.68000000,2.15161530
16.70000000,2.01700334
16.72000000,2.15114325
16.74000000,2.04345198
16.76000000,2.02584081
16.78000000,2.15114325
16.80000000,2.08995963
16.82000000,2.07616038
16.84000000,2.14453071
16.86000000,2.14453071
16.88000000,2.14453071
16.90000000,2.14453071
16.92000000,2.14508739
16.94000000,2.22833623
16.96000000,2.14508739
16.98000000,2.09377169
17.00000000,2.14508739
17.02000000,2.23580601
17.04000000,2.53756721
17.06000000,2.26596695
17.08000000,2.09244035
17.10000000,2.15367312
17.12000000,2.15900745
17.14000000,2.15900745
17.16000000,2.15900745
17.18000000,2.10248178
17.20000000,2.27975074
17.22000000,2.15977933
17.24000000,2.09996398
17.26000000,2.22571791
17.28000000,2.15977933
17.30000000,2.09495407
17.32000000,2.16094325
17.34000000,2.16094325
17.36000000,2.36275679
17.38000000,2.11003442
17.40000000,2.06727303
17.42000000,2.28853791
17.44000000,2.15980006
17.46000000,2.15980006
17.48000000,2.15980006
17.50000000,2.09112975
17.52000000,2.32748039
17.54000000,2.15952936
17.56000000,2.10113361
17.58000000,2.22936136
17.60000000,2.15952936
17.62000000,2.15971409
17.64000000,2.15971409
17.66000000,2.15971409
17.68000000,2.15971409
17.70000000,2.09727208
17.72000000,2.10609336
17.74000000,2.16023717
17.76000000,2.16023717
17.78000000,2.35505372
17.80000000,2.09728866
17.82000000,2.16659780
17.84000000,2.23166657
17.86000000,2.10092185
17.88000000,2.09839196
17.90000000,2.16659780
17.92000000,2.11219314
17.94000000,2.37994876
17.96000000,2.16653357
17.98000000,2.04555781
18.00000000,2.21905253
18.02000000,2.10581866
18.04000000,2.16612802
18.06000000,2.16612802
18.08000000,2.10080974
18.10000000,2.16612802
18.12000000,2.09959466
18.14000000,2.08952600
18.16000000,2.23033550
18.18000000,2.16172692
18.20000000,2.16172692
18.22000000,2.03793614
18.24000000,2.03545696
