# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.0266213032000002, P max: 2.4421589503999996
Time,Power
0.00000000,2.06842943
0.02000000,2.06842943
0.04000000,2.06842943
0.06000000,2.06893561
0.08000000,2.06893561
0.10000000,2.06893561
0.12000000,2.06893561
0.14000000,2.13696539
0.16000000,2.07183867
0.18000000,2.12812433
0.20000000,2.14067725
0.22000000,2.07183867
0.24000000,2.07183867
0.26000000,2.07626012
0.28000000,2.07626012
0.30000000,2.07626012
0.32000000,2.07626012
0.34000000,2.07626012
0.36000000,2.07654878
0.38000000,2.07654878
0.40000000,2.07654878
0.42000000,2.07654878
0.44000000,2.07654878
0.46000000,2.07653237
0.48000000,2.07653237
0.50000000,2.07653237
0.52000000,2.07653237
0.54000000,2.07653237
0.56000000,2.07677451
0.58000000,2.07677451
0.60000000,2.07677451
0.62000000,2.07677451
0.64000000,2.07677451
0.66000000,2.07718077
0.68000000,2.07718077
0.70000000,2.07718077
0.72000000,2.07718077
0.74000000,2.07718077
0.76000000,2.19948887
0.78000000,2.18941758
0.80000000,2.07843095
0.82000000,2.07843095
0.84000000,2.02721413
0.86000000,2.08257103
0.88000000,2.08257103
0.90000000,2.08257103
0.92000000,2.08257103
0.94000000,2.08257103
0.96000000,2.08201560
0.98000000,2.08201560
1.00000000,2.08201560
1.02000000,2.08201560
1.04000000,2.08201560
1.06000000,2.08161611
1.08000000,2.08161611
1.10000000,2.08161611
1.12000000,2.08161611
1.14000000,2.08161611
1.16000000,2.08139724
1.18000000,2.08139724
1.20000000,2.08139724
1.22000000,2.08139724
1.24000000,2.08139724
1.26000000,2.07404183
1.28000000,2.07404183
1.30000000,2.07404183
1.32000000,2.07404183
1.34000000,2.07404183
1.36000000,2.07360421
1.38000000,2.07360421
1.40000000,2.07360421
1.42000000,2.07360421
1.44000000,2.07360421
1.46000000,2.07309816
1.48000000,2.07309816
1.50000000,2.07309816
1.52000000,2.07309816
1.54000000,2.07309816
1.56000000,2.07257428
1.58000000,2.07257428
1.60000000,2.07257428
1.62000000,2.07257428
1.64000000,2.07257428
1.66000000,2.20058452
1.68000000,2.07164145
1.70000000,2.07164145
1.72000000,2.07164145
1.74000000,2.07164145
1.76000000,2.07212965
1.78000000,2.07212965
1.80000000,2.07212965
1.82000000,2.07212965
1.84000000,2.07212965
1.86000000,2.06479008
1.88000000,2.06479008
1.90000000,2.06479008
1.92000000,2.06479008
1.94000000,2.06479008
1.96000000,2.06460397
1.98000000,2.06460397
2.00000000,2.06460397
2.02000000,2.06460397
2.04000000,2.06460397
2.06000000,2.06453539
2.08000000,2.06453539
2.10000000,2.06453539
2.12000000,2.06453539
2.14000000,2.06453539
2.16000000,2.06420968
2.18000000,2.06420968
2.20000000,2.06420968
2.22000000,2.06420968
2.24000000,2.06420968
2.26000000,2.06425862
2.28000000,2.06425862
2.30000000,2.06425862
2.32000000,2.06425862
2.34000000,2.06425862
2.36000000,2.06427494
2.38000000,2.06427494
2.40000000,2.06427494
2.42000000,2.06427494
2.44000000,2.06427494
2.46000000,2.06414109
2.48000000,2.06414109
2.50000000,2.06414109
2.52000000,2.06414109
2.54000000,2.06414109
2.56000000,2.06419170
2.58000000,2.06419170
2.60000000,2.06419170
2.62000000,2.06419170
2.64000000,2.06419170
2.66000000,2.06449370
2.68000000,2.06449370
2.70000000,2.06449370
2.72000000,2.06449370
2.74000000,2.06449370
2.76000000,2.06413774
2.78000000,2.06413774
2.80000000,2.06413774
2.82000000,2.06413774
2.84000000,2.06413774
2.86000000,2.06443567
2.88000000,2.06443567
2.90000000,2.06443567
2.92000000,2.06443567
2.94000000,2.06443567
2.96000000,2.06446663
2.98000000,2.06446663
3.00000000,2.06446663
3.02000000,2.06446663
3.04000000,2.06446663
3.06000000,2.06451558
3.08000000,2.06451558
3.10000000,2.06451558
3.12000000,2.06451558
3.14000000,2.06451558
3.16000000,2.06431143
3.18000000,2.06431143
3.20000000,2.06431143
3.22000000,2.06431143
3.24000000,2.06431143
3.26000000,2.06423706
3.28000000,2.06423706
3.30000000,2.06423706
3.32000000,2.20248055
3.34000000,2.12700598
3.36000000,2.21884838
3.38000000,2.07134024
3.40000000,2.07134024
3.42000000,2.07134024
3.44000000,2.07134024
3.46000000,2.07415715
3.48000000,2.07415715
3.50000000,2.07415715
3.52000000,2.07415715
3.54000000,2.07415715
3.56000000,2.07533231
3.58000000,2.07533231
3.60000000,2.07533231
3.62000000,2.07533231
3.64000000,2.07533231
3.66000000,2.07600681
3.68000000,2.07600681
3.70000000,2.07600681
3.72000000,2.07600681
3.74000000,2.07600681
3.76000000,2.07685649
3.78000000,2.07685649
3.80000000,2.07685649
3.82000000,2.07685649
3.84000000,2.07685649
3.86000000,2.07733125
3.88000000,2.07733125
3.90000000,2.07733125
3.92000000,2.07733125
3.94000000,2.07733125
3.96000000,2.07814116
3.98000000,2.07814116
4.00000000,2.07814116
4.02000000,2.07814116
4.04000000,2.07814116
4.06000000,2.07888403
4.08000000,2.07888403
4.10000000,2.07888403
4.12000000,2.07888403
4.14000000,2.07888403
4.16000000,2.07993060
4.18000000,2.07993060
4.20000000,2.07993060
4.22000000,2.07993060
4.24000000,2.07993060
4.26000000,2.08055987
4.28000000,2.08055987
4.30000000,2.08055987
4.32000000,2.08055987
4.34000000,2.08055987
4.36000000,2.07688254
4.38000000,2.07688254
4.40000000,2.07688254
4.42000000,2.07688254
4.44000000,2.07688254
4.46000000,2.07216953
4.48000000,2.07216953
4.50000000,2.07216953
4.52000000,2.07216953
4.54000000,2.07216953
4.56000000,2.07193841
4.58000000,2.07193841
4.60000000,2.07193841
4.62000000,2.07193841
4.64000000,2.07193841
4.66000000,2.07196706
4.68000000,2.07196706
4.70000000,2.07196706
4.72000000,2.07196706
4.74000000,2.07196706
4.76000000,2.07164547
4.78000000,2.07164547
4.80000000,2.07164547
4.82000000,2.07164547
4.84000000,2.07164547
4.86000000,2.23261485
4.88000000,2.23261485
4.90000000,2.07726421
4.92000000,2.07726421
4.94000000,2.07726421
4.96000000,2.08053803
4.98000000,2.08053803
5.00000000,2.08053803
5.02000000,2.08053803
5.04000000,2.08053803
5.06000000,2.08060509
5.08000000,2.08060509
5.10000000,2.08060509
5.12000000,2.08060509
5.14000000,2.08060509
5.16000000,2.08035199
5.18000000,2.08035199
5.20000000,2.08035199
5.22000000,2.08035199
5.24000000,2.08035199
5.26000000,2.08013308
5.28000000,2.08013308
5.30000000,2.08013308
5.32000000,2.08013308
5.34000000,2.08013308
5.36000000,2.08006471
5.38000000,2.08006471
5.40000000,2.08006471
5.42000000,2.08006471
5.44000000,2.08006471
5.46000000,2.07987998
5.48000000,2.07987998
5.50000000,2.07987998
5.52000000,2.07987998
5.54000000,2.07987998
5.56000000,2.08000438
5.58000000,2.08000438
5.60000000,2.08000438
5.62000000,2.08000438
5.64000000,2.08000438
5.66000000,2.08009178
5.68000000,2.08009178
5.70000000,2.08009178
5.72000000,2.08009178
5.74000000,2.08009178
5.76000000,2.07986056
5.78000000,2.07986056
5.80000000,2.07986056
5.82000000,2.07986056
5.84000000,2.07986056
5.86000000,2.07739827
5.88000000,2.07739827
5.90000000,2.07739827
5.92000000,2.07739827
5.94000000,2.07739827
5.96000000,2.07068466
5.98000000,2.07068466
6.00000000,2.07068466
6.02000000,2.07068466
6.04000000,2.07068466
6.06000000,2.07076952
6.08000000,2.07076952
6.10000000,2.07076952
6.12000000,2.07076952
6.14000000,2.07076952
6.16000000,2.07068618
6.18000000,2.07068618
6.20000000,2.07068618
6.22000000,2.07068618
6.24000000,2.07068618
6.26000000,2.07061920
6.28000000,2.07061920
6.30000000,2.07061920
6.32000000,2.07061920
6.34000000,2.07061920
6.36000000,2.07226215
6.38000000,2.07226215
6.40000000,2.07226215
6.42000000,2.07226215
6.44000000,2.15667697
6.46000000,2.07648044
6.48000000,2.26231154
6.50000000,2.07648044
6.52000000,2.07648044
6.54000000,2.07648044
6.56000000,2.08093390
6.58000000,2.08093390
6.60000000,2.08093390
6.62000000,2.08093390
6.64000000,2.08093390
6.66000000,2.08106802
6.68000000,2.08106802
6.70000000,2.08106802
6.72000000,2.08106802
6.74000000,2.08106802
6.76000000,2.08094909
6.78000000,2.08094909
6.80000000,2.08094909
6.82000000,2.08094909
6.84000000,2.08094909
6.86000000,2.08111325
6.88000000,2.08111325
6.90000000,2.08111325
6.92000000,2.08111325
6.94000000,2.08111325
6.96000000,2.08126508
6.98000000,2.08126508
7.00000000,2.08126508
7.02000000,2.08126508
7.04000000,2.08126508
7.06000000,2.08137167
7.08000000,2.44215895
7.10000000,2.08137167
7.12000000,2.08137167
7.14000000,2.08137167
7.16000000,2.08224970
7.18000000,2.08224970
7.20000000,2.08224970
7.22000000,2.08224970
7.24000000,2.08224970
7.26000000,2.08245090
7.28000000,2.08245090
7.30000000,2.08245090
7.32000000,2.08245090
7.34000000,2.08245090
7.36000000,2.08118568
7.38000000,2.08118568
7.40000000,2.08118568
7.42000000,2.08118568
7.44000000,2.08118568
7.46000000,2.07882350
7.48000000,2.07882350
7.50000000,2.07882350
7.52000000,2.07882350
7.54000000,2.07882350
7.56000000,2.07254092
7.58000000,2.07254092
7.60000000,2.07254092
7.62000000,2.07254092
7.64000000,2.07254092
7.66000000,2.07272405
7.68000000,2.07272405
7.70000000,2.07272405
7.72000000,2.07272405
7.74000000,2.07272405
7.76000000,2.07270767
7.78000000,2.07270767
7.80000000,2.07270767
7.82000000,2.07270767
7.84000000,2.07270767
7.86000000,2.07270210
7.88000000,2.07270210
7.90000000,2.07270210
7.92000000,2.07270210
7.94000000,2.07270210
7.96000000,2.07256516
7.98000000,2.07256516
8.00000000,2.07256516
8.02000000,2.07256516
8.04000000,2.07256516
8.06000000,2.07267572
8.08000000,2.07267572
8.10000000,2.07267572
8.12000000,2.07267572
8.14000000,2.07267572
8.16000000,2.07204893
8.18000000,2.07204893
8.20000000,2.07204893
8.22000000,2.07204893
8.24000000,2.07204893
8.26000000,2.07172732
8.28000000,2.07172732
8.30000000,2.07172732
8.32000000,2.07172732
8.34000000,2.07172732
8.36000000,2.07137145
8.38000000,2.07137145
8.40000000,2.07137145
8.42000000,2.07137145
8.44000000,2.07137145
8.46000000,2.07139857
8.48000000,2.07139857
8.50000000,2.07139857
8.52000000,2.07139857
8.54000000,2.07139857
8.56000000,2.07164866
8.58000000,2.07164866
8.60000000,2.07164866
8.62000000,2.07164866
8.64000000,2.07164866
8.66000000,2.07142978
8.68000000,2.07142978
8.70000000,2.07142978
8.72000000,2.07142978
8.74000000,2.07142978
8.76000000,2.07130654
8.78000000,2.07130654
8.80000000,2.07130654
8.82000000,2.07130654
8.84000000,2.07130654
8.86000000,2.07182918
8.88000000,2.07182918
8.90000000,2.07182918
8.92000000,2.22796439
8.94000000,2.18893059
8.96000000,2.23672498
8.98000000,2.08013752
9.00000000,2.08013752
9.02000000,2.08013752
9.04000000,2.08013752
9.06000000,2.08049322
9.08000000,2.08049322
9.10000000,2.08049322
9.12000000,2.08049322
9.14000000,2.08049322
9.16000000,2.08035909
9.18000000,2.08035909
9.20000000,2.08035909
9.22000000,2.08035909
9.24000000,2.08035909
9.26000000,2.08069702
9.28000000,2.08069702
9.30000000,2.08069702
9.32000000,2.08069702
9.34000000,2.08069702
9.36000000,2.08081601
9.38000000,2.08081601
9.40000000,2.08081601
9.42000000,2.08081601
9.44000000,2.08081601
9.46000000,2.08104035
9.48000000,2.08104035
9.50000000,2.08104035
9.52000000,2.08104035
9.54000000,2.08104035
9.56000000,2.30182962
9.58000000,2.08360809
9.60000000,2.20620900
9.62000000,2.15467815
9.64000000,2.08360809
9.66000000,2.09110603
9.68000000,2.09110603
9.70000000,2.09110603
9.72000000,2.09110603
9.74000000,2.09110603
9.76000000,2.09220206
9.78000000,2.09220206
9.80000000,2.09220206
9.82000000,2.09220206
9.84000000,2.09220206
9.86000000,2.09299541
9.88000000,2.09299541
9.90000000,2.09299541
9.92000000,2.09299541
9.94000000,2.09299541
9.96000000,2.08931682
9.98000000,2.08931682
10.00000000,2.08931682
10.02000000,2.08931682
10.04000000,2.08931682
10.06000000,2.08607197
10.08000000,2.08607197
10.10000000,2.08607197
10.12000000,2.08607197
10.14000000,2.08607197
10.16000000,2.08686539
10.18000000,2.08686539
10.20000000,2.08686539
10.22000000,2.08686539
10.24000000,2.08686539
10.26000000,2.08851820
10.28000000,2.08851820
10.30000000,2.08851820
10.32000000,2.08851820
10.34000000,2.08851820
10.36000000,2.08855232
10.38000000,2.08855232
10.40000000,2.08855232
10.42000000,2.08855232
10.44000000,2.08855232
10.46000000,2.08855232
10.48000000,2.08855232
10.50000000,2.08855232
10.52000000,2.08855232
10.54000000,2.08855232
10.56000000,2.08858533
10.58000000,2.08858533
10.60000000,2.08858533
10.62000000,2.08858533
10.64000000,2.08858533
10.66000000,2.07864467
10.68000000,2.07864467
10.70000000,2.07864467
10.72000000,2.07864467
10.74000000,2.07864467
10.76000000,2.07732301
10.78000000,2.07732301
10.80000000,2.07732301
10.82000000,2.07732301
10.84000000,2.07732301
10.86000000,2.07661429
10.88000000,2.07661429
10.90000000,2.07661429
10.92000000,2.07661429
10.94000000,2.07661429
10.96000000,2.07571947
10.98000000,2.07571947
11.00000000,2.07571947
11.02000000,2.07571947
11.04000000,2.07571947
11.06000000,2.07477546
11.08000000,2.07477546
11.10000000,2.07477546
11.12000000,2.07477546
11.14000000,2.07477546
11.16000000,2.07411736
11.18000000,2.07411736
11.20000000,2.07411736
11.22000000,2.07411736
11.24000000,2.07411736
11.26000000,2.07199120
11.28000000,2.07199120
11.30000000,2.07199120
11.32000000,2.07199120
11.34000000,2.07199120
11.36000000,2.07213079
11.38000000,2.13718071
11.40000000,2.07213079
11.42000000,2.07213079
11.44000000,2.07213079
11.46000000,2.07208167
11.48000000,2.07208167
11.50000000,2.07208167
11.52000000,2.07208167
11.54000000,2.07208167
11.56000000,2.07201468
11.58000000,2.07201468
11.60000000,2.07201468
11.62000000,2.07201468
11.64000000,2.07201468
11.66000000,2.07194769
11.68000000,2.07194769
11.70000000,2.07194769
11.72000000,2.07194769
11.74000000,2.07194769
11.76000000,2.07218591
11.78000000,2.07218591
11.80000000,2.07218591
11.82000000,2.07218591
11.84000000,2.07218591
11.86000000,2.07219150
11.88000000,2.07219150
11.90000000,2.07219150
11.92000000,2.07219150
11.94000000,2.07219150
11.96000000,2.07190566
11.98000000,2.07190566
12.00000000,2.07190566
12.02000000,2.07190566
12.04000000,2.07190566
12.06000000,2.07323955
12.08000000,2.07323955
12.10000000,2.07323955
12.12000000,2.07323955
12.14000000,2.07323955
12.16000000,2.07330655
12.18000000,2.07330655
12.20000000,2.07330655
12.22000000,2.07330655
12.24000000,2.07330655
12.26000000,2.07349263
12.28000000,2.07349263
12.30000000,2.07349263
12.32000000,2.07349263
12.34000000,2.07349263
12.36000000,2.07351048
12.38000000,2.07351048
12.40000000,2.07351048
12.42000000,2.07351048
12.44000000,2.07351048
12.46000000,2.07345986
12.48000000,2.07345986
12.50000000,2.07345986
12.52000000,2.07345986
12.54000000,2.07345986
12.56000000,2.07347625
12.58000000,2.07347625
12.60000000,2.07347625
12.62000000,2.07347625
12.64000000,2.07347625
12.66000000,2.07356255
12.68000000,2.20095849
12.70000000,2.12675807
12.72000000,2.16952707
12.74000000,2.12422736
12.76000000,2.08200403
12.78000000,2.08200403
12.80000000,2.08200403
12.82000000,2.08200403
12.84000000,2.08200403
12.86000000,2.08220648
12.88000000,2.08220648
12.90000000,2.08220648
12.92000000,2.08220648
12.94000000,2.08220648
12.96000000,2.08254431
12.98000000,2.08254431
13.00000000,2.23483672
13.02000000,2.24364326
13.04000000,2.27760411
13.06000000,2.09057618
13.08000000,2.09057618
13.10000000,2.09057618
13.12000000,2.09057618
13.14000000,2.09057618
13.16000000,2.09125168
13.18000000,2.09125168
13.20000000,2.09125168
13.22000000,2.09125168
13.24000000,2.09125168
13.26000000,2.09108848
13.28000000,2.09108848
13.30000000,2.09108848
13.32000000,2.09108848
13.34000000,2.09108848
13.36000000,2.09118970
13.38000000,2.09118970
13.40000000,2.09118970
13.42000000,2.09118970
13.44000000,2.09118970
13.46000000,2.09122480
13.48000000,2.09122480
13.50000000,2.09122480
13.52000000,2.09122480
13.54000000,2.09122480
13.56000000,2.09122480
13.58000000,2.09122480
13.60000000,2.09122480
13.62000000,2.09122480
13.64000000,2.09122480
13.66000000,2.09137662
13.68000000,2.09137662
13.70000000,2.09137662
13.72000000,2.09137662
13.74000000,2.09137662
13.76000000,2.08344782
13.78000000,2.08344782
13.80000000,2.08344782
13.82000000,2.08344782
13.84000000,2.08344782
13.86000000,2.08238507
13.88000000,2.08238507
13.90000000,2.08238507
13.92000000,2.08238507
13.94000000,2.08238507
13.96000000,2.08230154
13.98000000,2.08230154
14.00000000,2.08230154
14.02000000,2.08230154
14.04000000,2.08230154
14.06000000,2.07410330
14.08000000,2.07410330
14.10000000,2.07410330
14.12000000,2.07410330
14.14000000,2.07410330
14.16000000,2.07236484
14.18000000,2.07236484
14.20000000,2.07236484
14.22000000,2.07236484
14.24000000,2.07236484
14.26000000,2.07221155
14.28000000,2.07221155
14.30000000,2.07221155
14.32000000,2.07221155
14.34000000,2.07221155
14.36000000,2.07216094
14.38000000,2.07216094
14.40000000,2.07216094
14.42000000,2.07216094
14.44000000,2.07216094
14.46000000,2.07229491
14.48000000,2.07229491
14.50000000,2.07229491
14.52000000,2.07229491
14.54000000,2.07229491
14.56000000,2.07263280
14.58000000,2.07263280
14.60000000,2.07263280
14.62000000,2.07263280
14.64000000,2.07263280
14.66000000,2.07276824
14.68000000,2.07276824
14.70000000,2.07276824
14.72000000,2.07276824
14.74000000,2.07276824
14.76000000,2.07256581
14.78000000,2.07256581
14.80000000,2.07256581
14.82000000,2.07256581
14.84000000,2.07256581
14.86000000,2.07260003
14.88000000,2.07260003
14.90000000,2.07260003
14.92000000,2.07260003
14.94000000,2.07260003
14.96000000,2.07258365
14.98000000,2.07258365
15.00000000,2.07258365
15.02000000,2.07258365
15.04000000,2.07258365
15.06000000,2.07309118
15.08000000,2.07309118
15.10000000,2.07309118
15.12000000,2.07309118
15.14000000,2.07309118
15.16000000,2.07297912
15.18000000,2.07297912
15.20000000,2.07297912
15.22000000,2.07297912
15.24000000,2.07297912
15.26000000,2.07301334
15.28000000,2.07301334
15.30000000,2.07301334
15.32000000,2.07301334
15.34000000,2.07301334
15.36000000,2.07273839
15.38000000,2.07273839
15.40000000,2.07273839
15.42000000,2.07273839
15.44000000,2.07273839
15.46000000,2.07250730
15.48000000,2.07250730
15.50000000,2.07250730
15.52000000,2.07250730
15.54000000,2.07250730
15.56000000,2.07222005
15.58000000,2.07222005
15.60000000,2.07222005
15.62000000,2.07222005
15.64000000,2.07222005
15.66000000,2.07239907
15.68000000,2.07239907
15.70000000,2.07239907
15.72000000,2.07239907
15.74000000,2.07239907
15.76000000,2.07244117
15.78000000,2.07244117
15.80000000,2.21713602
15.82000000,2.07244117
15.84000000,2.32908601
15.86000000,2.08065521
15.88000000,2.08065521
15.90000000,2.08065521
15.92000000,2.08065521
15.94000000,2.08065521
15.96000000,2.08208755
15.98000000,2.08208755
16.00000000,2.08208755
16.02000000,2.08208755
16.04000000,2.08208755
16.06000000,2.08167601
16.08000000,2.08167601
16.10000000,2.08167601
16.12000000,2.08167601
16.14000000,2.08167601
16.16000000,2.08175288
16.18000000,2.08175288
16.20000000,2.08175288
16.22000000,2.08175288
16.24000000,2.08175288
16.26000000,2.08197054
16.28000000,2.08197054
16.30000000,2.08197054
16.32000000,2.08197054
