# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.0045639592, P max: 2.3708066
Time,Power
0.00000000,2.09621332
0.02000000,2.09621332
0.04000000,2.09671951
0.06000000,2.09671951
0.08000000,2.09671951
0.10000000,2.09671951
0.12000000,2.09671951
0.14000000,2.09696017
0.16000000,2.09696017
0.18000000,2.09696017
0.20000000,2.09696017
0.22000000,2.09696017
0.24000000,2.09640337
0.26000000,2.09640337
0.28000000,2.09640337
0.30000000,2.20366334
0.32000000,2.09640337
0.34000000,2.20241093
0.36000000,2.10031342
0.38000000,2.10031342
0.40000000,2.10031342
0.42000000,2.10031342
0.44000000,2.10278126
0.46000000,2.10278126
0.48000000,2.10278126
0.50000000,2.10278126
0.52000000,2.10278126
0.54000000,2.10286096
0.56000000,2.10286096
0.58000000,2.10286096
0.60000000,2.10286096
0.62000000,2.10286096
0.64000000,2.10281034
0.66000000,2.10281034
0.68000000,2.10281034
0.70000000,2.10281034
0.72000000,2.10281034
0.74000000,2.10302944
0.76000000,2.10302944
0.78000000,2.10302944
0.80000000,2.10302944
0.82000000,2.10302944
0.84000000,2.10310235
0.86000000,2.10310235
0.88000000,2.10310235
0.90000000,2.10310235
0.92000000,2.10310235
0.94000000,2.09766971
0.96000000,2.09766971
0.98000000,2.09766971
1.00000000,2.09766971
1.02000000,2.09766971
1.04000000,2.09550974
1.06000000,2.09550974
1.08000000,2.09550974
1.10000000,2.09550974
1.12000000,2.09550974
1.14000000,2.09540851
1.16000000,2.09540851
1.18000000,2.09540851
1.20000000,2.09540851
1.22000000,2.09540851
1.24000000,2.09526813
1.26000000,2.09526813
1.28000000,2.09526813
1.30000000,2.09526813
1.32000000,2.09526813
1.34000000,2.09246654
1.36000000,2.09246654
1.38000000,2.09246654
1.40000000,2.09246654
1.42000000,2.09246654
1.44000000,2.08858533
1.46000000,2.08858533
1.48000000,2.08858533
1.50000000,2.08858533
1.52000000,2.08858533
1.54000000,2.08922578
1.56000000,2.08922578
1.58000000,2.08922578
1.60000000,2.08922578
1.62000000,2.08922578
1.64000000,2.08912454
1.66000000,2.08912454
1.68000000,2.08912454
1.70000000,2.08912454
1.72000000,2.08912454
1.74000000,2.08888905
1.76000000,2.08888905
1.78000000,2.08888905
1.80000000,2.08888905
1.82000000,2.08888905
1.84000000,2.08920818
1.86000000,2.08920818
1.88000000,2.08920818
1.90000000,2.08920818
1.92000000,2.08920818
1.94000000,2.08942827
1.96000000,2.08942827
1.98000000,2.08942827
2.00000000,2.08942827
2.02000000,2.08942827
2.04000000,2.08909153
2.06000000,2.08909153
2.08000000,2.08909153
2.10000000,2.08909153
2.12000000,2.08909153
2.14000000,2.08924229
2.16000000,2.08924229
2.18000000,2.08924229
2.20000000,2.08924229
2.22000000,2.08924229
2.24000000,2.08907392
2.26000000,2.08907392
2.28000000,2.08907392
2.30000000,2.08907392
2.32000000,2.08907392
2.34000000,2.08926099
2.36000000,2.08926099
2.38000000,2.08926099
2.40000000,2.08926099
2.42000000,2.08926099
2.44000000,2.08906373
2.46000000,2.08906373
2.48000000,2.08906373
2.50000000,2.08906373
2.52000000,2.08906373
2.54000000,2.08887996
2.56000000,2.08887996
2.58000000,2.08887996
2.60000000,2.08887996
2.62000000,2.08887996
2.64000000,2.08883153
2.66000000,2.08883153
2.68000000,2.08883153
2.70000000,2.08883153
2.72000000,2.08883153
2.74000000,2.08934287
2.76000000,2.08934287
2.78000000,2.08934287
2.80000000,2.08934287
2.82000000,2.08934287
2.84000000,2.08900725
2.86000000,2.08900725
2.88000000,2.08900725
2.90000000,2.08900725
2.92000000,2.08900725
2.94000000,2.08890603
2.96000000,2.08890603
2.98000000,2.08890603
3.00000000,2.08890603
3.02000000,2.08890603
3.04000000,2.08887193
3.06000000,2.08887193
3.08000000,2.08887193
3.10000000,2.08887193
3.12000000,2.08887193
3.14000000,2.08905894
3.16000000,2.08905894
3.18000000,2.08905894
3.20000000,2.08905894
3.22000000,2.08905894
3.24000000,2.08936779
3.26000000,2.08936779
3.28000000,2.15293194
3.30000000,2.08936779
3.32000000,2.08936779
3.34000000,2.08918294
3.36000000,2.08918294
3.38000000,2.15036753
3.40000000,2.08918294
3.42000000,2.08918294
3.44000000,2.08948659
3.46000000,2.08948659
3.48000000,2.08948659
3.50000000,2.08948659
3.52000000,2.08948659
3.54000000,2.08945250
3.56000000,2.08945250
3.58000000,2.08945250
3.60000000,2.08945250
3.62000000,2.08945250
3.64000000,2.08936260
3.66000000,2.08936260
3.68000000,2.08936260
3.70000000,2.08936260
3.72000000,2.08936260
3.74000000,2.08917667
3.76000000,2.08917667
3.78000000,2.08917667
3.80000000,2.08917667
3.82000000,2.08917667
3.84000000,2.08946168
3.86000000,2.08946168
3.88000000,2.08946168
3.90000000,2.08946168
3.92000000,2.08946168
3.94000000,2.09003493
3.96000000,2.15810847
3.98000000,2.25999103
4.00000000,2.28889066
4.02000000,2.25118449
4.04000000,2.09941646
4.06000000,2.09941646
4.08000000,2.09941646
4.10000000,2.09941646
4.12000000,2.09941646
4.14000000,2.09919659
4.16000000,2.09919659
4.18000000,2.09919659
4.20000000,2.09919659
4.22000000,2.09919659
4.24000000,2.09901158
4.26000000,2.09901158
4.28000000,2.09901158
4.30000000,2.09901158
4.32000000,2.09901158
4.34000000,2.09916257
4.36000000,2.09916257
4.38000000,2.09916257
4.40000000,2.09916257
4.42000000,2.09916257
4.44000000,2.09938161
4.46000000,2.09938161
4.48000000,2.09938161
4.50000000,2.09938161
4.52000000,2.09938161
4.54000000,2.09926296
4.56000000,2.09926296
4.58000000,2.09926296
4.60000000,2.09926296
4.62000000,2.09926296
4.64000000,2.25740689
4.66000000,2.16185314
4.68000000,2.10051248
4.70000000,2.10051248
4.72000000,2.10051248
4.74000000,2.10694556
4.76000000,2.10694556
4.78000000,2.10694556
4.80000000,2.10694556
4.82000000,2.05481850
4.84000000,2.10743499
4.86000000,2.10743499
4.88000000,2.10743499
4.90000000,2.10743499
4.92000000,2.10743499
4.94000000,2.10726651
4.96000000,2.10726651
4.98000000,2.10726651
5.00000000,2.10726651
5.02000000,2.10726651
5.04000000,2.09840926
5.06000000,2.09840926
5.08000000,2.09840926
5.10000000,2.09840926
5.12000000,2.09840926
5.14000000,2.09776377
5.16000000,2.09776377
5.18000000,2.09776377
5.20000000,2.09776377
5.22000000,2.09776377
5.24000000,2.09762853
5.26000000,2.09762853
5.28000000,2.09762853
5.30000000,2.09762853
5.32000000,2.09762853
5.34000000,2.09752643
5.36000000,2.09752643
5.38000000,2.09752643
5.40000000,2.09752643
5.42000000,2.04489088
5.44000000,2.09793045
5.46000000,2.09793045
5.48000000,2.09793045
5.50000000,2.09793045
5.52000000,2.09793045
5.54000000,2.09858755
5.56000000,2.09858755
5.58000000,2.09858755
5.60000000,2.09858755
5.62000000,2.09858755
5.64000000,2.09830132
5.66000000,2.09830132
5.68000000,2.09830132
5.70000000,2.09830132
5.72000000,2.09830132
5.74000000,2.09168243
5.76000000,2.09168243
5.78000000,2.09168243
5.80000000,2.09168243
5.82000000,2.09168243
5.84000000,2.09089430
5.86000000,2.09089430
5.88000000,2.09089430
5.90000000,2.09089430
5.92000000,2.09089430
5.94000000,2.09067637
5.96000000,2.09067637
5.98000000,2.09067637
6.00000000,2.09067637
6.02000000,2.09067637
6.04000000,2.09160391
6.06000000,2.09160391
6.08000000,2.09160391
6.10000000,2.09160391
6.12000000,2.09160391
6.14000000,2.09166590
6.16000000,2.09166590
