# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.9904178695, P max: 2.49476241
Time,Power
0.00000000,2.14615708
0.02000000,2.14615708
0.04000000,2.14615708
0.06000000,2.14587057
0.08000000,2.14587057
0.10000000,2.14587057
0.12000000,2.28927958
0.14000000,2.14587057
0.16000000,2.14642368
0.18000000,2.14642368
0.20000000,2.14642368
0.22000000,2.26548945
0.24000000,2.14642368
0.26000000,2.14652544
0.28000000,2.14652544
0.30000000,2.14652544
0.32000000,2.14652544
0.34000000,2.14652544
0.36000000,2.14606981
0.38000000,2.14606981
0.40000000,2.14606981
0.42000000,2.35115412
0.44000000,2.14606981
0.46000000,2.14524285
0.48000000,2.14524285
0.50000000,2.14524285
0.52000000,2.31088850
0.54000000,2.14524285
0.56000000,2.14438222
0.58000000,2.14438222
0.60000000,2.25302390
0.62000000,2.31088850
0.64000000,2.27691900
0.66000000,2.15165487
0.68000000,2.08564170
0.70000000,2.04539593
0.72000000,2.06549350
0.74000000,2.15165487
0.76000000,2.14598902
0.78000000,2.14598902
0.80000000,2.14598902
0.82000000,2.14598902
0.84000000,2.14598902
0.86000000,2.14406516
0.88000000,2.14406516
0.90000000,2.14406516
0.92000000,2.14406516
0.94000000,2.14406516
0.96000000,2.14948488
0.98000000,2.09674113
1.00000000,2.14948488
1.02000000,2.14948488
1.04000000,2.14948488
1.06000000,2.15144158
1.08000000,2.15144158
1.10000000,2.15144158
1.12000000,2.15144158
1.14000000,2.15144158
1.16000000,2.15159264
1.18000000,2.08650329
1.20000000,2.15159264
1.22000000,2.15159264
1.24000000,2.15159264
1.26000000,2.15168111
1.28000000,2.15168111
1.30000000,2.15168111
1.32000000,2.15168111
1.34000000,2.15168111
1.36000000,2.15281119
1.38000000,2.15281119
1.40000000,2.15281119
1.42000000,2.15281119
1.44000000,2.15281119
1.46000000,2.22733069
1.48000000,2.15409354
1.50000000,2.08773976
1.52000000,2.05377837
1.54000000,2.03991038
1.56000000,2.05625841
1.58000000,2.14776690
1.60000000,2.14776690
1.62000000,2.14776690
1.64000000,2.14776690
1.66000000,2.14184517
1.68000000,2.14184517
1.70000000,2.14184517
1.72000000,2.14184517
1.74000000,2.14184517
1.76000000,2.14385275
1.78000000,2.30277662
1.80000000,2.14385275
1.82000000,2.14385275
1.84000000,2.14385275
1.86000000,2.14702438
1.88000000,2.21221302
1.90000000,2.14702438
1.92000000,2.14702438
1.94000000,2.14702438
1.96000000,2.14644699
1.98000000,2.14644699
2.00000000,2.14644699
2.02000000,2.14644699
2.04000000,2.14644699
2.06000000,2.14673371
2.08000000,2.14673371
2.10000000,2.14673371
2.12000000,2.14673371
2.14000000,2.14673371
2.16000000,2.14604208
2.18000000,2.20475455
2.20000000,2.14604208
2.22000000,2.14604208
2.24000000,2.14604208
2.26000000,2.14545565
2.28000000,2.38708450
2.30000000,2.14545565
2.32000000,2.14545565
2.34000000,2.14545565
2.36000000,2.14503379
2.38000000,2.30406015
2.40000000,2.20592135
2.42000000,2.14503379
2.44000000,2.14503379
2.46000000,2.14457827
2.48000000,2.25375073
2.50000000,2.14457827
2.52000000,2.14457827
2.54000000,2.14457827
2.56000000,2.14668677
2.58000000,2.36684680
2.60000000,2.14668677
2.62000000,2.14668677
2.64000000,2.14668677
2.66000000,2.14990855
2.68000000,2.14990855
2.70000000,2.14990855
2.72000000,2.14990855
2.74000000,2.14990855
2.76000000,2.15024583
2.78000000,2.15024583
2.80000000,2.15024583
2.82000000,2.15024583
2.84000000,2.15024583
2.86000000,2.15043514
2.88000000,2.15043514
2.90000000,2.23338165
2.92000000,2.15043514
2.94000000,2.15043514
2.96000000,2.15055296
2.98000000,2.15055296
3.00000000,2.20566420
3.02000000,2.15055296
3.04000000,2.15055296
3.06000000,2.15151409
3.08000000,2.15151409
3.10000000,2.15151409
3.12000000,2.15151409
3.14000000,2.15151409
3.16000000,2.15153452
3.18000000,2.15153452
3.20000000,2.15153452
3.22000000,2.09738813
3.24000000,2.15153452
3.26000000,2.15200697
3.28000000,2.15200697
3.30000000,2.15200697
3.32000000,2.09492509
3.34000000,2.15200697
3.36000000,2.15212476
3.38000000,2.15212476
3.40000000,2.29356210
3.42000000,2.08856651
3.44000000,2.15212476
3.46000000,2.15146607
3.48000000,2.15146607
3.50000000,2.21046719
3.52000000,2.15146607
3.54000000,2.15146607
3.56000000,2.15121690
3.58000000,2.15121690
3.60000000,2.20788913
3.62000000,2.15121690
3.64000000,2.15121690
3.66000000,2.15197209
3.68000000,2.15197209
3.70000000,2.23055591
3.72000000,2.15197209
3.74000000,2.09853711
3.76000000,2.30856901
3.78000000,2.15256273
3.80000000,2.15256273
3.82000000,2.15256273
3.84000000,2.15256273
3.86000000,2.15278216
3.88000000,2.15278216
3.90000000,2.15278216
3.92000000,2.15278216
3.94000000,2.15278216
3.96000000,2.15374313
3.98000000,2.15374313
4.00000000,2.21294665
4.02000000,2.15374313
4.04000000,2.15374313
4.06000000,2.15269752
4.08000000,2.15269752
4.10000000,2.40408677
4.12000000,2.15269752
4.14000000,2.15269752
4.16000000,2.15303517
4.18000000,2.15303517
4.20000000,2.41798986
4.22000000,2.15303517
4.24000000,2.15303517
4.26000000,2.15342297
4.28000000,2.15342297
4.30000000,2.28721492
4.32000000,2.15342297
4.34000000,2.15342297
4.36000000,2.15362490
4.38000000,2.15362490
4.40000000,2.36888113
4.42000000,2.15362490
4.44000000,2.09604108
4.46000000,2.15399662
4.48000000,2.15399662
4.50000000,2.15399662
4.52000000,2.15399662
4.54000000,2.15399662
4.56000000,2.15403115
4.58000000,2.15403115
4.60000000,2.15403115
4.62000000,2.10246516
4.64000000,2.15403115
4.66000000,2.15304884
4.68000000,2.27976426
4.70000000,2.26594904
4.72000000,2.40425305
4.74000000,2.27095896
4.76000000,2.16162182
4.78000000,2.16162182
4.80000000,2.16162182
4.82000000,2.24704222
4.84000000,2.08611991
4.86000000,2.16106154
4.88000000,2.16106154
4.90000000,2.16106154
4.92000000,2.29491335
4.94000000,2.10878596
4.96000000,2.16080915
4.98000000,2.16080915
5.00000000,2.16080915
5.02000000,2.16080915
5.04000000,2.10003038
5.06000000,2.10625568
5.08000000,2.16126396
5.10000000,2.16126396
5.12000000,2.22194008
5.14000000,2.10251086
5.16000000,2.16117984
5.18000000,2.16117984
5.20000000,2.16117984
5.22000000,2.16117984
5.24000000,2.16117984
5.26000000,2.16141578
5.28000000,2.16141578
5.30000000,2.16141578
5.32000000,2.30746354
5.34000000,2.16141578
5.36000000,2.16087620
5.38000000,2.16087620
5.40000000,2.16087620
5.42000000,2.23329339
5.44000000,2.16087620
5.46000000,2.16084267
5.48000000,2.16084267
5.50000000,2.16084267
5.52000000,2.37288349
5.54000000,2.16084267
5.56000000,2.16231093
5.58000000,2.16231093
5.60000000,2.16231093
5.62000000,2.36539922
5.64000000,2.16231093
5.66000000,2.11136630
5.68000000,2.16268160
5.70000000,2.16268160
5.72000000,2.24967469
5.74000000,2.16268160
5.76000000,2.15488815
5.78000000,2.15488815
5.80000000,2.15488815
5.82000000,2.25721510
5.84000000,2.15488815
5.86000000,2.15456748
5.88000000,2.15456748
5.90000000,2.15456748
5.92000000,2.15456748
5.94000000,2.15456748
5.96000000,2.15412858
5.98000000,2.15412858
6.00000000,2.15412858
6.02000000,2.15412858
6.04000000,2.15412858
6.06000000,2.09505342
6.08000000,2.15401128
6.10000000,2.15401128
6.12000000,2.15401128
6.14000000,2.15401128
6.16000000,2.15401128
6.18000000,2.22455827
6.20000000,2.15401128
6.22000000,2.15401128
6.24000000,2.27359704
6.26000000,2.15397770
6.28000000,2.15397770
6.30000000,2.15397770
6.32000000,2.15397770
6.34000000,2.15397770
6.36000000,2.15434898
6.38000000,2.15434898
6.40000000,2.15434898
6.42000000,2.15434898
6.44000000,2.22838907
6.46000000,2.15470324
6.48000000,2.15470324
6.50000000,2.15470324
6.52000000,2.15470324
6.54000000,2.27990842
6.56000000,2.15384243
6.58000000,2.15384243
6.60000000,2.15384243
6.62000000,2.15384243
6.64000000,2.15384243
6.66000000,2.15353925
6.68000000,2.15353925
6.70000000,2.15353925
6.72000000,2.15353925
6.74000000,2.29377512
6.76000000,2.15446344
6.78000000,2.15446344
6.80000000,2.15446344
6.82000000,2.15446344
6.84000000,2.31272060
6.86000000,2.15510434
6.88000000,2.15510434
6.90000000,2.15510434
6.92000000,2.15510434
6.94000000,2.26614158
6.96000000,2.15537442
6.98000000,2.15537442
7.00000000,2.15537442
7.02000000,2.15537442
7.04000000,2.15537442
7.06000000,2.09635175
7.08000000,2.15500689
7.10000000,2.15500689
7.12000000,2.15500689
7.14000000,2.15500689
7.16000000,2.15517525
7.18000000,2.15517525
7.20000000,2.15517525
7.22000000,2.15517525
7.24000000,2.15517525
7.26000000,2.15493925
7.28000000,2.15493925
7.30000000,2.15493925
7.32000000,2.15493925
7.34000000,2.40438608
7.36000000,2.15436222
7.38000000,2.15436222
7.40000000,2.15436222
7.42000000,2.15436222
7.44000000,2.36930247
7.46000000,2.15471697
7.48000000,2.09140249
7.50000000,2.15471697
7.52000000,2.15471697
7.54000000,2.34547021
7.56000000,2.15498706
7.58000000,2.15498706
7.60000000,2.15498706
7.62000000,2.15498706
7.64000000,2.15498706
7.66000000,2.15412620
7.68000000,2.10017562
7.70000000,2.15412620
7.72000000,2.15412620
7.74000000,2.15412620
7.76000000,2.15446722
7.78000000,2.15446722
7.80000000,2.21707031
7.82000000,2.15446722
7.84000000,2.15446722
7.86000000,2.21577006
7.88000000,2.23085125
7.90000000,2.15397770
7.92000000,2.15397770
7.94000000,2.15397770
7.96000000,2.21705279
7.98000000,2.15409594
8.00000000,2.15409594
8.02000000,2.15409594
8.04000000,2.15409594
8.06000000,2.15468669
8.08000000,2.15468669
8.10000000,2.15468669
8.12000000,2.15468669
8.14000000,2.15468669
8.16000000,2.15444642
8.18000000,2.15444642
8.20000000,2.15444642
8.22000000,2.15444642
8.24000000,2.15444642
8.26000000,2.27751411
8.28000000,2.15544207
8.30000000,2.15544207
8.32000000,2.15544207
8.34000000,2.15544207
8.36000000,2.31145535
8.38000000,2.15567808
8.40000000,2.15567808
8.42000000,2.15567808
8.44000000,2.15567808
8.46000000,2.22086597
8.48000000,2.15623853
8.50000000,2.22461102
8.52000000,2.15623853
8.54000000,2.15623853
8.56000000,2.15539472
8.58000000,2.10261058
8.60000000,2.15539472
8.62000000,2.15539472
8.64000000,2.15539472
8.66000000,2.15618741
8.68000000,2.15618741
8.70000000,2.15618741
8.72000000,2.15618741
8.74000000,2.09879839
8.76000000,2.37543259
8.78000000,2.30124302
8.80000000,2.27609144
8.82000000,2.28236668
8.84000000,2.15595089
8.86000000,2.16428391
8.88000000,2.16428391
8.90000000,2.16428391
8.92000000,2.16428391
8.94000000,2.09874862
8.96000000,2.16315347
8.98000000,2.16315347
9.00000000,2.16315347
9.02000000,2.16315347
9.04000000,2.16315347
9.06000000,2.16342360
9.08000000,2.16342360
9.10000000,2.16342360
9.12000000,2.16342360
9.14000000,2.16342360
9.16000000,2.16288403
9.18000000,2.16288403
9.20000000,2.16288403
9.22000000,2.16288403
9.24000000,2.16288403
9.26000000,2.16306936
9.28000000,2.16306936
9.30000000,2.16306936
9.32000000,2.16306936
9.34000000,2.16306936
9.36000000,2.16188832
9.38000000,2.16188832
9.40000000,2.16188832
9.42000000,2.09498719
9.44000000,2.05470481
9.46000000,2.05225756
9.48000000,2.05853280
9.50000000,2.23585903
9.52000000,2.15731728
9.54000000,2.15731728
9.56000000,2.15441614
9.58000000,2.15441614
9.60000000,2.15441614
9.62000000,2.15441614
9.64000000,2.24717987
