# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.0157986151, P max: 2.5233440888
Time,Power
0.00000000,2.44043839
0.02000000,2.16601630
0.04000000,2.16601630
0.06000000,2.16601630
0.08000000,2.16601630
0.10000000,2.16601630
0.12000000,2.09581515
0.14000000,2.36879054
0.16000000,2.16456526
0.18000000,2.16456526
0.20000000,2.16456526
0.22000000,2.09584827
0.24000000,2.16373881
0.26000000,2.09584827
0.28000000,2.41535400
0.30000000,2.09959465
0.32000000,2.16367108
0.34000000,2.16367108
0.36000000,2.16367108
0.38000000,2.16367108
0.40000000,2.11218403
0.42000000,2.34616072
0.44000000,2.09581515
0.46000000,2.16370461
0.48000000,2.16370461
0.50000000,2.10963605
0.52000000,2.33355484
0.54000000,2.17064038
0.56000000,2.37506816
0.58000000,2.17064038
0.60000000,2.11216735
0.62000000,2.23415835
0.64000000,2.11463131
0.66000000,2.30083227
0.68000000,2.17168636
0.70000000,2.36497490
0.72000000,2.17178761
0.74000000,2.10708810
0.76000000,2.17178761
0.78000000,2.11215066
0.80000000,2.17178761
0.82000000,2.17269888
0.84000000,2.33480205
0.86000000,2.17269888
0.88000000,2.11215066
0.90000000,2.17269888
0.92000000,2.17222522
0.94000000,2.17222522
0.96000000,2.17222522
0.98000000,2.35107981
1.00000000,2.11709568
1.02000000,2.10577254
1.04000000,2.17269800
1.06000000,2.17269800
1.08000000,2.17269800
1.10000000,2.10956937
1.12000000,2.37128437
1.14000000,2.17161858
1.16000000,2.17161858
1.18000000,2.23915260
1.20000000,2.17161858
1.22000000,2.17286704
1.24000000,2.17286704
1.26000000,2.40270363
1.28000000,2.17286704
1.30000000,2.17286704
1.32000000,2.17236079
1.34000000,2.09951171
1.36000000,2.29578406
1.38000000,2.11085166
1.40000000,2.11459790
1.42000000,2.17357579
1.44000000,2.17357579
1.46000000,2.17357579
1.48000000,2.11966038
1.50000000,2.29826467
1.52000000,2.10582246
1.54000000,2.11716259
1.56000000,2.17472390
1.58000000,2.12217453
1.60000000,2.17472390
1.62000000,2.23294564
1.64000000,2.17755992
1.66000000,2.33359172
1.68000000,2.17755992
1.70000000,2.17755992
1.72000000,2.09459501
1.74000000,2.18283804
1.76000000,2.18283804
1.78000000,2.10213845
1.80000000,2.39147232
1.82000000,2.10843287
1.84000000,2.18204525
1.86000000,2.18204525
1.88000000,2.18204525
1.90000000,2.12605123
1.92000000,2.18302442
1.94000000,2.23927202
1.96000000,2.12480234
1.98000000,2.18302442
2.00000000,2.10718383
2.02000000,2.18363308
2.04000000,2.18363308
2.06000000,2.10976523
2.08000000,2.24940028
2.10000000,2.11356241
2.12000000,2.18460999
2.14000000,2.11347892
2.16000000,2.18460999
2.18000000,2.18460999
2.20000000,2.11975668
2.22000000,2.18407238
2.24000000,2.10960271
2.26000000,2.18407238
2.28000000,2.12215776
2.30000000,2.11213397
2.32000000,2.18424151
2.34000000,2.12976837
2.36000000,2.18424151
2.38000000,2.09954488
2.40000000,2.18424151
2.42000000,2.11593039
2.44000000,2.10712139
2.46000000,2.18463041
2.48000000,2.12853636
2.50000000,2.18463041
2.52000000,2.18461199
2.54000000,2.25928357
2.56000000,2.18461199
2.58000000,2.10958604
2.60000000,2.18461199
2.62000000,2.12722028
2.64000000,2.38004253
2.66000000,2.10580582
2.68000000,2.35240117
2.70000000,2.18316112
2.72000000,2.10202634
2.74000000,2.17644420
2.76000000,2.12465544
2.78000000,2.31839502
2.80000000,2.10076073
2.82000000,2.17578514
2.84000000,2.17578514
2.86000000,2.10951937
2.88000000,2.17578514
2.90000000,2.17578514
2.92000000,2.31579061
2.94000000,2.10823713
2.96000000,2.23656593
2.98000000,2.17419864
3.00000000,2.11076827
3.02000000,2.17340834
3.04000000,2.17340834
3.06000000,2.28173707
3.08000000,2.11696604
3.10000000,2.36348982
3.12000000,2.17344269
3.14000000,2.11446841
3.16000000,2.17344269
3.18000000,2.11953058
3.20000000,2.17344269
3.22000000,2.11698277
3.24000000,2.40881456
3.26000000,2.17357738
3.28000000,2.17357738
3.30000000,2.17357738
3.32000000,2.17320586
3.34000000,2.17320586
3.36000000,2.09808444
3.38000000,2.41507252
3.40000000,2.17320586
3.42000000,2.17290213
3.44000000,2.17290213
3.46000000,2.17290213
3.48000000,2.23141989
3.50000000,2.09686954
3.52000000,2.35097299
3.54000000,2.10692578
3.56000000,2.11198795
3.58000000,2.17227839
3.60000000,2.17227839
3.62000000,2.22772675
3.64000000,2.10947353
3.66000000,2.32456683
3.68000000,2.17290302
3.70000000,2.11448512
3.72000000,2.17212653
3.74000000,2.17212653
3.76000000,2.17212653
3.78000000,2.17212653
3.80000000,2.36104671
3.82000000,2.11956407
3.84000000,2.10949020
3.86000000,2.17205961
3.88000000,2.17205961
3.90000000,2.17205961
3.92000000,2.07180508
3.94000000,2.35104265
3.96000000,2.17208964
3.98000000,2.09944535
4.00000000,2.17208964
4.02000000,2.17185454
4.04000000,2.17185454
4.06000000,2.10958604
4.08000000,2.33349953
4.10000000,2.09323423
4.12000000,2.11339960
4.14000000,2.26557895
4.16000000,2.17161858
4.18000000,2.17161858
4.20000000,2.11461460
4.22000000,2.37763704
4.24000000,2.17229473
4.26000000,2.10966938
4.28000000,2.17229473
4.30000000,2.17229473
4.32000000,2.17386417
4.34000000,2.12222483
4.36000000,2.37257436
4.38000000,2.17386417
4.40000000,2.12100979
4.42000000,2.17434987
4.44000000,2.11977343
4.46000000,2.17434987
4.48000000,2.11471068
4.50000000,2.39275691
4.52000000,2.11600980
4.54000000,2.11099760
4.56000000,2.23174609
4.58000000,2.17483988
4.60000000,2.17483988
4.62000000,2.10971522
4.64000000,2.35627309
4.66000000,2.11979017
4.68000000,2.17558212
4.70000000,2.25061267
4.72000000,2.17625652
4.74000000,2.17625652
4.76000000,2.10968188
4.78000000,2.36377930
4.80000000,2.11849100
4.82000000,2.11594711
4.84000000,2.25810716
4.86000000,2.17715491
4.88000000,2.17715491
4.90000000,2.10587237
4.92000000,2.33359172
4.94000000,2.11721278
4.96000000,2.11847845
4.98000000,2.25937283
5.00000000,2.12475617
5.02000000,2.17796494
5.04000000,2.10840371
5.06000000,2.40527927
5.08000000,2.11346639
5.10000000,2.17796494
5.12000000,2.17874054
5.14000000,2.10583910
5.16000000,2.17874054
5.18000000,2.11591367
5.20000000,2.24045363
5.22000000,2.17750831
5.24000000,2.17750831
5.26000000,2.17750831
5.28000000,2.10207616
5.30000000,2.33606769
5.32000000,2.17686405
5.34000000,2.17686405
5.36000000,2.12350308
5.38000000,2.17686405
5.40000000,2.17686405
5.42000000,2.09079798
5.44000000,2.33487122
5.46000000,2.17737032
5.48000000,2.11347892
5.50000000,2.17737032
5.52000000,2.11971062
5.54000000,2.17767739
5.56000000,2.10082712
5.58000000,2.31593700
5.60000000,2.17767739
5.62000000,2.11588023
5.64000000,2.12094275
5.66000000,2.11339960
5.68000000,2.17612422
5.70000000,2.17612422
5.72000000,2.29321658
5.74000000,2.30703693
5.76000000,2.17921133
5.78000000,2.29574778
5.80000000,2.17921133
5.82000000,2.35603573
5.84000000,2.18239953
5.86000000,2.12084221
5.88000000,2.18239953
5.90000000,2.11831107
5.92000000,2.25533078
5.94000000,2.18344853
5.96000000,2.36102805
5.98000000,2.18344853
6.00000000,2.11323679
6.02000000,2.23769446
6.04000000,2.18459439
6.06000000,2.30810646
6.08000000,2.12445819
6.10000000,2.46158539
6.12000000,2.18450925
6.14000000,2.12948650
6.16000000,2.18450925
6.18000000,2.11561693
6.20000000,2.28797428
6.22000000,2.11560021
6.24000000,2.35710107
6.26000000,2.18499817
6.28000000,2.11433474
6.30000000,2.24766387
6.32000000,2.18446178
6.34000000,2.26524779
6.36000000,2.18446178
6.38000000,2.11182523
6.40000000,2.18446178
6.42000000,2.18508527
6.44000000,2.30423769
6.46000000,2.12687572
6.48000000,2.32559807
6.50000000,2.18508527
6.52000000,2.12179726
6.54000000,2.18410629
6.56000000,2.18410629
6.58000000,2.25264117
6.60000000,2.18410629
6.62000000,2.38349097
6.64000000,2.18425931
6.66000000,2.18425931
6.68000000,2.18425931
6.70000000,2.13065506
6.72000000,2.18373386
6.74000000,2.09302336
6.76000000,2.34333777
6.78000000,2.12192720
6.80000000,2.10937352
6.82000000,2.17777995
6.84000000,2.17777995
6.86000000,2.23528711
6.88000000,2.08179969
6.90000000,2.37490396
6.92000000,2.11716259
6.94000000,2.11969387
6.96000000,2.17821707
6.98000000,2.17821707
7.00000000,2.17821707
7.02000000,2.12230448
7.04000000,2.30350459
7.06000000,2.11476080
7.08000000,2.10595141
7.10000000,2.17845170
7.12000000,2.17706947
7.14000000,2.17706947
7.16000000,2.09975639
7.18000000,2.30232982
7.20000000,2.17706947
7.22000000,2.11742188
7.24000000,2.17731930
7.26000000,2.17731930
7.28000000,2.17731930
7.30000000,2.10608035
7.32000000,2.25710004
7.34000000,2.10110100
7.36000000,2.11492370
7.38000000,2.23066983
7.40000000,2.12373377
7.42000000,2.17715213
7.44000000,2.12251826
7.46000000,2.17715213
7.48000000,2.12251826
7.50000000,2.11122692
7.52000000,2.17771008
7.54000000,2.17771008
7.56000000,2.17771008
7.58000000,2.17771008
7.60000000,2.17771008
7.62000000,2.09868542
7.64000000,2.11630654
7.66000000,2.17772728
7.68000000,2.11382541
7.70000000,2.17772728
7.72000000,2.11883831
7.74000000,2.25849075
7.76000000,2.11382541
7.78000000,2.11002775
7.80000000,2.17757538
7.82000000,2.12131981
7.84000000,2.17777694
7.86000000,2.09362290
7.88000000,2.17777694
7.90000000,2.17777694
7.92000000,2.17899115
7.94000000,2.25210521
7.96000000,2.12248473
7.98000000,2.17899115
8.00000000,2.10238343
8.02000000,2.04446145
8.04000000,2.09352367
8.06000000,2.01803165
8.08000000,2.06835966
8.10000000,2.17706614
8.12000000,2.17007895
8.14000000,2.17007895
8.16000000,2.10861194
8.18000000,2.17007895
8.20000000,2.11615608
8.22000000,2.16867839
8.24000000,2.16867839
8.26000000,2.09480601
8.28000000,2.42695324
8.30000000,2.16867839
8.32000000,2.16817207
