# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.9985458344, P max: 2.4105644115
Time,Power
0.00000000,2.14704105
0.02000000,2.14704105
0.04000000,2.14795206
0.06000000,2.09648016
0.08000000,2.14795206
0.10000000,2.14795206
0.12000000,2.23353611
0.14000000,2.14702438
0.16000000,2.14702438
0.18000000,2.14702438
0.20000000,2.09398269
0.22000000,2.14702438
0.24000000,2.14793571
0.26000000,2.14793571
0.28000000,2.14793571
0.30000000,2.23235903
0.32000000,2.14793571
0.34000000,2.14745928
0.36000000,2.14745928
0.38000000,2.14745928
0.40000000,2.04375078
0.42000000,2.08651978
0.44000000,2.03241320
0.46000000,2.08525443
0.48000000,2.07897826
0.50000000,2.14416935
0.52000000,2.14416935
0.54000000,2.28523113
0.56000000,2.13996838
0.58000000,2.13996838
0.60000000,2.13996838
0.62000000,2.26888274
0.64000000,2.14211499
0.66000000,2.14211499
0.68000000,2.14211499
0.70000000,2.14211499
0.72000000,2.14211499
0.74000000,2.14798538
0.76000000,2.14798538
0.78000000,2.14798538
0.80000000,2.14798538
0.82000000,2.27623086
0.84000000,2.21573504
0.86000000,2.15485458
0.88000000,2.15485458
0.90000000,2.15485458
0.92000000,2.15485458
0.94000000,2.15678084
0.96000000,2.15678084
0.98000000,2.10248178
1.00000000,2.27221061
1.02000000,2.41056441
1.04000000,2.15694598
1.06000000,2.10127894
1.08000000,2.26600277
1.10000000,2.15694598
1.12000000,2.15694598
1.14000000,2.10129555
1.16000000,2.15660878
1.18000000,2.15660878
1.20000000,2.15660878
1.22000000,2.09375514
1.24000000,2.05979797
1.26000000,2.06733839
1.28000000,2.07988887
1.30000000,2.04092164
1.32000000,2.23332869
1.34000000,2.15097443
1.36000000,2.15097443
1.38000000,2.15097443
1.40000000,2.15097443
1.42000000,2.15097443
1.44000000,2.15196954
1.46000000,2.15196954
1.48000000,2.15196954
1.50000000,2.15196954
1.52000000,2.15196954
1.54000000,2.15667590
1.56000000,2.15667590
1.58000000,2.15667590
1.60000000,2.09873203
1.62000000,2.15667590
1.64000000,2.15677765
1.66000000,2.15677765
1.68000000,2.15677765
1.70000000,2.21573504
1.72000000,2.15677765
1.74000000,2.15725071
1.76000000,2.15725071
1.78000000,2.15725071
1.80000000,2.15725071
1.82000000,2.15725071
1.84000000,2.15120820
1.86000000,2.15120820
1.88000000,2.15120820
1.90000000,2.15120820
1.92000000,2.20966494
1.94000000,2.14931502
1.96000000,2.14931502
1.98000000,2.09657544
2.00000000,2.14931502
2.02000000,2.14931502
2.04000000,2.07017139
2.06000000,2.02487169
2.08000000,2.14750989
2.10000000,2.06890604
2.12000000,2.14750989
2.14000000,2.14145342
2.16000000,2.14145342
2.18000000,2.14145342
2.20000000,2.14145342
2.22000000,2.09038087
2.24000000,2.26527911
2.26000000,2.14222554
2.28000000,2.19613424
2.30000000,2.14222554
2.32000000,2.23257956
2.34000000,2.14828340
2.36000000,2.14828340
2.38000000,2.14828340
2.40000000,2.14828340
2.42000000,2.14828340
2.44000000,2.14892481
2.46000000,2.14892481
2.48000000,2.14892481
2.50000000,2.14892481
2.52000000,2.09562058
2.54000000,2.27679756
2.56000000,2.14826703
2.58000000,2.20633104
2.60000000,2.09313913
2.62000000,2.24409542
2.64000000,2.14914067
2.66000000,2.14914067
2.68000000,2.14914067
2.70000000,2.14914067
2.72000000,2.14914067
2.74000000,2.14892182
2.76000000,2.14892182
2.78000000,2.14892182
2.80000000,2.14892182
2.82000000,2.14892182
2.84000000,2.14863474
2.86000000,2.05928126
2.88000000,2.08444198
2.90000000,2.06307815
2.92000000,2.04546058
2.94000000,2.20530341
2.96000000,2.14414623
2.98000000,2.14414623
3.00000000,2.14414623
3.02000000,2.14414623
3.04000000,2.14409561
3.06000000,2.14409561
3.08000000,2.14409561
3.10000000,2.14409561
3.12000000,2.14409561
3.14000000,2.15126725
3.16000000,2.25302390
3.18000000,2.15126725
3.20000000,2.15126725
3.22000000,2.15126725
3.24000000,2.15076028
3.26000000,2.15076028
3.28000000,2.15076028
3.30000000,2.15076028
3.32000000,2.15076028
3.34000000,2.15025760
3.36000000,2.15025760
3.38000000,2.15025760
3.40000000,2.15025760
3.42000000,2.15025760
3.44000000,2.15032486
3.46000000,2.15032486
3.48000000,2.15032486
3.50000000,2.25779048
3.52000000,2.15032486
3.54000000,2.23383178
3.56000000,2.15026114
3.58000000,2.15026114
3.60000000,2.15026114
3.62000000,2.15026114
3.64000000,2.03758733
3.66000000,2.09291172
3.68000000,2.03252564
3.70000000,2.07909327
3.72000000,2.04887493
3.74000000,2.14366363
3.76000000,2.04511311
3.78000000,2.05012415
3.80000000,2.14366363
3.82000000,2.03250957
3.84000000,2.13637484
3.86000000,2.13637484
3.88000000,2.26645950
3.90000000,2.13637484
3.92000000,2.21614660
3.94000000,2.14157142
3.96000000,2.14157142
3.98000000,2.14157142
4.00000000,2.14157142
4.02000000,2.14157142
4.04000000,2.14096388
4.06000000,2.14096388
4.08000000,2.14096388
4.10000000,2.14096388
4.12000000,2.14096388
4.14000000,2.14060958
4.16000000,2.14060958
4.18000000,2.23115981
4.20000000,2.14060958
4.22000000,2.21354579
4.24000000,2.14062650
4.26000000,2.14062650
4.28000000,2.14062650
4.30000000,2.14062650
4.32000000,2.14062650
4.34000000,2.14131819
4.36000000,2.19846253
4.38000000,2.14131819
4.40000000,2.14131819
4.42000000,2.14131819
4.44000000,2.19717979
4.46000000,2.14175680
4.48000000,2.22613134
4.50000000,2.08780164
4.52000000,2.14175680
4.54000000,2.14087957
4.56000000,2.14087957
4.58000000,2.03119600
4.60000000,2.14087957
4.62000000,2.04633001
4.64000000,2.13429956
4.66000000,2.04885873
4.68000000,2.02122207
4.70000000,2.13429956
4.72000000,2.02876394
4.74000000,2.13254489
4.76000000,2.02873188
4.78000000,2.13254489
4.80000000,2.04254999
4.82000000,2.07651319
4.84000000,2.13370905
4.86000000,2.28277258
4.88000000,2.38840775
4.90000000,2.26389289
4.92000000,2.21990776
4.94000000,2.14273541
4.96000000,2.14273541
4.98000000,2.14273541
5.00000000,2.14273541
5.02000000,2.14273541
5.04000000,2.14356198
5.06000000,2.14356198
5.08000000,2.14356198
5.10000000,2.14356198
5.12000000,2.14356198
5.14000000,2.14287417
5.16000000,2.14287417
5.18000000,2.28261473
5.20000000,2.14287417
5.22000000,2.14287417
5.24000000,2.14336356
5.26000000,2.14336356
5.28000000,2.14336356
5.30000000,2.14336356
5.32000000,2.23360672
5.34000000,2.14427058
5.36000000,2.19594768
5.38000000,2.14427058
5.40000000,2.14427058
5.42000000,2.14427058
5.44000000,2.14334279
5.46000000,2.14334279
5.48000000,2.19598239
5.50000000,2.14334279
5.52000000,2.14334279
5.54000000,2.14410180
5.56000000,2.14410180
5.58000000,2.03366248
5.60000000,2.14410180
5.62000000,2.05127609
5.64000000,2.05625841
5.66000000,2.04871706
5.68000000,2.05752374
5.70000000,2.14189578
5.72000000,2.02862366
5.74000000,2.14177356
5.76000000,2.05881754
5.78000000,2.14177356
5.80000000,2.14177356
5.82000000,2.21982004
5.84000000,2.14763203
5.86000000,2.14763203
5.88000000,2.14763203
5.90000000,2.24369646
5.92000000,2.14763203
5.94000000,2.14160903
5.96000000,2.14160903
5.98000000,2.14160903
6.00000000,2.14160903
6.02000000,2.14160903
6.04000000,2.14128435
6.06000000,2.14128435
6.08000000,2.21857223
6.10000000,2.14128435
6.12000000,2.25627981
6.14000000,2.14141957
6.16000000,2.14141957
6.18000000,2.07652960
6.20000000,2.24508155
6.22000000,2.14141957
6.24000000,2.14207758
6.26000000,2.14207758
6.28000000,2.14207758
6.30000000,2.14207758
6.32000000,2.14207758
6.34000000,2.14133526
6.36000000,2.14133526
6.38000000,2.14133526
6.40000000,2.14133526
6.42000000,2.31930323
6.44000000,2.14079526
6.46000000,2.14079526
6.48000000,2.08658574
6.50000000,2.25508574
6.52000000,2.14079526
6.54000000,2.14204373
6.56000000,2.14204373
6.58000000,2.14204373
6.60000000,2.20101067
6.62000000,2.14204373
6.64000000,2.19846253
6.66000000,2.14567108
6.68000000,2.14567108
6.70000000,2.14567108
6.72000000,2.14567108
6.74000000,2.15333052
6.76000000,2.23618597
6.78000000,2.15333052
6.80000000,2.22231768
6.82000000,2.15333052
6.84000000,2.07641884
6.86000000,2.15780535
6.88000000,2.15780535
6.90000000,2.15780535
6.92000000,2.15780535
6.94000000,2.15643503
6.96000000,2.15643503
6.98000000,2.15643503
7.00000000,2.15643503
7.02000000,2.38961650
7.04000000,2.15673924
7.06000000,2.15673924
7.08000000,2.06142969
7.10000000,2.15673924
7.12000000,2.15673924
7.14000000,2.15719478
7.16000000,2.15719478
7.18000000,2.15719478
7.20000000,2.03247745
7.22000000,2.09159670
7.24000000,1.99854583
7.26000000,2.07274977
7.28000000,2.04384769
7.30000000,2.15211660
7.32000000,2.15211660
7.34000000,2.14916419
7.36000000,2.09672456
7.38000000,2.20737420
7.40000000,2.14916419
7.42000000,2.14916419
7.44000000,2.14948488
7.46000000,2.14948488
7.48000000,2.14948488
7.50000000,2.14948488
7.52000000,2.21118798
7.54000000,2.14937973
7.56000000,2.14937973
7.58000000,2.14937973
7.60000000,2.14937973
7.62000000,2.06909816
7.64000000,2.26661622
7.66000000,2.08802850
7.68000000,2.26408521
7.70000000,2.14892449
7.72000000,2.14892449
7.74000000,2.14961652
7.76000000,2.14961652
7.78000000,2.14961652
7.80000000,2.14961652
7.82000000,2.14961652
7.84000000,2.15047743
7.86000000,2.15047743
7.88000000,2.22393010
7.90000000,2.15047743
7.92000000,2.20130202
7.94000000,2.26294186
7.96000000,2.15035919
7.98000000,2.22517807
8.00000000,2.03397991
8.02000000,2.08809450
8.04000000,2.05915516
8.06000000,2.14845255
8.08000000,2.03900757
8.10000000,2.14845255
8.12000000,2.14845255
8.14000000,2.14381205
8.16000000,2.14381205
8.18000000,2.14381205
8.20000000,2.14381205
8.22000000,2.14381205
8.24000000,2.14608976
8.26000000,2.14608976
8.28000000,2.14608976
8.30000000,2.25406243
8.32000000,2.14608976
8.34000000,2.15062821
8.36000000,2.15062821
8.38000000,2.15062821
8.40000000,2.20868763
8.42000000,2.15062821
8.44000000,2.14943035
8.46000000,2.14943035
8.48000000,2.14943035
8.50000000,2.14943035
8.52000000,2.23006626
8.54000000,2.15047672
8.56000000,2.15047672
8.58000000,2.15047672
8.60000000,2.28041749
8.62000000,2.15047672
8.64000000,2.14998751
8.66000000,2.14998751
8.68000000,2.14998751
8.70000000,2.14998751
8.72000000,2.14998751
8.74000000,2.14946432
8.76000000,2.14946432
8.78000000,2.14946432
8.80000000,2.14946432
8.82000000,2.14946432
8.84000000,2.02890423
8.86000000,2.02510772
8.88000000,2.14872200
8.90000000,2.03518112
8.92000000,2.24773492
8.94000000,2.25283253
8.96000000,2.34840479
8.98000000,2.25030149
9.00000000,2.14501002
9.02000000,2.14501002
9.04000000,2.24901819
9.06000000,2.15354793
9.08000000,2.15354793
9.10000000,2.15354793
9.12000000,2.15354793
9.14000000,2.15849168
9.16000000,2.15849168
9.18000000,2.15849168
9.20000000,2.15849168
9.22000000,2.15849168
9.24000000,2.09307297
9.26000000,2.15933573
9.28000000,2.15933573
9.30000000,2.15933573
9.32000000,2.10188101
9.34000000,2.26666995
9.36000000,2.15909969
9.38000000,2.15909969
9.40000000,2.10063209
9.42000000,2.15909969
9.44000000,2.15879596
9.46000000,2.15879596
9.48000000,2.15879596
9.50000000,2.15879596
9.52000000,2.24530776
9.54000000,2.15915031
9.56000000,2.27800912
9.58000000,2.15915031
9.60000000,2.15915031
9.62000000,2.01634762
9.64000000,2.09175786
9.66000000,2.03389955
9.68000000,2.09428885
9.70000000,2.07920418
9.72000000,2.15665232
9.74000000,2.15182683
9.76000000,2.09933338
9.78000000,2.15182683
9.80000000,2.15182683
9.82000000,2.15182683
9.84000000,2.23511049
9.86000000,2.09798497
9.88000000,2.27788312
9.90000000,2.15219738
9.92000000,2.15219738
9.94000000,2.10546473
9.96000000,2.21869496
9.98000000,2.15820765
10.00000000,2.15820765
10.02000000,2.15820765
10.04000000,2.14938364
10.06000000,2.14938364
10.08000000,2.14938364
10.10000000,2.14938364
10.12000000,2.14938364
10.14000000,2.14886048
10.16000000,2.14886048
10.18000000,2.22372362
10.20000000,2.14886048
10.22000000,2.21243594
10.24000000,2.14924486
10.26000000,2.14924486
10.28000000,2.14924486
10.30000000,2.14924486
10.32000000,2.09801813
10.34000000,2.14985264
10.36000000,2.14985264
10.38000000,2.14985264
10.40000000,2.14985264
10.42000000,2.14985264
10.44000000,2.09312259
10.46000000,2.14865503
10.48000000,2.04153867
10.50000000,2.14865503
10.52000000,2.04153867
10.54000000,2.22907597
10.56000000,2.14281267
10.58000000,2.23282214
10.60000000,2.14281267
10.62000000,2.14281267
10.64000000,2.14245830
10.66000000,2.14245830
10.68000000,2.14245830
10.70000000,2.14245830
10.72000000,2.21773619
10.74000000,2.15059567
10.76000000,2.15059567
10.78000000,2.15059567
10.80000000,2.15059567
10.82000000,2.15059567
10.84000000,2.21641805
10.86000000,2.15000094
10.88000000,2.21267197
10.90000000,2.15000094
10.92000000,2.15000094
10.94000000,2.14984907
10.96000000,2.14984907
10.98000000,2.14984907
11.00000000,2.14984907
11.02000000,2.20133246
11.04000000,2.15020733
11.06000000,2.15020733
11.08000000,2.15020733
11.10000000,2.15020733
11.12000000,2.15020733
11.14000000,2.22014898
11.16000000,2.14917791
11.18000000,2.23649966
11.20000000,2.14917791
11.22000000,2.14917791
11.24000000,2.14981900
11.26000000,2.06163739
11.28000000,2.09808444
11.30000000,2.06290292
11.32000000,2.03895923
11.34000000,2.06288662
11.36000000,2.06288662
11.38000000,2.04147414
11.40000000,2.08804500
11.42000000,2.04901660
11.44000000,2.06788171
11.46000000,2.13545954
11.48000000,2.25153143
11.50000000,2.13545954
