# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.9833523668, P max: 2.422859108
Time,Power
0.00000000,2.11622943
0.02000000,2.11622943
0.04000000,2.11622943
0.06000000,2.12434513
0.08000000,2.12434513
0.10000000,2.12434513
0.12000000,2.12434513
0.14000000,2.12434513
0.16000000,2.12915376
0.18000000,2.12915376
0.20000000,2.03116390
0.22000000,2.12915376
0.24000000,2.01481538
0.26000000,2.05636811
0.28000000,2.12945732
0.30000000,2.05262254
0.32000000,2.06269508
0.34000000,2.03753903
0.36000000,2.13003093
0.38000000,2.13003093
0.40000000,2.13003093
0.42000000,2.13003093
0.44000000,2.13003093
0.46000000,2.13737033
0.48000000,2.13737033
0.50000000,2.13737033
0.52000000,2.13737033
0.54000000,2.13737033
0.56000000,2.13804525
0.58000000,2.13804525
0.60000000,2.13804525
0.62000000,2.13804525
0.64000000,2.13804525
0.66000000,2.13787235
0.68000000,2.13787235
0.70000000,2.13787235
0.72000000,2.13787235
0.74000000,2.13787235
0.76000000,2.13691060
0.78000000,2.13691060
0.80000000,2.13691060
0.82000000,2.13691060
0.84000000,2.20868763
0.86000000,2.13675874
0.88000000,2.22883379
0.90000000,2.13675874
0.92000000,2.13675874
0.94000000,2.22630287
0.96000000,2.24888046
0.98000000,2.23126561
1.00000000,2.20863963
1.02000000,2.14025552
1.04000000,2.22498905
1.06000000,2.07155134
1.08000000,2.07403158
1.10000000,2.08283893
1.12000000,2.05140578
1.14000000,2.23757510
1.16000000,2.04269123
1.18000000,2.13659003
1.20000000,2.13659003
1.22000000,2.13659003
1.24000000,2.13659003
1.26000000,2.21245342
1.28000000,2.09041390
1.30000000,2.14325889
1.32000000,2.14325889
1.34000000,2.14325889
1.36000000,2.15144158
1.38000000,2.15144158
1.40000000,2.15144158
1.42000000,2.22994731
1.44000000,2.15144158
1.46000000,2.15218341
1.48000000,2.15218341
1.50000000,2.15218341
1.52000000,2.09782333
1.54000000,2.15218341
