# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.9892157230000003, P max: 2.3872684362000003
Time,Power
0.00000000,2.09647515
0.02000000,2.09647515
0.04000000,2.09647515
0.06000000,2.09647515
0.08000000,2.09647515
0.10000000,2.09644109
0.12000000,2.09644109
0.14000000,2.09644109
0.16000000,2.09644109
0.18000000,2.09644109
0.20000000,2.22274797
0.22000000,2.09613734
0.24000000,2.09613734
0.26000000,2.09613734
0.28000000,2.09613734
0.30000000,2.09701544
0.32000000,2.09701544
0.34000000,2.09701544
0.36000000,2.09701544
0.38000000,2.09701544
0.40000000,2.28434031
0.42000000,2.10225118
0.44000000,2.10225118
0.46000000,2.10225118
0.48000000,2.10225118
0.50000000,2.10323039
0.52000000,2.10323039
0.54000000,2.10323039
0.56000000,2.10323039
0.58000000,2.10323039
0.60000000,2.10338226
0.62000000,2.17739118
0.64000000,2.10338226
0.66000000,2.10338226
0.68000000,2.10338226
0.70000000,2.10307853
0.72000000,2.10307853
0.74000000,2.16858301
0.76000000,2.10307853
0.78000000,2.10307853
0.80000000,2.10292666
0.82000000,2.10292666
0.84000000,2.10292666
0.86000000,2.10292666
0.88000000,2.10292666
0.90000000,2.10297728
0.92000000,2.10297728
0.94000000,2.10297728
0.96000000,2.10297728
0.98000000,2.10297728
1.00000000,2.10344950
1.02000000,2.10344950
1.04000000,2.10344950
1.06000000,2.17487728
1.08000000,2.10344950
1.10000000,2.10468106
1.12000000,2.10468106
1.14000000,2.10468106
1.16000000,2.10468106
1.18000000,2.10468106
1.20000000,2.17607405
1.22000000,2.10525597
1.24000000,2.10525597
1.26000000,2.10525597
1.28000000,2.20750938
1.30000000,2.10537385
1.32000000,2.10537385
1.34000000,2.10537385
1.36000000,2.10537385
1.38000000,2.10537385
1.40000000,2.15720965
1.42000000,2.10517137
1.44000000,2.10517137
1.46000000,2.10517137
1.48000000,2.10517137
1.50000000,2.10414158
1.52000000,2.10414158
1.54000000,2.10414158
1.56000000,2.10414158
1.58000000,2.10414158
1.60000000,2.10407359
1.62000000,2.17995672
1.64000000,2.10407359
1.66000000,2.10407359
1.68000000,2.10407359
1.70000000,2.10442795
1.72000000,2.10442795
1.74000000,2.10442795
1.76000000,2.10442795
1.78000000,2.10442795
1.80000000,2.04904898
1.82000000,2.21260640
1.84000000,2.30063684
1.86000000,2.24404223
1.88000000,2.10498552
1.90000000,2.11329315
1.92000000,2.11329315
1.94000000,2.06024570
1.96000000,2.19610387
1.98000000,2.11329315
2.00000000,2.11337871
2.02000000,2.11337871
2.04000000,2.11337871
2.06000000,2.21354579
2.08000000,2.11337871
2.10000000,2.11441287
2.12000000,2.11441287
2.14000000,2.11441287
2.16000000,2.11441287
2.18000000,2.26883343
2.20000000,2.11397455
2.22000000,2.11397455
2.24000000,2.11397455
2.26000000,2.06002183
2.28000000,2.20968241
2.30000000,2.11483542
2.32000000,2.11483542
2.34000000,2.11483542
2.36000000,2.11483542
2.38000000,2.11483542
2.40000000,2.11367137
2.42000000,2.11367137
2.44000000,2.11367137
2.46000000,2.11367137
2.48000000,2.11367137
2.50000000,2.11230487
2.52000000,2.11230487
2.54000000,2.11230487
2.56000000,2.11230487
2.58000000,2.11230487
2.60000000,2.11271028
2.62000000,2.20203675
2.64000000,2.11271028
2.66000000,2.11271028
2.68000000,2.11271028
2.70000000,2.11223809
2.72000000,2.11223809
2.74000000,2.11223809
2.76000000,2.21583574
2.78000000,2.11223809
2.80000000,2.05990787
2.82000000,2.11223809
2.84000000,2.26113124
2.86000000,2.11223809
2.88000000,2.11223809
2.90000000,2.10408852
2.92000000,2.10408852
2.94000000,2.10408852
2.96000000,2.10408852
2.98000000,2.10408852
3.00000000,2.00477785
3.02000000,2.00599259
3.04000000,1.99718572
3.06000000,1.99470562
3.08000000,2.10190650
3.10000000,2.17457224
3.12000000,2.09718191
3.14000000,2.09718191
3.16000000,2.09718191
3.18000000,2.09718191
3.20000000,2.09704574
3.22000000,2.09704574
3.24000000,2.09704574
3.26000000,2.09704574
3.28000000,2.09704574
3.30000000,2.09712950
3.32000000,2.09712950
3.34000000,2.15458025
3.36000000,2.09712950
3.38000000,2.09712950
3.40000000,2.09718012
3.42000000,2.38726844
3.44000000,2.16713336
3.46000000,2.09718012
3.48000000,2.09718012
3.50000000,2.09815843
3.52000000,2.09815843
3.54000000,2.17848888
3.56000000,2.09815843
3.58000000,2.09815843
3.60000000,2.09792192
3.62000000,2.09792192
3.64000000,2.15334885
3.66000000,2.09792192
3.68000000,2.09792192
3.70000000,2.09828868
3.72000000,2.09828868
3.74000000,2.09828868
3.76000000,2.15710738
3.78000000,2.09828868
3.80000000,2.09850687
3.82000000,2.09850687
3.84000000,2.09850687
3.86000000,2.09850687
3.88000000,2.09850687
3.90000000,2.09869189
3.92000000,2.09869189
3.94000000,2.09869189
3.96000000,2.09869189
3.98000000,2.21886591
4.00000000,2.10017649
4.02000000,2.10017649
4.04000000,2.10017649
4.06000000,2.10017649
4.08000000,2.10017649
4.10000000,2.10744865
4.12000000,2.10744865
4.14000000,2.10744865
4.16000000,2.10744865
4.18000000,2.10744865
4.20000000,2.10727530
4.22000000,2.10727530
4.24000000,2.10727530
4.26000000,2.10727530
4.28000000,2.10727530
4.30000000,2.10618309
4.32000000,2.10618309
4.34000000,2.10618309
4.36000000,2.10618309
4.38000000,2.10618309
4.40000000,2.10576148
4.42000000,2.10576148
4.44000000,2.10576148
4.46000000,2.10576148
4.48000000,2.10576148
4.50000000,2.10486692
4.52000000,2.10486692
4.54000000,2.16860014
4.56000000,2.10486692
4.58000000,2.10486692
4.60000000,2.10525038
4.62000000,2.10525038
4.64000000,2.17237622
4.66000000,2.10525038
4.68000000,2.10525038
4.70000000,2.10483293
4.72000000,2.10483293
4.74000000,2.10483293
4.76000000,2.10483293
4.78000000,2.10483293
4.80000000,2.10572749
4.82000000,2.10572749
4.84000000,2.10572749
4.86000000,2.18869712
4.88000000,2.10572749
4.90000000,2.10535650
4.92000000,2.10535650
4.94000000,2.10535650
4.96000000,2.10535650
4.98000000,2.18240273
5.00000000,2.10593068
5.02000000,2.10593068
5.04000000,2.05029831
5.06000000,2.10593068
5.08000000,2.10593068
5.10000000,2.10633634
5.12000000,2.10633634
5.14000000,2.10633634
5.16000000,2.10633634
5.18000000,2.10633634
5.20000000,2.21624730
5.22000000,2.10559438
5.24000000,2.10559438
5.26000000,2.10559438
5.28000000,2.10559438
5.30000000,2.19738381
5.32000000,2.29801498
5.34000000,2.10404182
5.36000000,2.10404182
5.38000000,2.10404182
5.40000000,2.10426019
5.42000000,2.31069222
5.44000000,2.10426019
5.46000000,2.10426019
5.48000000,2.10426019
5.50000000,2.10422694
5.52000000,2.10422694
5.54000000,2.10422694
5.56000000,2.10422694
5.58000000,2.10422694
5.60000000,2.10473314
5.62000000,2.10473314
5.64000000,2.10473314
5.66000000,2.10473314
5.68000000,2.10473314
5.70000000,2.10503686
5.72000000,2.10503686
5.74000000,2.10503686
5.76000000,2.10503686
5.78000000,2.10503686
5.80000000,2.10547509
5.82000000,2.10547509
5.84000000,2.10547509
5.86000000,2.10547509
5.88000000,2.10547509
5.90000000,2.17602247
5.92000000,2.23261485
5.94000000,2.23641129
5.96000000,2.10753456
5.98000000,2.23134936
6.00000000,2.11570609
6.02000000,2.06276028
6.04000000,2.11570609
6.06000000,2.11570609
6.08000000,2.11570609
6.10000000,2.11594200
6.12000000,2.11594200
6.14000000,2.11594200
6.16000000,2.11594200
6.18000000,2.11594200
6.20000000,2.11512745
6.22000000,2.11512745
6.24000000,2.05777578
6.26000000,2.11512745
6.28000000,2.11512745
6.30000000,2.11436766
6.32000000,2.16600057
6.34000000,2.11436766
6.36000000,2.11436766
6.38000000,2.11436766
6.40000000,2.04901660
6.42000000,2.16726609
6.44000000,2.11426642
6.46000000,2.06035559
6.48000000,2.11426642
6.50000000,2.11450232
6.52000000,2.11450232
6.54000000,2.11450232
6.56000000,2.11450232
6.58000000,2.11450232
6.60000000,2.06295182
6.62000000,2.00630569
6.64000000,2.05414357
6.66000000,2.05788961
6.68000000,2.04660088
6.70000000,2.04661705
6.72000000,2.10943958
6.74000000,2.10943958
