# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.9860400007999999, P max: 2.4062834955
Time,Power
0.00000000,2.12481092
0.02000000,2.22197520
0.04000000,2.12481092
0.06000000,2.12371461
0.08000000,2.12371461
0.10000000,2.12371461
0.12000000,2.12371461
0.14000000,2.12371461
0.16000000,2.12368523
0.18000000,2.12368523
0.20000000,2.24705998
0.22000000,2.20935933
0.24000000,2.12368523
0.26000000,2.12450751
0.28000000,2.12450751
0.30000000,2.12450751
0.32000000,2.12450751
0.34000000,2.12450751
0.36000000,2.12324238
0.38000000,2.12324238
0.40000000,2.07228294
0.42000000,2.12324238
0.44000000,2.12324238
0.46000000,2.12450728
0.48000000,2.17673308
0.50000000,2.20061930
0.52000000,2.12450728
0.54000000,2.23457620
0.56000000,2.12526658
0.58000000,2.12526658
0.60000000,2.12526658
0.62000000,2.19555721
0.64000000,2.17794660
0.66000000,2.12585665
0.68000000,2.12585665
0.70000000,2.12585665
0.72000000,2.12585665
0.74000000,2.18177761
0.76000000,2.25726862
0.78000000,2.25473822
0.80000000,2.34153094
0.82000000,2.12801579
0.84000000,2.12801579
0.86000000,2.13511777
0.88000000,2.13511777
0.90000000,2.13511777
0.92000000,2.13511777
0.94000000,2.13511777
0.96000000,2.13412249
0.98000000,2.13412249
1.00000000,2.06737107
1.02000000,2.02086268
1.04000000,2.05476978
1.06000000,2.07375704
1.08000000,2.12816311
1.10000000,2.12816311
1.12000000,2.05740992
1.14000000,2.12816311
1.16000000,2.12627353
1.18000000,2.12627353
1.20000000,2.12627353
1.22000000,2.12627353
1.24000000,2.12627353
1.26000000,2.18577613
1.28000000,2.12661081
1.30000000,2.12661081
1.32000000,2.12661081
1.34000000,2.22854318
1.36000000,2.19206933
1.38000000,2.18827340
1.40000000,2.12703252
1.42000000,2.12703252
1.44000000,2.12703252
1.46000000,2.12846649
1.48000000,2.12846649
1.50000000,2.12846649
1.52000000,2.20843455
1.54000000,2.12846649
1.56000000,2.12773655
1.58000000,2.12773655
1.60000000,2.12773655
1.62000000,2.12773655
1.64000000,2.12773655
1.66000000,2.12652140
1.68000000,2.12652140
1.70000000,2.12652140
1.72000000,2.12652140
1.74000000,2.12652140
1.76000000,2.12561030
1.78000000,2.12561030
1.80000000,2.06021313
1.82000000,2.01744177
1.84000000,2.01617634
1.86000000,2.02252877
1.88000000,2.11085875
1.90000000,2.11085875
1.92000000,2.11085875
1.94000000,2.11085875
1.96000000,2.10949143
1.98000000,2.10949143
2.00000000,2.10949143
2.02000000,2.10949143
2.04000000,2.10949143
2.06000000,2.33955978
2.08000000,2.23138463
2.10000000,2.11278173
2.12000000,2.11278173
2.14000000,2.20501156
2.16000000,2.11721957
2.18000000,2.11721957
2.20000000,2.11721957
2.22000000,2.11721957
2.24000000,2.18859335
2.26000000,2.17728795
2.28000000,2.11821523
2.30000000,2.11821523
2.32000000,2.11821523
2.34000000,2.11821523
2.36000000,2.11840056
2.38000000,2.11840056
2.40000000,2.11840056
