# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.6955574711999997, P max: 2.3394734231
Time,Power
0.00000000,1.71468670
0.02000000,1.71470026
0.04000000,1.71470026
0.06000000,1.71470026
0.08000000,1.71470026
0.10000000,1.71470026
0.12000000,1.71451138
0.14000000,1.71451138
0.16000000,1.71451138
0.18000000,1.71451138
0.20000000,1.71451138
0.22000000,1.71457554
0.24000000,1.71457554
0.26000000,1.71457554
0.28000000,1.71457554
0.30000000,1.93791217
0.32000000,1.96674761
0.34000000,1.95293185
0.36000000,1.79822564
0.38000000,1.72054359
0.40000000,1.77433904
0.42000000,1.72864074
0.44000000,1.72864074
0.46000000,1.72864074
0.48000000,1.72864074
0.50000000,1.72864074
0.52000000,1.72961595
0.54000000,1.72961595
0.56000000,1.72961595
0.58000000,1.72961595
0.60000000,1.72961595
0.62000000,1.72987857
0.64000000,1.72987857
0.66000000,1.72987857
0.68000000,1.72987857
0.70000000,1.72987857
0.72000000,1.72985531
0.74000000,1.72985531
0.76000000,1.72985531
0.78000000,1.72985531
0.80000000,1.72985531
0.82000000,1.73078403
0.84000000,1.73078403
0.86000000,1.73078403
0.88000000,1.73078403
0.90000000,1.73078403
0.92000000,1.73097348
0.94000000,1.73097348
0.96000000,1.73097348
0.98000000,1.73097348
1.00000000,1.73097348
1.02000000,1.73127714
1.04000000,1.73127714
1.06000000,1.73127714
1.08000000,1.73127714
1.10000000,1.73127714
1.12000000,1.73159449
1.14000000,1.73159449
1.16000000,1.73159449
1.18000000,1.73159449
1.20000000,1.73159449
1.22000000,1.73157125
1.24000000,1.73157125
1.26000000,1.73157125
1.28000000,1.73157125
1.30000000,1.73157125
1.32000000,1.73042086
1.34000000,1.73042086
1.36000000,1.73042086
1.38000000,1.73042086
1.40000000,1.73042086
1.42000000,1.71785952
1.44000000,1.71785952
1.46000000,1.71785952
1.48000000,1.71785952
1.50000000,1.71785952
1.52000000,1.71646944
1.54000000,1.71646944
1.56000000,1.71646944
1.58000000,1.71646944
1.60000000,1.71646944
1.62000000,1.71642247
1.64000000,1.71642247
1.66000000,1.71642247
1.68000000,1.71642247
1.70000000,1.71642247
1.72000000,1.71641254
1.74000000,1.71641254
1.76000000,1.71641254
1.78000000,1.71641254
1.80000000,1.71641254
1.82000000,1.71619675
1.84000000,1.71619675
1.86000000,1.71619675
1.88000000,1.71619675
1.90000000,1.71619675
1.92000000,1.71619651
1.94000000,1.71619651
1.96000000,1.71619651
1.98000000,1.71619651
2.00000000,1.71619651
2.02000000,1.71646316
2.04000000,1.71646316
2.06000000,1.71646316
2.08000000,1.71646316
2.10000000,1.71646316
2.12000000,1.71618295
2.14000000,1.71618295
2.16000000,1.71618295
2.18000000,1.71618295
2.20000000,1.71618295
2.22000000,1.71611877
2.24000000,1.71611877
2.26000000,1.71611877
2.28000000,1.71611877
2.30000000,1.71611877
2.32000000,1.71609527
2.34000000,1.71609527
2.36000000,1.71609527
2.38000000,1.71609527
2.40000000,1.71609527
2.42000000,1.71608195
2.44000000,1.71608195
2.46000000,1.71608195
2.48000000,1.71608195
2.50000000,1.71608195
2.52000000,1.71616962
2.54000000,1.71616962
2.56000000,1.71616962
2.58000000,1.71616962
2.60000000,1.71616962
2.62000000,1.71639922
2.64000000,1.71639922
2.66000000,1.71639922
2.68000000,1.71639922
2.70000000,1.71639922
2.72000000,1.71619675
2.74000000,1.71619675
2.76000000,1.71619675
2.78000000,1.71619675
2.80000000,1.71619675
2.82000000,1.71562638
2.84000000,1.71562638
2.86000000,1.71562638
2.88000000,1.71562638
2.90000000,1.71562638
2.92000000,1.71557937
2.94000000,1.71557937
2.96000000,1.71557937
2.98000000,1.71557937
3.00000000,1.71557937
3.02000000,1.71513733
3.04000000,1.71513733
3.06000000,1.71513733
3.08000000,1.71513733
3.10000000,1.71513733
3.12000000,1.71612625
3.14000000,1.71612625
3.16000000,1.71612625
3.18000000,1.71612625
3.20000000,1.71612625
3.22000000,1.71606230
3.24000000,1.71606230
3.26000000,1.71606230
3.28000000,1.71606230
3.30000000,1.71606230
3.32000000,1.71614004
3.34000000,1.71614004
3.36000000,1.71614004
3.38000000,1.71614004
3.40000000,1.71614004
3.42000000,1.71614004
3.44000000,1.71614004
3.46000000,1.71614004
3.48000000,1.71614004
3.50000000,1.71614004
3.52000000,1.71593755
3.54000000,1.71593755
3.56000000,1.71593755
3.58000000,1.71593755
3.60000000,1.71593755
3.62000000,1.71574839
3.64000000,1.71574839
3.66000000,1.71574839
3.68000000,1.71574839
3.70000000,1.71574839
3.72000000,1.71549528
3.74000000,1.71549528
3.76000000,1.71549528
3.78000000,1.71549528
3.80000000,1.71549528
3.82000000,1.71568421
3.84000000,1.71568421
3.86000000,1.71568421
3.88000000,1.71568421
3.90000000,1.71568421
3.92000000,1.71570772
3.94000000,1.71570772
3.96000000,1.71570772
3.98000000,1.71570772
4.00000000,1.71570772
4.02000000,1.71573123
4.04000000,1.71573123
4.06000000,1.71573123
4.08000000,1.71573123
4.10000000,1.71573123
4.12000000,1.71571767
4.14000000,1.71571767
4.16000000,1.71571767
4.18000000,1.71571767
4.20000000,1.71571767
4.22000000,1.71488065
4.24000000,1.71488065
4.26000000,1.71488065
4.28000000,1.71488065
4.30000000,1.71488065
4.32000000,1.71476586
4.34000000,1.71476586
4.36000000,1.71476586
4.38000000,1.71476586
4.40000000,1.93450250
4.42000000,1.92943405
4.44000000,1.91308463
4.46000000,1.72144716
4.48000000,1.72144716
4.50000000,1.72144716
4.52000000,1.72960617
4.54000000,1.72960617
4.56000000,1.72960617
4.58000000,1.72960617
4.60000000,1.72960617
4.62000000,1.73028745
4.64000000,1.73028745
4.66000000,1.73028745
4.68000000,1.73028745
4.70000000,1.73028745
4.72000000,1.73030112
4.74000000,1.73030112
4.76000000,1.73030112
4.78000000,1.73030112
4.80000000,1.73030112
4.82000000,1.73027377
