# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.0065391486, P max: 2.513624563
Time,Power
0.00000000,2.08736644
0.02000000,2.08756875
0.04000000,2.08756875
0.06000000,2.08756875
0.08000000,2.03223609
0.10000000,2.03476501
0.12000000,2.08751818
0.14000000,2.08751818
0.16000000,2.08751818
0.18000000,2.08751818
0.20000000,2.08751818
0.22000000,2.25095446
0.24000000,2.08970957
0.26000000,2.02471594
0.28000000,2.08970957
0.30000000,2.03604557
0.32000000,2.08950725
0.34000000,2.03351663
0.36000000,2.03604557
0.38000000,2.08950725
0.40000000,2.08950725
0.42000000,2.07921798
0.44000000,2.07921798
0.46000000,2.07921798
0.48000000,2.07921798
0.50000000,2.07921798
0.52000000,2.07624889
0.54000000,2.02480801
0.56000000,2.01347787
0.58000000,2.07624889
0.60000000,2.42197002
0.62000000,2.42433131
0.64000000,2.17043226
0.66000000,2.08278145
0.68000000,2.08278145
0.70000000,2.08278145
0.72000000,2.08961141
0.74000000,2.08961141
0.76000000,2.03337190
0.78000000,2.03210752
0.80000000,2.08961141
0.82000000,2.07236389
0.84000000,2.07236389
0.86000000,2.07236389
0.88000000,2.07236389
0.90000000,2.07236389
0.92000000,2.06519681
0.94000000,2.06519681
0.96000000,2.06519681
0.98000000,2.06519681
1.00000000,2.06519681
1.02000000,2.06543337
1.04000000,2.06543337
1.06000000,2.06543337
1.08000000,2.06543337
1.10000000,2.06543337
1.12000000,2.06573996
1.14000000,2.06573996
1.16000000,2.06573996
1.18000000,2.06573996
1.20000000,2.06573996
1.22000000,2.06659055
1.24000000,2.06659055
1.26000000,2.30594972
1.28000000,2.15387852
1.30000000,2.28334386
1.32000000,2.16760248
1.34000000,2.01301213
1.36000000,2.07541464
1.38000000,2.07541464
1.40000000,2.07541464
1.42000000,2.07632619
1.44000000,2.07632619
1.46000000,2.07632619
1.48000000,2.07632619
1.50000000,2.07632619
1.52000000,2.07631645
1.54000000,2.07631645
1.56000000,2.13097765
1.58000000,2.07631645
1.60000000,2.07631645
1.62000000,2.07439631
1.64000000,2.00653915
1.66000000,2.14098936
1.68000000,2.16864797
1.70000000,2.44002604
1.72000000,2.26669519
1.74000000,2.07636702
1.76000000,2.07636702
1.78000000,2.07636702
1.80000000,2.07636702
1.82000000,2.07769279
1.84000000,2.07769279
1.86000000,2.07769279
1.88000000,2.07769279
1.90000000,2.07769279
1.92000000,2.07750822
1.94000000,2.07750822
1.96000000,2.07750822
1.98000000,2.07750822
2.00000000,2.07750822
2.02000000,2.07754772
2.04000000,2.07754772
2.06000000,2.07754772
2.08000000,2.07754772
2.10000000,2.07754772
2.12000000,2.07731133
2.14000000,2.07731133
2.16000000,2.07731133
2.18000000,2.07731133
2.20000000,2.07731133
2.22000000,2.07763241
2.24000000,2.02034318
2.26000000,2.07763241
2.28000000,2.07763241
2.30000000,2.07763241
2.32000000,2.06996303
2.34000000,2.06996303
2.36000000,2.06996303
2.38000000,2.06996303
2.40000000,2.06996303
2.42000000,2.06416443
2.44000000,2.06416443
2.46000000,2.06416443
2.48000000,2.06416443
2.50000000,2.06416443
2.52000000,2.06431612
2.54000000,2.06431612
2.56000000,2.06431612
2.58000000,2.06431612
2.60000000,2.06431612
2.62000000,2.06397283
2.64000000,2.06397283
2.66000000,2.06397283
2.68000000,2.06397283
2.70000000,2.06397283
2.72000000,2.05733060
2.74000000,2.05733060
2.76000000,2.05733060
2.78000000,2.05733060
2.80000000,2.05733060
2.82000000,2.05055458
2.84000000,2.10592578
2.86000000,2.05055458
2.88000000,2.05055458
2.90000000,2.05055458
2.92000000,2.05030175
2.94000000,2.05030175
2.96000000,2.31830844
2.98000000,2.13611445
3.00000000,2.21904483
3.02000000,2.14986831
3.04000000,2.06304631
3.06000000,2.06304631
3.08000000,2.06304631
3.10000000,2.06304631
3.12000000,2.06326490
3.14000000,2.06326490
3.16000000,2.06326490
3.18000000,2.06326490
3.20000000,2.06326490
3.22000000,2.13227130
3.24000000,2.06279348
3.26000000,2.06279348
3.28000000,2.06279348
3.30000000,2.06279348
3.32000000,2.06306102
3.34000000,2.06306102
3.36000000,2.06306102
3.38000000,2.06306102
3.40000000,2.06306102
3.42000000,2.06279025
3.44000000,2.06279025
3.46000000,2.06279025
3.48000000,2.06279025
3.50000000,2.06279025
3.52000000,2.06251947
3.54000000,2.06251947
3.56000000,2.06251947
3.58000000,2.06251947
3.60000000,2.06251947
3.62000000,2.06241262
