# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.029157398, P max: 2.6324325034
Time,Power
0.00000000,2.42660983
0.02000000,2.13647005
0.04000000,2.16411926
0.06000000,2.38394816
0.08000000,2.12767487
0.10000000,2.31859089
0.12000000,2.25136338
0.14000000,2.16664661
0.16000000,2.37262563
0.18000000,2.18925844
0.20000000,2.17419532
0.22000000,2.36885335
0.24000000,2.16540007
0.26000000,2.44421953
0.28000000,2.14158830
0.30000000,2.17677006
0.32000000,2.25021703
0.34000000,2.14285201
0.36000000,2.34130542
0.38000000,2.14288593
0.40000000,2.14162219
0.42000000,2.24929220
0.44000000,2.13909473
0.46000000,2.16421773
0.48000000,2.48330456
0.50000000,2.17803492
0.52000000,2.24946165
0.54000000,2.24946165
0.56000000,2.16423486
0.58000000,2.33001943
0.60000000,2.17174958
0.62000000,2.25060648
0.64000000,2.14162219
0.66000000,2.14662657
0.68000000,2.31248317
0.70000000,2.18560142
0.72000000,2.17306489
0.74000000,2.38911773
0.76000000,2.18186068
0.78000000,2.38413210
0.80000000,2.13663489
0.82000000,2.15801792
0.84000000,2.25285141
0.86000000,2.19320135
0.88000000,2.18057966
0.90000000,2.38783507
0.92000000,2.17557520
0.94000000,2.25210806
0.96000000,2.14165609
0.98000000,2.19193757
1.00000000,2.25239645
1.02000000,2.18814626
1.04000000,2.32635242
1.06000000,2.15422660
1.08000000,2.18556683
1.10000000,2.44306700
1.12000000,2.14290288
1.14000000,2.16923928
1.16000000,2.42047129
1.18000000,2.15545626
1.20000000,2.18057966
1.22000000,2.09641375
1.24000000,2.14291984
1.26000000,2.04116249
1.28000000,2.24181624
1.30000000,2.24181624
1.32000000,2.24181624
1.34000000,2.24181624
1.36000000,2.13545546
1.38000000,2.24033251
1.40000000,2.15050285
1.42000000,2.24033251
1.44000000,2.47332346
1.46000000,2.24033251
1.48000000,2.42173503
1.50000000,2.13911165
1.52000000,2.17429425
1.54000000,2.53355096
1.56000000,2.17682173
1.58000000,2.18179162
1.60000000,2.41290119
1.62000000,2.24027670
1.64000000,2.24027670
1.66000000,2.14913703
1.68000000,2.17166795
1.70000000,2.23930037
1.72000000,2.17040426
1.74000000,2.23930037
1.76000000,2.16914058
1.78000000,2.13775064
1.80000000,2.38270334
1.82000000,2.23970475
1.84000000,2.17672269
1.86000000,2.32240029
1.88000000,2.23983604
1.90000000,2.37509660
1.92000000,2.14021026
1.94000000,2.18666185
1.96000000,2.30099645
1.98000000,2.23986622
2.00000000,2.17279407
2.02000000,2.39382386
2.04000000,2.14014252
2.06000000,2.23986622
2.08000000,2.13261143
2.10000000,2.24006840
2.12000000,2.36622672
2.14000000,2.24006840
2.16000000,2.37123060
2.18000000,2.13756879
2.20000000,2.16521586
2.22000000,2.24067671
2.24000000,2.17021963
2.26000000,2.18154128
2.28000000,2.41503681
2.30000000,2.15252841
2.32000000,2.44515907
2.34000000,2.17764714
2.36000000,2.17138009
2.38000000,2.34470271
2.40000000,2.17266081
2.42000000,2.34470271
2.44000000,2.14253831
2.46000000,2.17139728
2.48000000,2.40124567
2.50000000,2.14757587
2.52000000,2.46533280
2.54000000,2.14883942
2.56000000,2.13125084
2.58000000,2.30327724
2.60000000,2.25061300
2.62000000,2.18773937
2.64000000,2.25061300
2.66000000,2.14882241
2.68000000,2.34724834
2.70000000,2.16388378
2.72000000,2.18647583
2.74000000,2.25101733
2.76000000,2.15256248
2.78000000,2.31956543
2.80000000,2.36732639
2.82000000,2.53683990
2.84000000,2.25148710
2.86000000,2.18644122
2.88000000,2.26109116
2.90000000,2.17259632
2.92000000,2.20398142
2.94000000,2.14621465
2.96000000,2.13994774
2.98000000,2.26194903
3.00000000,2.12619671
3.02000000,2.18644122
3.04000000,2.46901428
3.06000000,2.26194903
3.08000000,2.32207408
3.10000000,2.26157734
3.12000000,2.17515343
3.14000000,2.26157734
3.16000000,2.16635942
3.18000000,2.17259632
3.20000000,2.26028253
3.22000000,2.13494432
3.24000000,2.26028253
3.26000000,2.14747814
3.28000000,2.16760577
3.30000000,2.26054865
3.32000000,2.19019711
3.34000000,2.39240725
3.36000000,2.15249434
3.38000000,2.17008223
3.40000000,2.25948731
3.42000000,2.25948731
3.44000000,2.16760577
3.46000000,2.41873853
3.48000000,2.26071949
3.50000000,2.26071949
3.52000000,2.14998811
3.54000000,2.16504879
3.56000000,2.26071949
3.58000000,2.25999271
3.60000000,2.35849497
3.62000000,2.12737601
3.64000000,2.13116650
3.66000000,2.25999271
3.68000000,2.15884600
3.70000000,2.20781994
3.72000000,2.40876976
3.74000000,2.16764008
3.76000000,2.45268963
3.78000000,2.17773331
3.80000000,2.17899688
3.82000000,2.36362937
3.84000000,2.18152402
3.86000000,2.26097714
3.88000000,2.25003422
3.90000000,2.16541720
3.92000000,2.36260417
3.94000000,2.25003422
3.96000000,2.25003422
3.98000000,2.43547728
4.00000000,2.14912003
4.02000000,2.33250998
4.04000000,2.13779716
4.06000000,2.14912003
4.08000000,2.25123378
4.10000000,2.25123378
4.12000000,2.25123378
4.14000000,2.47830842
4.16000000,2.25123378
4.18000000,2.31392544
4.20000000,2.15189859
4.22000000,2.17070483
4.24000000,2.39094170
4.26000000,2.14183826
4.28000000,2.16957400
4.30000000,2.31533127
4.32000000,2.17083793
4.34000000,2.25238718
4.36000000,2.14196960
4.38000000,2.17211906
4.40000000,2.43845807
4.42000000,2.25230389
4.44000000,2.35554312
4.46000000,2.16332198
4.48000000,2.14700877
4.50000000,2.25308008
4.52000000,2.16333910
4.54000000,2.18973053
4.56000000,2.25308008
4.58000000,2.17592812
4.60000000,2.39075033
4.62000000,2.14326745
4.64000000,2.16713097
4.66000000,2.40328879
4.68000000,2.25053722
4.70000000,2.40332682
4.72000000,2.25053722
4.74000000,2.16964266
4.76000000,2.37572155
4.78000000,2.15452491
4.80000000,2.15831675
4.82000000,2.42339182
4.84000000,2.16584988
4.86000000,2.33294374
4.88000000,2.14065909
4.90000000,2.16072998
4.92000000,2.24986091
4.94000000,2.33034670
4.96000000,2.24986091
4.98000000,2.15312893
5.00000000,2.18705120
5.02000000,2.24933472
5.04000000,2.15565667
5.06000000,2.17324974
5.08000000,2.47594408
5.10000000,2.15811611
5.12000000,2.40431019
5.14000000,2.17444479
5.16000000,2.13551883
5.18000000,2.47079589
5.20000000,2.24993726
5.22000000,2.24993726
5.24000000,2.24993726
5.26000000,2.13665180
5.28000000,2.35768856
5.30000000,2.15169853
5.32000000,2.15169853
5.34000000,2.41799435
5.36000000,2.16170737
5.38000000,2.42052874
5.40000000,2.16049492
5.42000000,2.17434586
5.44000000,2.42305629
5.46000000,2.25118323
5.48000000,2.17689063
5.50000000,2.37783205
5.52000000,2.18563601
5.54000000,2.25089774
5.56000000,2.14170693
5.58000000,2.18191248
5.60000000,2.25106720
5.62000000,2.18064868
5.64000000,2.25106720
5.66000000,2.15426070
5.68000000,2.13924707
5.70000000,2.38422642
5.72000000,2.13798325
5.74000000,2.25112064
5.76000000,2.40429592
5.78000000,2.17200306
5.80000000,2.40946083
5.82000000,2.14434936
5.84000000,2.15066876
5.86000000,2.39060374
5.88000000,2.17825467
5.90000000,2.18705120
5.92000000,2.43704469
5.94000000,2.25075025
5.96000000,2.35287095
5.98000000,2.15070280
6.00000000,2.35545460
6.02000000,2.25044978
6.04000000,2.25044978
6.06000000,2.25044978
6.08000000,2.14694507
6.10000000,2.13941211
6.12000000,2.31904042
6.14000000,2.17459964
6.16000000,2.16706668
6.18000000,2.40448141
6.20000000,2.15200075
6.22000000,2.38815156
6.24000000,2.13941211
6.26000000,2.18213260
6.28000000,2.42209434
6.30000000,2.11556603
6.32000000,2.25151434
6.34000000,2.03391616
6.36000000,2.25151434
6.38000000,2.09045151
6.40000000,2.24343850
6.42000000,2.24343850
6.44000000,2.17837100
6.46000000,2.42084477
6.48000000,2.24293561
6.50000000,2.43723269
6.52000000,2.13822854
6.54000000,2.16462018
6.56000000,2.41716089
6.58000000,2.24274844
6.60000000,2.30655251
6.62000000,2.15326096
6.64000000,2.14198655
6.66000000,2.32541061
6.68000000,2.24278126
6.70000000,2.17963494
6.72000000,2.38818463
6.74000000,2.16583274
6.76000000,2.41710352
6.78000000,2.14820899
6.80000000,2.18086868
6.82000000,2.24391301
6.84000000,2.24391301
6.86000000,2.38188252
6.88000000,2.46475667
6.90000000,2.39691052
6.92000000,2.62051970
6.94000000,2.13563711
6.96000000,2.37678923
6.98000000,2.16945813
7.00000000,2.17704135
7.02000000,2.33027295
7.04000000,2.17825467
7.06000000,2.42824815
7.08000000,2.14180437
7.10000000,2.17446200
7.12000000,2.25155624
7.14000000,2.15813318
7.16000000,2.17572584
7.18000000,2.31771702
7.20000000,2.15943120
7.22000000,2.25199630
7.24000000,2.15063473
7.26000000,2.18076515
7.28000000,2.47974387
7.30000000,2.18329287
7.32000000,2.38050559
7.34000000,2.14310212
7.36000000,2.14431543
7.38000000,2.25752299
7.40000000,2.17694231
7.42000000,2.25752299
7.44000000,2.14175777
7.46000000,2.17694231
7.48000000,2.40425788
7.50000000,2.17439748
7.52000000,2.36280515
7.54000000,2.12788955
7.56000000,2.20204948
7.58000000,2.32637083
7.60000000,2.18063143
7.62000000,2.17436307
7.64000000,2.42181168
7.66000000,2.16683092
7.68000000,2.26109121
7.70000000,2.15048584
7.72000000,2.17181832
7.74000000,2.26109121
7.76000000,2.18187795
7.78000000,2.26098698
7.80000000,2.15543921
7.82000000,2.13537098
7.84000000,2.26098698
7.86000000,2.18056241
7.88000000,2.16677949
7.90000000,2.46699653
7.92000000,2.16677949
7.94000000,2.38657132
7.96000000,2.14918805
7.98000000,2.15435871
8.00000000,2.24960245
8.02000000,2.16568281
8.04000000,2.16062741
8.06000000,2.43073743
8.08000000,2.19337055
8.10000000,2.30140616
8.12000000,2.13679973
8.14000000,2.15818441
8.16000000,2.24968860
8.18000000,2.18715503
8.20000000,2.17835808
8.22000000,2.24989651
8.24000000,2.14443420
8.26000000,2.24989651
8.28000000,2.17462975
8.30000000,2.18969588
8.32000000,2.36432149
8.34000000,2.17963494
8.36000000,2.36305755
8.38000000,2.14584667
8.40000000,2.12825155
8.42000000,2.24868713
8.44000000,2.17977290
8.46000000,2.18857046
8.48000000,2.44357930
8.50000000,2.16848071
8.52000000,2.30792601
8.54000000,2.13956022
8.56000000,2.17222217
8.58000000,2.41097457
8.60000000,2.31298638
8.62000000,2.25013843
8.64000000,2.18607701
8.66000000,2.14340311
8.68000000,2.24991839
8.70000000,2.17731265
8.72000000,2.17852612
8.74000000,2.42101715
8.76000000,2.14212212
8.78000000,2.43738213
8.80000000,2.11323043
8.82000000,2.25131471
8.84000000,2.44117427
8.86000000,2.17855628
8.88000000,2.18110162
8.90000000,2.37460316
8.92000000,2.17230380
8.94000000,2.35574346
8.96000000,2.16729814
8.98000000,2.16342468
9.00000000,2.46496631
9.02000000,2.18228367
9.04000000,2.33932396
9.06000000,2.13956022
9.08000000,2.16086247
9.10000000,2.25272908
9.12000000,2.25272908
9.14000000,2.25272908
9.16000000,2.15211568
9.18000000,2.20109042
9.20000000,2.25220567
9.22000000,2.13698148
9.24000000,2.19102916
9.26000000,2.41718001
9.28000000,2.14079035
9.30000000,2.36820698
9.32000000,2.25161677
9.34000000,2.16718241
9.36000000,2.31041747
9.38000000,2.13819471
9.40000000,2.17591090
9.42000000,2.46484930
9.44000000,2.18844926
9.46000000,2.41333080
9.48000000,2.14943890
9.50000000,2.13184541
9.52000000,2.25039923
9.54000000,2.25039923
9.56000000,2.18710312
9.58000000,2.15565667
9.60000000,2.13558642
9.62000000,2.41945162
9.64000000,2.14185521
9.66000000,2.17451361
9.68000000,2.25084849
9.70000000,2.17067048
9.72000000,2.45331565
9.74000000,2.15307782
9.76000000,2.13174420
9.78000000,2.25095117
9.80000000,2.19074314
9.82000000,2.18194701
9.84000000,2.42313298
9.86000000,2.25095117
9.88000000,2.25248557
9.90000000,2.18070045
9.92000000,2.16816333
9.94000000,2.38169878
9.96000000,2.25248557
9.98000000,2.25334496
10.00000000,2.16689951
10.02000000,2.14551563
10.04000000,2.25334496
10.06000000,2.16310804
10.08000000,2.20208432
10.10000000,2.43194836
10.12000000,2.14804327
10.14000000,2.40935121
10.16000000,2.25268778
10.18000000,2.14676247
10.20000000,2.40174928
10.22000000,2.17441468
10.24000000,2.17315087
10.26000000,2.43693382
10.28000000,2.15800084
10.30000000,2.25258083
10.32000000,2.14293680
10.34000000,2.17180113
10.36000000,2.25258083
10.38000000,2.19195492
10.40000000,2.25297034
10.42000000,2.14797529
10.44000000,2.17436307
10.46000000,2.32131570
10.48000000,2.11913959
10.50000000,2.18950965
10.52000000,2.36912516
10.54000000,2.16938947
10.56000000,2.39804160
10.58000000,2.15061771
10.60000000,2.18954429
10.62000000,2.32770838
10.64000000,2.18201175
10.66000000,2.18954429
10.68000000,2.25221924
10.70000000,2.14564720
10.72000000,2.25221924
10.74000000,2.16071288
10.76000000,2.16950963
10.78000000,2.43974132
10.80000000,2.25277673
10.82000000,2.37315604
10.84000000,2.15454195
10.86000000,2.15080064
10.88000000,2.25274690
10.90000000,2.18226640
10.92000000,2.15966613
10.94000000,2.40088741
10.96000000,2.16087957
10.98000000,2.49768754
11.00000000,2.41476668
11.02000000,2.40096339
11.04000000,2.14461658
11.06000000,2.18986913
11.08000000,2.26341820
11.10000000,2.15845336
11.12000000,2.34315306
11.14000000,2.14586365
11.16000000,2.20744706
11.18000000,2.43107881
11.20000000,2.13959407
11.22000000,2.18605972
11.24000000,2.44741005
11.26000000,2.18605972
11.28000000,2.32934999
11.30000000,2.14216873
11.32000000,2.16977569
11.34000000,2.26397307
11.36000000,2.17609596
11.38000000,2.18364701
11.40000000,2.05046512
11.42000000,2.07807230
11.44000000,2.06052708
11.46000000,2.07433067
11.48000000,2.07437989
11.50000000,2.10325182
11.52000000,2.08191390
11.54000000,2.06558179
11.56000000,2.04171568
11.58000000,2.08944791
11.60000000,2.05177788
11.62000000,2.12084803
11.64000000,2.06057598
11.66000000,2.06684589
11.68000000,2.02915740
11.70000000,2.11961747
11.72000000,2.31565642
11.74000000,2.14474807
11.76000000,2.34705704
11.78000000,2.14221957
11.80000000,2.22964369
11.82000000,2.28920737
11.84000000,2.17862522
11.86000000,2.39351967
11.88000000,2.22971189
11.90000000,2.17490073
11.92000000,2.28669729
11.94000000,2.22971189
11.96000000,2.15856862
11.98000000,2.53555142
12.00000000,2.17749782
12.02000000,2.30062457
12.04000000,2.14731028
12.06000000,2.22963075
12.08000000,2.42756517
12.10000000,2.22029145
12.12000000,2.29816447
12.14000000,2.15243067
12.16000000,2.22029145
12.18000000,2.31077391
12.20000000,2.13485027
12.22000000,2.22162376
12.24000000,2.46783594
12.26000000,2.15118351
12.28000000,2.42508739
12.30000000,2.14236785
12.32000000,2.15490844
12.34000000,2.33710098
12.36000000,2.15490844
12.38000000,2.22243283
12.40000000,2.39244010
12.42000000,2.22243283
12.44000000,2.33585529
12.46000000,2.12099483
12.48000000,2.41127021
12.50000000,2.22588902
12.52000000,2.15620673
12.54000000,2.46032088
12.56000000,2.22588902
12.58000000,2.23707966
12.60000000,2.23707966
12.62000000,2.18004019
12.64000000,2.39094170
12.66000000,2.14484563
12.68000000,2.17248854
12.70000000,2.24641676
12.72000000,2.13481650
12.74000000,2.33460474
12.76000000,2.15489140
12.78000000,2.16993018
12.80000000,2.25280752
12.82000000,2.14358539
12.84000000,2.18125691
12.86000000,2.45643600
12.88000000,2.19131951
12.90000000,2.25179621
12.92000000,2.15238384
12.94000000,2.17372261
12.96000000,2.31318309
12.98000000,2.16740101
13.00000000,2.19000339
13.02000000,2.18747516
13.04000000,2.13847806
13.06000000,2.37845765
13.08000000,2.15602338
13.10000000,2.18115339
13.12000000,2.33820331
13.14000000,2.25189158
