# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.030427994, P max: 2.617539249
Time,Power
0.00000000,2.26248707
0.02000000,2.19277616
0.04000000,2.41126534
0.06000000,2.26120881
0.08000000,2.41758298
0.10000000,2.14127478
0.12000000,2.15252841
0.14000000,2.26068551
0.16000000,2.17390713
0.18000000,2.26068551
0.20000000,2.39244512
0.22000000,2.17016810
0.24000000,2.32967834
0.26000000,2.18022594
0.28000000,2.15889726
0.30000000,2.38997483
0.32000000,2.24955162
0.34000000,2.24955162
0.36000000,2.33218698
0.38000000,2.19400651
0.40000000,2.33592705
0.42000000,2.17138009
0.44000000,2.18143769
0.46000000,2.47027779
0.48000000,2.25017305
0.50000000,2.25017305
0.52000000,2.25020578
0.54000000,2.17456925
0.56000000,2.25020578
0.58000000,2.16256890
0.60000000,2.17641694
0.62000000,2.33719058
0.64000000,2.24919783
0.66000000,2.24919783
0.68000000,2.24919783
0.70000000,2.18647583
0.72000000,2.36493037
0.74000000,2.14264005
0.76000000,2.25029771
0.78000000,2.38499613
0.80000000,2.19662051
0.82000000,2.18017418
0.84000000,2.24779763
0.86000000,2.13999432
0.88000000,2.24779763
0.90000000,2.24779763
0.92000000,2.25355185
0.94000000,2.25355185
0.96000000,2.25355185
0.98000000,2.25355185
1.00000000,2.25355185
1.02000000,2.15713424
1.04000000,2.48108335
1.06000000,2.19604249
1.08000000,2.19104000
1.10000000,2.25395010
1.12000000,2.17323613
1.14000000,2.19329459
1.16000000,2.34901295
1.18000000,2.16065538
1.20000000,2.53984625
1.22000000,2.17180535
1.24000000,2.17433141
1.26000000,2.25673148
1.28000000,2.19691438
1.30000000,2.25673148
1.32000000,2.55697343
1.34000000,2.25650367
1.36000000,2.41259842
1.38000000,2.15274360
1.40000000,2.18916571
1.42000000,2.25688510
1.44000000,2.19273460
1.46000000,2.19273460
1.48000000,2.49025146
1.50000000,2.25688510
1.52000000,2.44983518
1.54000000,2.13986820
1.56000000,2.19007305
1.58000000,2.25548078
1.60000000,2.19886143
1.62000000,2.25617374
1.64000000,2.46959012
1.66000000,2.17345343
1.68000000,2.25617374
1.70000000,2.15714167
1.72000000,2.16943387
1.74000000,2.35169107
1.76000000,2.25578100
1.78000000,2.25578100
1.80000000,2.41034742
1.82000000,2.03761066
1.84000000,2.34753915
1.86000000,2.05139536
1.88000000,2.36006152
1.90000000,2.08153992
1.92000000,2.32627258
1.94000000,2.24699480
1.96000000,2.24699480
1.98000000,2.24699480
2.00000000,2.16191006
2.02000000,2.24685957
2.04000000,2.24685957
2.06000000,2.19207043
2.08000000,2.24685957
2.10000000,2.16323670
2.12000000,2.24704955
2.14000000,2.24704955
2.16000000,2.15579804
2.18000000,2.48580835
2.20000000,2.15327310
2.22000000,2.24546916
2.24000000,2.29763535
2.26000000,2.24546916
2.28000000,2.24546916
2.30000000,2.24546916
2.32000000,2.17089830
2.34000000,2.52354050
2.36000000,2.24402244
2.38000000,2.14832475
2.40000000,2.47834291
2.42000000,2.24232320
2.44000000,2.18596464
2.46000000,2.36544342
2.48000000,2.16965298
2.50000000,2.42190298
2.52000000,2.15591330
2.54000000,2.18601226
2.56000000,2.29645926
2.58000000,2.24287706
2.60000000,2.24287706
2.62000000,2.32538776
2.64000000,2.24382444
2.66000000,2.41452661
2.68000000,2.16226113
2.70000000,2.14594847
2.72000000,2.35431311
2.74000000,2.18360824
2.76000000,2.24456705
2.78000000,2.51870493
2.80000000,2.18865868
2.82000000,2.41830219
2.84000000,2.16355799
2.86000000,2.17608308
2.88000000,2.24426402
2.90000000,2.24426402
2.92000000,2.25156333
2.94000000,2.46962924
2.96000000,2.25156333
2.98000000,2.43321759
3.00000000,2.14333841
3.02000000,2.12828893
3.04000000,2.25297738
3.06000000,2.25297738
3.08000000,2.25297738
3.10000000,2.35039497
3.12000000,2.25247380
3.14000000,2.31272090
3.16000000,2.15712886
3.18000000,2.14202921
3.20000000,2.42316549
3.22000000,2.25208160
3.24000000,2.20092662
3.26000000,2.61753925
3.28000000,2.32015358
3.30000000,2.58617968
3.32000000,2.19326770
3.34000000,2.26365829
3.36000000,2.40661076
3.38000000,2.15691101
3.40000000,2.26365829
3.42000000,2.15312386
3.44000000,2.17069626
3.46000000,2.43044459
3.48000000,2.26436522
3.50000000,2.26436522
3.52000000,2.33132212
3.54000000,2.15186147
3.56000000,2.26219392
3.58000000,2.14433766
3.60000000,2.18826865
3.62000000,2.26181928
3.64000000,2.26181928
3.66000000,2.26181928
3.68000000,2.46046189
3.70000000,2.16936513
3.72000000,2.36505465
3.74000000,2.13920304
3.76000000,2.26250499
3.78000000,2.35374440
3.80000000,2.26250499
3.82000000,2.26282706
3.84000000,2.47039762
3.86000000,2.19436059
3.88000000,2.26282706
3.90000000,2.14043567
3.92000000,2.26309745
3.94000000,2.34494482
3.96000000,2.26309745
3.98000000,2.16675890
4.00000000,2.42775154
4.02000000,2.36251600
4.04000000,2.35373041
4.06000000,2.26395581
4.08000000,2.26395581
4.10000000,2.26395581
4.12000000,2.26509804
4.14000000,2.19314608
4.16000000,2.26509804
4.18000000,2.26509804
4.20000000,2.52190340
4.22000000,2.19198795
4.24000000,2.16815431
4.26000000,2.26358986
4.28000000,2.20829784
4.30000000,2.16315531
4.32000000,2.43679771
4.34000000,2.20213676
4.36000000,2.33514664
4.38000000,2.19335023
4.40000000,2.15572974
4.42000000,2.36154365
4.44000000,2.15702634
4.46000000,2.16076320
4.48000000,2.25261924
4.50000000,2.25261924
4.52000000,2.25340936
4.54000000,2.17831928
4.56000000,2.17958173
4.58000000,2.38914718
4.60000000,2.15700926
4.62000000,2.17712582
4.64000000,2.33650161
4.66000000,2.19217461
4.68000000,2.25489474
4.70000000,2.25489474
4.72000000,2.15591330
4.74000000,2.25509845
4.76000000,2.18727480
4.78000000,2.25509845
4.80000000,2.36170732
4.82000000,2.25491430
4.84000000,2.25491430
4.86000000,2.31905184
4.88000000,2.18350447
4.90000000,2.31905184
4.92000000,2.25516681
4.94000000,2.18855467
4.96000000,2.25516681
4.98000000,2.18602957
5.00000000,2.19355437
5.02000000,2.43078152
5.04000000,2.16599743
5.06000000,2.43078152
5.08000000,2.25664924
5.10000000,2.25664924
5.12000000,2.31533303
5.14000000,2.25685125
5.16000000,2.25685125
5.18000000,2.25685125
5.20000000,2.25685125
5.22000000,2.41198233
5.24000000,2.16350658
5.26000000,2.18108170
5.28000000,2.31910694
5.30000000,2.25708901
5.32000000,2.25754668
5.34000000,2.43966555
5.36000000,2.25754668
5.38000000,2.41456486
5.40000000,2.17108315
5.42000000,2.16107984
5.44000000,2.25638372
5.46000000,2.19370639
5.48000000,2.25638372
5.50000000,2.47234524
5.52000000,2.25674037
5.54000000,2.38078482
5.56000000,2.17497002
5.58000000,2.17497002
5.60000000,2.38452232
5.62000000,2.13729202
5.64000000,2.25815456
5.66000000,2.44477681
5.68000000,2.19002102
5.70000000,2.35315766
5.72000000,2.19000367
5.74000000,2.18621570
5.76000000,2.39329153
5.78000000,2.25783364
5.80000000,2.25783364
5.82000000,2.55657862
5.84000000,2.25898372
5.86000000,2.33312990
5.88000000,2.15114850
5.90000000,2.16625048
5.92000000,2.37086073
5.94000000,2.25953801
5.96000000,2.25953801
5.98000000,2.43611887
6.00000000,2.17629852
6.02000000,2.46392311
6.04000000,2.15013636
6.06000000,2.16766437
6.08000000,2.44634459
6.10000000,2.15387432
6.12000000,2.18027232
6.14000000,2.42753688
6.16000000,2.18779886
6.18000000,2.42001034
6.20000000,2.25831599
6.22000000,2.15895631
6.24000000,2.25877375
6.26000000,2.13763902
6.28000000,2.19790330
6.30000000,2.45648907
6.32000000,2.15782938
6.34000000,2.39005557
6.36000000,2.44026937
6.38000000,2.16030471
6.40000000,2.25941887
6.42000000,2.14656459
6.44000000,2.16914618
6.46000000,2.36748024
6.48000000,2.19051533
