# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.9655356280000003, P max: 2.7095718528000003
Time,Power
0.00000000,2.48112263
0.02000000,2.19860381
0.04000000,2.27020624
0.06000000,2.48612520
0.08000000,2.19107469
0.10000000,2.21992789
0.12000000,2.35428982
0.14000000,2.16722406
0.16000000,2.34802398
0.18000000,2.19233797
0.20000000,2.27143247
0.22000000,2.49493241
0.24000000,2.20361946
0.26000000,2.27143247
0.28000000,2.17850541
0.30000000,2.27136504
0.32000000,2.34291524
0.34000000,2.27136504
0.36000000,2.27136504
0.38000000,2.19602511
0.40000000,2.18470643
0.42000000,2.34796822
0.44000000,2.26803007
0.46000000,2.26803007
0.48000000,2.42957384
0.50000000,2.15465463
0.52000000,2.37689129
0.54000000,2.20114343
0.56000000,2.15091532
0.58000000,2.38320770
0.60000000,2.26808278
0.62000000,2.26808278
0.64000000,2.37192624
0.66000000,2.26808278
0.68000000,2.41336256
0.70000000,2.14220765
0.72000000,2.26793450
0.74000000,2.26793450
0.76000000,2.26793450
0.78000000,2.26793450
0.80000000,2.26749765
0.82000000,2.20246078
0.84000000,2.37452803
0.86000000,2.26749765
0.88000000,2.26749765
0.90000000,2.36707345
0.92000000,2.26746838
0.94000000,2.44115820
0.96000000,2.15982819
0.98000000,2.15735196
1.00000000,2.31062961
1.02000000,2.25807051
1.04000000,2.25807051
1.06000000,2.45632951
1.08000000,2.17251035
1.10000000,2.39360600
1.12000000,2.14621465
1.14000000,2.25815987
1.16000000,2.31951494
1.18000000,2.25815987
1.20000000,2.44136592
1.22000000,2.15753552
1.24000000,2.18645312
1.26000000,2.25750285
1.28000000,2.16001196
1.30000000,2.25716553
1.32000000,2.47535145
1.34000000,2.25716553
1.36000000,2.43264423
1.38000000,2.19398915
1.40000000,2.13881544
1.42000000,2.25804567
1.44000000,2.25804567
1.46000000,2.25804567
1.48000000,2.25804567
1.50000000,2.18657966
1.52000000,1.97808607
1.54000000,2.17530837
1.56000000,2.43778284
1.58000000,2.25718949
1.60000000,2.19417581
1.62000000,2.25558848
1.64000000,2.11633590
1.66000000,2.11380863
1.68000000,2.09621883
1.70000000,2.32234516
1.72000000,2.32108150
1.74000000,2.47433758
1.76000000,2.24435237
1.78000000,2.24435237
1.80000000,2.42915640
1.82000000,2.14401852
1.84000000,2.40277066
1.86000000,2.16034533
1.88000000,2.17793582
1.90000000,2.42164400
1.92000000,2.24442342
1.94000000,2.24442342
1.96000000,2.47942014
1.98000000,2.18674838
2.00000000,2.24405011
2.02000000,2.24405011
2.04000000,2.24405011
2.06000000,2.52843597
2.08000000,2.15917918
2.10000000,2.45559558
2.12000000,2.17297892
2.14000000,2.16039234
2.16000000,2.41414581
2.18000000,2.24576876
2.20000000,2.24681529
2.22000000,2.30489643
2.24000000,2.15289469
2.26000000,2.42924771
2.28000000,2.16674520
2.30000000,2.24745464
2.32000000,2.24745464
2.34000000,2.29987385
2.36000000,2.24745464
2.38000000,2.18179162
2.40000000,2.18801207
2.42000000,2.31862759
2.44000000,2.24695081
2.46000000,2.24695081
2.48000000,2.44550256
2.50000000,2.24677859
2.52000000,2.40397727
2.54000000,2.18667916
2.56000000,2.14775858
2.58000000,2.41024500
2.60000000,2.24869935
2.62000000,2.24869935
2.64000000,2.48940035
2.66000000,2.18541550
2.68000000,2.34367566
2.70000000,2.15151550
2.72000000,2.19796672
2.74000000,2.32230840
2.76000000,2.25392048
2.78000000,2.31978113
2.80000000,2.16779019
2.82000000,2.18532903
2.84000000,2.25629309
2.86000000,2.16147217
2.88000000,2.20044175
2.90000000,2.51693459
2.92000000,2.25673459
2.94000000,2.41139893
2.96000000,2.14513366
2.98000000,2.16777733
3.00000000,2.39754352
3.02000000,2.25668101
3.04000000,2.20411660
3.06000000,2.32597505
3.08000000,2.15766786
3.10000000,2.37989815
3.12000000,2.12623036
3.14000000,2.19279352
3.16000000,2.25688014
3.18000000,2.25688014
3.20000000,2.32214760
3.22000000,2.16890455
3.24000000,2.39624202
3.26000000,2.25745396
3.28000000,2.15763371
3.30000000,2.26218383
3.32000000,2.51549181
3.34000000,2.19774495
3.36000000,2.39363915
3.38000000,2.16256890
3.40000000,2.14875439
3.42000000,2.26201430
3.44000000,2.20778499
3.46000000,2.26201430
3.48000000,2.26201430
3.50000000,2.26223567
3.52000000,2.31322972
3.54000000,2.20396397
3.56000000,2.18763981
3.58000000,2.34966849
3.60000000,2.26206484
3.62000000,2.50288747
3.64000000,2.18266666
3.66000000,2.15249434
3.68000000,2.26206484
3.70000000,2.18012673
3.72000000,2.20271793
3.74000000,2.42504163
3.76000000,2.21024833
3.78000000,2.40993029
3.80000000,2.15497443
3.82000000,2.19515278
3.84000000,2.26186399
3.86000000,2.20521000
3.88000000,2.26186399
3.90000000,2.26075214
3.92000000,2.26075214
3.94000000,2.33959267
3.96000000,2.18135569
3.98000000,2.40362533
4.00000000,2.38975258
4.02000000,2.26770524
4.04000000,2.54293083
4.06000000,2.21646052
4.08000000,2.26770524
4.10000000,2.16117282
4.12000000,2.15364278
4.14000000,2.27200090
4.16000000,2.20013700
4.18000000,2.27200090
4.20000000,2.27189983
4.22000000,2.27189983
4.24000000,2.38596229
4.26000000,2.20514018
4.28000000,2.27189983
4.30000000,2.45004346
4.32000000,2.21646052
4.34000000,2.45757350
4.36000000,2.19634671
4.38000000,2.17502001
4.40000000,2.39603815
4.42000000,2.18130389
4.44000000,2.20141786
4.46000000,2.52288753
4.48000000,2.21521462
4.50000000,2.26869803
4.52000000,2.15114943
4.54000000,2.19506591
4.56000000,2.26869803
4.58000000,2.19258960
4.60000000,2.44355706
4.62000000,2.26825566
4.64000000,2.19119177
4.66000000,2.26825566
4.68000000,2.17987222
4.70000000,2.16727124
4.72000000,2.44853291
4.74000000,2.26798171
4.76000000,2.32922662
4.78000000,2.17480052
4.80000000,2.26845112
4.82000000,2.46607903
4.84000000,2.17976869
4.86000000,2.26845112
4.88000000,2.17976869
4.90000000,2.20865948
4.92000000,2.36560876
4.94000000,2.26828606
4.96000000,2.17722920
4.98000000,2.39825179
5.00000000,2.16597364
5.02000000,2.43090925
