# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.0162360919999998, P max: 2.7947007812
Time,Power
0.00000000,2.25520993
0.02000000,2.25520993
0.04000000,2.19822363
0.06000000,2.25652578
0.08000000,2.15672384
0.10000000,2.13536663
0.12000000,2.25652578
0.14000000,2.19702785
0.16000000,2.37816498
0.18000000,2.14798570
0.20000000,2.14672042
0.22000000,2.25639467
0.24000000,2.19329996
0.26000000,2.36684680
0.28000000,2.16308490
0.30000000,2.17821774
0.32000000,2.34548874
0.34000000,2.17195996
0.36000000,2.25521851
0.38000000,2.16193857
0.40000000,2.17955193
0.42000000,2.33923626
0.44000000,2.19086895
0.46000000,2.41346844
0.48000000,2.15189632
0.50000000,2.15063098
0.52000000,2.25676811
0.54000000,2.17197713
0.56000000,2.38455383
0.58000000,2.15188357
0.60000000,2.16069032
0.62000000,2.25614738
0.64000000,2.25585993
0.66000000,2.34939645
0.68000000,2.17082673
0.70000000,2.14567108
0.72000000,2.25585993
0.74000000,2.15834299
0.76000000,2.40363685
0.78000000,2.16588504
0.80000000,2.18096915
0.82000000,2.25557979
0.84000000,2.25645654
0.86000000,2.36847705
0.88000000,2.13831109
0.90000000,2.19864930
0.92000000,2.25645654
0.94000000,2.16227174
0.96000000,2.33585081
0.98000000,2.14339015
1.00000000,2.18991075
1.02000000,2.25581917
1.04000000,2.25470670
1.06000000,2.44034198
1.08000000,2.15229597
1.10000000,2.15229597
1.12000000,2.25470670
1.14000000,2.17622451
1.16000000,2.37122816
1.18000000,2.14352141
1.20000000,2.25418547
1.22000000,2.25418547
1.24000000,2.18877926
1.26000000,2.34480243
1.28000000,2.16994714
1.30000000,2.16741594
1.32000000,2.30703693
1.34000000,2.14981577
1.36000000,2.25450703
1.38000000,2.19639022
1.40000000,2.16743306
1.42000000,2.25450703
1.44000000,2.18378474
1.46000000,2.42911059
1.48000000,2.45928273
1.50000000,2.37752432
1.52000000,2.41397389
1.54000000,2.19001026
1.56000000,2.48311858
1.58000000,2.20762713
1.60000000,2.21142387
1.62000000,2.18246740
1.64000000,2.17116127
1.66000000,2.49945013
1.68000000,2.17743850
1.70000000,2.31832175
1.72000000,2.16356785
1.74000000,2.17492454
1.76000000,2.48438416
1.78000000,2.26624879
1.80000000,2.41771341
1.82000000,2.13721026
1.84000000,2.18375023
1.86000000,2.36867824
1.88000000,2.16866440
1.90000000,2.26672231
1.92000000,2.15859030
1.94000000,2.17619012
1.96000000,2.40389328
1.98000000,2.18499856
2.00000000,2.26685627
2.02000000,2.16738168
2.04000000,2.16736456
2.06000000,2.44786549
2.08000000,2.13719337
2.10000000,2.47054451
2.12000000,2.17116127
2.14000000,2.17990504
2.16000000,2.51319568
2.18000000,2.18111995
2.20000000,2.26773300
2.22000000,2.14593815
2.24000000,2.17111409
2.26000000,2.53462852
2.28000000,2.18619936
2.30000000,2.43146149
2.32000000,2.21636989
2.34000000,2.17232901
2.36000000,2.37613198
2.38000000,2.17992227
2.40000000,2.44026967
2.42000000,2.20001908
2.44000000,2.26906391
2.46000000,2.49179411
2.48000000,2.20750938
2.50000000,2.42639243
2.52000000,2.16473506
2.54000000,2.19374199
2.56000000,2.47049083
2.58000000,2.17612564
2.60000000,2.34970745
2.62000000,2.15349774
2.64000000,2.25998794
2.66000000,2.25998794
2.68000000,2.15596117
2.70000000,2.25998794
2.72000000,2.09810102
2.74000000,2.17863951
2.76000000,2.07800436
2.78000000,2.25340717
2.80000000,2.18365102
2.82000000,2.46166320
2.84000000,2.16988284
2.86000000,2.16988284
2.88000000,2.42147666
2.90000000,2.16355503
2.92000000,2.41641441
2.94000000,2.16352084
2.96000000,2.18994536
2.98000000,2.24907151
3.00000000,2.24907151
3.02000000,2.42017286
3.04000000,2.14718699
3.06000000,2.16986569
3.08000000,2.24908928
3.10000000,2.18495108
3.12000000,2.34846046
3.14000000,2.14597206
3.16000000,2.18996267
3.18000000,2.38870503
3.20000000,2.24979799
3.22000000,2.45663989
3.24000000,2.15224920
3.26000000,2.14217541
3.28000000,2.24964612
3.30000000,2.18869712
3.32000000,2.35225712
3.34000000,2.14344096
3.36000000,2.25020297
3.38000000,2.25020297
3.40000000,2.25020297
3.42000000,2.35600316
3.44000000,2.14598902
3.46000000,2.16735172
3.48000000,2.24956265
3.50000000,2.24956265
3.52000000,2.31076526
3.54000000,2.18245015
3.56000000,2.24831042
3.58000000,2.24831042
3.60000000,2.18872738
3.62000000,2.41516317
3.64000000,2.17117842
3.66000000,2.15730767
3.68000000,2.24767008
3.70000000,2.17492454
3.72000000,2.43533028
3.74000000,2.16991284
3.76000000,2.17872128
3.78000000,2.40637381
3.80000000,2.25040373
3.82000000,2.36359721
3.84000000,2.18235100
3.86000000,2.18989345
3.88000000,2.40497996
3.90000000,2.14711913
3.92000000,2.46162429
3.94000000,2.14965015
3.96000000,2.25878795
3.98000000,2.37607565
4.00000000,2.20123244
4.02000000,2.38862953
4.04000000,2.14335627
4.06000000,2.18486476
4.08000000,2.48170102
4.10000000,2.16097207
4.12000000,2.38359927
4.14000000,2.15597820
4.16000000,2.19748800
4.18000000,2.34089927
4.20000000,2.19121091
4.22000000,2.37866306
4.24000000,2.16733459
4.26000000,2.25830250
4.28000000,2.25830250
4.30000000,2.14344096
4.32000000,2.42267246
4.34000000,2.14090985
4.36000000,2.25663197
4.38000000,2.33210952
4.40000000,2.25663197
4.42000000,2.43401181
4.44000000,2.18121905
4.46000000,2.20637898
4.48000000,2.39636935
4.50000000,2.17494173
4.52000000,2.25852129
4.54000000,2.15103039
4.56000000,2.25693413
4.58000000,2.25693413
4.60000000,2.19507258
4.62000000,2.40510823
4.64000000,2.25723944
4.66000000,2.14845255
4.68000000,2.25723944
4.70000000,2.18869712
4.72000000,2.38622455
4.74000000,2.14843557
4.76000000,2.15850929
4.78000000,2.45788602
4.80000000,2.25757595
4.82000000,2.35097299
4.84000000,2.16107453
4.86000000,2.17869115
4.88000000,2.25751039
4.90000000,2.13718071
4.92000000,2.43276548
4.94000000,2.25686725
4.96000000,2.16352084
4.98000000,2.25686725
5.00000000,2.25686725
5.02000000,2.37866306
5.04000000,2.15478031
5.06000000,2.16860014
5.08000000,2.47805304
5.10000000,2.17361173
5.12000000,2.25718882
5.14000000,2.15720965
5.16000000,2.25754028
5.18000000,2.36728639
5.20000000,2.18110272
5.22000000,2.49054828
5.24000000,2.16345245
5.26000000,2.15469518
5.28000000,2.25765646
5.30000000,2.17732236
5.32000000,2.34082528
5.34000000,2.15842401
5.36000000,2.25976465
5.38000000,2.25976465
5.40000000,2.25976465
5.42000000,2.25976465
5.44000000,2.16335415
5.46000000,2.14325889
5.48000000,2.25770573
5.50000000,2.19610387
5.52000000,2.42125185
5.54000000,2.25826253
5.56000000,2.15834299
5.58000000,2.46776960
5.60000000,2.37847980
5.62000000,2.45268550
5.64000000,2.14452433
5.66000000,2.49545754
5.68000000,2.16841593
5.70000000,2.20612620
5.72000000,2.31935821
5.74000000,2.18220010
5.76000000,2.43250117
5.78000000,2.14449044
5.80000000,2.26875517
5.82000000,2.26875517
5.84000000,2.18597910
5.86000000,2.34445968
5.88000000,2.17211016
5.90000000,2.21741201
5.92000000,2.39603799
5.94000000,2.26827854
5.96000000,2.34688425
5.98000000,2.15196435
6.00000000,2.15570989
6.02000000,2.37204011
6.04000000,2.14443960
6.06000000,2.54060947
6.08000000,2.32174675
6.10000000,2.15825771
6.12000000,2.26870139
6.14000000,2.19222091
6.16000000,2.36831328
6.18000000,2.79470078
6.20000000,2.19601710
6.22000000,2.27229511
6.24000000,2.27425445
