# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.915890344, P max: 2.718514948
Time,Power
0.00000000,2.15274664
0.02000000,2.47862578
0.04000000,2.16403798
0.06000000,2.38420670
0.08000000,2.09230746
0.10000000,2.25453559
0.12000000,2.15899112
0.14000000,2.18288990
0.16000000,2.25357079
0.18000000,2.15519320
0.20000000,2.46845215
0.22000000,2.25357079
0.24000000,2.25357079
0.26000000,2.15891010
0.28000000,2.25394468
0.30000000,2.20295916
0.32000000,2.19035202
0.34000000,2.16518836
0.36000000,2.25407710
0.38000000,2.25407710
0.40000000,2.18035720
0.42000000,2.31493653
0.44000000,2.06208132
0.46000000,2.25318521
0.48000000,2.14002470
0.50000000,2.14129048
0.52000000,2.41809070
0.54000000,2.18660532
0.56000000,2.31499139
0.58000000,2.25235837
0.60000000,2.30618125
0.62000000,2.10111760
0.64000000,2.17033291
0.66000000,2.15279766
0.68000000,2.17543151
0.70000000,2.44845543
0.72000000,2.18297612
0.74000000,2.25153591
0.76000000,2.25364478
0.78000000,2.44843608
0.80000000,2.15024892
0.82000000,2.18923757
0.84000000,2.14397023
0.86000000,2.14148502
0.88000000,2.43593162
0.90000000,2.15409331
0.92000000,2.53907654
0.94000000,2.19809574
0.96000000,2.39940906
0.98000000,2.35034336
1.00000000,2.59820364
1.02000000,2.40194083
1.04000000,2.35287513
1.06000000,2.13386023
1.08000000,2.26424227
1.10000000,2.18672192
1.12000000,2.15148080
1.14000000,2.37543409
1.16000000,2.21317025
1.18000000,2.26486777
1.20000000,2.17539713
1.22000000,2.26486777
1.24000000,2.14268744
1.26000000,2.19306981
1.28000000,2.18679102
1.30000000,2.26674432
1.32000000,2.47237468
1.34000000,2.17544869
1.36000000,2.42714018
1.38000000,2.08362488
1.40000000,2.26662374
1.42000000,2.14529965
1.44000000,2.18175764
1.46000000,2.26500643
1.48000000,2.14408456
1.50000000,2.43221079
1.52000000,2.26500643
1.54000000,2.26500643
1.56000000,2.07100577
1.58000000,2.19931385
1.60000000,2.14017264
1.62000000,2.20437731
1.64000000,2.21440296
1.66000000,2.19175198
1.68000000,2.32892003
1.70000000,2.15529536
1.72000000,2.38806077
1.74000000,2.13013016
1.76000000,2.20930287
1.78000000,2.14889818
1.80000000,2.11244270
1.82000000,2.06712653
1.84000000,2.14641718
1.86000000,2.09607182
1.88000000,2.26012014
1.90000000,2.26012014
1.92000000,2.26012014
1.94000000,2.09855279
1.96000000,2.04702539
1.98000000,2.10110100
