# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.0414257497, P max: 2.6708453382
Time,Power
0.00000000,2.26130255
0.02000000,2.26130255
0.04000000,2.26167484
0.06000000,2.26167484
0.08000000,2.26167484
0.10000000,2.26167484
0.12000000,2.18542155
0.14000000,2.32253571
0.16000000,2.26172548
0.18000000,2.32506736
0.20000000,2.26172548
0.22000000,2.38040923
0.24000000,2.26098384
0.26000000,2.43075763
0.28000000,2.16781839
0.30000000,2.39303575
0.32000000,2.26098384
0.34000000,2.45714945
0.36000000,2.26358102
0.38000000,2.26358102
0.40000000,2.26358102
0.42000000,2.18540428
0.44000000,2.14768326
0.46000000,2.26333086
0.48000000,2.32510410
0.50000000,2.18920298
0.52000000,2.19046882
0.54000000,2.58180762
0.56000000,2.26691104
0.58000000,2.48367776
0.60000000,2.26691104
0.62000000,2.26691104
0.64000000,2.27649565
0.66000000,2.27649565
0.68000000,2.39685219
0.70000000,2.17791164
0.72000000,2.17664579
0.74000000,2.27564955
0.76000000,2.52385252
0.78000000,2.20932032
0.80000000,2.27564955
0.82000000,2.27564955
0.84000000,2.27534905
0.86000000,2.20937268
0.88000000,2.34527488
0.90000000,2.27534905
0.92000000,2.34147731
0.94000000,2.27691871
0.96000000,2.38173150
0.98000000,2.27691871
1.00000000,2.42451740
1.02000000,2.18294163
1.04000000,2.27681411
1.06000000,2.27681411
1.08000000,2.48359928
1.10000000,2.19043421
1.12000000,2.27681411
1.14000000,2.27620983
1.16000000,2.16785264
1.18000000,2.16911849
1.20000000,2.47110086
1.22000000,2.27620983
1.24000000,2.27712124
1.26000000,2.17919470
1.28000000,2.27712124
1.30000000,2.20182819
1.32000000,2.15777643
1.34000000,2.22579346
1.36000000,2.36418083
1.38000000,2.27784696
1.40000000,2.18553808
1.42000000,2.17672747
1.44000000,2.45221431
1.46000000,2.18673920
1.48000000,2.19048613
1.50000000,2.27793139
1.52000000,2.53900132
1.54000000,2.27710325
1.56000000,2.27710325
1.58000000,2.27710325
1.60000000,2.17411410
1.62000000,2.15649354
1.64000000,2.26465037
1.66000000,2.26465037
1.68000000,2.17669738
1.70000000,2.15907640
1.72000000,2.26465037
1.74000000,2.41704450
1.76000000,2.19936163
1.78000000,2.26331452
1.80000000,2.26331452
