# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.1518632148, P max: 2.5333479339999996
Time,Power
0.00000000,2.27381407
0.02000000,2.27381407
0.04000000,2.27381407
0.06000000,2.27381407
0.08000000,2.27381407
0.10000000,2.27357885
0.12000000,2.27357885
0.14000000,2.27357885
0.16000000,2.27357885
0.18000000,2.27357885
0.20000000,2.27349229
0.22000000,2.27349229
0.24000000,2.27349229
0.26000000,2.27349229
0.28000000,2.27349229
0.30000000,2.27356089
0.32000000,2.27356089
0.34000000,2.27356089
0.36000000,2.27356089
0.38000000,2.27356089
0.40000000,2.27366216
0.42000000,2.27366216
0.44000000,2.27366216
0.46000000,2.27366216
0.48000000,2.27366216
0.50000000,2.27381732
0.52000000,2.27381732
0.54000000,2.27381732
0.56000000,2.27381732
0.58000000,2.27381732
0.60000000,2.27348082
0.62000000,2.27348082
0.64000000,2.27348082
0.66000000,2.27348082
0.68000000,2.27348082
0.70000000,2.27304626
0.72000000,2.27304626
0.74000000,2.27304626
0.76000000,2.27304626
0.78000000,2.27304626
0.80000000,2.27414437
0.82000000,2.27414437
0.84000000,2.27414437
0.86000000,2.27414437
0.88000000,2.27414437
0.90000000,2.27325401
0.92000000,2.27325401
0.94000000,2.27325401
0.96000000,2.27325401
0.98000000,2.27325401
1.00000000,2.26334739
1.02000000,2.26334739
1.04000000,2.26334739
1.06000000,2.26334739
1.08000000,2.26334739
1.10000000,2.17340184
1.12000000,2.17092015
1.14000000,2.26279326
1.16000000,2.20110558
1.18000000,2.26279326
1.20000000,2.26304650
1.22000000,2.26304650
1.24000000,2.26304650
1.26000000,2.26304650
1.28000000,2.26304650
1.30000000,2.26323121
1.32000000,2.26323121
1.34000000,2.26323121
1.36000000,2.26323121
1.38000000,2.26323121
1.40000000,2.26360361
1.42000000,2.26360361
1.44000000,2.26360361
1.46000000,2.26360361
1.48000000,2.26360361
1.50000000,2.26400878
1.52000000,2.26400878
1.54000000,2.26400878
1.56000000,2.26400878
1.58000000,2.26400878
1.60000000,2.26429478
1.62000000,2.26429478
1.64000000,2.26429478
1.66000000,2.26429478
1.68000000,2.26429478
1.70000000,2.26491741
1.72000000,2.26491741
1.74000000,2.26491741
1.76000000,2.26491741
1.78000000,2.26491741
1.80000000,2.26503356
1.82000000,2.26503356
1.84000000,2.26503356
1.86000000,2.26503356
1.88000000,2.26503356
1.90000000,2.26540741
1.92000000,2.26540741
1.94000000,2.26540741
1.96000000,2.26540741
1.98000000,2.26540741
2.00000000,2.26570823
2.02000000,2.26570823
2.04000000,2.26570823
2.06000000,2.26570823
2.08000000,2.26570823
2.10000000,2.26584226
2.12000000,2.26584226
2.14000000,2.26584226
2.16000000,2.26584226
2.18000000,2.26584226
2.20000000,2.26662286
2.22000000,2.26662286
2.24000000,2.26662286
2.26000000,2.26662286
2.28000000,2.26662286
2.30000000,2.26670790
2.32000000,2.26670790
2.34000000,2.26670790
2.36000000,2.26670790
2.38000000,2.26670790
2.40000000,2.26680919
2.42000000,2.26680919
2.44000000,2.26680919
2.46000000,2.26680919
2.48000000,2.26680919
2.50000000,2.26667516
2.52000000,2.26667516
2.54000000,2.26667516
2.56000000,2.26667516
2.58000000,2.34583532
2.60000000,2.17586543
2.62000000,2.16578706
2.64000000,2.26667210
2.66000000,2.26667210
2.68000000,2.26667210
2.70000000,2.26756888
2.72000000,2.26756888
2.74000000,2.26756888
2.76000000,2.26756888
2.78000000,2.26756888
2.80000000,2.26782211
2.82000000,2.26782211
2.84000000,2.26782211
2.86000000,2.26782211
2.88000000,2.26782211
2.90000000,2.26812599
2.92000000,2.26812599
2.94000000,2.26812599
2.96000000,2.26812599
2.98000000,2.26812599
3.00000000,2.26817663
3.02000000,2.26817663
3.04000000,2.26817663
3.06000000,2.26817663
3.08000000,2.26817663
3.10000000,2.26848051
3.12000000,2.26848051
3.14000000,2.26848051
3.16000000,2.26848051
3.18000000,2.26848051
3.20000000,2.26851013
3.22000000,2.26851013
3.24000000,2.26851013
3.26000000,2.26851013
3.28000000,2.26851013
3.30000000,2.26886600
3.32000000,2.26886600
3.34000000,2.26886600
3.36000000,2.26886600
3.38000000,2.26886600
3.40000000,2.26905065
3.42000000,2.26905065
3.44000000,2.26905065
3.46000000,2.51426309
3.48000000,2.32176981
3.50000000,2.27180012
3.52000000,2.27180012
3.54000000,2.27180012
3.56000000,2.27180012
3.58000000,2.27180012
3.60000000,2.27252706
3.62000000,2.27252706
3.64000000,2.27252706
3.66000000,2.27252706
3.68000000,2.27252706
3.70000000,2.27350722
3.72000000,2.27350722
3.74000000,2.27350722
3.76000000,2.27350722
3.78000000,2.27350722
3.80000000,2.27384700
3.82000000,2.27384700
3.84000000,2.27384700
3.86000000,2.27384700
3.88000000,2.27384700
3.90000000,2.27467200
3.92000000,2.27467200
3.94000000,2.27467200
3.96000000,2.27467200
3.98000000,2.51051552
4.00000000,2.51926768
4.02000000,2.50037836
4.04000000,2.20594810
4.06000000,2.15434431
4.08000000,2.28196114
4.10000000,2.37957935
4.12000000,2.28766557
4.14000000,2.28766557
4.16000000,2.28766557
4.18000000,2.28766557
