# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.077300875, P max: 2.6383009912
Time,Power
0.00000000,2.21082268
0.02000000,2.21082268
0.04000000,2.21082268
0.06000000,2.21082268
0.08000000,2.21082268
0.10000000,2.21085501
0.12000000,2.21085501
0.14000000,2.21085501
0.16000000,2.21085501
0.18000000,2.21085501
0.20000000,2.39420701
0.22000000,2.21132639
0.24000000,2.15639133
0.26000000,2.21132639
0.28000000,2.21132639
0.30000000,2.21384231
0.32000000,2.21384231
0.34000000,2.21384231
0.36000000,2.21384231
0.38000000,2.21384231
0.40000000,2.21214009
0.42000000,2.21214009
0.44000000,2.21214009
0.46000000,2.21214009
0.48000000,2.21214009
0.50000000,2.21202314
0.52000000,2.21202314
0.54000000,2.21202314
0.56000000,2.21202314
0.58000000,2.21202314
0.60000000,2.21186865
0.62000000,2.21186865
0.64000000,2.21186865
0.66000000,2.21186865
0.68000000,2.21186865
0.70000000,2.21170105
0.72000000,2.21170105
0.74000000,2.21170105
0.76000000,2.21170105
0.78000000,2.21170105
0.80000000,2.21176916
0.82000000,2.21176916
0.84000000,2.21176916
0.86000000,2.21176916
0.88000000,2.36676871
0.90000000,2.47246745
0.92000000,2.44102168
0.94000000,2.21614143
0.96000000,2.21614143
0.98000000,2.21614143
1.00000000,2.22358539
1.02000000,2.22358539
1.04000000,2.22358539
1.06000000,2.22358539
1.08000000,2.22358539
1.10000000,2.22395533
1.12000000,2.44087225
1.14000000,2.22395533
1.16000000,2.22395533
1.18000000,2.22395533
1.20000000,2.22692516
1.22000000,2.22692516
1.24000000,2.22692516
1.26000000,2.22692516
1.28000000,2.22692516
1.30000000,2.22318031
1.32000000,2.22318031
1.34000000,2.22318031
1.36000000,2.22318031
1.38000000,2.22318031
1.40000000,2.22312733
1.42000000,2.22312733
1.44000000,2.22312733
1.46000000,2.22312733
1.48000000,2.22312733
1.50000000,2.22329681
1.52000000,2.22329681
1.54000000,2.22329681
1.56000000,2.22329681
1.58000000,2.22329681
1.60000000,2.22361819
1.62000000,2.22361819
1.64000000,2.22361819
1.66000000,2.22361819
1.68000000,2.22361819
1.70000000,2.22429611
1.72000000,2.22429611
1.74000000,2.22429611
1.76000000,2.22429611
1.78000000,2.22429611
1.80000000,2.22411113
1.82000000,2.22411113
1.84000000,2.22411113
1.86000000,2.22411113
1.88000000,2.22411113
1.90000000,2.22412870
1.92000000,2.22412870
1.94000000,2.22412870
1.96000000,2.22412870
1.98000000,2.22412870
2.00000000,2.21281967
2.02000000,2.21281967
2.04000000,2.21281967
2.06000000,2.21281967
2.08000000,2.47524858
2.10000000,2.21547242
2.12000000,2.21547242
2.14000000,2.21547242
2.16000000,2.21547242
2.18000000,2.21547242
2.20000000,2.21314022
2.22000000,2.21314022
2.24000000,2.21314022
2.26000000,2.21314022
2.28000000,2.21314022
2.30000000,2.21281888
2.32000000,2.21281888
2.34000000,2.26898385
