# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.9499951924999999, P max: 2.6884983199
Time,Power
0.00000000,2.21109152
0.02000000,2.26830286
0.04000000,2.21109152
0.06000000,2.07451098
0.08000000,2.26325478
0.10000000,2.12483591
0.12000000,2.35884176
0.14000000,2.21105659
0.16000000,2.06326968
0.18000000,2.21196970
0.20000000,2.36897302
0.22000000,2.68849832
0.24000000,2.21196970
0.26000000,2.06701630
0.28000000,2.29095235
0.30000000,2.11987391
0.32000000,2.22660174
0.34000000,2.22660174
0.36000000,2.09346164
0.38000000,2.22677122
0.40000000,2.06829839
0.42000000,2.22677122
0.44000000,2.22677122
0.46000000,2.09975639
0.48000000,2.22628251
0.50000000,2.07712447
0.52000000,2.46713275
0.54000000,2.22628251
0.56000000,2.45464906
0.58000000,2.22589278
0.60000000,2.05455341
0.62000000,2.22589278
0.64000000,2.09227440
0.66000000,2.37668116
0.68000000,2.22579363
0.70000000,2.05834898
0.72000000,2.16655255
0.74000000,2.10113420
0.76000000,2.30629056
0.78000000,2.22400804
0.80000000,2.47490645
0.82000000,2.22400804
0.84000000,2.06724084
0.86000000,2.36173700
0.88000000,2.22522099
0.90000000,2.47121311
0.92000000,2.30132765
0.94000000,2.07356468
0.96000000,2.27872914
0.98000000,2.11137286
1.00000000,2.28754003
1.02000000,2.17051723
1.04000000,2.06985027
1.06000000,2.22534194
1.08000000,2.06988298
1.10000000,2.49767364
1.12000000,2.22534194
1.14000000,2.36429289
1.16000000,2.14786565
1.18000000,2.05980599
1.20000000,2.32155433
1.22000000,2.22569641
1.24000000,2.28124641
1.26000000,2.21126631
1.28000000,2.08122459
1.30000000,2.21126631
1.32000000,2.07246399
1.34000000,2.31279811
1.36000000,2.32039377
1.38000000,2.09387926
1.40000000,2.21101050
1.42000000,2.05989955
1.44000000,2.34556205
1.46000000,2.21215954
1.48000000,2.21215954
1.50000000,2.21215954
1.52000000,2.08636680
1.54000000,2.32417787
1.56000000,2.21098083
1.58000000,2.54071870
1.60000000,2.21098083
1.62000000,2.04993545
1.64000000,2.29282024
1.66000000,2.09271242
1.68000000,2.39474608
1.70000000,2.21136850
1.72000000,2.05999718
1.74000000,2.21136850
1.76000000,2.06127953
1.78000000,2.45766385
1.80000000,2.21153790
1.82000000,2.47781985
1.84000000,2.21153790
1.86000000,2.06252932
1.88000000,2.37210875
1.90000000,2.21177365
1.92000000,2.29908183
1.94000000,2.21177365
1.96000000,2.08258516
1.98000000,2.21091097
2.00000000,2.13545499
2.02000000,2.43748149
2.04000000,2.21091097
2.06000000,2.05999718
2.08000000,2.21146979
2.10000000,2.13550559
2.12000000,2.33179708
2.14000000,2.21146979
2.16000000,2.12292907
2.18000000,2.21074507
2.20000000,2.08773177
2.22000000,2.26640239
2.24000000,2.21074507
2.26000000,2.40979957
2.28000000,2.14175146
2.30000000,2.06751029
2.32000000,2.20935853
2.34000000,2.20935853
2.36000000,2.51926768
2.38000000,2.26631288
2.40000000,2.09266284
2.42000000,2.21060712
2.44000000,2.06496188
2.46000000,2.29399572
2.48000000,2.21053902
2.50000000,2.13164003
2.52000000,2.21053902
2.54000000,2.13042464
2.56000000,2.21013216
2.58000000,2.21013216
2.60000000,2.21013216
2.62000000,2.15675760
2.64000000,2.07497400
2.66000000,2.20837720
2.68000000,2.07752241
2.70000000,2.41600284
2.72000000,2.20837720
2.74000000,2.08126980
2.76000000,2.20947476
2.78000000,2.06606880
2.80000000,2.40706307
2.82000000,2.20947476
2.84000000,2.45364975
2.86000000,2.20856158
2.88000000,2.06227274
2.90000000,2.20856158
2.92000000,2.20856158
2.94000000,2.36801592
2.96000000,2.20832585
2.98000000,2.08618964
3.00000000,2.20832585
3.02000000,2.09373454
3.04000000,2.38692219
3.06000000,2.20824202
3.08000000,2.20824202
3.10000000,2.20824202
3.12000000,2.08873799
3.14000000,2.42466584
3.16000000,2.20761525
3.18000000,2.43213394
3.20000000,2.20761525
3.22000000,2.07105077
3.24000000,2.20761525
3.26000000,2.21013132
3.28000000,2.31515142
3.30000000,2.21013132
3.32000000,2.06475392
3.34000000,2.21013132
3.36000000,2.06102310
3.38000000,2.33532319
3.40000000,2.20964241
3.42000000,2.07991067
3.44000000,2.20964241
3.46000000,2.08370718
3.48000000,2.43478112
3.50000000,2.20822626
3.52000000,2.45113723
3.54000000,2.20822626
3.56000000,2.06362015
3.58000000,2.21016797
3.60000000,2.21016797
3.62000000,2.21016797
3.64000000,2.21016797
3.66000000,2.10252875
3.68000000,2.21008068
3.70000000,2.11007359
3.72000000,2.35920517
3.74000000,2.21008068
3.76000000,2.06606880
3.78000000,2.15792559
3.80000000,2.05224471
3.82000000,2.47127167
3.84000000,2.20977859
3.86000000,2.39957492
3.88000000,2.21074246
