# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.9328379472000001, P max: 2.616180993
Time,Power
0.00000000,2.36085334
0.02000000,2.19347260
0.04000000,2.16830219
0.06000000,2.27035126
0.08000000,2.27035126
0.10000000,2.42876577
0.12000000,2.27009937
0.14000000,2.27009937
0.16000000,2.38597193
0.18000000,2.15063112
0.20000000,2.47150105
0.22000000,2.27075457
0.24000000,2.27075457
0.26000000,2.46268927
0.28000000,2.27075457
0.30000000,2.27125782
0.32000000,2.27125782
0.34000000,2.18197738
0.36000000,2.44120969
0.38000000,2.27125782
0.40000000,2.40472903
0.42000000,2.27098668
0.44000000,2.21092669
0.46000000,2.27098668
0.48000000,2.27098668
0.50000000,2.40217801
0.52000000,2.27010785
0.54000000,2.39837998
0.56000000,2.27010785
0.58000000,2.16432006
0.60000000,2.33926895
0.62000000,2.19711910
0.64000000,2.35689209
0.66000000,2.27054884
0.68000000,2.27054884
0.70000000,2.27053407
0.72000000,2.18707605
0.74000000,2.35064971
0.76000000,2.21097908
0.78000000,2.18955751
0.80000000,2.42492919
0.82000000,2.26996222
0.84000000,2.26996222
0.86000000,2.26996222
0.88000000,2.18331239
0.90000000,2.38597193
0.92000000,2.17706708
0.94000000,2.27080838
0.96000000,2.32428802
0.98000000,2.27080838
1.00000000,2.27080706
1.02000000,2.16202224
1.04000000,2.27080706
1.06000000,2.19347260
1.08000000,2.33441680
1.10000000,2.32435686
1.12000000,2.37596422
1.14000000,2.32942137
1.16000000,2.13940096
1.18000000,2.27168596
1.20000000,2.27209431
1.22000000,2.18726176
1.24000000,2.55221900
1.26000000,2.27209431
1.28000000,2.32314578
1.30000000,2.21491464
1.32000000,2.18726176
1.34000000,2.27148656
1.36000000,2.18599560
1.38000000,2.45026799
1.40000000,2.27125126
1.42000000,2.27125126
1.44000000,2.27125126
1.46000000,2.20110558
1.48000000,2.27125126
1.50000000,2.19231037
1.52000000,2.27187696
1.54000000,2.27187696
1.56000000,2.27187696
1.58000000,2.35969904
1.60000000,2.19610890
1.62000000,2.42640127
1.64000000,2.27066143
1.66000000,2.19231037
1.68000000,2.27066143
1.70000000,2.26983315
1.72000000,2.41630341
1.74000000,2.21371661
1.76000000,2.26983315
1.78000000,2.45408585
1.80000000,2.17223778
1.82000000,2.27110248
1.84000000,2.27110248
1.86000000,2.27110248
1.88000000,2.38870691
1.90000000,2.16347203
1.92000000,2.43657144
1.94000000,2.21128469
1.96000000,2.27069597
1.98000000,2.27069597
2.00000000,2.27088511
2.02000000,2.27088511
2.04000000,2.16847344
2.06000000,2.38621220
2.08000000,2.27088511
2.10000000,2.18614667
2.12000000,2.27159288
2.14000000,2.21506770
2.16000000,2.44035801
2.18000000,2.18488042
2.20000000,2.17230212
2.22000000,2.27005546
2.24000000,2.18987746
2.26000000,2.38624518
2.28000000,2.27005546
2.30000000,2.26982149
2.32000000,2.44536988
2.34000000,2.16973966
2.36000000,2.60015231
2.38000000,2.39375886
2.40000000,2.54475309
2.42000000,2.27935809
2.44000000,2.38992246
2.46000000,2.18733086
2.48000000,2.21123667
2.50000000,2.45539080
2.52000000,2.22504597
2.54000000,2.48177815
2.56000000,2.28101146
2.58000000,2.21496712
2.60000000,2.42770579
2.62000000,2.16215885
2.64000000,2.37736178
2.66000000,2.21376906
2.68000000,2.22632974
2.70000000,2.46047777
2.72000000,2.28057252
2.74000000,2.40886644
2.76000000,2.17603299
2.78000000,2.28057252
2.80000000,2.38619336
2.82000000,2.28099684
2.84000000,2.38994133
2.86000000,2.28099684
2.88000000,2.42772496
2.90000000,2.18472944
2.92000000,2.19354190
2.94000000,2.45406647
2.96000000,2.19607421
2.98000000,2.38103450
3.00000000,2.28099004
3.02000000,2.34201835
3.04000000,2.52074773
3.06000000,2.15827503
3.08000000,2.28099004
3.10000000,2.19603953
3.12000000,2.44015084
3.14000000,2.28147848
3.16000000,2.28147848
3.18000000,2.51191551
3.20000000,2.19475605
3.22000000,2.36213811
3.24000000,2.12299195
3.26000000,2.28161240
3.28000000,2.13686870
3.30000000,2.37728668
3.32000000,2.11048197
3.34000000,2.38609913
3.36000000,2.19480806
3.38000000,2.27695636
3.40000000,2.44777434
3.42000000,2.18729631
3.44000000,2.34460620
3.46000000,2.26833167
3.48000000,2.34080767
3.50000000,2.18608192
3.52000000,2.16592390
3.54000000,2.33205033
3.56000000,2.26306734
3.58000000,2.43273915
3.60000000,2.26282900
3.62000000,2.19106150
3.64000000,2.44024720
3.66000000,2.17976710
3.68000000,2.41760777
3.70000000,2.26365127
3.72000000,2.26365127
3.74000000,2.55719259
3.76000000,2.17714875
3.78000000,2.39360762
3.80000000,2.26363339
3.82000000,2.18594381
3.84000000,2.50434955
3.86000000,2.15950706
3.88000000,2.36841810
3.90000000,2.26368403
3.92000000,2.35707360
3.94000000,2.19728831
3.96000000,2.17839769
