# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.0083921624, P max: 2.710669456
Time,Power
0.00000000,2.23588941
0.02000000,2.29449401
0.04000000,2.23663387
0.06000000,2.44557749
0.08000000,2.23663387
0.10000000,2.46821938
0.12000000,2.23663387
0.14000000,2.29071318
0.16000000,2.14599870
0.18000000,2.08683647
0.20000000,2.23641360
0.22000000,2.10821186
0.24000000,2.23372901
0.26000000,2.23372901
0.28000000,2.23372901
0.30000000,2.23372901
0.32000000,2.34860910
0.34000000,2.15227963
0.36000000,2.10446357
0.38000000,2.23509663
0.40000000,2.11074449
0.42000000,2.30960660
0.44000000,2.23415187
0.46000000,2.11202749
0.48000000,2.18000381
0.50000000,2.45312479
0.52000000,2.17620484
0.54000000,2.09689978
0.56000000,2.23345811
0.58000000,2.41408385
0.60000000,2.52232760
0.62000000,2.34610860
0.64000000,2.11955805
0.66000000,2.29704476
0.68000000,2.16864042
0.70000000,2.24365692
0.72000000,2.16235949
0.74000000,2.14973002
0.76000000,2.24318333
0.78000000,2.24318333
0.80000000,2.17743677
0.82000000,2.10946152
0.84000000,2.24595146
0.86000000,2.11699198
0.88000000,2.24595146
0.90000000,2.18623299
0.92000000,2.24595146
0.94000000,2.24760522
0.96000000,2.24760522
0.98000000,2.19629536
1.00000000,2.43162176
1.02000000,2.18748201
1.04000000,2.41518506
1.06000000,2.24677448
1.08000000,2.06408065
1.10000000,2.18989475
1.12000000,2.07036122
1.14000000,2.24643510
1.16000000,2.12695411
1.18000000,2.15714091
1.20000000,2.10932825
1.22000000,2.38997436
1.24000000,2.24680924
1.26000000,2.10929910
1.28000000,2.15462933
1.30000000,2.33838136
1.32000000,2.14581653
1.34000000,2.08660987
1.36000000,2.30434176
1.38000000,2.24685730
1.40000000,2.24685730
1.42000000,2.24685730
1.44000000,2.36966551
1.46000000,2.18339431
1.48000000,2.24715598
1.50000000,2.18967425
1.52000000,2.24715598
1.54000000,2.18216266
1.56000000,2.53080628
1.58000000,2.07018546
1.60000000,2.01604542
1.62000000,2.24587470
1.64000000,2.07776446
1.66000000,2.01106328
1.68000000,2.23238761
1.70000000,2.23238761
1.72000000,2.23238761
1.74000000,2.22819942
1.76000000,2.30173668
1.78000000,2.22819942
1.80000000,2.08907623
1.82000000,2.22819942
1.84000000,2.09535627
1.86000000,2.22835135
1.88000000,2.10416859
1.90000000,2.34706441
1.92000000,2.22835135
1.94000000,2.28662627
1.96000000,2.15950706
1.98000000,2.29290626
2.00000000,2.22721956
2.02000000,2.09407359
2.04000000,2.29415427
2.06000000,2.22705004
2.08000000,2.45900276
2.10000000,2.22705004
2.12000000,2.33066909
2.14000000,2.28914044
2.16000000,2.29288815
2.18000000,2.22791100
2.20000000,2.39230369
2.22000000,2.22791100
2.24000000,2.08898136
2.26000000,2.12924270
2.28000000,2.34569174
2.30000000,2.17451772
2.32000000,2.10655455
2.34000000,2.22252748
2.36000000,2.22252748
2.38000000,2.22252748
2.40000000,2.22252748
2.42000000,2.22252748
2.44000000,2.10653791
2.46000000,2.39727822
2.48000000,2.22590299
2.50000000,2.33559529
2.52000000,2.22590299
2.54000000,2.22598669
2.56000000,2.22598669
2.58000000,2.37209002
2.60000000,2.22598669
2.62000000,2.28777042
2.64000000,2.23042561
2.66000000,2.44378035
2.68000000,2.15937488
2.70000000,2.29023381
2.72000000,2.23042561
2.74000000,2.09391234
2.76000000,2.18324341
2.78000000,2.23606219
2.80000000,2.23606219
2.82000000,2.12662655
2.84000000,2.41227451
2.86000000,2.23660157
2.88000000,2.23660157
2.90000000,2.15304425
2.92000000,2.08635032
2.94000000,2.10397332
2.96000000,2.17947875
2.98000000,2.23219582
3.00000000,2.35186003
3.02000000,2.15304425
3.04000000,2.09139680
3.06000000,2.45758621
3.08000000,2.17951318
3.10000000,2.45758621
3.12000000,2.17318298
3.14000000,2.08391704
3.16000000,2.44130610
3.18000000,2.23361834
3.20000000,2.29028808
3.22000000,2.15314629
3.24000000,2.10037018
3.26000000,2.16960257
3.28000000,2.12807326
3.30000000,2.28284591
3.32000000,2.23002266
3.34000000,2.30303920
3.36000000,2.23537574
3.38000000,2.13818549
3.40000000,2.30805318
3.42000000,2.23537574
3.44000000,2.10176910
3.46000000,2.22859345
3.48000000,2.22859345
3.50000000,2.42394548
3.52000000,2.22859345
3.54000000,2.51078818
3.56000000,2.23004465
3.58000000,2.43273915
3.60000000,2.15964351
3.62000000,2.10175251
3.64000000,2.30313015
3.66000000,2.22908233
3.68000000,2.31447537
3.70000000,2.22908233
3.72000000,2.39500616
3.74000000,2.17476676
3.76000000,2.34342793
3.78000000,2.14204751
3.80000000,2.28300367
3.82000000,2.22865730
3.84000000,2.29053681
3.86000000,2.23001161
3.88000000,2.10303532
3.90000000,2.23001161
3.92000000,2.11438063
3.94000000,2.23159494
3.96000000,2.10178155
3.98000000,2.17983166
4.00000000,2.14711241
4.02000000,2.35978756
4.04000000,2.13074016
4.06000000,2.08414336
4.08000000,2.23396221
4.10000000,2.23396221
4.12000000,2.30314834
4.14000000,2.23379262
4.16000000,2.41891216
4.18000000,2.23379262
4.20000000,2.36355357
4.22000000,2.23379262
4.24000000,2.23755590
4.26000000,2.15834321
4.28000000,2.13190522
4.30000000,2.36726415
4.32000000,2.17596854
4.34000000,2.10426830
4.36000000,2.08537663
4.38000000,2.08664283
4.40000000,2.17851812
4.42000000,2.12189377
4.44000000,2.23272901
4.46000000,2.09167349
4.48000000,2.23272901
4.50000000,2.23272901
4.52000000,2.40883315
4.54000000,2.23212123
4.56000000,2.29806532
4.58000000,2.18106774
4.60000000,2.07911271
4.62000000,2.23212123
4.64000000,2.12192729
4.66000000,2.23021421
4.68000000,2.40631974
4.70000000,2.35724115
4.72000000,2.46299563
4.74000000,2.23992107
4.76000000,2.33584895
4.78000000,2.18481572
4.80000000,2.57622578
4.82000000,2.23992107
4.84000000,2.43403899
4.86000000,2.15967336
4.88000000,2.10431400
4.90000000,2.16468761
4.92000000,2.09423485
4.94000000,2.24376842
4.96000000,2.12570467
4.98000000,2.18612940
5.00000000,2.19240993
5.02000000,2.42904393
5.04000000,2.15970747
5.06000000,2.24317834
5.08000000,2.15844123
5.10000000,2.10682908
5.12000000,2.36863790
5.14000000,2.24179309
5.16000000,2.40761923
5.18000000,2.18739564
5.20000000,2.10306439
5.22000000,2.34344644
5.24000000,2.23762422
5.26000000,2.38237592
5.28000000,2.23762422
5.30000000,2.36728285
5.32000000,2.23762422
5.34000000,2.33581205
5.36000000,2.18731358
5.38000000,2.24054411
5.40000000,2.15960940
5.42000000,2.48810909
5.44000000,2.16705318
5.46000000,2.09660585
5.48000000,2.17333318
5.50000000,2.13180419
5.52000000,2.24975663
5.54000000,2.12675673
5.56000000,2.18590928
5.58000000,2.13055506
5.60000000,2.35075647
5.62000000,2.16575285
5.64000000,2.36082070
5.66000000,2.25026485
5.68000000,2.25026485
5.70000000,2.25026485
5.72000000,2.34066439
5.74000000,2.24391663
5.76000000,2.08899786
5.78000000,2.37336167
5.80000000,2.24391663
5.82000000,2.24391663
5.84000000,2.23957412
5.86000000,2.10020844
5.88000000,2.42613777
5.90000000,2.23957412
5.92000000,2.40724846
5.94000000,2.23688775
5.96000000,2.40091200
5.98000000,2.18320892
6.00000000,2.18320892
6.02000000,2.23688775
6.04000000,2.13039099
6.06000000,2.13667040
6.08000000,2.09261325
6.10000000,2.42861230
6.12000000,2.17439750
6.14000000,2.11906428
6.16000000,2.11779826
6.18000000,2.09009774
6.20000000,2.14549877
6.22000000,2.10270730
6.24000000,2.36572234
6.26000000,2.22716693
6.28000000,2.39595538
6.30000000,2.22716693
6.32000000,2.22716693
6.34000000,2.22571590
6.36000000,2.29149986
6.38000000,2.22571590
6.40000000,2.34310406
6.42000000,2.22571590
6.44000000,2.11413433
6.46000000,2.22625749
6.48000000,2.13049195
6.50000000,2.15814292
6.52000000,2.44635110
6.54000000,2.15940899
6.56000000,2.29781576
6.58000000,2.15566142
6.60000000,2.14806500
6.62000000,2.22630813
6.64000000,2.14181913
6.66000000,2.22720424
6.68000000,2.09147939
6.70000000,2.42876577
