# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.1425562587, P max: 2.6282876334000003
Time,Power
0.00000000,2.27389684
0.02000000,2.50161553
0.04000000,2.48020522
0.06000000,2.51796430
0.08000000,2.27389684
0.10000000,2.28548420
0.12000000,2.28548420
0.14000000,2.28548420
0.16000000,2.28548420
0.18000000,2.28548420
0.20000000,2.28590718
0.22000000,2.28590718
0.24000000,2.28590718
0.26000000,2.28590718
0.28000000,2.28590718
0.30000000,2.28582401
0.32000000,2.28582401
0.34000000,2.28582401
0.36000000,2.28582401
0.38000000,2.28582401
0.40000000,2.28636630
0.42000000,2.28636630
0.44000000,2.28636630
0.46000000,2.28636630
0.48000000,2.28636630
0.50000000,2.28645306
0.52000000,2.28645306
0.54000000,2.28645306
0.56000000,2.28645306
0.58000000,2.28645306
0.60000000,2.28653888
0.62000000,2.28653888
0.64000000,2.28653888
0.66000000,2.28653888
0.68000000,2.28653888
0.70000000,2.28662923
0.72000000,2.28662923
0.74000000,2.28662923
0.76000000,2.28662923
0.78000000,2.28662923
0.80000000,2.28656412
0.82000000,2.28656412
0.84000000,2.28656412
0.86000000,2.28656412
0.88000000,2.28656412
0.90000000,2.28697175
0.92000000,2.28697175
0.94000000,2.28697175
0.96000000,2.28697175
0.98000000,2.28697175
1.00000000,2.28682347
1.02000000,2.28682347
1.04000000,2.28682347
1.06000000,2.28682347
1.08000000,2.28682347
1.10000000,2.27530111
1.12000000,2.27530111
1.14000000,2.27530111
1.16000000,2.27530111
1.18000000,2.27530111
1.20000000,2.27519985
1.22000000,2.27519985
1.24000000,2.27519985
1.26000000,2.27519985
1.28000000,2.27519985
1.30000000,2.27525167
1.32000000,2.27525167
1.34000000,2.27525167
1.36000000,2.27525167
1.38000000,2.27525167
1.40000000,2.27503119
1.42000000,2.27503119
1.44000000,2.27503119
1.46000000,2.27503119
1.48000000,2.27503119
1.50000000,2.27502789
1.52000000,2.27502789
1.54000000,2.27502789
1.56000000,2.27502789
1.58000000,2.27502789
1.60000000,2.27499194
1.62000000,2.27499194
1.64000000,2.27499194
1.66000000,2.27499194
1.68000000,2.27499194
1.70000000,2.27515966
1.72000000,2.27515966
1.74000000,2.27515966
1.76000000,2.27515966
1.78000000,2.27515966
1.80000000,2.27579644
1.82000000,2.27579644
1.84000000,2.27579644
1.86000000,2.27579644
1.88000000,2.27579644
1.90000000,2.27599559
1.92000000,2.27599559
1.94000000,2.27599559
1.96000000,2.27599559
1.98000000,2.27599559
2.00000000,2.27607884
2.02000000,2.27607884
2.04000000,2.27607884
2.06000000,2.27607884
2.08000000,2.27607884
2.10000000,2.27606085
2.12000000,2.27606085
2.14000000,2.27606085
2.16000000,2.27606085
2.18000000,2.27606085
2.20000000,2.27604736
2.22000000,2.27604736
2.24000000,2.27604736
2.26000000,2.27604736
2.28000000,2.27604736
2.30000000,2.27624984
2.32000000,2.27624984
2.34000000,2.27624984
2.36000000,2.27624984
2.38000000,2.27624984
2.40000000,2.27653441
2.42000000,2.27653441
2.44000000,2.27653441
2.46000000,2.27653441
2.48000000,2.27653441
2.50000000,2.27667163
2.52000000,2.27667163
2.54000000,2.27667163
2.56000000,2.27667163
2.58000000,2.27667163
2.60000000,2.27677287
2.62000000,2.27677287
2.64000000,2.27677287
2.66000000,2.27677287
2.68000000,2.27677287
2.70000000,2.27687411
2.72000000,2.27687411
2.74000000,2.27687411
2.76000000,2.27687411
2.78000000,2.27687411
2.80000000,2.27698206
2.82000000,2.27698206
2.84000000,2.27698206
2.86000000,2.27698206
2.88000000,2.27698206
2.90000000,2.27657708
2.92000000,2.27657708
2.94000000,2.27657708
2.96000000,2.27657708
2.98000000,2.27657708
3.00000000,2.27640607
3.02000000,2.27640607
3.04000000,2.27640607
3.06000000,2.27640607
3.08000000,2.27640607
3.10000000,2.27622273
3.12000000,2.27622273
3.14000000,2.27622273
3.16000000,2.27622273
3.18000000,2.27622273
3.20000000,2.27615412
3.22000000,2.27615412
3.24000000,2.27615412
3.26000000,2.27615412
3.28000000,2.27615412
3.30000000,2.27655909
3.32000000,2.27655909
3.34000000,2.27655909
3.36000000,2.27655909
3.38000000,2.27655909
3.40000000,2.27688081
3.42000000,2.27688081
3.44000000,2.27688081
3.46000000,2.27688081
3.48000000,2.27688081
3.50000000,2.27662770
3.52000000,2.27662770
3.54000000,2.27662770
3.56000000,2.27662770
3.58000000,2.27662770
3.60000000,2.27659507
3.62000000,2.27659507
3.64000000,2.27659507
3.66000000,2.27659507
3.68000000,2.27659507
3.70000000,2.27640607
3.72000000,2.27640607
3.74000000,2.27640607
3.76000000,2.27640607
3.78000000,2.27640607
3.80000000,2.27674694
3.82000000,2.27674694
3.84000000,2.27674694
3.86000000,2.27674694
3.88000000,2.27674694
3.90000000,2.27645785
3.92000000,2.27645785
3.94000000,2.27645785
3.96000000,2.27645785
3.98000000,2.27645785
4.00000000,2.27655575
4.02000000,2.27655575
4.04000000,2.27655575
4.06000000,2.27655575
4.08000000,2.27655575
4.10000000,2.27657374
4.12000000,2.39745644
4.14000000,2.50563331
4.16000000,2.51444134
4.18000000,2.27657374
4.20000000,2.28916025
4.22000000,2.28916025
4.24000000,2.28916025
4.26000000,2.28916025
4.28000000,2.28916025
4.30000000,2.28968455
4.32000000,2.28968455
4.34000000,2.28968455
4.36000000,2.28968455
4.38000000,2.28968455
4.40000000,2.28951459
4.42000000,2.28951459
4.44000000,2.28951459
4.46000000,2.28951459
4.48000000,2.28951459
4.50000000,2.28949650
4.52000000,2.28949650
4.54000000,2.28949650
4.56000000,2.28949650
4.58000000,2.28949650
4.60000000,2.28961584
4.62000000,2.28961584
4.64000000,2.28961584
4.66000000,2.28961584
4.68000000,2.28961584
4.70000000,2.28978579
4.72000000,2.28978579
4.74000000,2.28978579
4.76000000,2.28978579
4.78000000,2.28978579
4.80000000,2.28982198
4.82000000,2.28982198
4.84000000,2.28982198
4.86000000,2.28982198
4.88000000,2.28982198
4.90000000,2.28973883
4.92000000,2.28973883
4.94000000,2.28973883
4.96000000,2.28973883
4.98000000,2.28973883
5.00000000,2.28876166
5.02000000,2.28876166
5.04000000,2.28876166
5.06000000,2.28876166
5.08000000,2.28876166
5.10000000,2.28852663
5.12000000,2.28852663
5.14000000,2.28852663
5.16000000,2.28852663
5.18000000,2.28852663
5.20000000,2.27626087
5.22000000,2.27626087
5.24000000,2.27626087
5.26000000,2.27626087
5.28000000,2.27626087
5.30000000,2.27596044
5.32000000,2.27596044
5.34000000,2.27596044
5.36000000,2.27596044
5.38000000,2.27596044
5.40000000,2.27533706
5.42000000,2.27533706
5.44000000,2.27533706
5.46000000,2.27533706
5.48000000,2.27533706
5.50000000,2.27518847
5.52000000,2.27518847
5.54000000,2.27518847
5.56000000,2.27518847
5.58000000,2.27518847
5.60000000,2.27527505
5.62000000,2.27527505
5.64000000,2.27527505
5.66000000,2.27527505
5.68000000,2.27527505
5.70000000,2.27520974
5.72000000,2.27520974
5.74000000,2.27520974
5.76000000,2.27520974
5.78000000,2.27520974
5.80000000,2.27537512
5.82000000,2.27537512
5.84000000,2.27537512
5.86000000,2.27537512
5.88000000,2.27537512
5.90000000,2.27520854
5.92000000,2.27520854
5.94000000,2.27520854
5.96000000,2.27520854
5.98000000,2.27520854
6.00000000,2.27625715
6.02000000,2.27625715
6.04000000,2.27625715
6.06000000,2.27625715
6.08000000,2.27625715
6.10000000,2.27662741
6.12000000,2.27662741
6.14000000,2.27662741
6.16000000,2.27662741
6.18000000,2.27662741
6.20000000,2.27706510
6.22000000,2.27706510
6.24000000,2.27706510
6.26000000,2.27706510
6.28000000,2.27706510
6.30000000,2.27718101
6.32000000,2.27718101
6.34000000,2.27718101
6.36000000,2.27718101
6.38000000,2.27718101
6.40000000,2.27736219
6.42000000,2.33492657
6.44000000,2.27736219
6.46000000,2.27736219
6.48000000,2.27736219
6.50000000,2.27754671
6.52000000,2.27754671
6.54000000,2.27754671
6.56000000,2.27754671
6.58000000,2.27754671
6.60000000,2.27749608
6.62000000,2.27749608
6.64000000,2.27749608
6.66000000,2.27749608
6.68000000,2.27749608
6.70000000,2.27778185
6.72000000,2.27778185
6.74000000,2.27778185
6.76000000,2.27778185
6.78000000,2.27778185
6.80000000,2.27773236
6.82000000,2.27773236
6.84000000,2.27773236
6.86000000,2.27773236
6.88000000,2.27773236
6.90000000,2.27794950
6.92000000,2.27794950
6.94000000,2.27794950
6.96000000,2.27794950
6.98000000,2.27794950
7.00000000,2.27919373
7.02000000,2.27919373
7.04000000,2.27919373
7.06000000,2.27919373
7.08000000,2.27919373
7.10000000,2.27965276
7.12000000,2.27965276
7.14000000,2.27965276
7.16000000,2.27965276
7.18000000,2.27965276
7.20000000,2.27965617
7.22000000,2.27965617
7.24000000,2.27965617
7.26000000,2.27965617
7.28000000,2.27965617
7.30000000,2.28004549
7.32000000,2.28004549
7.34000000,2.28004549
7.36000000,2.28004549
7.38000000,2.28004549
7.40000000,2.27977774
7.42000000,2.27977774
7.44000000,2.27977774
7.46000000,2.27977774
7.48000000,2.27977774
7.50000000,2.27989701
7.52000000,2.27989701
7.54000000,2.27989701
7.56000000,2.27989701
7.58000000,2.27989701
7.60000000,2.28006009
7.62000000,2.28006009
7.64000000,2.28006009
7.66000000,2.28006009
7.68000000,2.28006009
7.70000000,2.27965507
7.72000000,2.27965507
7.74000000,2.27965507
7.76000000,2.27965507
7.78000000,2.27965507
7.80000000,2.27980695
7.82000000,2.27980695
7.84000000,2.27980695
7.86000000,2.27980695
7.88000000,2.27980695
7.90000000,2.27980695
7.92000000,2.27980695
7.94000000,2.27980695
7.96000000,2.27980695
7.98000000,2.27980695
8.00000000,2.27854127
8.02000000,2.27854127
8.04000000,2.27854127
8.06000000,2.27854127
8.08000000,2.27854127
8.10000000,2.27852326
8.12000000,2.27852326
8.14000000,2.27852326
8.16000000,2.27852326
8.18000000,2.27852326
8.20000000,2.27832075
8.22000000,2.50472515
8.24000000,2.52482410
8.26000000,2.27832075
8.28000000,2.27832075
8.30000000,2.28933662
8.32000000,2.28933662
8.34000000,2.28933662
8.36000000,2.28933662
8.38000000,2.28933662
8.40000000,2.28916302
8.42000000,2.34348128
8.44000000,2.28916302
8.46000000,2.28916302
8.48000000,2.28916302
8.50000000,2.28926149
8.52000000,2.28926149
8.54000000,2.28926149
8.56000000,2.28926149
8.58000000,2.28926149
8.60000000,2.28927958
8.62000000,2.28927958
8.64000000,2.28927958
8.66000000,2.28927958
8.68000000,2.28927958
8.70000000,2.28931576
8.72000000,2.28931576
8.74000000,2.28931576
8.76000000,2.28931576
8.78000000,2.28931576
8.80000000,2.28928323
8.82000000,2.28928323
8.84000000,2.28928323
8.86000000,2.28928323
8.88000000,2.28928323
8.90000000,2.28906265
8.92000000,2.28906265
8.94000000,2.28906265
8.96000000,2.28906265
8.98000000,2.28906265
9.00000000,2.28931576
9.02000000,2.28931576
9.04000000,2.28931576
9.06000000,2.28931576
9.08000000,2.28468482
9.10000000,2.28919643
9.12000000,2.28919643
9.14000000,2.28919643
9.16000000,2.28919643
9.18000000,2.28919643
9.20000000,2.28921087
9.22000000,2.28921087
9.24000000,2.28921087
9.26000000,2.28921087
9.28000000,2.28921087
9.30000000,2.27779201
9.32000000,2.27779201
9.34000000,2.27779201
9.36000000,2.27779201
9.38000000,2.27779201
9.40000000,2.27779201
9.42000000,2.27779201
9.44000000,2.27779201
9.46000000,2.27779201
9.48000000,2.27779201
9.50000000,2.27777289
9.52000000,2.27777289
9.54000000,2.27777289
9.56000000,2.27777289
9.58000000,2.27777289
9.60000000,2.27763901
9.62000000,2.27763901
9.64000000,2.27763901
9.66000000,2.27763901
9.68000000,2.27763901
9.70000000,2.27750627
9.72000000,2.27750627
9.74000000,2.27750627
9.76000000,2.27750627
9.78000000,2.27750627
9.80000000,2.27746915
9.82000000,2.27746915
9.84000000,2.27746915
9.86000000,2.27746915
9.88000000,2.27746915
9.90000000,2.27741853
9.92000000,2.27741853
9.94000000,2.27741853
9.96000000,2.27741853
9.98000000,2.27741853
10.00000000,2.27796413
10.02000000,2.27796413
10.04000000,2.27796413
10.06000000,2.27796413
10.08000000,2.27796413
10.10000000,2.27801812
10.12000000,2.27801812
10.14000000,2.27801812
10.16000000,2.27801812
10.18000000,2.27801812
10.20000000,2.27778185
10.22000000,2.27778185
10.24000000,2.27778185
10.26000000,2.27778185
10.28000000,2.27778185
10.30000000,2.27806762
10.32000000,2.27806762
10.34000000,2.27806762
10.36000000,2.27806762
10.38000000,2.27806762
10.40000000,2.27816887
10.42000000,2.27816887
10.44000000,2.27816887
10.46000000,2.27816887
10.48000000,2.27816887
10.50000000,2.27840738
10.52000000,2.27840738
10.54000000,2.27840738
10.56000000,2.27840738
10.58000000,2.27840738
10.60000000,2.27815761
10.62000000,2.27815761
10.64000000,2.27815761
10.66000000,2.27815761
10.68000000,2.27815761
10.70000000,2.27813961
10.72000000,2.27813961
10.74000000,2.27813961
10.76000000,2.47457897
10.78000000,2.27813961
10.80000000,2.27943795
10.82000000,2.27943795
10.84000000,2.27943795
10.86000000,2.27943795
10.88000000,2.27943795
10.90000000,2.27889566
10.92000000,2.33235830
10.94000000,2.27889566
10.96000000,2.27889566
10.98000000,2.27889566
11.00000000,2.27811937
11.02000000,2.27811937
11.04000000,2.27811937
11.06000000,2.27811937
11.08000000,2.27811937
11.10000000,2.27642739
11.12000000,2.27642739
11.14000000,2.27642739
11.16000000,2.27642739
11.18000000,2.27642739
11.20000000,2.27561409
11.22000000,2.27561409
11.24000000,2.27561409
11.26000000,2.27561409
11.28000000,2.27561409
11.30000000,2.27477147
11.32000000,2.27477147
11.34000000,2.27477147
11.36000000,2.27477147
11.38000000,2.27477147
11.40000000,2.27396149
11.42000000,2.27396149
11.44000000,2.27396149
11.46000000,2.27396149
11.48000000,2.27396149
11.50000000,2.27332461
11.52000000,2.27332461
11.54000000,2.27332461
11.56000000,2.27332461
11.58000000,2.27332461
11.60000000,2.27256847
11.62000000,2.27256847
11.64000000,2.27256847
11.66000000,2.27256847
11.68000000,2.27256847
11.70000000,2.27194174
11.72000000,2.27194174
11.74000000,2.27194174
11.76000000,2.27194174
11.78000000,2.27194174
11.80000000,2.26973525
11.82000000,2.26973525
11.84000000,2.26973525
11.86000000,2.26973525
11.88000000,2.26973525
11.90000000,2.26975635
11.92000000,2.26975635
11.94000000,2.26975635
11.96000000,2.26975635
11.98000000,2.26975635
12.00000000,2.26969095
12.02000000,2.26969095
12.04000000,2.26969095
12.06000000,2.26969095
12.08000000,2.26969095
12.10000000,2.26980883
12.12000000,2.26980883
12.14000000,2.26980883
12.16000000,2.26980883
12.18000000,2.26980883
12.20000000,2.26989532
12.22000000,2.26989532
12.24000000,2.26989532
12.26000000,2.26989532
12.28000000,2.26989532
12.30000000,2.62828763
12.32000000,2.37790943
12.34000000,2.38545368
12.36000000,2.27122654
12.38000000,2.27122654
12.40000000,2.28062618
12.42000000,2.28062618
12.44000000,2.28062618
12.46000000,2.28062618
12.48000000,2.28062618
12.50000000,2.28050690
12.52000000,2.28050690
12.54000000,2.28050690
12.56000000,2.28050690
12.58000000,2.28050690
12.60000000,2.28053952
12.62000000,2.28053952
12.64000000,2.28053952
12.66000000,2.28053952
12.68000000,2.28053952
12.70000000,2.28076006
12.72000000,2.28076006
12.74000000,2.28076006
12.76000000,2.28076006
12.78000000,2.28076006
12.80000000,2.28103124
12.82000000,2.28103124
12.84000000,2.28103124
12.86000000,2.28103124
12.88000000,2.28103124
12.90000000,2.28138567
12.92000000,2.28138567
12.94000000,2.28138567
12.96000000,2.28138567
12.98000000,2.28138567
13.00000000,2.28189544
13.02000000,2.28189544
13.04000000,2.28189544
13.06000000,2.28189544
13.08000000,2.28189544
13.10000000,2.28245586
13.12000000,2.28245586
13.14000000,2.28245586
13.16000000,2.28245586
13.18000000,2.28245586
13.20000000,2.28291053
13.22000000,2.28291053
13.24000000,2.28291053
13.26000000,2.28291053
13.28000000,2.28291053
13.30000000,2.28264624
13.32000000,2.28264624
13.34000000,2.28264624
13.36000000,2.28264624
