# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.2078113888, P max: 3.1463463318000002
Time,Power
0.00000000,2.20830276
0.02000000,2.20830276
0.04000000,2.20830276
0.06000000,2.20830276
0.08000000,2.20808021
0.10000000,2.20808021
0.12000000,2.20808021
0.14000000,2.20808021
0.16000000,2.20808021
0.18000000,2.20781139
0.20000000,2.20781139
0.22000000,2.20781139
0.24000000,2.20781139
0.26000000,2.20781139
0.28000000,2.20781482
0.30000000,2.20781482
0.32000000,2.20781482
0.34000000,2.20781482
0.36000000,2.20781482
0.38000000,2.20799894
0.40000000,2.20799894
0.42000000,2.20799894
0.44000000,2.20799894
0.46000000,2.20799894
0.48000000,2.20827122
0.50000000,2.20827122
0.52000000,2.20827122
0.54000000,2.20827122
0.56000000,2.20827122
0.58000000,2.20869540
0.60000000,2.20869540
0.62000000,2.20869540
0.64000000,2.20869540
0.66000000,2.20869540
0.68000000,2.20882720
0.70000000,2.20882720
0.72000000,2.20882720
0.74000000,2.20882720
0.76000000,2.44308064
0.78000000,2.43438685
0.80000000,2.39160459
0.82000000,2.21308356
0.84000000,2.21308356
0.86000000,2.21308356
0.88000000,2.22055924
0.90000000,2.22055924
0.92000000,2.22055924
0.94000000,2.22055924
0.96000000,2.22055924
0.98000000,2.22062541
1.00000000,2.22062541
1.02000000,2.22062541
1.04000000,2.22062541
1.06000000,2.22062541
1.08000000,2.22086101
1.10000000,2.22086101
1.12000000,2.22086101
1.14000000,2.22086101
1.16000000,2.22086101
1.18000000,2.22103044
1.20000000,2.22103044
1.22000000,2.22103044
1.24000000,2.22103044
1.26000000,2.22103044
1.28000000,2.22086101
1.30000000,2.22086101
1.32000000,2.22086101
1.34000000,2.22086101
1.36000000,2.22086101
1.38000000,2.22114723
1.40000000,2.22114723
1.42000000,2.22114723
1.44000000,2.22114723
1.46000000,2.22114723
1.48000000,2.22147057
1.50000000,2.22147057
1.52000000,2.22147057
1.54000000,2.22147057
1.56000000,2.22147057
1.58000000,2.22170819
1.60000000,2.22170819
1.62000000,2.22170819
1.64000000,2.22170819
1.66000000,2.22170819
1.68000000,2.22191072
1.70000000,2.22191072
1.72000000,2.22191072
1.74000000,2.22191072
1.76000000,2.22191072
1.78000000,2.22236639
1.80000000,2.22236639
1.82000000,2.22236639
1.84000000,2.22236639
1.86000000,2.22236639
1.88000000,2.21038447
1.90000000,2.21038447
1.92000000,2.21038447
1.94000000,2.21038447
1.96000000,2.21038447
1.98000000,2.21030067
2.00000000,2.21030067
2.02000000,2.21030067
2.04000000,2.21030067
2.06000000,2.21030067
2.08000000,2.21039932
2.10000000,2.21039932
2.12000000,2.21039932
2.14000000,2.21039932
2.16000000,2.21039932
2.18000000,2.21053551
2.20000000,2.21053551
2.22000000,2.21053551
2.24000000,2.21053551
2.26000000,2.21053551
2.28000000,2.21099298
2.30000000,2.21099298
2.32000000,2.21099298
2.34000000,2.21099298
2.36000000,2.21099298
2.38000000,2.21094411
2.40000000,2.21094411
2.42000000,2.21094411
2.44000000,2.21094411
2.46000000,2.21094411
2.48000000,2.21058966
2.50000000,2.21058966
2.52000000,2.21058966
2.54000000,2.21058966
2.56000000,2.21058966
2.58000000,2.20971140
2.60000000,2.20971140
2.62000000,2.20971140
2.64000000,2.20971140
2.66000000,2.20971140
2.68000000,2.20964331
2.70000000,2.20964331
2.72000000,2.20964331
2.74000000,2.20964331
2.76000000,2.20964331
2.78000000,2.20940586
2.80000000,2.20940586
2.82000000,2.20940586
2.84000000,2.20940586
2.86000000,2.20940586
2.88000000,2.20969221
2.90000000,2.20969221
2.92000000,2.20969221
2.94000000,2.20969221
2.96000000,2.20969221
2.98000000,2.20977602
3.00000000,2.20977602
3.02000000,2.20977602
3.04000000,2.20977602
3.06000000,2.20977602
3.08000000,2.20980919
3.10000000,2.20980919
3.12000000,2.20980919
3.14000000,2.20980919
3.16000000,2.20980919
3.18000000,2.20982665
3.20000000,2.20982665
3.22000000,2.20982665
3.24000000,2.20982665
3.26000000,2.20982665
3.28000000,2.20977428
3.30000000,2.20977428
3.32000000,2.20977428
3.34000000,2.20977428
3.36000000,2.20977428
3.38000000,2.20972627
3.40000000,2.20972627
3.42000000,2.20972627
3.44000000,2.20972627
3.46000000,2.20972627
3.48000000,2.20997767
3.50000000,2.20997767
3.52000000,2.20997767
3.54000000,2.20997767
3.56000000,2.20997767
3.58000000,2.38528879
3.60000000,2.21122594
3.62000000,2.21122594
3.64000000,2.21122594
3.66000000,2.26200693
3.68000000,3.14634633
3.70000000,2.21524127
3.72000000,2.21524127
3.74000000,2.21524127
3.76000000,2.21524127
3.78000000,2.21891960
3.80000000,2.21891960
3.82000000,2.21891960
3.84000000,2.21891960
3.86000000,2.21891960
3.88000000,2.21905395
3.90000000,2.21905395
3.92000000,2.21905395
3.94000000,2.21905395
3.96000000,2.21905395
3.98000000,2.27320742
4.00000000,2.21928956
4.02000000,2.21928956
4.04000000,2.21928956
4.06000000,2.21928956
4.08000000,2.22060586
4.10000000,2.22060586
4.12000000,2.22060586
4.14000000,2.22060586
4.16000000,2.22060586
4.18000000,2.22094507
4.20000000,2.22094507
4.22000000,2.22094507
4.24000000,2.22094507
4.26000000,2.22094507
4.28000000,2.22138112
4.30000000,2.22138112
4.32000000,2.22138112
4.34000000,2.22138112
4.36000000,2.22138112
4.38000000,2.22149992
4.40000000,2.22149992
4.42000000,2.22149992
4.44000000,2.22149992
4.46000000,2.22149992
4.48000000,2.22163628
4.50000000,2.22163628
4.52000000,2.22163628
4.54000000,2.22163628
4.56000000,2.22163628
4.58000000,2.22171997
4.60000000,2.22171997
4.62000000,2.22171997
4.64000000,2.22171997
4.66000000,2.22171997
4.68000000,2.21809251
4.70000000,2.21809251
4.72000000,2.21809251
4.74000000,2.21809251
4.76000000,2.21809251
4.78000000,2.26814605
4.80000000,2.21392561
4.82000000,2.21392561
4.84000000,2.21392561
4.86000000,2.47191570
4.88000000,2.46439190
4.90000000,2.46191121
4.92000000,2.21895511
4.94000000,2.21895511
4.96000000,2.21895511
4.98000000,2.22590852
5.00000000,2.22590852
5.02000000,2.22590852
5.04000000,2.22590852
5.06000000,2.22590852
5.08000000,2.22521504
5.10000000,2.22521504
5.12000000,2.22521504
5.14000000,2.22521504
5.16000000,2.22521504
5.18000000,2.22528536
5.20000000,2.22528536
5.22000000,2.22528536
5.24000000,2.22528536
5.26000000,2.22528536
5.28000000,2.22563977
5.30000000,2.22563977
5.32000000,2.22563977
5.34000000,2.22563977
5.36000000,2.22563977
5.38000000,2.22580698
5.40000000,2.22580698
5.42000000,2.22580698
5.44000000,2.22580698
5.46000000,2.22580698
5.48000000,2.22636605
5.50000000,2.22636605
5.52000000,2.22636605
5.54000000,2.22636605
5.56000000,2.22636605
5.58000000,2.22680844
5.60000000,2.22680844
5.62000000,2.22680844
5.64000000,2.22680844
5.66000000,2.22680844
5.68000000,2.22653754
5.70000000,2.22653754
