# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.1304078152, P max: 2.5835788683
Time,Power
0.00000000,2.34920274
0.02000000,2.28256300
0.04000000,2.28256300
0.06000000,2.28256300
0.08000000,2.28256300
0.10000000,2.28130047
0.12000000,2.28130047
0.14000000,2.28130047
0.16000000,2.28130047
0.18000000,2.28130047
0.20000000,2.27942568
0.22000000,2.27942568
0.24000000,2.27942568
0.26000000,2.15049523
0.28000000,2.14922922
0.30000000,2.15304425
0.32000000,2.13040782
0.34000000,2.15431027
0.36000000,2.27205013
0.38000000,2.27205013
0.40000000,2.51924778
0.42000000,2.51170224
0.44000000,2.26983987
0.46000000,2.26983987
0.48000000,2.26983987
0.50000000,2.27701293
0.52000000,2.27701293
0.54000000,2.27701293
0.56000000,2.27701293
0.58000000,2.27701293
0.60000000,2.27652450
0.62000000,2.27652450
0.64000000,2.27652450
0.66000000,2.27652450
0.68000000,2.27652450
0.70000000,2.27584940
0.72000000,2.27584940
0.74000000,2.27584940
0.76000000,2.27584940
0.78000000,2.27584940
0.80000000,2.27515186
0.82000000,2.27515186
0.84000000,2.27515186
0.86000000,2.27515186
0.88000000,2.27515186
0.90000000,2.27460955
0.92000000,2.27460955
0.94000000,2.27460955
0.96000000,2.27460955
0.98000000,2.27460955
1.00000000,2.27381407
1.02000000,2.27381407
1.04000000,2.27381407
1.06000000,2.27381407
1.08000000,2.27381407
1.10000000,2.27221294
1.12000000,2.27221294
1.14000000,2.27221294
1.16000000,2.27221294
1.18000000,2.27221294
1.20000000,2.27288269
1.22000000,2.27288269
1.24000000,2.19678069
1.26000000,2.27288269
1.28000000,2.27288269
1.30000000,2.27738688
1.32000000,2.27738688
1.34000000,2.27738688
1.36000000,2.27738688
1.38000000,2.27738688
1.40000000,2.28455493
1.42000000,2.28455493
1.44000000,2.28455493
1.46000000,2.28455493
1.48000000,2.28455493
1.50000000,2.27248715
1.52000000,2.27248715
1.54000000,2.27248715
1.56000000,2.27248715
1.58000000,2.27248715
1.60000000,2.27236794
1.62000000,2.27236794
1.64000000,2.27236794
1.66000000,2.27236794
1.68000000,2.27236794
1.70000000,2.27246920
1.72000000,2.27246920
1.74000000,2.27246920
1.76000000,2.27246920
1.78000000,2.27246920
1.80000000,2.27232054
1.82000000,2.27232054
1.84000000,2.27232054
1.86000000,2.27232054
1.88000000,2.27232054
1.90000000,2.27220133
1.92000000,2.27220133
1.94000000,2.27220133
1.96000000,2.27220133
1.98000000,2.27220133
2.00000000,2.27235322
2.02000000,2.27235322
2.04000000,2.27235322
2.06000000,2.27235322
2.08000000,2.27235322
2.10000000,2.27238912
2.12000000,2.27238912
2.14000000,2.27238912
2.16000000,2.27238912
2.18000000,2.27238912
2.20000000,2.27271086
2.22000000,2.27271086
2.24000000,2.27271086
2.26000000,2.27271086
2.28000000,2.27271086
2.30000000,2.27218856
2.32000000,2.27218856
2.34000000,2.27218856
2.36000000,2.27218856
2.38000000,2.27218856
2.40000000,2.27301664
2.42000000,2.27301664
2.44000000,2.27301664
2.46000000,2.18668737
2.48000000,2.27301664
2.50000000,2.27200398
2.52000000,2.27200398
2.54000000,2.33134585
2.56000000,2.27200398
2.58000000,2.27200398
2.60000000,2.27119065
2.62000000,2.27119065
2.64000000,2.27119065
2.66000000,2.27119065
2.68000000,2.27119065
2.70000000,2.27036261
2.72000000,2.27036261
2.74000000,2.27036261
2.76000000,2.27036261
2.78000000,2.27036261
2.80000000,2.27036073
2.82000000,2.27036073
2.84000000,2.27036073
2.86000000,2.27036073
2.88000000,2.27036073
2.90000000,2.27005509
2.92000000,2.27005509
2.94000000,2.27005509
2.96000000,2.27005509
2.98000000,2.27005509
3.00000000,2.26991160
3.02000000,2.26991160
3.04000000,2.26991160
3.06000000,2.26991160
3.08000000,2.26991160
3.10000000,2.26962074
3.12000000,2.26962074
3.14000000,2.26962074
3.16000000,2.26962074
3.18000000,2.26962074
3.20000000,2.26939714
3.22000000,2.26939714
3.24000000,2.26939714
3.26000000,2.26939714
3.28000000,2.26939714
3.30000000,2.26922735
3.32000000,2.26922735
3.34000000,2.26922735
3.36000000,2.26922735
3.38000000,2.26922735
3.40000000,2.26882241
3.42000000,2.26882241
3.44000000,2.26882241
3.46000000,2.26882241
3.48000000,2.26882241
3.50000000,2.27044220
3.52000000,2.27044220
3.54000000,2.27044220
3.56000000,2.27044220
3.58000000,2.27044220
3.60000000,2.27142190
3.62000000,2.27142190
3.64000000,2.52314969
3.66000000,2.21624730
3.68000000,2.27142190
3.70000000,2.27359851
3.72000000,2.27359851
3.74000000,2.27359851
3.76000000,2.27359851
3.78000000,2.27359851
3.80000000,2.27309559
3.82000000,2.27309559
3.84000000,2.27309559
3.86000000,2.27309559
3.88000000,2.27309559
3.90000000,2.27288167
3.92000000,2.27288167
3.94000000,2.27288167
3.96000000,2.27288167
3.98000000,2.27288167
4.00000000,2.27302085
4.02000000,2.27302085
4.04000000,2.27302085
4.06000000,2.27302085
4.08000000,2.27302085
4.10000000,2.27359896
4.12000000,2.27359896
4.14000000,2.27359896
4.16000000,2.27359896
4.18000000,2.27359896
4.20000000,2.27346055
4.22000000,2.27346055
4.24000000,2.27346055
4.26000000,2.27346055
4.28000000,2.27346055
4.30000000,2.27395335
4.32000000,2.27395335
4.34000000,2.27395335
4.36000000,2.27395335
4.38000000,2.27395335
4.40000000,2.27427180
4.42000000,2.27427180
4.44000000,2.27427180
4.46000000,2.27427180
4.48000000,2.49079920
4.50000000,2.49321230
4.52000000,2.52090341
4.54000000,2.27907447
4.56000000,2.27907447
4.58000000,2.27907447
4.60000000,2.28600729
4.62000000,2.28600729
4.64000000,2.28600729
4.66000000,2.28600729
4.68000000,2.28600729
4.70000000,2.28472370
4.72000000,2.28472370
4.74000000,2.28472370
4.76000000,2.28472370
4.78000000,2.28472370
4.80000000,2.28556263
4.82000000,2.28556263
4.84000000,2.28556263
4.86000000,2.22254161
4.88000000,2.28556263
4.90000000,2.28739940
4.92000000,2.28739940
4.94000000,2.28739940
4.96000000,2.28739940
4.98000000,2.28739940
5.00000000,2.28648826
5.02000000,2.28648826
5.04000000,2.28648826
5.06000000,2.28648826
5.08000000,2.28648826
5.10000000,2.28586729
5.12000000,2.28586729
5.14000000,2.28586729
5.16000000,2.28586729
5.18000000,2.28586729
5.20000000,2.28567931
5.22000000,2.28567931
5.24000000,2.28567931
5.26000000,2.28567931
5.28000000,2.28567931
5.30000000,2.28547589
5.32000000,2.28547589
5.34000000,2.28547589
5.36000000,2.28547589
5.38000000,2.28547589
5.40000000,2.28539272
5.42000000,2.28539272
5.44000000,2.28539272
5.46000000,2.28539272
5.48000000,2.28539272
5.50000000,2.28526247
5.52000000,2.28526247
5.54000000,2.28526247
5.56000000,2.28526247
5.58000000,2.28526247
5.60000000,2.27365775
5.62000000,2.27365775
5.64000000,2.27365775
5.66000000,2.27365775
5.68000000,2.27365775
5.70000000,2.27364305
5.72000000,2.27364305
5.74000000,2.27364305
5.76000000,2.27364305
5.78000000,2.27364305
5.80000000,2.27334257
5.82000000,2.27334257
5.84000000,2.27334257
5.86000000,2.27334257
5.88000000,2.27334257
5.90000000,2.27188915
5.92000000,2.27188915
5.94000000,2.27188915
5.96000000,2.27188915
5.98000000,2.27188915
6.00000000,2.27263056
6.02000000,2.27263056
6.04000000,2.27263056
6.06000000,2.38127053
6.08000000,2.20894507
6.10000000,2.27411336
6.12000000,2.27411336
6.14000000,2.27411336
6.16000000,2.27411336
6.18000000,2.27411336
6.20000000,2.27350588
6.22000000,2.27350588
6.24000000,2.27350588
6.26000000,2.27350588
6.28000000,2.27350588
6.30000000,2.27328542
6.32000000,2.27328542
6.34000000,2.27328542
6.36000000,2.27328542
6.38000000,2.27328542
6.40000000,2.27326746
6.42000000,2.27326746
6.44000000,2.27326746
6.46000000,2.27326746
6.48000000,2.27326746
6.50000000,2.27288167
6.52000000,2.27288167
6.54000000,2.27288167
6.56000000,2.27288167
6.58000000,2.27288167
6.60000000,2.27288167
6.62000000,2.27288167
6.64000000,2.27288167
6.66000000,2.27288167
6.68000000,2.27288167
6.70000000,2.27259589
6.72000000,2.27259589
6.74000000,2.27259589
6.76000000,2.27259589
6.78000000,2.27259589
6.80000000,2.27255998
6.82000000,2.27255998
6.84000000,2.27255998
6.86000000,2.27255998
6.88000000,2.27255998
6.90000000,2.27242607
6.92000000,2.27242607
6.94000000,2.27242607
6.96000000,2.27242607
6.98000000,2.27242607
7.00000000,2.27227296
7.02000000,2.27227296
7.04000000,2.27227296
7.06000000,2.27227296
7.08000000,2.27227296
7.10000000,2.27095996
7.12000000,2.27095996
7.14000000,2.27095996
7.16000000,2.27095996
7.18000000,2.27095996
7.20000000,2.27173728
7.22000000,2.27173728
7.24000000,2.27173728
7.26000000,2.34483949
7.28000000,2.27173728
7.30000000,2.27364305
7.32000000,2.27364305
7.34000000,2.27364305
7.36000000,2.27364305
7.38000000,2.27364305
7.40000000,2.27300615
7.42000000,2.27300615
7.44000000,2.27300615
7.46000000,2.27300615
7.48000000,2.27300615
7.50000000,2.27287223
7.52000000,2.27287223
7.54000000,2.27287223
7.56000000,2.27287223
7.58000000,2.27287223
7.60000000,2.27329194
7.62000000,2.27329194
7.64000000,2.27329194
7.66000000,2.27329194
7.68000000,2.27329194
7.70000000,2.27362836
7.72000000,2.27362836
7.74000000,2.27362836
7.76000000,2.27362836
7.78000000,2.27362836
7.80000000,2.27384227
7.82000000,2.27384227
7.84000000,2.27384227
7.86000000,2.27384227
7.88000000,2.27384227
7.90000000,2.27412925
7.92000000,2.27412925
7.94000000,2.27412925
7.96000000,2.27412925
7.98000000,2.27412925
8.00000000,2.27447701
8.02000000,2.27447701
8.04000000,2.27447701
8.06000000,2.27447701
8.08000000,2.27447701
8.10000000,2.27494725
8.12000000,2.27494725
8.14000000,2.27494725
8.16000000,2.27494725
8.18000000,2.27494725
8.20000000,2.27513624
8.22000000,2.27513624
8.24000000,2.27513624
8.26000000,2.27513624
8.28000000,2.27513624
8.30000000,2.27337807
8.32000000,2.27337807
8.34000000,2.27337807
8.36000000,2.27337807
8.38000000,2.27337807
8.40000000,2.27449287
8.42000000,2.27449287
8.44000000,2.27449287
8.46000000,2.51806380
8.48000000,2.47529209
8.50000000,2.28010796
8.52000000,2.28010796
8.54000000,2.28010796
8.56000000,2.28010796
8.58000000,2.46141519
8.60000000,2.47396801
8.62000000,2.34191034
8.64000000,2.28370171
8.66000000,2.28370171
8.68000000,2.28370171
8.70000000,2.28980818
8.72000000,2.28980818
8.74000000,2.28980818
8.76000000,2.28980818
8.78000000,2.28980818
8.80000000,2.28943943
8.82000000,2.28943943
8.84000000,2.28943943
8.86000000,2.28943943
8.88000000,2.28943943
8.90000000,2.28929124
8.92000000,2.28929124
8.94000000,2.28929124
8.96000000,2.28929124
8.98000000,2.28929124
9.00000000,2.28935908
9.02000000,2.28935908
9.04000000,2.28935908
