# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.0425499932, P max: 2.5536466092
Time,Power
0.00000000,2.45863663
0.02000000,2.32031649
0.04000000,2.15805730
0.06000000,2.25234578
0.08000000,2.40078814
0.10000000,2.25234578
0.12000000,2.25234578
0.14000000,2.25234578
0.16000000,2.43843559
0.18000000,2.25244421
0.20000000,2.25244421
0.22000000,2.25244421
0.24000000,2.39319034
0.26000000,2.34536362
0.28000000,2.25264830
0.30000000,2.25264830
0.32000000,2.25264830
0.34000000,2.25264830
0.36000000,2.19950625
0.38000000,2.25249482
0.40000000,2.49881320
0.42000000,2.33028224
0.44000000,2.25249482
0.46000000,2.17062516
0.48000000,2.25423337
0.50000000,2.31521878
0.52000000,2.19324796
0.54000000,2.16935990
0.56000000,2.25323616
0.58000000,2.39317143
0.60000000,2.19321329
0.62000000,2.17180547
0.64000000,2.25323616
0.66000000,2.32397446
0.68000000,2.25312158
0.70000000,2.25312158
0.72000000,2.25312158
0.74000000,2.33779078
0.76000000,2.17430587
0.78000000,2.18564225
0.80000000,2.19945845
0.82000000,2.25381230
0.84000000,2.17056082
0.86000000,2.25247867
0.88000000,2.25247867
0.90000000,2.37550769
0.92000000,2.25247867
0.94000000,2.18309455
0.96000000,2.20065409
0.98000000,2.25379165
1.00000000,2.25379165
1.02000000,2.25379165
1.04000000,2.25379165
1.06000000,2.43323769
1.08000000,2.25333336
1.10000000,2.16163529
1.12000000,2.19559192
1.14000000,2.44958343
1.16000000,2.25196700
1.18000000,2.25196700
1.20000000,2.25196700
1.22000000,2.43323769
1.24000000,2.25196700
1.26000000,2.16286693
1.28000000,2.25193419
1.30000000,2.32384589
1.32000000,2.34145692
1.34000000,2.18300828
1.36000000,2.19183111
1.38000000,2.37163708
1.40000000,2.25250867
1.42000000,2.25250867
1.44000000,2.25250867
1.46000000,2.25075522
1.48000000,2.25075522
1.50000000,2.19184844
1.52000000,2.36791089
1.54000000,2.46224271
1.56000000,2.39553622
1.58000000,2.25793851
1.60000000,2.37038504
1.62000000,2.25793851
1.64000000,2.25793851
1.66000000,2.17924618
1.68000000,2.38546563
1.70000000,2.21067250
1.72000000,2.26193638
1.74000000,2.26193638
1.76000000,2.26180244
1.78000000,2.26180244
1.80000000,2.18553860
1.82000000,2.16539725
1.84000000,2.26180244
1.86000000,2.26183820
1.88000000,2.26183820
1.90000000,2.26183820
1.92000000,2.19058326
1.94000000,2.39306267
1.96000000,2.19056594
1.98000000,2.17548512
2.00000000,2.20316704
2.02000000,2.33767991
2.04000000,2.26096000
2.06000000,2.18812208
2.08000000,2.19819323
2.10000000,2.26160605
