# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.0417887106999997, P max: 2.5941748162
Time,Power
0.00000000,2.24031360
0.02000000,2.15675760
0.04000000,2.24031360
0.06000000,2.39202972
0.08000000,2.23940407
0.10000000,2.15797672
0.12000000,2.36184893
0.14000000,2.23940407
0.16000000,2.16423885
0.18000000,2.18565894
0.20000000,2.41844412
0.22000000,2.23984213
0.24000000,2.23984213
0.26000000,2.17553032
0.28000000,2.24095371
0.30000000,2.24095371
0.32000000,2.16545350
0.34000000,2.24095371
0.36000000,2.44848927
0.38000000,2.24052845
0.40000000,2.16538507
0.42000000,2.31389958
0.44000000,2.24052845
0.46000000,2.16913563
0.48000000,2.24068232
0.50000000,2.41699200
0.52000000,2.31258345
0.54000000,2.15404652
0.56000000,2.24154311
0.58000000,2.18549061
0.60000000,2.24154311
0.62000000,2.24154311
0.64000000,2.24154311
0.66000000,2.42453655
0.68000000,2.24154311
0.70000000,2.17166736
0.72000000,2.34022994
0.74000000,2.24154311
0.76000000,2.24201403
0.78000000,2.24201403
0.80000000,2.44713155
0.82000000,2.24201403
0.84000000,2.16155692
0.86000000,2.17784282
0.88000000,2.32249901
0.90000000,2.24285456
0.92000000,2.24285456
0.94000000,2.24285456
0.96000000,2.42319411
0.98000000,2.18916839
1.00000000,2.15645947
1.02000000,2.38040923
1.04000000,2.17661140
1.06000000,2.30362744
1.08000000,2.24281913
1.10000000,2.44954713
1.12000000,2.24281913
1.14000000,2.14884725
1.16000000,2.18280798
1.18000000,2.33378992
1.20000000,2.24336278
1.22000000,2.24336278
1.24000000,2.24336278
1.26000000,2.30487957
1.28000000,2.24270457
1.30000000,2.16518836
1.32000000,2.36776339
1.34000000,2.24270457
1.36000000,2.24314064
1.38000000,2.24314064
1.40000000,2.47599628
1.42000000,2.24314064
1.44000000,2.18157237
1.46000000,2.17659421
1.48000000,2.31750473
1.50000000,2.24383430
1.52000000,2.24383430
1.54000000,2.24383430
1.56000000,2.32381989
1.58000000,2.24371785
1.60000000,2.16153985
1.62000000,2.41318784
1.64000000,2.17409693
1.66000000,2.24413810
1.68000000,2.24413810
1.70000000,2.43704830
1.72000000,2.24413810
1.74000000,2.16778414
1.76000000,2.18915109
1.78000000,2.33385906
1.80000000,2.24484695
1.82000000,2.24484695
1.84000000,2.29861877
1.86000000,2.30612659
1.88000000,2.18035720
1.90000000,2.15013002
1.92000000,2.37534027
1.94000000,2.33883474
1.96000000,2.43565260
1.98000000,2.59417482
2.00000000,2.24548669
2.02000000,2.15511232
2.04000000,2.37778262
2.06000000,2.17016574
2.08000000,2.14120590
2.10000000,2.25228614
2.12000000,2.45070159
2.14000000,2.30853507
2.16000000,2.25265834
2.18000000,2.17772668
2.20000000,2.32996959
2.22000000,2.19909233
2.24000000,2.25265834
2.26000000,2.38145398
2.28000000,2.36262025
2.30000000,2.19655942
2.32000000,2.16132213
2.34000000,2.37644177
2.36000000,2.17254787
2.38000000,2.25329761
2.40000000,2.20150640
2.42000000,2.44431253
2.44000000,2.25329761
2.46000000,2.17632768
2.48000000,2.17005001
2.50000000,2.33357328
2.52000000,2.25287480
2.54000000,2.19895768
2.56000000,2.25366702
2.58000000,2.30839372
2.60000000,2.20273726
2.62000000,2.15114937
2.64000000,2.38134579
2.66000000,2.17376201
2.68000000,2.31343804
2.70000000,2.25233294
2.72000000,2.46688424
2.74000000,2.25233294
2.76000000,2.16875008
2.78000000,2.19644228
2.80000000,2.25268732
2.82000000,2.15113237
2.84000000,2.15867558
2.86000000,2.24747553
2.88000000,2.11721278
2.90000000,2.24747553
2.92000000,2.18641961
2.94000000,2.16880149
2.96000000,2.37007492
2.98000000,2.31848661
3.00000000,2.24447082
3.02000000,2.24447082
3.04000000,2.41913190
3.06000000,2.23542430
3.08000000,2.23542430
3.10000000,2.17892356
3.12000000,2.23542430
3.14000000,2.23542430
3.16000000,2.32485154
3.18000000,2.23498630
