# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.0697235592, P max: 3.0863812804
Time,Power
0.00000000,2.24571692
0.02000000,2.24571692
0.04000000,2.24571692
0.06000000,2.31408237
0.08000000,2.24541494
0.10000000,2.19199005
0.12000000,2.24541494
0.14000000,2.24541494
0.16000000,2.24639299
0.18000000,2.50542273
0.20000000,2.24639299
0.22000000,2.18704150
0.24000000,2.24639299
0.26000000,2.24553209
0.28000000,2.24553209
0.30000000,2.24553209
0.32000000,2.31035283
0.34000000,2.31789837
0.36000000,2.16187283
0.38000000,2.34053498
0.40000000,2.24588658
0.42000000,2.19458704
0.44000000,2.24588658
0.46000000,2.42736547
0.48000000,2.24485602
0.50000000,2.18575821
0.52000000,2.24485602
0.54000000,2.24485602
0.56000000,2.17574943
0.58000000,2.41736432
0.60000000,2.24573723
0.62000000,2.24573723
0.64000000,2.37209002
0.66000000,2.24442306
0.68000000,2.19215887
0.70000000,2.24442306
0.72000000,2.35072398
0.74000000,2.24442306
0.76000000,2.24524854
0.78000000,2.36203083
0.80000000,2.40857157
0.82000000,2.42118163
0.84000000,2.47400207
0.86000000,2.16695477
0.88000000,2.25649124
0.90000000,2.47526814
0.92000000,2.25649124
0.94000000,2.19718852
0.96000000,2.41870680
0.98000000,2.14183605
1.00000000,2.25608891
1.02000000,2.32182482
1.04000000,2.25608891
1.06000000,2.25606945
1.08000000,2.19975254
1.10000000,2.36085334
1.12000000,2.25606945
1.14000000,2.25606945
1.16000000,2.31804026
1.18000000,2.25671001
1.20000000,2.25671001
1.22000000,2.41745502
1.24000000,2.31677415
1.26000000,2.18088257
1.28000000,2.18336413
1.30000000,2.33185234
1.32000000,2.25679793
1.34000000,2.19597448
1.36000000,2.25710179
1.38000000,2.25710179
1.40000000,2.19470838
1.42000000,2.36456836
1.44000000,2.25710179
1.46000000,2.25672946
1.48000000,2.36961404
1.50000000,2.18962669
1.52000000,2.09780984
1.54000000,2.15691092
1.56000000,2.08391704
1.58000000,2.24911516
1.60000000,2.32553574
1.62000000,2.24911516
1.64000000,2.48283352
1.66000000,2.24838576
1.68000000,2.15434431
1.70000000,2.18954022
1.72000000,2.24838576
1.74000000,2.24838576
1.76000000,2.24934529
1.78000000,2.40091200
1.80000000,2.24934529
1.82000000,2.19202035
1.84000000,2.39463259
1.86000000,2.23933618
1.88000000,2.17947875
1.90000000,2.23933618
1.92000000,2.31286662
1.94000000,2.29650964
1.96000000,2.17819553
1.98000000,2.23653327
2.00000000,2.23653327
2.02000000,2.17566351
2.04000000,2.50031911
2.06000000,2.23602686
2.08000000,2.23602686
2.10000000,2.28894608
2.12000000,2.23602686
2.14000000,2.23602686
2.16000000,2.23585728
2.18000000,2.37699096
2.20000000,2.23585728
2.22000000,2.23585728
2.24000000,2.37699096
2.26000000,2.23656860
2.28000000,2.16688631
2.30000000,2.23656860
2.32000000,2.23656860
2.34000000,2.23656860
2.36000000,2.23720926
2.38000000,2.33925047
2.40000000,2.23720926
2.42000000,2.17193327
2.44000000,2.38077593
2.46000000,2.23707501
2.48000000,2.23707501
2.50000000,2.32670993
2.52000000,2.23707501
2.54000000,2.15052920
2.56000000,2.24343808
2.58000000,2.36441895
2.60000000,2.18950563
2.62000000,2.24343808
2.64000000,2.37702851
2.66000000,2.24624107
2.68000000,2.24624107
2.70000000,2.24624107
2.72000000,2.24624107
2.74000000,2.24624107
2.76000000,2.24678037
2.78000000,2.31160060
2.80000000,2.24678037
2.82000000,2.24678037
2.84000000,2.24678037
2.86000000,2.17191612
2.88000000,2.18447493
2.90000000,2.30778431
2.92000000,2.24539534
2.94000000,2.24539534
2.96000000,2.24637709
2.98000000,2.39206751
3.00000000,2.24637709
3.02000000,2.18069740
3.04000000,2.35808827
3.06000000,2.24786077
3.08000000,2.24786077
3.10000000,2.42099517
3.12000000,2.24786077
3.14000000,2.24786077
3.16000000,2.18444474
3.18000000,2.24911164
3.20000000,2.24911164
3.22000000,2.24911164
3.24000000,2.24911164
3.26000000,2.30903208
3.28000000,2.15047824
3.30000000,2.24866920
3.32000000,2.24866920
3.34000000,2.18192568
3.36000000,2.24759244
3.38000000,2.33418633
3.40000000,2.24759244
3.42000000,2.24759244
3.44000000,2.33671832
3.46000000,2.17183463
