# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.0795245625, P max: 2.6237800626000003
Time,Power
0.00000000,2.24049204
0.02000000,2.24049204
0.04000000,2.24049204
0.06000000,2.24049204
0.08000000,2.24049204
0.10000000,2.24227930
0.12000000,2.24227930
0.14000000,2.14750087
0.16000000,2.37396663
0.18000000,2.19028280
0.20000000,2.39028218
0.22000000,2.24285141
0.24000000,2.24285141
0.26000000,2.24285141
0.28000000,2.24285141
0.30000000,2.24392909
0.32000000,2.15492929
0.34000000,2.24392909
0.36000000,2.24392909
0.38000000,2.24392909
0.40000000,2.24401005
0.42000000,2.38125171
0.44000000,2.24401005
0.46000000,2.24401005
0.48000000,2.24401005
0.50000000,2.24411058
0.52000000,2.24411058
0.54000000,2.24411058
0.56000000,2.24411058
0.58000000,2.24411058
0.60000000,2.33833123
0.62000000,2.18864523
0.64000000,2.41886909
0.66000000,2.24437884
0.68000000,2.18363376
0.70000000,2.24488246
0.72000000,2.18231651
0.74000000,2.24488246
0.76000000,2.24488246
0.78000000,2.24488246
0.80000000,2.24490019
0.82000000,2.35844108
0.84000000,2.24490019
0.86000000,2.31065570
0.88000000,2.18613026
0.90000000,2.24493308
0.92000000,2.24493308
0.94000000,2.24493308
0.96000000,2.24493308
0.98000000,2.16723184
1.00000000,2.31072874
1.02000000,2.18493382
1.04000000,2.24532550
1.06000000,2.24532550
1.08000000,2.32454846
1.10000000,2.24424471
1.12000000,2.24424471
1.14000000,2.24424471
1.16000000,2.16730034
1.18000000,2.24424471
1.20000000,2.17614283
1.22000000,2.24488765
1.24000000,2.24488765
1.26000000,2.38495900
1.28000000,2.24488765
1.30000000,2.24374107
1.32000000,2.24374107
1.34000000,2.18496834
1.36000000,2.24374107
1.38000000,2.24374107
1.40000000,2.24331836
1.42000000,2.24331836
1.44000000,2.30821589
1.46000000,2.24331836
1.48000000,2.43401181
1.50000000,2.24369044
1.52000000,2.24369044
1.54000000,2.24369044
1.56000000,2.16107453
1.58000000,2.24369044
1.60000000,2.17870407
1.62000000,2.24496931
1.64000000,2.24496931
1.66000000,2.39000363
1.68000000,2.24496931
1.70000000,2.24546040
1.72000000,2.24546040
1.74000000,2.24546040
1.76000000,2.43534953
1.78000000,2.37875234
1.80000000,2.25141790
1.82000000,2.48179907
1.84000000,2.25141790
1.86000000,2.25141790
1.88000000,2.25141790
1.90000000,2.17735677
1.92000000,2.17356020
1.94000000,2.15472923
1.96000000,2.37482890
1.98000000,2.25470551
2.00000000,2.37473507
2.02000000,2.25461642
2.04000000,2.18607843
2.06000000,2.25461642
2.08000000,2.18982423
2.10000000,2.25395720
2.12000000,2.19979744
2.14000000,2.25395720
2.16000000,2.19099015
2.18000000,2.31176136
2.20000000,2.25395438
2.22000000,2.37204011
2.24000000,2.25395438
2.26000000,2.25395438
2.28000000,2.19346897
2.30000000,2.15695822
2.32000000,2.25494886
2.34000000,2.18084850
2.36000000,2.25494886
2.38000000,2.25494886
2.40000000,2.34052008
2.42000000,2.31161977
2.44000000,2.25427468
2.46000000,2.25427468
2.48000000,2.17577314
2.50000000,2.25395035
2.52000000,2.25395035
2.54000000,2.25395035
2.56000000,2.25395035
2.58000000,2.25395035
2.60000000,2.19200003
2.62000000,2.25404875
2.64000000,2.08885542
2.66000000,2.12033528
2.68000000,2.10019222
2.70000000,2.12400073
2.72000000,2.24510759
2.74000000,2.24510759
2.76000000,2.16048967
2.78000000,2.24510759
2.80000000,2.24070210
2.82000000,2.24070210
2.84000000,2.24070210
2.86000000,2.36919479
2.88000000,2.24070210
2.90000000,2.23435849
2.92000000,2.23435849
2.94000000,2.23435849
2.96000000,2.23435849
2.98000000,2.23435849
3.00000000,2.23383476
3.02000000,2.16541437
3.04000000,2.28489702
3.06000000,2.23383476
3.08000000,2.36662700
3.10000000,2.23395363
3.12000000,2.31006686
3.14000000,2.23395363
3.16000000,2.18304279
3.18000000,2.23395363
3.20000000,2.16038722
3.22000000,2.23462680
3.24000000,2.16666241
3.26000000,2.23462680
3.28000000,2.23462680
3.30000000,2.41568408
3.32000000,2.23430788
3.34000000,2.23430788
3.36000000,2.31006686
3.38000000,2.23430788
3.40000000,2.23415843
3.42000000,2.16927846
3.44000000,2.23415843
3.46000000,2.15419715
3.48000000,2.23415843
3.50000000,2.23451064
3.52000000,2.35293687
3.54000000,2.23451064
3.56000000,2.23451064
3.58000000,2.23451064
3.60000000,2.23446208
3.62000000,2.23446208
3.64000000,2.17808432
3.66000000,2.23446208
3.68000000,2.16295241
3.70000000,2.23920405
3.72000000,2.23920405
3.74000000,2.31390323
3.76000000,2.23920405
3.78000000,2.23920405
3.80000000,2.24426497
3.82000000,2.24426497
3.84000000,2.24426497
3.86000000,2.19066983
3.88000000,2.24426497
3.90000000,2.17064231
3.92000000,2.36933992
3.94000000,2.19326530
3.96000000,2.40704489
3.98000000,2.24448332
4.00000000,2.24460229
4.02000000,2.24460229
4.04000000,2.24460229
4.06000000,2.24460229
4.08000000,2.18822152
4.10000000,2.18447630
4.12000000,2.15178153
4.14000000,2.31151016
4.16000000,2.24460229
4.18000000,2.49887245
4.20000000,2.24443532
4.22000000,2.18324553
4.24000000,2.24443532
4.26000000,2.24443532
4.28000000,2.24443532
4.30000000,2.16566682
4.32000000,2.24376222
4.34000000,2.24376222
4.36000000,2.24376222
4.38000000,2.24376222
4.40000000,2.36561890
4.42000000,2.24298530
4.44000000,2.24298530
4.46000000,2.24298530
4.48000000,2.17192563
4.50000000,2.24425061
4.52000000,2.18827340
4.54000000,2.29643189
4.56000000,2.24425061
4.58000000,2.34299520
4.60000000,2.24416528
4.62000000,2.44241953
4.64000000,2.24416528
4.66000000,2.24416528
4.68000000,2.24416528
4.70000000,2.18837285
4.72000000,2.24420075
4.74000000,2.24420075
4.76000000,2.24420075
4.78000000,2.24420075
4.80000000,2.30537962
4.82000000,2.24373007
4.84000000,2.32932071
4.86000000,2.24373007
4.88000000,2.17838559
4.90000000,2.30798335
4.92000000,2.16711624
4.94000000,2.24385161
4.96000000,2.17718902
4.98000000,2.24385161
5.00000000,2.18220010
5.02000000,2.24344667
5.04000000,2.24344667
5.06000000,2.44758503
5.08000000,2.24344667
5.10000000,2.24388707
5.12000000,2.24388707
5.14000000,2.17469254
5.16000000,2.24388707
5.18000000,2.18350004
5.20000000,2.33187457
5.22000000,2.18847661
5.24000000,2.43629744
5.26000000,2.24339606
5.28000000,2.24339606
5.30000000,2.24320875
5.32000000,2.24320875
5.34000000,2.24320875
5.36000000,2.24320875
