# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.0708626211, P max: 2.5861302888999997
Time,Power
0.00000000,2.17089536
0.02000000,2.25998057
0.04000000,2.25998057
0.06000000,2.25998057
0.08000000,2.25998057
0.10000000,2.14948454
0.12000000,2.14320808
0.14000000,2.07781143
0.16000000,2.13941183
0.18000000,2.13313537
0.20000000,2.19853202
0.22000000,2.24940170
0.24000000,2.18972473
0.26000000,2.24940170
0.28000000,2.16962994
0.30000000,2.25056315
0.32000000,2.16957851
0.34000000,2.25056315
0.36000000,2.17332405
0.38000000,2.25056315
0.40000000,2.30539784
0.42000000,2.25068216
0.44000000,2.40602205
0.46000000,2.25068216
0.48000000,2.34442262
0.50000000,2.19345164
0.52000000,2.17330687
0.54000000,2.16075435
0.56000000,2.25044413
0.58000000,2.25044413
0.60000000,2.25098586
0.62000000,2.25098586
0.64000000,2.25098586
0.66000000,2.17334122
0.68000000,2.25098586
0.70000000,2.35831528
0.72000000,2.31427815
0.74000000,2.42497840
0.76000000,2.25100640
0.78000000,2.34576217
0.80000000,2.19863192
0.82000000,2.24960515
0.84000000,2.19863192
0.86000000,2.24960515
0.88000000,2.18607843
0.90000000,2.25038222
0.92000000,2.18984154
0.94000000,2.25038222
0.96000000,2.19616895
0.98000000,2.38857291
1.00000000,2.37609443
1.02000000,2.24933969
1.04000000,2.40626448
1.06000000,2.24933969
1.08000000,2.34967032
1.10000000,2.24881664
1.12000000,2.24881664
1.14000000,2.24881664
1.16000000,2.24881664
1.18000000,2.16235290
1.20000000,2.25875948
1.22000000,2.15735881
1.24000000,2.25875948
1.26000000,2.19259339
1.28000000,2.25875948
1.30000000,2.33992028
1.32000000,2.25972569
1.34000000,2.41166002
1.36000000,2.25972569
1.38000000,2.36508235
1.40000000,2.19910971
1.42000000,2.19156585
1.44000000,2.14751784
1.46000000,2.26011874
1.48000000,2.20417270
1.50000000,2.47096421
1.52000000,2.39294123
1.54000000,2.48352080
1.56000000,2.21051629
1.58000000,2.19917486
1.60000000,2.26898078
1.62000000,2.19293121
1.64000000,2.26898078
1.66000000,2.20300702
1.68000000,2.26898078
1.70000000,2.16153985
1.72000000,2.26979406
1.74000000,2.20052756
1.76000000,2.36533928
1.78000000,2.18164131
1.80000000,2.26980883
1.82000000,2.38165624
1.84000000,2.26980883
1.86000000,2.35021339
1.88000000,2.19922698
1.90000000,2.35904210
1.92000000,2.18040888
1.94000000,2.26967486
1.96000000,2.16526961
1.98000000,2.26967486
2.00000000,2.14260281
2.02000000,2.27105670
2.04000000,2.27105670
2.06000000,2.27105670
2.08000000,2.19794380
2.10000000,2.26974342
2.12000000,2.40559283
2.14000000,2.26974342
2.16000000,2.37040262
2.18000000,2.20432507
2.20000000,2.26862635
2.22000000,2.17029862
2.24000000,2.26862635
2.26000000,2.18285541
2.28000000,2.26862635
2.30000000,2.16267326
2.32000000,2.26980698
2.34000000,2.18029261
