# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.0771080575000003, P max: 2.644662856
Time,Power
0.00000000,2.22274797
0.02000000,2.27524506
0.04000000,2.34100563
0.06000000,2.19004486
0.08000000,2.27524506
0.10000000,2.27470287
0.12000000,2.18499856
0.14000000,2.27470287
0.16000000,2.27470287
0.18000000,2.27470287
0.20000000,2.27399535
0.22000000,2.27399535
0.24000000,2.20383312
0.26000000,2.27399535
0.28000000,2.34091777
0.30000000,2.34091777
0.32000000,2.27353976
0.34000000,2.27353976
0.36000000,2.27353976
0.38000000,2.27353976
0.40000000,2.27340258
0.42000000,2.27340258
0.44000000,2.27340258
0.46000000,2.41762267
0.48000000,2.27340258
0.50000000,2.27223505
0.52000000,2.38486477
0.54000000,2.27223505
0.56000000,2.27223505
0.58000000,2.38739578
0.60000000,2.32574049
0.62000000,2.27183009
0.64000000,2.35089868
0.66000000,2.27183009
0.68000000,2.27183009
0.70000000,2.36469929
0.72000000,2.27247019
0.74000000,2.27247019
0.76000000,2.27247019
0.78000000,2.27247019
0.80000000,2.26241475
0.82000000,2.26241475
0.84000000,2.26241475
0.86000000,2.26241475
0.88000000,2.26241475
0.90000000,2.25998794
0.92000000,2.25998794
0.94000000,2.19747063
0.96000000,2.25998794
0.98000000,2.25998794
1.00000000,2.20001908
1.02000000,2.26076512
1.04000000,2.26076512
1.06000000,2.26076512
1.08000000,2.26076512
1.10000000,2.26118647
1.12000000,2.19507258
1.14000000,2.26118647
1.16000000,2.26118647
1.18000000,2.26118647
1.20000000,2.31340149
1.22000000,2.26130857
1.24000000,2.18633324
1.26000000,2.26130857
1.28000000,2.26130857
1.30000000,2.19011408
1.32000000,2.26220494
1.34000000,2.26220494
1.36000000,2.19011408
1.38000000,2.26220494
1.40000000,2.26198755
1.42000000,2.19268001
1.44000000,2.26198755
1.46000000,2.26198755
1.48000000,2.17632768
1.50000000,2.26320259
1.52000000,2.26320259
1.54000000,2.15496334
1.56000000,2.26320259
1.58000000,2.26320259
1.60000000,2.17762345
1.62000000,2.26449956
1.64000000,2.26449956
1.66000000,2.18643257
1.68000000,2.26449956
1.70000000,2.26352278
1.72000000,2.18520142
1.74000000,2.26352278
1.76000000,2.26352278
1.78000000,2.26352278
1.80000000,2.26300163
1.82000000,2.26300163
1.84000000,2.18022371
1.86000000,2.26300163
1.88000000,2.26300163
1.90000000,2.18018926
1.92000000,2.35126093
1.94000000,2.31855531
1.96000000,2.26362404
1.98000000,2.26362404
2.00000000,2.26482121
2.02000000,2.21034602
2.04000000,2.26482121
2.06000000,2.26482121
2.08000000,2.32861186
2.10000000,2.26412871
2.12000000,2.32852447
2.14000000,2.20525114
2.16000000,2.26412871
2.18000000,2.26412871
2.20000000,2.19129315
2.22000000,2.26262180
2.24000000,2.26262180
2.26000000,2.19635551
2.28000000,2.26262180
2.30000000,2.35354127
2.32000000,2.20511610
2.34000000,2.26388882
2.36000000,2.26388882
2.38000000,2.36862677
2.40000000,2.26424013
2.42000000,2.26424013
2.44000000,2.26424013
2.46000000,2.26424013
2.48000000,2.26424013
2.50000000,2.26216465
2.52000000,2.26216465
2.54000000,2.40628350
2.56000000,2.26216465
2.58000000,2.26216465
2.60000000,2.17735677
2.62000000,2.10061549
2.64000000,2.14713609
2.66000000,2.17356020
2.68000000,2.34339332
2.70000000,2.25217446
2.72000000,2.25217446
2.74000000,2.38864841
2.76000000,2.25217446
2.78000000,2.25217446
2.80000000,2.51313610
2.82000000,2.31819810
2.84000000,2.25264507
2.86000000,2.35844108
2.88000000,2.25264507
2.90000000,2.25340437
2.92000000,2.37479137
2.94000000,2.25340437
2.96000000,2.25340437
2.98000000,2.25340437
3.00000000,2.34082528
3.02000000,2.25244259
3.04000000,2.25244259
3.06000000,2.25244259
3.08000000,2.25244259
3.10000000,2.25259723
3.12000000,2.32453010
3.14000000,2.25259723
3.16000000,2.25259723
3.18000000,2.25259723
3.20000000,2.25222785
3.22000000,2.18368553
3.24000000,2.25222785
3.26000000,2.25222785
3.28000000,2.19750536
3.30000000,2.25221005
3.32000000,2.25221005
3.34000000,2.18994536
3.36000000,2.25221005
3.38000000,2.25221005
3.40000000,2.25310623
3.42000000,2.25310623
3.44000000,2.25310623
3.46000000,2.19504222
3.48000000,2.25310623
3.50000000,2.25291987
3.52000000,2.18503309
3.54000000,2.30830253
3.56000000,2.25291987
3.58000000,2.16994714
3.60000000,2.25244923
3.62000000,2.25244923
3.64000000,2.16998143
3.66000000,2.25244923
3.68000000,2.25244923
3.70000000,2.17749011
3.72000000,2.26218406
3.74000000,2.26218406
3.76000000,2.15860736
3.78000000,2.26218406
3.80000000,2.26350332
3.82000000,2.26350332
3.84000000,2.51845182
3.86000000,2.50463114
3.88000000,2.18255362
3.90000000,2.27352384
3.92000000,2.27352384
3.94000000,2.18629869
3.96000000,2.27352384
3.98000000,2.27352384
4.00000000,2.27325276
4.02000000,2.27325276
4.04000000,2.27325276
4.06000000,2.18501582
4.08000000,2.27325276
4.10000000,2.27288369
4.12000000,2.20266764
4.14000000,2.27288369
4.16000000,2.27288369
4.18000000,2.16242125
4.20000000,2.27367898
4.22000000,2.27367898
4.24000000,2.17126420
4.26000000,2.27367898
4.28000000,2.27367898
4.30000000,2.16623591
4.32000000,2.27361366
4.34000000,2.27361366
4.36000000,2.16122394
4.38000000,2.27361366
4.40000000,2.27405460
4.42000000,2.27405460
4.44000000,2.27405460
4.46000000,2.27405460
4.48000000,2.20150640
4.50000000,2.27330664
4.52000000,2.21650562
4.54000000,2.27330664
4.56000000,2.27330664
4.58000000,2.27330664
4.60000000,2.15611023
4.62000000,2.27320539
4.64000000,2.27320539
4.66000000,2.21149376
4.68000000,2.27320539
4.70000000,2.27433711
4.72000000,2.27433711
4.74000000,2.27433711
4.76000000,2.27433711
4.78000000,2.19642493
4.80000000,2.27444165
4.82000000,2.27444165
4.84000000,2.21404435
4.86000000,2.27444165
4.88000000,2.27444165
4.90000000,2.20285474
4.92000000,2.26355855
4.94000000,2.26355855
4.96000000,2.20412045
