# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.9837834127999998, P max: 2.6279242704000003
Time,Power
0.00000000,2.23280929
0.02000000,2.05814165
0.04000000,2.28460204
0.06000000,2.29715786
0.08000000,2.09467775
0.10000000,2.36893559
0.12000000,2.23400904
0.14000000,2.06824936
0.16000000,2.28843532
0.18000000,2.22184456
0.20000000,2.04944567
0.22000000,2.33378992
0.24000000,2.22184456
0.26000000,2.07086262
0.28000000,2.22235087
0.30000000,2.22235087
0.32000000,2.07460932
0.34000000,2.22235087
0.36000000,2.29227242
0.38000000,2.09354021
0.40000000,2.31622062
0.42000000,2.22320927
0.44000000,2.09480601
0.46000000,2.28979061
0.48000000,2.22255105
0.50000000,2.07971762
0.52000000,2.27470222
0.54000000,2.22255105
0.56000000,2.07217342
0.58000000,2.28485023
0.60000000,2.22272255
0.62000000,2.05583355
0.64000000,2.22272255
0.66000000,2.28231853
0.68000000,2.06347752
0.70000000,2.22201571
0.72000000,2.15153178
0.74000000,2.07730088
0.76000000,2.22201571
0.78000000,2.22074744
0.80000000,2.11005692
0.82000000,2.35918654
0.84000000,2.15411033
0.86000000,2.06352235
0.88000000,2.22101816
0.90000000,2.22101816
0.92000000,2.06100682
0.94000000,2.44224903
0.96000000,2.28876980
0.98000000,2.05849126
1.00000000,2.22225099
1.02000000,2.14908067
1.04000000,2.06477023
1.06000000,2.39446709
1.08000000,2.22127335
1.10000000,2.14536744
1.12000000,2.22127335
1.14000000,2.16926843
1.16000000,2.06480286
1.18000000,2.35179037
1.20000000,2.28008512
1.22000000,2.07119801
1.24000000,2.50654407
1.26000000,2.22078650
1.28000000,2.06116556
1.30000000,2.36065289
1.32000000,2.22139179
1.34000000,2.15804065
1.36000000,2.54184424
1.38000000,2.22105485
1.40000000,2.15805769
1.42000000,2.31534802
1.44000000,2.22105485
1.46000000,2.07500678
1.48000000,2.58966923
1.50000000,2.22075100
1.52000000,2.14798017
1.54000000,2.22075100
1.56000000,2.22075100
1.58000000,2.06872732
1.60000000,2.56075333
1.62000000,2.22115613
1.64000000,2.12787578
1.66000000,2.22115613
1.68000000,2.28898224
1.70000000,2.22107239
1.72000000,2.53935233
1.74000000,2.22107239
1.76000000,2.14678175
1.78000000,2.22230331
1.80000000,2.22230331
1.82000000,2.14548183
1.84000000,2.22230331
1.86000000,2.22230331
1.88000000,2.08886586
1.90000000,2.40592540
1.92000000,2.22174627
1.94000000,2.22174627
1.96000000,2.16685208
1.98000000,2.22174627
2.00000000,2.22174627
2.02000000,2.53176680
2.04000000,2.22174627
2.06000000,2.22174627
