# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.0135478858, P max: 2.6453366488
Time,Power
0.00000000,2.25601764
0.02000000,2.53313285
0.04000000,2.19965264
0.06000000,2.25601764
0.08000000,2.33684291
0.10000000,2.20093609
0.12000000,2.61372555
0.14000000,2.15814292
0.16000000,2.11661583
0.18000000,2.40983764
0.20000000,2.19968739
0.22000000,2.25686356
0.24000000,2.18459572
0.26000000,2.15441237
0.28000000,2.33814590
0.30000000,2.25615174
0.32000000,2.25615174
0.34000000,2.18079645
0.36000000,2.20343342
0.38000000,2.35191576
0.40000000,2.25567815
0.42000000,2.25567815
0.44000000,2.18579274
0.46000000,2.16943550
0.48000000,2.25567815
0.50000000,2.33043899
0.52000000,2.25604927
0.54000000,2.20080136
0.56000000,2.14919951
0.58000000,2.18697672
0.60000000,2.25611491
0.62000000,2.25611491
0.64000000,2.18694217
0.66000000,2.15296347
0.68000000,2.20203257
0.70000000,2.25585890
0.72000000,2.30892721
0.74000000,2.25585890
0.76000000,2.45613100
0.78000000,2.25585890
0.80000000,2.38442802
0.82000000,2.25514997
0.84000000,2.25514997
0.86000000,2.38695990
0.88000000,2.17053437
0.90000000,2.19943113
0.92000000,2.39575194
0.94000000,2.25543598
0.96000000,2.25543598
0.98000000,2.17679625
1.00000000,2.25474207
1.02000000,2.25474207
1.04000000,2.33029173
1.06000000,2.25474207
1.08000000,2.18304079
1.10000000,2.16923416
1.12000000,2.25511434
1.14000000,2.33279135
1.16000000,2.25511434
1.18000000,2.20194560
1.20000000,2.19068945
1.22000000,2.17306712
1.24000000,2.25373488
1.26000000,2.25373488
1.28000000,2.25373488
1.30000000,2.15427624
1.32000000,2.25332808
1.34000000,2.25332808
1.36000000,2.30650008
1.38000000,2.25332808
1.40000000,2.50413692
1.42000000,2.20211519
1.44000000,2.25285727
1.46000000,2.39718355
1.48000000,2.25285727
1.50000000,2.25299140
1.52000000,2.15930666
1.54000000,2.12279493
1.56000000,2.37447772
1.58000000,2.20209779
1.60000000,2.25292571
1.62000000,2.15052920
1.64000000,2.18577547
1.66000000,2.37704729
1.68000000,2.38206077
1.70000000,2.25254110
1.72000000,2.15186321
1.74000000,2.25254110
1.76000000,2.19592245
1.78000000,2.25254110
1.80000000,2.19592245
1.82000000,2.25198403
1.84000000,2.16442263
1.86000000,2.25198403
1.88000000,2.34567321
1.90000000,2.25193067
1.92000000,2.25193067
1.94000000,2.18579274
1.96000000,2.18954022
1.98000000,2.25193067
2.00000000,2.25194846
2.02000000,2.25194846
2.04000000,2.25194846
2.06000000,2.17320015
2.08000000,2.13927001
2.10000000,2.25160632
2.12000000,2.18947104
2.14000000,2.36190024
2.16000000,2.17944432
2.18000000,2.15554224
2.20000000,2.31017490
2.22000000,2.25153691
2.24000000,2.33154384
2.26000000,2.16798536
2.28000000,2.25153691
2.30000000,2.25171894
2.32000000,2.25171894
2.34000000,2.48373172
2.36000000,2.38686563
2.38000000,2.46109756
2.40000000,2.26194885
2.42000000,2.07348687
2.44000000,2.15278065
2.46000000,2.10244986
2.48000000,2.08984185
2.50000000,2.25388014
2.52000000,2.25388014
2.54000000,2.25388014
2.56000000,2.18046055
2.58000000,2.25388014
2.60000000,2.25212300
2.62000000,2.25212300
2.64000000,2.25212300
2.66000000,2.14766629
2.68000000,2.18670465
2.70000000,2.13883913
2.72000000,2.25265941
2.74000000,2.25265941
2.76000000,2.17655982
2.78000000,2.25265941
2.80000000,2.37411198
2.82000000,2.20049280
2.84000000,2.39299794
2.86000000,2.56535131
2.88000000,2.20175861
2.90000000,2.25458902
2.92000000,2.33773038
2.94000000,2.25458902
2.96000000,2.25458902
2.98000000,2.17413128
3.00000000,2.12128629
3.02000000,2.37166846
3.04000000,2.25485720
3.06000000,2.25485720
3.08000000,2.19045152
3.10000000,2.17040149
3.12000000,2.39689006
3.14000000,2.20311145
3.16000000,2.25521445
3.18000000,2.19050343
3.20000000,2.17925926
3.22000000,2.36797851
3.24000000,2.25592171
3.26000000,2.19181691
3.28000000,2.25592171
3.30000000,2.25636406
3.32000000,2.25636406
3.34000000,2.25636406
3.36000000,2.19053804
3.38000000,2.17924635
3.40000000,2.15406354
3.42000000,2.24738384
3.44000000,2.24738384
3.46000000,2.24738384
3.48000000,2.24738384
3.50000000,2.25246239
3.52000000,2.25246239
3.54000000,2.25246239
3.56000000,2.34400902
3.58000000,2.25246239
3.60000000,2.46223216
3.62000000,2.17534558
3.64000000,2.15899112
3.66000000,2.39929534
3.68000000,2.20557348
3.70000000,2.32884644
3.72000000,2.16904995
3.74000000,2.25765700
3.76000000,2.25765700
3.78000000,2.19421435
3.80000000,2.32624589
3.82000000,2.19916183
3.84000000,2.25693191
3.86000000,2.40173686
3.88000000,2.25693191
3.90000000,2.25580021
3.92000000,2.16643702
3.94000000,2.25580021
3.96000000,2.43062801
3.98000000,2.32622751
4.00000000,2.17776109
4.02000000,2.25583302
4.04000000,2.15761023
4.06000000,2.25583302
4.08000000,2.31486795
4.10000000,2.25546079
4.12000000,2.18903436
4.14000000,2.15511232
4.16000000,2.20734932
4.18000000,2.25546079
4.20000000,2.25559485
4.22000000,2.25559485
4.24000000,2.25559485
4.26000000,2.25559485
4.28000000,2.17772668
4.30000000,2.35268926
4.32000000,2.19917486
4.34000000,2.45461027
4.36000000,2.18033998
4.38000000,2.25461624
4.40000000,2.41438397
4.42000000,2.20051018
4.44000000,2.25529509
4.46000000,2.17281393
4.48000000,2.25529509
4.50000000,2.25494627
4.52000000,2.19180392
4.54000000,2.31636701
4.56000000,2.25494627
4.58000000,2.25494627
4.60000000,2.37557953
4.62000000,2.25582326
4.64000000,2.25582326
4.66000000,2.15287844
4.68000000,2.25582326
4.70000000,2.47131072
4.72000000,2.32278800
4.74000000,2.25569198
4.76000000,2.19193811
4.78000000,2.16550481
4.80000000,2.25673879
4.82000000,2.31912776
4.84000000,2.25673879
4.86000000,2.18948833
4.88000000,2.17313149
4.90000000,2.19711910
4.92000000,2.25652123
4.94000000,2.25652123
4.96000000,2.19711910
4.98000000,2.19960052
5.00000000,2.25686073
5.02000000,2.25686073
5.04000000,2.34057196
5.06000000,2.19208961
5.08000000,2.53817704
5.10000000,2.25721807
5.12000000,2.25721807
5.14000000,2.41238883
5.16000000,2.31925599
5.18000000,2.25721807
5.20000000,2.15810883
5.22000000,2.12919225
5.24000000,2.37455274
5.26000000,2.25741779
5.28000000,2.25741779
5.30000000,2.18194291
5.32000000,2.18574094
5.34000000,2.35184146
5.36000000,2.25785287
5.38000000,2.25785287
5.40000000,2.25741494
5.42000000,2.19456971
5.44000000,2.40219699
5.46000000,2.25741494
5.48000000,2.17314865
5.50000000,2.19325605
5.52000000,2.17188609
5.54000000,2.19578803
5.56000000,2.25777102
5.58000000,2.25777102
5.60000000,2.20078398
5.62000000,2.15171450
5.64000000,2.25765191
5.66000000,2.15925975
5.68000000,2.25765191
5.70000000,2.19825201
5.72000000,2.18316150
5.74000000,2.20458193
5.76000000,2.36688088
5.78000000,2.25825958
5.80000000,2.25741655
5.82000000,2.50155054
5.84000000,2.25741655
5.86000000,2.25741655
5.88000000,2.37069756
5.90000000,2.20462981
5.92000000,2.25785287
5.94000000,2.16310469
5.96000000,2.12912498
5.98000000,2.38455516
6.00000000,2.25717957
6.02000000,2.35314464
6.04000000,2.18577547
