# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.99877879, P max: 2.82290576
Time,Power
0.00000000,2.41408494
0.02000000,2.26599607
0.04000000,2.13246109
0.06000000,2.26599607
0.08000000,2.20537655
0.10000000,2.26599607
0.12000000,2.17022200
0.14000000,2.52225246
0.16000000,2.34874198
0.18000000,2.20665465
0.20000000,2.20417520
0.22000000,2.20534168
0.24000000,2.26692164
0.26000000,2.26692164
0.28000000,2.15631048
0.30000000,2.51091388
0.32000000,2.26924923
0.34000000,2.19653732
0.36000000,2.11355365
0.38000000,2.19780231
0.40000000,2.20787167
0.42000000,2.15635735
0.44000000,2.33113286
0.46000000,2.17902656
0.48000000,2.54613609
0.50000000,2.18530107
0.52000000,2.34999307
0.54000000,2.26275763
0.56000000,2.53731649
0.58000000,2.20917160
0.60000000,2.36507204
0.62000000,2.12984687
0.64000000,2.27896094
0.66000000,2.27896094
0.68000000,2.10222003
0.70000000,2.39012607
0.72000000,2.21156176
0.74000000,2.11977807
0.76000000,2.28771084
0.78000000,2.22911905
0.80000000,2.11977807
0.82000000,2.22663978
0.84000000,2.17761090
0.86000000,2.56230293
0.88000000,2.29024071
0.90000000,2.20149287
0.92000000,2.18766378
0.94000000,2.19899777
0.96000000,2.28597608
0.98000000,2.36748978
1.00000000,2.20405759
1.02000000,2.13230937
1.04000000,2.60255789
1.06000000,2.20147547
1.08000000,2.49817628
1.10000000,2.60503714
1.12000000,2.19768070
1.14000000,2.23289621
1.16000000,2.28511231
1.18000000,2.21528845
1.20000000,2.50824508
1.22000000,2.36882964
1.24000000,2.20913667
1.26000000,2.10854427
1.28000000,2.34869092
1.30000000,2.19405793
1.32000000,2.12613619
1.34000000,2.13494048
1.36000000,2.45553828
1.38000000,2.28461351
1.40000000,2.10225327
1.42000000,2.40531378
1.44000000,2.22552878
1.46000000,2.22927325
1.48000000,2.20538963
1.50000000,2.10231559
1.52000000,2.28324991
1.54000000,2.21549423
1.56000000,2.49840834
1.58000000,2.28324991
1.60000000,2.21048466
1.62000000,2.52488230
1.64000000,2.39660395
1.66000000,2.28355707
1.68000000,2.16398242
1.70000000,2.28355707
1.72000000,2.22187422
1.74000000,2.28457270
1.76000000,2.20805930
1.78000000,2.52620728
1.80000000,2.28457270
1.82000000,2.20935933
1.84000000,2.50990183
1.86000000,2.40049404
1.88000000,2.28658241
1.90000000,2.47468082
1.92000000,2.19304428
1.94000000,2.21065503
1.96000000,2.28884068
1.98000000,2.19557456
2.00000000,2.50366145
2.02000000,2.28867444
2.04000000,2.22197520
2.06000000,2.39302484
2.08000000,2.22197520
2.10000000,2.37161833
2.12000000,2.29119037
2.14000000,2.18430797
2.16000000,2.57793077
2.18000000,2.29119037
2.20000000,2.39680760
2.22000000,2.43578724
2.24000000,2.53760732
2.26000000,2.17420276
2.28000000,2.51372110
2.30000000,2.29505085
2.32000000,2.17673308
2.34000000,2.54140280
2.36000000,2.30051634
2.38000000,2.19682382
2.40000000,2.30051634
2.42000000,2.21570001
2.44000000,2.30416000
2.46000000,2.22951556
2.48000000,2.17167244
2.50000000,2.56027899
2.52000000,2.10878596
2.54000000,2.30427539
2.56000000,2.30427539
2.58000000,2.09244035
2.60000000,2.30427539
2.62000000,2.30400415
2.64000000,2.24079826
2.66000000,2.18796643
2.68000000,2.56021828
2.70000000,2.38036740
2.72000000,2.22824817
2.74000000,2.55267810
2.76000000,2.18422164
2.78000000,2.38669305
2.80000000,2.13892999
2.82000000,2.17793369
2.84000000,2.20434944
2.86000000,2.14898768
2.88000000,2.38414865
2.90000000,2.23197972
2.92000000,2.38418163
2.94000000,2.30093542
2.96000000,2.47972501
2.98000000,2.61180562
3.00000000,2.16915844
3.02000000,2.48482485
3.04000000,2.30557698
3.06000000,2.19560927
3.08000000,2.12136968
3.10000000,2.30557698
3.12000000,2.19942368
3.14000000,2.55403394
3.16000000,2.30453650
3.18000000,2.21075987
3.20000000,2.51886138
3.22000000,2.24846283
3.24000000,2.30286643
3.26000000,2.13783374
3.28000000,2.30286643
3.30000000,2.30286643
3.32000000,2.14668648
3.34000000,2.22847273
3.36000000,2.19952364
3.38000000,2.12659420
3.40000000,2.19699312
3.42000000,2.22342927
3.44000000,2.29377815
3.46000000,2.21715355
3.48000000,2.54541455
3.50000000,2.29377815
3.52000000,2.20971733
3.54000000,2.56689398
3.56000000,2.19336930
3.58000000,2.23613737
3.60000000,2.29505102
3.62000000,2.38581916
3.64000000,2.22861363
3.66000000,2.42732223
3.68000000,2.29744799
3.70000000,2.39462591
3.72000000,2.29861144
3.74000000,2.21104819
3.76000000,2.10536490
3.78000000,2.29861144
3.80000000,2.21732440
3.82000000,2.10797892
3.84000000,2.29936029
3.86000000,2.23502659
3.88000000,2.58088982
3.90000000,2.29936029
3.92000000,2.23249576
3.94000000,2.11177517
3.96000000,2.11805163
3.98000000,2.30189112
4.00000000,2.20733931
4.02000000,2.16337125
4.04000000,2.15709459
4.06000000,2.19860152
4.08000000,2.19733606
4.10000000,2.29330817
4.12000000,2.20998802
4.14000000,2.14833371
4.16000000,2.22380709
4.18000000,2.22006126
4.20000000,2.51815832
4.22000000,2.28998461
4.24000000,2.21375134
4.26000000,2.52070920
4.28000000,2.28998461
4.30000000,2.19618630
4.32000000,2.57601618
4.34000000,2.38857291
4.36000000,2.20998802
4.38000000,2.11689913
4.40000000,2.47285404
4.42000000,2.23140226
4.44000000,2.20376347
4.46000000,2.22011389
4.48000000,2.61505503
4.50000000,2.29083073
4.52000000,2.17862229
4.54000000,2.53585399
4.56000000,2.21005787
4.58000000,2.29337987
4.60000000,2.11696604
4.62000000,2.29169498
4.64000000,2.18240273
4.66000000,2.48177946
4.68000000,2.29169498
4.70000000,2.21890098
4.72000000,2.02900042
4.74000000,1.99877879
4.76000000,2.45164767
4.78000000,2.09815076
4.80000000,2.13085289
4.82000000,2.41147424
4.84000000,2.19510726
4.86000000,2.16113856
4.88000000,2.58000154
4.90000000,2.20518144
4.92000000,2.27207370
4.94000000,2.27207370
4.96000000,2.21395689
4.98000000,2.27207370
5.00000000,2.12338983
5.02000000,2.34603096
5.04000000,2.18373298
5.06000000,2.61144840
5.08000000,2.33595694
5.10000000,2.17365896
5.12000000,2.62268038
5.14000000,2.27353976
5.16000000,2.21137582
5.18000000,2.51450095
5.20000000,2.27353976
5.22000000,2.22016652
5.24000000,2.49813027
5.26000000,2.27428112
5.28000000,2.21763543
5.30000000,2.13081922
5.32000000,2.18616481
5.34000000,2.27682684
5.36000000,2.32830830
5.38000000,2.20251536
5.40000000,2.47925982
5.42000000,2.27650513
5.44000000,2.20376347
5.46000000,2.59495869
5.48000000,2.27650513
5.50000000,2.42011548
5.52000000,2.40370808
5.54000000,2.19864930
5.56000000,2.58608942
5.58000000,2.27503382
5.60000000,2.20244574
5.62000000,2.38978646
5.64000000,2.33066440
5.66000000,2.27508562
5.68000000,2.36969103
5.70000000,2.35835256
5.72000000,2.20605646
5.74000000,2.35071756
5.76000000,2.17968542
5.78000000,2.15827477
5.80000000,2.60855648
5.82000000,2.35182033
5.84000000,2.23738502
5.86000000,2.11915375
5.88000000,2.23986504
5.90000000,2.20215858
5.92000000,2.09767826
5.94000000,2.23604901
5.96000000,2.29116450
5.98000000,2.23604901
6.00000000,2.21216057
6.02000000,2.53906814
6.04000000,2.29325391
6.06000000,2.21587076
6.08000000,2.08635901
6.10000000,2.23601366
6.12000000,2.12781320
6.14000000,2.24477107
6.16000000,2.19694537
6.18000000,2.50130910
6.20000000,2.29780951
6.22000000,2.17685352
6.24000000,2.53400264
6.26000000,2.49877864
6.28000000,2.38936155
6.30000000,2.42585078
6.32000000,2.30376318
6.34000000,2.24723316
6.36000000,2.21206004
6.38000000,2.55913519
6.40000000,2.30376318
6.42000000,2.19566133
6.44000000,2.13275609
6.46000000,2.23589438
6.48000000,2.20446706
6.50000000,2.52764719
6.52000000,2.11011781
6.54000000,2.15288090
6.56000000,2.19938891
6.58000000,2.18304279
6.60000000,2.58167570
