# 50.0 sps, start/stop: 50/0 mA (360 s), channels: 1
# P min: 0.7346592379, P max: 1.786576152,
Time,Power,
0,0.88892106,
0.02,0.88892106,
0.04,0.88892106,
0.06,0.88892106,
0.08,0.88892106,
0.1,0.88892106,
0.12,0.88892106,
0.14,0.88892106,
0.16,0.88892106,
0.18,0.8886112,
0.2,0.8886112,
0.22,0.74992184,
0.24,0.74618712,
0.26,0.74866011,
0.28,0.78505463,
0.3,0.75371301,
0.32,0.75492428,
0.34,0.74619304,
0.36,1.08353184,
0.38,1.10113672,
0.4,0.74995602,
0.42,0.74117398,
0.44,0.75121781,
0.46,0.75747627,
0.48,0.7725229,
0.5,0.74996196,
0.52,0.75122376,
0.54,0.75248556,
0.56,0.74743837,
0.58,0.75000208,
0.6,0.74626696,
0.62,0.75252581,
0.64,0.75252581,
0.66,0.74747835,
0.68,0.75004963,
0.7,0.92187606,
0.72,0.92692384,
0.74,0.92187606,
0.76,0.9256619,
0.78,0.9156023,
0.8,0.92690915,
0.82,0.92564723,
0.84,0.92817108,
0.86,0.92065,
0.88,0.92809936,
0.9,0.91931704,
0.92,0.92305205,
0.94,0.92809936,
0.96,0.92305205,
0.98,0.92298804,
1,0.92551152,
1.02,0.92424978,
1.04,0.91546807,
1.06,0.92924628,
1.08,0.92292952,
1.1,0.91919501,
1.12,0.9267145,
1.14,0.92166786,
1.16,0.92045667,
1.18,0.91792062,
1.2,1.28157645,
1.22,0.92544001,
1.24,0.91918226,
1.26,0.91287405,
1.28,0.91915312,
1.3,0.96179528,
1.32,0.92288746,
1.34,0.91536831,
1.36,0.92667227,
1.38,0.92533181,
1.4,0.87472063,
1.42,0.87472063,
1.44,0.92659331,
1.46,0.92659331,
1.48,0.8884539,
1.5,0.8884539,
1.52,0.8884539,
1.54,0.8884539,
1.56,0.8884539,
1.58,0.9049916,
1.6,0.9049916,
1.62,0.9049916,
1.64,0.9049916,
1.66,0.9049916,
1.68,0.92167105,
1.7,0.92167105,
1.72,0.92167105,
1.74,0.92167105,
1.76,0.92167105,
1.78,0.92985938,
1.8,0.92985938,
1.82,0.92985938,
1.84,0.92985938,
1.86,0.92985938,
1.88,0.93036939,
1.9,0.93036939,
1.92,0.7521352,
1.94,0.7521352,
1.96,0.74461838,
1.98,0.74995957,
2,0.75217098,
2.02,0.74339254,
2.04,0.7471259,
2.06,0.75217098,
2.08,0.74718958,
2.1,0.74971233,
2.12,0.7835677,
2.14,0.75723014,
2.16,0.90284356,
2.18,0.88921781,
2.2,0.88921781,
2.22,0.88921781,
2.24,0.88921781,
2.26,0.88921781,
2.28,0.88858299,
2.3,0.88858299,
2.32,0.88858299,
2.34,0.88858299,
2.36,0.88858299,
2.38,0.8883882,
2.4,0.8883882,
2.42,0.8883882,
2.44,0.8883882,
2.46,0.8883882,
2.48,0.88836591,
2.5,0.88836591,
2.52,0.88836591,
2.54,0.88836591,
2.56,0.88836591,
2.58,0.88871209,
2.6,0.88871209,
2.62,0.88871209,
2.64,0.75231709,
2.66,0.75105557,
2.68,0.75105557,
2.7,0.74853254,
2.72,0.75105557,
2.74,0.74979406,
2.76,0.74727103,
2.78,0.75735321,
2.8,0.74857259,
2.82,0.74483831,
2.84,0.75235734,
2.86,0.74609989,
2.88,0.93043611,
2.9,0.9204439,
2.92,0.9204439,
2.94,1.28283809,
2.96,0.92291672,
2.98,0.92042202,
3,0.92289478,
3.02,0.93419882,
3.04,0.93293721,
3.06,0.925418,
3.08,0.87091848,
3.1,0.87091848,
3.12,0.87091848,
3.14,0.87091848,
3.16,0.92158203,
3.18,0.88766769,
3.2,0.88766769,
3.22,0.88766769,
3.24,0.88766769,
3.26,0.88766769,
3.28,0.88877778,
3.3,0.88877778,
3.32,0.88877778,
3.34,0.88877778,
3.36,0.88877778,
3.38,0.74349568,
3.4,0.75353679,
3.42,0.74975245,
3.44,0.74475713,
3.46,0.74849101,
3.48,0.75856819,
3.5,0.74479255,
3.52,0.75231112,
3.54,0.74605406,
3.56,0.7472651,
3.58,0.75361892,
3.6,0.75109576,
3.62,0.75361892,
