# 50.0 sps, start/stop: 50/0 mA (360 s), channels: 1
# P min: 1.3382165808, P max: 2.6289342058000003,
Time,Power,
0,2.39355215,
0.02,2.23489459,
0.04,2.23489459,
0.06,2.23489459,
0.08,2.28560844,
0.1,1.86003812,
0.12,1.87887842,
0.14,1.80483047,
0.16,1.88140393,
0.18,2.09349626,
0.2,1.82384046,
0.22,1.85647309,
0.24,1.88410474,
0.26,1.82005185,
0.28,1.88031612,
0.3,1.77505667,
0.32,2.17224176,
0.34,2.12025709,
0.36,1.85164438,
0.38,1.80642934,
0.4,1.84416864,
0.42,1.81532035,
0.44,1.85801178,
0.46,1.81279423,
0.48,1.91070665,
0.5,1.96983767,
0.52,1.80537717,
0.54,1.8066403,
0.56,1.89576729,
0.58,2.01253172,
0.6,1.91095625,
0.62,1.83440482,
0.64,1.85198891,
0.66,1.84819923,
0.68,1.82434955,
0.7,1.80941723,
0.72,1.93120055,
0.74,1.95631521,
0.76,1.92114459,
0.78,1.80562729,
0.8,1.85096742,
0.82,2.05310982,
0.84,1.86223686,
0.86,1.85849723,
0.88,1.98903068,
0.9,1.77952396,
0.92,1.88879209,
0.94,1.805906,
0.96,1.8900556,
0.98,2.10480133,
1,1.84630105,
1.02,1.84503739,
1.04,1.91741955,
1.06,1.7797317,
1.08,1.81451093,
1.1,1.82255419,
1.12,1.88223036,
1.14,2.20672669,
1.16,1.88223036,
1.18,1.80858688,
1.2,1.87604394,
1.22,2.07477783,
1.24,1.96424095,
1.26,1.87604394,
1.28,1.87604394,
1.3,2.05087299,
1.32,1.81100303,
1.34,1.8147431,
1.36,1.87569615,
1.38,2.11111846,
1.4,1.87709048,
1.42,1.81977551,
1.44,1.86740463,
1.46,2.06091282,
1.48,1.79091586,
1.5,1.87849817,
1.52,1.87849817,
1.54,2.05436102,
1.56,1.82331362,
1.58,1.79066782,
1.6,1.87900352,
1.62,1.87900352,
1.64,1.82710377,
1.66,1.87900352,
1.68,1.87900352,
1.7,1.99537922,
1.72,1.87828638,
1.74,1.81582339,
1.76,1.87828638,
1.78,2.0456124,
1.8,1.87833098,
1.82,1.82466005,
1.84,1.87833098,
1.86,1.7932762,
1.88,1.81586651,
1.9,1.87794154,
1.92,1.93894091,
1.94,2.09717539,
1.96,1.87794154,
1.98,1.80835072,
2,1.87830125,
2.02,2.05694883,
2.04,1.87830125,
2.06,2.1235058,
2.08,1.87830125,
2.1,2.04813922,
2.12,1.82082649,
2.14,1.81329657,
2.16,1.99664263,
2.18,2.02428604,
2.2,1.87791325,
2.22,1.78602171,
