# 50.0 sps, start/stop: 50/0 mA (360 s), channels: 1
# P min: 1.2271560534, P max: 2.8457642532,
Time,Power,
0,1.98612369,
0.02,1.88343066,
0.04,1.82646891,
0.06,1.93454423,
0.08,1.8825409,
0.1,1.8126298,
0.12,1.8825409,
0.14,1.82896937,
0.16,1.96719226,
0.18,1.8138152,
0.2,1.81634451,
0.22,1.88048768,
0.24,2.16326398,
0.26,1.87959799,
0.28,1.87959799,
0.3,1.87959799,
0.32,1.87959799,
0.34,1.82638226,
0.36,1.80998595,
0.38,1.87953854,
0.4,2.04752701,
0.42,1.87953854,
0.44,1.87953854,
0.46,1.88111631,
0.48,2.0852171,
0.5,1.82502021,
0.52,1.88111631,
0.54,1.88111631,
0.56,1.86906392,
0.58,1.80354598,
0.6,1.81608957,
0.62,1.88012259,
0.64,2.02599242,
0.66,1.8823369,
0.68,1.8823369,
0.7,1.98324141,
0.72,1.8823369,
0.74,1.81354987,
0.76,1.81481433,
0.78,1.78719836,
0.8,1.88188169,
0.82,1.88188169,
0.84,1.88188169,
0.86,1.94426505,
0.88,1.87255719,
0.9,1.81128553,
0.92,1.88453255,
0.94,1.88453255,
0.96,2.03059418,
0.98,1.81951959,
1,1.81572692,
1.02,1.88303413,
1.04,2.41132743,
1.06,1.8842925,
1.08,1.8842925,
1.1,1.8842925,
1.12,2.07716686,
1.14,1.81703426,
1.16,1.80824579,
1.18,1.94898322,
1.2,1.96031099,
1.22,1.88556793,
1.24,1.81578078,
1.26,1.88763554,
1.28,2.04329493,
1.3,1.83342279,
1.32,1.88763554,
1.34,2.0068328,
1.36,1.96925041,
1.38,1.81090322,
1.4,1.80711017,
1.42,1.88656192,
1.44,1.88656192,
1.46,1.88577884,
1.48,1.82974207,
1.5,1.88577884,
1.52,1.88577884,
1.54,1.81467081,
1.56,2.56249882,
1.58,2.379008,
1.6,2.54368443,
1.62,2.27598408,
1.64,2.17796721,
1.66,2.2834161,
1.68,2.42163484,
1.7,2.20421722,
1.72,2.264552,
1.74,2.33616478,
1.76,2.42139064,
1.78,2.26932996,
1.8,2.20151706,
1.82,2.26558786,
1.84,2.18391908,
1.86,2.25535069,
1.88,2.24655239,
1.9,2.3056123,
1.92,2.15988397,
1.94,2.28927981,
1.96,2.2115472,
1.98,2.34226884,
2,2.3849999,
2.02,2.23668014,
2.04,2.19900601,
2.06,2.2452705,
2.08,2.20507164,
2.1,2.26286698,
2.12,2.34705704,
2.14,2.30559407,
2.16,2.2953365,
2.18,2.20994015,
2.2,2.18354768,
2.22,2.36318842,
2.24,2.20362012,
2.26,2.31029409,
2.28,2.22106134,
2.3,2.22358918,
2.32,2.14340609,
2.34,2.20099029,
2.36,2.1807843,
2.38,2.30504234,
2.4,2.1807843,
2.42,2.35028683,
2.44,2.1807843,
2.46,2.41411238,
2.48,2.21788582,
2.5,2.21788582,
2.52,2.21788582,
2.54,2.27717839,
2.56,2.25371683,
2.58,2.25371683,
2.6,2.19159936,
2.62,2.4264226,
2.64,2.1890722,
2.66,2.25994529,
2.68,2.25994529,
2.7,2.25994529,
2.72,2.20657388,
2.74,2.25994529,
2.76,2.18644122,
2.78,2.25937145,
2.8,2.41124626,
2.82,2.25937145,
2.84,2.17643416,
2.86,2.25689496,
2.88,2.20028937,
2.9,2.25689496,
2.92,2.19397179,
2.94,2.25689496,
2.96,2.389937,
2.98,2.18271849,
3,2.17013375,
3.02,2.25362765,
3.04,2.18772205,
3.06,2.31960214,
3.08,2.250613,
3.1,2.250613,
3.12,2.12243975,
3.14,2.19527005,
3.16,2.1437004,
3.18,2.24902555,
3.2,2.19393706,
3.22,2.3245827,
3.24,2.17260922,
3.26,2.32077843,
3.28,2.16253894,
3.3,2.19392404,
3.32,2.24769817,
3.34,2.31825145,
3.36,2.24646744,
3.38,2.24646744,
3.4,2.18263643,
3.42,2.53929156,
3.44,2.12734655,
3.46,2.3258462,
3.48,2.24053485,
3.5,2.24053485,
3.52,2.18266666,
3.54,2.38988025,
3.56,2.24007999,
3.58,2.24007999,
3.6,2.24007999,
3.62,2.3245827,
3.64,2.24007999,
3.66,2.24050204,
3.68,1.85240308,
3.7,1.74439845,
3.72,1.78078747,
3.74,1.77452047,
3.76,1.75960916,
3.78,2.0246145,
3.8,1.76840392,
3.82,2.02587811,
3.84,1.77340784,
3.86,1.88666069,
3.88,2.38660909,
3.9,2.15953445,
3.92,2.15953445,
3.94,2.26478142,
3.96,2.1589613,
3.98,2.23337164,
4,2.21072502,
4.02,2.31753822,
4.04,2.33634301,
4.06,2.16008978,
4.08,2.16008978,
4.1,2.2408682,
4.12,2.38281176,
4.14,2.22580439,
4.16,2.16003996,
4.18,2.24344894,
4.2,2.34642113,
4.22,2.16003996,
4.24,2.23465309,
4.26,2.31246487,
4.28,2.37024364,
