# 50.0 sps, start/stop: 50/0 mA (360 s), channels: 1
# P min: 1.1735219286, P max: 2.5067727629,
Time,Power,
0,1.82335331,
0.02,1.84111119,
0.04,1.85364538,
0.06,1.80467106,
0.08,1.78586977,
0.1,1.81220168,
0.12,1.88018779,
0.14,1.8048246,
0.16,1.78849843,
0.18,1.82494167,
0.2,1.8262053,
0.22,1.95074379,
0.24,1.85399014,
0.26,1.82133451,
0.28,1.85277693,
0.3,1.92056515,
0.32,1.82902211,
0.34,1.83781864,
0.36,2.08427329,
0.38,1.89813052,
0.4,1.84535131,
0.42,1.82919215,
0.44,1.83551209,
0.46,1.86943751,
0.48,1.76386928,
0.5,1.78525595,
0.52,1.87959327,
0.54,1.77406745,
0.56,1.78286548,
0.58,1.76274125,
0.6,1.83438959,
0.62,1.82574681,
0.64,1.86721232,
0.66,1.76921212,
0.68,1.83702341,
0.7,1.8382876,
0.72,1.84226596,
0.74,1.8033249,
0.76,1.78066829,
0.78,1.864872,
0.8,1.83599493,
0.82,1.8047349,
0.84,1.78839811,
0.86,1.82739398,
0.88,1.82486506,
0.9,1.90093483,
0.92,1.86401939,
0.94,1.80994659,
0.96,1.86401939,
0.98,1.86401939,
1,1.86401939,
1.02,1.84321259,
1.04,1.89425275,
1.06,1.84321259,
1.08,1.84321259,
1.1,1.84321259,
1.12,1.84379818,
1.14,1.84379818,
1.16,1.77737916,
1.18,2.17457807,
1.2,1.84379818,
1.22,1.84432637,
1.24,1.78751638,
1.26,1.78119292,
1.28,1.84432637,
1.3,1.84432637,
1.32,2.00253873,
1.34,1.78879767,
1.36,1.84485094,
1.38,1.84485094,
1.4,1.94218533,
1.42,1.84475752,
1.44,1.94852007,
1.46,2.20496686,
1.48,2.08051251,
1.5,1.84475752,
1.52,1.78886838,
1.54,1.85165256,
1.56,1.85165256,
1.58,2.0164294,
1.6,1.77505688,
1.62,1.85181898,
1.64,1.85181898,
1.66,1.3575209,
1.68,1.33888128,
1.7,1.43129323,
1.72,1.37994164,
1.74,1.34705284,
1.76,1.81289653,
1.78,1.82220617,
1.8,1.82220617,
1.82,1.87214818,
1.84,1.80696886,
1.86,1.80696886,
1.88,1.80696886,
1.9,1.88733754,
1.92,1.80790407,
1.94,1.80790407,
1.96,1.80790407,
1.98,1.86089777,
2,1.80790407,
2.02,1.8085977,
2.04,1.8085977,
2.06,1.8085977,
2.08,1.8085977,
2.1,1.89602649,
2.12,1.85967774,
2.14,1.80840209,
2.16,1.80840209,
2.18,1.80840209,
2.2,1.80840209,
2.22,1.80798324,
2.24,1.90866274,
2.26,1.86092721,
2.28,1.80798324,
2.3,1.80798324,
2.32,1.85835474,
2.34,1.80768751,
2.36,1.80768751,
2.38,1.89602649,
2.4,1.80768751,
2.42,1.80754705,
2.44,1.80754705,
2.46,1.80754705,
2.48,1.80754705,
2.5,1.97891184,
2.52,1.87965275,
2.54,1.80021513,
2.56,1.80021513,
2.58,1.95130335,
2.6,1.80021513,
2.62,1.80057692,
2.64,1.88714214,
2.66,1.80057692,
2.68,1.80057692,
2.7,1.80057692,
2.72,1.81968569,
2.74,1.81968569,
2.76,1.81968569,
2.78,1.89366858,
2.8,1.81968569,
2.82,1.76230462,
2.84,1.78744571,
2.86,1.84592278,
2.88,1.84592278,
2.9,1.84592278,
2.92,2.06767567,
2.94,1.84596556,
2.96,1.84596556,
2.98,1.84596556,
3,1.84596556,
3.02,1.84530383,
3.04,1.84530383,
3.06,2.0035262,
3.08,1.84530383,
3.1,1.84530383,
3.12,1.78597274,
3.14,1.84494878,
3.16,1.84494878,
3.18,1.84494878,
3.2,1.84494878,
3.22,1.84476787,
3.24,1.84476787,
3.26,1.84476787,
3.28,1.84476787,
3.3,1.92164795,
3.32,1.8457539,
3.34,1.8457539,
3.36,1.8457539,
3.38,1.8457539,
3.4,1.8457539,
3.42,1.84722742,
3.44,1.84722742,
3.46,1.84722742,
3.48,1.84722742,
3.5,1.84722742,
3.52,1.78330623,
3.54,1.77577042,
3.56,1.84713302,
3.58,1.84713302,
3.6,1.94418817,
3.62,1.76445538,
3.64,1.84704648,
3.66,1.84704648,
3.68,1.84704648,
3.7,1.84704648,
3.72,1.84657776,
3.74,1.84657776,
3.76,1.91162197,
3.78,1.84657776,
3.8,1.84657776,
3.82,1.84899762,
3.84,1.94671258,
3.86,2.02212304,
3.88,1.77581256,
3.9,1.84899762,
3.92,1.85031263,
3.94,1.93416946,
3.96,1.85031263,
3.98,1.85031263,
4,1.90903264,
4.02,1.93165588,
4.04,1.85149054,
4.06,1.85149054,
4.08,1.85149054,
4.1,1.77329773,
4.12,1.85187388,
4.14,1.85187388,
4.16,1.85187388,
4.18,1.76204682,
4.2,1.7821264,
4.22,1.85268087,
4.24,1.85268087,
4.26,1.85268087,
4.28,1.77342044,
4.3,1.85268087,
4.32,1.85183564,
4.34,1.85183564,
4.36,1.85183564,
4.38,1.85183564,
4.4,1.85183564,
4.42,1.85146027,
4.44,1.85146027,
4.46,1.85146027,
4.48,1.78980056,
4.5,1.85146027,
4.52,1.85185827,
4.54,1.98595487,
4.56,1.78736444,
4.58,1.85185827,
4.6,1.85185827,
4.62,1.96085756,
4.64,1.79868365,
4.66,1.91684904,
4.68,1.85240439,
4.7,1.95959295,
4.72,1.85253486,
4.74,1.85253486,
4.76,1.85253486,
4.78,1.85253486,
4.8,1.85253486,
4.82,1.85270928,
4.84,1.85270928,
4.86,1.85270928,
4.88,1.85270928,
4.9,1.78623756,
4.92,1.8489487,
4.94,1.8489487,
4.96,1.78879767,
4.98,1.79132715,
5,1.8489487,
5.02,1.84793015,
5.04,1.93089906,
5.06,1.84793015,
5.08,1.84793015,
5.1,1.84793015,
5.12,1.93728035,
5.14,1.84737783,
5.16,1.84737783,
5.18,1.914615,
5.2,1.79015794,
5.22,1.84732724,
5.24,1.78889314,
5.26,1.84732724,
5.28,1.84732724,
5.3,1.84732724,
5.32,1.84803553,
5.34,1.90581194,
5.36,1.84803553,
5.38,1.84803553,
5.4,1.84803553,
5.42,1.84685052,
5.44,1.84685052,
5.46,1.9335165,
5.48,1.84685052,
5.5,1.84685052,
5.52,1.84649637,
5.54,1.84649637,
5.56,1.84649637,
5.58,1.84649637,
5.6,1.84649637,
5.62,1.84591844,
5.64,1.84591844,
5.66,1.77387273,
5.68,1.84591844,
5.7,1.84591844,
5.72,1.97010315,
5.74,1.84604201,
5.76,1.84604201,
5.78,1.84604201,
5.8,1.84604201,
5.82,1.84561218,
5.84,1.84561218,
5.86,1.91983739,
5.88,1.91103358,
5.9,1.84561218,
5.92,1.84641492,
5.94,1.84641492,
5.96,1.84641492,
5.98,1.84641492,
6,1.84641492,
6.02,1.84664651,
6.04,1.89977504,
6.06,1.84664651,
6.08,1.77155818,
6.1,1.84664651,
6.12,1.84723909,
6.14,2.03050577,
6.16,1.79163166,
6.18,1.84723909,
6.2,1.84723909,
6.22,1.89849506,
6.24,1.84642951,
6.26,1.90476924,
6.28,1.84642951,
6.3,1.84642951,
6.32,1.84632832,
6.34,1.84632832,
6.36,1.84632832,
6.38,1.90228993,
6.4,1.92364237,
6.42,1.84629913,
6.44,1.84629913,
6.46,1.84629913,
6.48,1.84629913,
6.5,1.84629913,
6.52,1.91475124,
6.54,1.84968491,
6.56,1.79028533,
6.58,1.78401143,
6.6,1.84968491,
6.62,1.84987267,
6.64,1.94114695,
6.66,1.84987267,
6.68,1.84987267,
6.7,1.84987267,
6.72,1.97250438,
6.74,1.85016833,
6.76,1.84377972,
6.78,1.35930163,
6.8,1.38779726,
6.82,1.44775225,
6.84,1.44919263,
6.86,1.5314767,
6.88,1.88555732,
6.9,1.81520915,
6.92,1.8051841,
6.94,1.87060654,
6.96,1.88445952,
6.98,1.8051841,
7,1.8051841,
7.02,1.80461368,
7.04,1.80461368,
7.06,1.91083583,
7.08,1.80461368,
7.1,1.80461368,
7.12,2.12813368,
7.14,1.87691148,
7.16,1.8050687,
7.18,1.8050687,
7.2,1.8050687,
7.22,1.96612673,
7.24,1.80524894,
7.26,1.80524894,
7.28,1.80524894,
7.3,1.86688,
7.32,1.80479391,
7.34,1.80479391,
7.36,1.80479391,
7.38,1.88573839,
7.4,1.80479391,
7.42,1.80550831,
7.44,1.80550831,
7.46,1.87320855,
7.48,2.00011491,
7.5,1.80550831,
7.52,1.80537391,
7.54,1.80537391,
7.56,1.96125718,
7.58,1.80537391,
7.6,1.87327895,
7.62,1.99267207,
7.64,1.94241284,
7.66,1.80220275,
7.68,1.80220275,
7.7,1.80220275,
7.72,1.85322042,
7.74,1.80174769,
7.76,1.80174769,
7.78,1.80174769,
7.8,1.85569798,
7.82,1.81691875,
7.84,1.81691875,
7.86,1.89368356,
7.88,1.81691875,
7.9,1.96028385,
7.92,1.78512461,
7.94,1.84654281,
7.96,1.84654281,
7.98,1.9158533,
8,1.84654281,
8.02,1.84677175,
8.04,2.19633329,
8.06,1.95120003,
8.08,1.84677175,
8.1,1.84677175,
8.12,1.85029085,
8.14,1.85029085,
8.16,1.85029085,
8.18,1.85029085,
8.2,1.85029085,
8.22,1.84980626,
8.24,1.7838845,
8.26,1.84980626,
8.28,1.84980626,
8.3,1.84980626,
8.32,1.77375001,
8.34,1.84933207,
8.36,1.84933207,
8.38,1.84933207,
