# 50.0 sps, start/stop: 50/0 mA (360 s), channels: 1
# P min: 1.2048555393, P max: 2.6609646672,
Time,Power,
0,2.27320848,
0.02,2.16267159,
0.04,2.10429477,
0.06,2.26171238,
0.08,2.22406097,
0.1,2.33706573,
0.12,2.14087411,
0.14,2.14087411,
0.16,2.23392811,
0.18,2.33560352,
0.2,2.17636931,
0.22,2.17636931,
0.24,2.17636931,
0.26,2.31664423,
0.28,2.21068072,
0.3,2.21068072,
0.32,2.21068072,
0.34,2.15519746,
0.36,2.13459371,
0.38,2.21170447,
0.4,2.21170447,
0.42,2.09816064,
0.44,2.1445989,
0.46,2.1321009,
0.48,2.21179002,
0.5,2.21179002,
0.52,2.14463286,
0.54,2.13710357,
0.56,2.21302031,
0.58,2.21302031,
0.6,2.29159834,
0.62,2.21302031,
0.64,2.21302031,
0.66,2.21276764,
0.68,2.32798174,
0.7,2.21276764,
0.72,2.21276764,
0.74,2.21276764,
0.76,2.12202821,
0.78,2.20813423,
0.8,2.20813423,
0.82,2.20813423,
0.84,2.13708666,
0.86,2.12581809,
0.88,2.206972,
0.9,2.206972,
0.92,2.12076492,
0.94,2.13961324,
0.96,2.20596322,
0.98,2.20596322,
1,2.20596322,
1.02,2.26397499,
1.04,2.20596322,
1.06,2.20729266,
1.08,2.20729266,
1.1,1.77549587,
1.12,1.75412079,
1.14,1.77549587,
1.16,1.77313416,
1.18,1.77692442,
1.2,2.17631676,
1.22,2.11723924,
1.24,2.17631676,
1.26,2.16678336,
1.28,2.16678336,
1.3,2.45510493,
1.32,2.16678336,
1.34,2.16678336,
1.36,2.16796196,
1.38,2.22648451,
1.4,2.27424254,
1.42,2.16796196,
1.44,2.16796196,
1.46,2.16787711,
1.48,2.26541313,
1.5,2.16787711,
1.52,2.16787711,
1.54,2.16787711,
1.56,2.16759105,
1.58,2.16759105,
1.6,2.16759105,
1.62,2.16759105,
1.64,2.16759105,
1.66,2.29809628,
1.68,2.27045222,
1.7,2.16836627,
1.72,2.16836627,
1.74,2.26292212,
1.76,2.01053454,
1.78,1.83976394,
1.8,1.82470337,
1.82,1.83597353,
1.84,1.81843656,
1.86,1.82859881,
1.88,1.82738578,
1.9,1.85371874,
1.92,1.77835897,
1.94,1.77082805,
1.96,1.83504377,
1.98,1.84631566,
2,1.78606411,
2.02,1.77095068,
2.04,1.82998911,
2.06,1.81890072,
2.08,1.90554633,
2.1,1.77492074,
2.12,1.83270133,
2.14,1.81010472,
2.16,1.92064113,
2.18,1.80381431,
2.2,1.95329805,
2.22,1.83020271,
2.24,1.94202484,
2.26,1.80139068,
2.28,1.81018708,
2.3,1.90816073,
2.32,1.76120025,
2.34,1.74861231,
2.36,1.79769869,
2.38,1.83162231,
2.4,1.75876996,
2.42,1.75250092,
2.44,1.79769869,
2.46,1.81666777,
2.48,1.83047062,
2.5,1.77020322,
2.52,1.75008038,
2.54,1.82420119,
2.56,1.82050641,
2.58,1.83562463,
2.6,1.7941633,
2.62,1.77403938,
2.64,1.83056837,
2.66,1.87950105,
2.68,1.79298434,
2.7,1.80051852,
2.72,1.80051852,
2.74,1.80051852,
2.76,1.84325006,
2.78,1.78676728,
2.8,1.84325006,
2.82,1.77544038,
2.84,1.84325006,
2.86,1.83448051,
2.88,1.83448051,
2.9,1.83448051,
2.92,1.83448051,
2.94,1.83448051,
2.96,1.83371817,
2.98,1.83371817,
3,1.83371817,
3.02,1.89100922,
3.04,1.83371817,
3.06,1.83743793,
3.08,1.83743793,
3.1,1.76907567,
3.12,1.98265716,
3.14,1.83743793,
3.16,1.73009098,
3.18,1.77660968,
3.2,1.7627552,
3.22,1.83607271,
3.24,1.83607271,
3.26,1.83701132,
3.28,1.83701132,
3.3,1.83701132,
3.32,1.83701132,
3.34,1.83701132,
3.36,1.83735435,
3.38,1.7777929,
3.4,1.83735435,
3.42,1.83735435,
3.44,1.83735435,
3.46,1.77402535,
3.48,1.83753147,
3.5,1.83753147,
3.52,1.83753147,
3.54,1.83753147,
3.56,1.83717058,
3.58,1.77785971,
3.6,1.74893744,
3.62,1.83717058,
3.64,1.83717058,
3.66,1.83620987,
3.68,1.75647139,
3.7,1.83620987,
3.72,1.83620987,
3.74,1.83620987,
3.76,1.83603667,
3.78,1.83603667,
3.8,1.76529735,
3.82,1.83603667,
3.84,1.83603667,
3.86,1.77787377,
3.88,1.77787377,
3.9,1.83637609,
3.92,1.83637609,
3.94,2.30055177,
3.96,1.76913165,
3.98,1.83668702,
4,1.83668702,
4.02,1.90232091,
4.04,1.83668702,
4.06,1.83596848,
4.08,1.83596848,
4.1,1.83596848,
4.12,1.83596848,
4.14,1.7791823,
4.16,1.83594696,
4.18,1.83594696,
4.2,1.83594696,
4.22,1.83594696,
4.24,1.83594696,
4.26,1.83565107,
4.28,1.76419721,
4.3,1.83565107,
4.32,1.83565107,
4.34,1.83565107,
4.36,1.74543736,
4.38,1.83525039,
4.4,1.83525039,
4.42,1.83525039,
4.44,1.83525039,
4.46,1.83479525,
4.48,1.83479525,
4.5,1.83479525,
4.52,1.83479525,
4.54,1.83479525,
4.56,1.76176114,
4.58,1.83534064,
4.6,1.83534064,
4.62,1.83534064,
4.64,1.76423908,
4.66,2.18777799,
4.68,2.20916977,
4.7,2.31218412,
4.72,2.17523623,
4.74,2.20916977,
4.76,2.20780507,
4.78,2.30454414,
4.8,2.19273542,
4.82,2.18393636,
4.84,2.20401237,
4.86,2.12093192,
4.88,2.18125691,
4.9,2.18879122,
4.92,2.21018055,
4.94,2.15612571,
4.96,2.12582032,
4.98,2.18234841,
5,2.19114616,
5.02,2.12455627,
5.04,2.14341583,
5.06,2.1858911,
5.08,2.20601286,
5.1,2.21101803,
5.12,2.25500279,
5.14,2.1771447,
5.16,2.2045745,
5.18,2.20962982,
5.2,2.23723187,
5.22,2.16312087,
5.24,2.14052359,
5.26,2.22824606,
5.28,2.24209646,
5.3,2.14913703,
5.32,2.14160525,
5.34,2.19811892,
5.36,2.20797283,
5.38,2.3084547,
5.4,2.17779795,
5.42,2.2104495,
5.44,2.19164706,
5.46,2.2919702,
5.48,2.18143769,
5.5,2.12644941,
5.52,2.20028937,
5.54,2.24926331,
5.56,2.16309241,
5.58,2.16309241,
5.6,2.16309241,
5.62,2.16309241,
5.64,2.24152428,
5.66,2.19855328,
5.68,2.19855328,
5.7,2.19855328,
5.72,2.19855328,
5.74,2.19855328,
5.76,2.20606121,
5.78,2.20606121,
5.8,2.20606121,
5.82,2.20606121,
5.84,2.20606121,
5.86,2.20646544,
5.88,2.20646544,
5.9,2.20646544,
5.92,2.13946504,
5.94,2.20646544,
5.96,2.12565402,
5.98,2.1419745,
6,2.14697675,
6.02,2.20695325,
6.04,2.20695325,
6.06,2.2084696,
6.08,2.15440732,
6.1,2.13182242,
6.12,2.2084696,
6.14,2.2084696,
6.16,2.20927607,
6.18,2.20927607,
6.2,1.74884812,
6.22,1.78648872,
6.24,1.73626757,
6.26,1.72639701,
6.28,1.72260739,
6.3,1.78541395,
6.32,1.78036113,
6.34,1.76530372,
6.36,1.75416244,
6.38,1.75795244,
6.4,2.20244335,
6.42,2.35939978,
6.44,2.13568886,
6.46,2.12728349,
6.48,2.1999498,
6.5,2.22506465,
6.52,2.12728349,
6.54,2.12728349,
6.56,2.12676133,
6.58,2.19993239,
6.6,2.12676133,
6.62,2.12676133,
6.64,2.12676133,
6.66,2.18736711,
6.68,2.19615983,
6.7,2.24765286,
6.72,1.78558002,
6.74,1.84707856,
6.76,1.81579464,
6.78,1.89114322,
6.8,1.79320523,
6.82,1.77309206,
6.84,1.82079767,
6.86,1.86615996,
6.88,1.78701557,
6.9,1.76568803,
6.92,1.81092061,
6.94,1.815924,
6.96,1.95288847,
6.98,1.79969598,
7,1.8248153,
7.02,1.82981895,
7.04,1.94035408,
7.06,1.80240493,
7.08,1.81873161,
7.1,1.82373576,
7.12,1.75716536,
7.14,1.79987758,
7.16,1.80627047,
7.18,1.8251258,
7.2,1.78367439,
7.22,1.80126597,
7.24,1.80627047,
7.26,1.81261044,
7.28,1.79880961,
7.3,1.84152647,
7.32,1.84279028,
7.34,1.82646182,
7.36,1.83011582,
7.38,1.78113277,
7.4,1.79119224,
7.42,2.03737123,
7.44,1.82384761,
7.46,1.79380491,
7.48,1.77115739,
7.5,1.761148,
7.52,1.84405409,
7.54,1.7410281,
7.56,1.75372815,
7.58,1.7600478,
7.6,1.82157592,
7.62,1.82031199,
7.64,1.89538943,
7.66,1.79911562,
7.68,1.85978894,
7.7,1.85978894,
7.72,1.85978894,
7.74,1.78278439,
7.76,1.76914564,
7.78,1.83407213,
7.8,1.88721679,
7.82,1.83407213,
7.84,1.7754158,
7.86,1.8338737,
7.88,1.8338737,
7.9,1.95265629,
7.92,1.77546847,
7.94,1.8338737,
7.96,1.83306498,
7.98,1.95023591,
8,1.83306498,
8.02,1.83306498,
8.04,1.83306498,
8.06,1.9464547,
8.08,1.83226673,
8.1,1.83226673,
8.12,1.83226673,
8.14,1.76930658,
8.16,1.75929874,
8.18,1.83257756,
8.2,1.83257756,
8.22,1.74169968,
8.24,2.09605768,
8.26,1.83241166,
8.28,1.83241166,
8.3,1.83241166,
8.32,1.75938223,
8.34,1.83241166,
8.36,1.8333403,
8.38,1.8333403,
8.4,1.8926663,
8.42,1.8333403,
8.44,1.77199125,
