# 50.0 sps, start/stop: 50/0 mA (360 s), channels: 1
# P min: 1.2537480816000002, P max: 2.5671345921,
Time,Power,
0,2.06021148,
0.02,2.14046228,
0.04,2.04769746,
0.06,2.033904,
0.08,2.14046228,
0.1,2.14046228,
0.12,2.13943483,
0.14,2.13943483,
0.16,2.13943483,
0.18,2.04768125,
0.2,2.13943483,
0.22,2.19081886,
0.24,2.13913168,
0.26,2.13913168,
0.28,2.13913168,
0.3,2.13913168,
0.32,2.13906054,
0.34,2.13906054,
0.36,2.04149291,
0.38,2.13906054,
0.4,2.19216442,
0.42,2.19104,
0.44,2.0340932,
0.46,2.04035895,
0.48,2.03783244,
0.5,2.02277444,
0.52,2.19240305,
0.54,2.19487914,
0.56,2.13924285,
0.58,2.13924285,
0.6,2.13924285,
0.62,2.0393015,
0.64,2.06062739,
0.66,2.02171521,
0.68,2.03803811,
0.7,2.03551135,
0.72,2.03555566,
0.74,2.03434278,
0.76,2.0456124,
0.78,2.04687581,
0.8,2.03434278,
0.82,2.0269412,
0.84,2.02188724,
0.86,1.99550557,
0.88,2.05200884,
0.9,2.2065084,
0.92,2.11772263,
0.94,2.1789279,
0.96,1.82352289,
0.98,1.80093102,
1,1.8067576,
1.02,1.77923306,
1.04,1.66212993,
1.06,1.7979156,
1.08,1.81677111,
1.1,1.83439022,
1.12,1.79013551,
1.14,1.79042365,
1.16,1.81218926,
1.18,1.65754887,
1.2,1.66796166,
1.22,1.66297636,
1.24,1.65750426,
1.26,1.66004635,
1.28,1.66796166,
1.3,1.66045853,
1.32,1.6608707,
1.34,1.67184699,
1.36,1.66306453,
1.38,1.65298243,
1.4,1.72509093,
1.42,1.67121103,
1.44,1.79391132,
1.46,1.99608145,
1.48,1.79168069,
1.5,1.82914041,
1.52,1.82723841,
1.54,1.81084012,
1.56,2.04683003,
1.58,1.65545666,
1.6,1.66171033,
1.62,1.69104706,
1.64,1.80255685,
1.66,1.85437967,
1.68,1.85927208,
1.7,1.85927208,
1.72,1.83758861,
1.74,1.65570242,
1.76,1.83059701,
1.78,1.66195225,
1.8,1.65817211,
1.82,1.80467631,
1.84,1.68754188,
1.86,1.65746478,
1.88,1.68124433,
1.9,1.65373663,
1.92,1.77441801,
1.94,1.77441801,
1.96,1.77441801,
1.98,1.77441801,
2,1.66176694,
2.02,1.66114986,
2.04,1.74944517,
2.06,1.65989138,
2.08,1.74944517,
2.1,1.74944517,
2.12,1.74943306,
2.14,1.74943306,
2.16,1.65741062,
2.18,1.74943306,
2.2,1.69496463,
2.22,1.81747515,
2.24,1.74820924,
2.26,1.74820924,
2.28,1.82120021,
2.3,1.80373272,
2.32,1.75973957,
2.34,1.75973957,
2.36,1.65353103,
2.38,2.16131858,
2.4,1.66601431,
2.42,1.77010633,
2.44,1.77010633,
2.46,1.69722226,
2.48,1.85859403,
2.5,1.822303,
2.52,1.77318478,
2.54,1.77318478,
2.56,1.77318478,
2.58,1.77318478,
2.6,1.77318478,
2.62,1.69842663,
2.64,1.65342919,
2.66,1.64713761,
2.68,1.67094497,
2.7,1.65468751,
2.72,1.6520166,
2.74,1.654533,
2.76,1.67199682,
2.78,1.65699907,
2.8,1.65574087,
2.82,1.65806287,
2.84,1.65433904,
2.86,1.7478375,
2.88,1.63929273,
2.9,1.75598933,
2.92,1.87480623,
2.94,1.75477212,
2.96,1.68949753,
2.98,1.74465658,
3,1.6932721,
3.02,1.64984761,
3.04,1.659865,
3.06,1.81123317,
3.08,1.74609502,
3.1,1.74609502,
3.12,1.83625145,
3.14,1.74634671,
3.16,1.659865,
3.18,1.66112346,
3.2,2.02638034,
3.22,1.65864278,
3.24,1.67238551,
3.26,1.65491764,
3.28,1.65491764,
3.3,1.74341483,
3.32,1.65119464,
3.34,1.64495232,
3.36,1.65497024,
3.38,1.65245317,
3.4,1.65869549,
3.42,1.78632488,
3.44,1.77630688,
3.46,1.64370685,
3.48,1.65745013,
3.5,1.78129071,
3.52,1.72279366,
3.54,1.65498339,
3.56,1.80756908,
3.58,1.77630688,
3.6,1.72279366,
3.62,1.72366316,
3.64,1.79882392,
3.66,1.80134102,
3.68,1.79882392,
3.7,1.72366316,
3.72,1.80628183,
3.74,1.80502331,
3.76,1.79505581,
3.78,1.66618311,
3.8,1.73243173,
3.82,1.81372858,
3.84,1.74269969,
3.86,1.74269969,
3.88,1.74269969,
3.9,1.74269969,
3.92,1.74987041,
3.94,1.81123317,
3.96,1.74987041,
3.98,1.65734807,
4,1.74987041,
4.02,2.053192,
4.04,1.80188343,
4.06,1.66430281,
4.08,1.80434922,
4.1,1.80938143,
4.12,1.94192984,
4.14,2.192915,
4.16,2.13477092,
4.18,2.15627495,
4.2,2.16672226,
4.22,2.03390006,
4.24,2.03516398,
4.26,2.1596786,
4.28,2.14406253,
4.3,2.14568115,
4.32,2.0163063,
4.34,2.02534443,
4.36,2.02560388,
4.38,2.03137222,
4.4,2.02813235,
4.42,2.02383926,
4.44,2.05327544,
4.46,2.02733951,
4.48,2.02257534,
4.5,2.03516398,
4.52,2.03414785,
4.54,2.02586609,
4.56,1.9922286,
4.58,1.99618469,
4.6,2.22985822,
4.62,2.22985822,
4.64,2.19310062,
4.66,2.03288299,
4.68,2.14226808,
4.7,2.15574195,
4.72,2.02622933,
4.74,2.05048984,
4.76,2.02813235,
4.78,2.0391567,
4.8,2.02496783,
4.82,1.98204392,
4.84,2.05973648,
4.86,2.04847889,
4.88,2.05600078,
4.9,2.04969047,
4.92,2.0099833,
4.94,2.19124898,
4.96,2.10715665,
4.98,2.10463136,
5,2.21197699,
5.02,2.04492678,
5.04,2.04492678,
5.06,2.04492678,
5.08,2.04492678,
5.1,2.04492678,
5.12,2.07371543,
5.14,2.07371543,
5.16,2.07371543,
5.18,2.07371543,
5.2,2.07371543,
5.22,2.07360356,
5.24,2.07360356,
5.26,2.07360356,
5.28,2.42209434,
5.3,2.20854072,
5.32,2.21094805,
5.34,2.16701524,
5.36,2.07545905,
5.38,2.07545905,
5.4,2.19588249,
5.42,2.08679069,
5.44,2.17060607,
5.46,2.16934227,
5.48,2.17940214,
5.5,2.20579033,
5.52,2.04106962,
5.54,2.16915774,
5.56,2.04359701,
5.58,2.19053946,
5.6,2.21692541,
5.62,2.17031839,
5.64,2.16784166,
5.66,2.19670308,
5.68,2.18037692,
5.7,2.16025985,
5.72,2.10446305,
5.74,2.19159936,
5.76,2.56713459,
5.78,2.20918836,
5.8,2.10446305,
5.82,2.04959323,
5.84,2.11696451,
5.86,2.11696451,
5.88,2.11696451,
5.9,2.18772205,
5.92,2.30192716,
5.94,2.21530229,
5.96,2.03068113,
5.98,2.12766662,
6,2.04073851,
6.02,2.0231187,
6.04,2.02938551,
6.06,2.0231187,
6.08,2.03064898,
6.1,2.02564564,
6.12,2.03064898,
6.14,2.03565233,
6.16,2.02059176,
6.18,1.66267598,
6.2,1.67146973,
6.22,1.66027514,
6.24,1.78960981,
6.26,1.69382724,
6.28,1.80639665,
6.3,1.83106789,
6.32,1.8109813,
6.34,1.79094932,
6.36,1.65547322,
6.38,1.79078986,
6.4,1.79917263,
6.42,1.66627066,
6.44,1.80437769,
6.46,1.66459802,
6.48,1.7962942,
6.5,1.81128553,
6.52,1.82154675,
6.54,1.66547412,
6.56,1.6763075,
6.58,2.19841418,
6.6,1.76051435,
6.62,1.79800208,
6.64,1.82734058,
6.66,1.8334451,
6.68,1.81254319,
6.7,1.8085529,
6.72,1.65878775,
6.74,1.79548613,
6.76,1.79763678,
6.78,1.77923306,
6.8,1.65923922,
6.82,1.70131552,
6.84,1.77173551,
6.86,1.80193975,
6.88,1.81948914,
6.9,1.81007818,
6.92,1.84660813,
6.94,1.79372836,
6.96,1.84660813,
6.98,1.84660813,
7,1.65721889,
7.02,1.80992249,
7.04,1.80992249,
7.06,1.80992249,
7.08,1.80992249,
7.1,1.80992249,
7.12,1.78292292,
7.14,1.65957194,
7.16,1.78292292,
7.18,1.78292292,
7.2,1.78292292,
7.22,1.66383461,
7.24,1.65885035,
7.26,1.660109,
7.28,1.82776118,
7.3,1.6575917,
7.32,1.82727834,
7.34,1.81977877,
7.36,1.76682877,
7.38,1.76682877,
7.4,1.8210928,
7.42,1.82729286,
7.44,1.82351788,
7.46,1.76774881,
7.48,1.76774881,
7.5,1.70221511,
7.52,1.65967045,
7.54,1.65967045,
7.56,1.66465339,
7.58,1.65967045,
7.6,1.6558955,
7.62,1.6534949,
7.64,1.669753,
7.66,1.65475326,
7.68,1.65223653,
7.7,1.66471953,
7.72,1.6634843,
7.74,1.63600117,
