# 50.0 sps, start/stop: 50/0 mA (360 s), channels: 1
# P min: 1.2249836234000002, P max: 2.7324578093999996,
Time,Power,
0,1.77962127,
0.02,1.849985,
0.04,1.849985,
0.06,1.9053565,
0.08,1.849985,
0.1,1.849985,
0.12,1.92553123,
0.14,1.91798965,
0.16,1.85067223,
0.18,1.85067223,
0.2,1.85067223,
0.22,1.8502167,
0.24,1.8502167,
0.26,1.79600847,
0.28,1.8502167,
0.3,1.7846708,
0.32,1.84996363,
0.34,1.84996363,
0.36,1.84996363,
0.38,1.84996363,
0.4,1.77586386,
0.42,1.85045515,
0.44,2.23993142,
0.46,2.2271016,
0.48,2.26635203,
0.5,2.19215162,
0.52,2.14542521,
0.54,2.22842429,
0.56,2.46427332,
0.58,2.1717926,
0.6,1.94040734,
0.62,1.72648737,
0.64,1.8610458,
0.66,1.77177876,
0.68,1.73149726,
0.7,2.14018243,
0.72,2.16782904,
0.74,2.2067942,
0.76,2.19672398,
0.78,2.2043146,
0.8,2.22187422,
0.82,2.14619022,
0.84,2.21161421,
0.86,2.22416266,
0.88,2.21331665,
0.9,2.26190922,
0.92,2.19119011,
0.94,2.23267555,
0.96,2.22888115,
0.98,2.2854936,
1,2.1748489,
1.02,2.16713933,
1.04,2.19728978,
1.06,2.24509544,
1.08,2.18848747,
1.1,2.16460993,
1.12,2.21465798,
1.14,2.23226072,
1.16,2.29007663,
1.18,2.21091486,
1.2,2.21465798,
1.22,2.22947151,
1.24,2.21566407,
1.26,2.20939256,
1.28,2.21692849,
1.3,2.21439966,
1.32,2.27949684,
1.34,2.13420578,
1.36,2.2091523,
1.38,2.22295824,
1.4,2.22422252,
1.42,2.17053456,
1.44,2.17053456,
1.46,2.17053456,
1.48,2.23162082,
1.5,2.17053456,
1.52,2.1808677,
1.54,2.1808677,
1.56,2.23543111,
1.58,2.31709924,
1.6,2.23790897,
1.62,2.23420224,
1.64,2.23293801,
1.66,2.30206624,
1.68,2.17832317,
1.7,2.17832317,
1.72,2.22276925,
1.74,2.22276925,
1.76,2.22276925,
1.78,2.22276925,
1.8,2.48403654,
1.82,2.22755527,
1.84,2.22755527,
1.86,2.22755527,
1.88,2.22755527,
1.9,2.22755527,
1.92,2.14353452,
1.94,2.22843249,
1.96,2.22843249,
1.98,2.22843249,
2,2.22843249,
2.02,2.22866768,
2.04,2.22866768,
2.06,2.22866768,
2.08,2.28671538,
2.1,2.22866768,
2.12,2.22853362,
2.14,2.22853362,
2.16,2.22853362,
2.18,2.40611649,
2.2,2.16360867,
2.22,2.22863707,
2.24,2.22863707,
2.26,2.32198154,
2.28,2.22863707,
2.3,2.22863707,
2.32,2.22865237,
2.34,2.28927981,
2.36,2.22865237,
2.38,2.22865237,
2.4,2.22865237,
2.42,2.16866513,
2.44,2.22893813,
2.46,2.22893813,
2.48,1.84449548,
2.5,1.79671193,
2.52,1.7779019,
2.54,1.78791369,
2.56,1.83943902,
2.58,1.87463198,
2.6,1.80176839,
2.62,1.79435846,
2.64,1.86469869,
2.66,1.82576125,
2.68,2.30954626,
2.7,1.81316979,
2.72,1.82208034,
2.74,1.8484785,
2.76,1.97541221,
2.78,1.85854217,
2.8,1.832144,
2.82,1.84489309,
2.84,1.77828516,
2.86,1.78329213,
2.88,1.82729282,
2.9,1.8436287,
2.92,1.77339239,
2.94,1.78598686,
2.96,1.81238973,
2.98,1.82994106,
3,1.84754297,
3.02,1.78105208,
3.04,1.80745677,
3.06,1.83006768,
3.08,1.82885367,
3.1,1.86153074,
3.12,1.81013982,
3.14,1.81266922,
3.16,1.84909258,
3.18,1.91571697,
3.2,1.81013982,
3.22,1.81025432,
3.24,1.8253305,
3.26,1.81652763,
3.28,1.86180675,
3.3,1.79892189,
3.32,1.83804786,
3.34,1.8053629,
3.36,1.82676497,
3.38,1.81922618,
3.4,1.82929476,
3.42,1.88466995,
3.44,1.80932565,
3.46,1.82693466,
3.48,1.81939517,
3.5,2.13873556,
3.52,1.85447816,
3.54,1.79314466,
3.56,1.85447816,
3.58,1.85447816,
3.6,1.97046528,
3.62,1.79062855,
3.64,1.79062855,
3.66,1.85393616,
3.68,1.85393616,
3.7,2.59667455,
3.72,1.85742794,
3.74,1.85742794,
3.76,1.85742794,
3.78,1.85742794,
3.8,1.85742794,
3.82,1.7918689,
3.84,1.92642733,
3.86,1.85725043,
3.88,1.85725043,
3.9,1.7855939,
3.92,1.85771689,
3.94,1.85771689,
3.96,1.85771689,
3.98,1.79187953,
4,1.85771689,
4.02,1.85742794,
4.04,1.85742794,
4.06,1.85742794,
4.08,1.85742794,
4.1,1.85742794,
4.12,1.85688596,
4.14,1.85688596,
4.16,1.85688596,
4.18,1.85688596,
4.2,1.85688596,
4.22,1.78933866,
4.24,1.79439915,
4.26,1.85674439,
4.28,1.90755171,
4.3,1.85674439,
4.32,1.85622808,
4.34,1.85622808,
4.36,1.85622808,
4.38,2.02833909,
4.4,1.78563271,
4.42,2.17796381,
4.44,1.85671946,
4.46,1.92144403,
4.48,1.85671946,
4.5,1.85671946,
4.52,1.85723575,
4.54,1.85723575,
4.56,1.85723575,
4.58,1.85723575,
4.6,1.85723575,
4.62,1.85718515,
4.64,1.79185474,
4.66,1.85718515,
4.68,1.85718515,
4.7,1.85718515,
4.72,1.79058963,
4.74,1.78932452,
4.76,1.85698273,
4.78,1.85698273,
4.8,2.00940349,
4.82,1.79440979,
4.84,1.85311182,
4.86,1.85311182,
4.88,1.96039484,
4.9,1.85311182,
4.92,1.85269599,
4.94,1.85269599,
4.96,1.97166811,
4.98,1.85269599,
5,1.85269599,
5.02,1.85272162,
5.04,1.76674271,
5.06,1.7856186,
5.08,1.85272162,
5.1,1.85272162,
5.12,1.75668608,
5.14,1.793173,
5.16,1.76549152,
5.18,1.85324233,
5.2,1.85324233,
5.22,1.80074176,
5.24,2.08241921,
5.26,1.85403072,
5.28,1.85403072,
5.3,1.945376,
5.32,1.85416789,
5.34,1.85416789,
5.36,1.85416789,
5.38,1.97552204,
5.4,1.85416789,
5.42,1.85337949,
5.44,1.85337949,
5.46,1.85337949,
5.48,1.85337949,
5.5,1.85337949,
5.52,1.8538709,
5.54,1.76546361,
5.56,1.77806431,
5.58,1.78307422,
5.6,1.8538709,
5.62,1.85737289,
5.64,1.78050526,
5.66,1.85737289,
5.68,1.85737289,
5.7,1.68716266,
5.72,1.36274513,
5.74,1.3564947,
5.76,1.38246135,
5.78,1.39077974,
5.8,1.45328302,
5.82,1.52857774,
5.84,1.49225261,
5.86,1.44113626,
5.88,1.40983618,
5.9,1.25032396,
5.92,1.75761322,
5.94,1.64545226,
5.96,1.61881286,
5.98,1.64211878,
6,1.66504454,
6.02,1.74267012,
6.04,1.7413727,
6.06,2.03590051,
6.08,1.65754887,
6.1,1.74094022,
6.12,1.65336571,
6.14,1.85941746,
6.16,1.86935969,
6.18,1.95674563,
6.2,1.81112242,
6.22,1.83890156,
6.24,1.83890156,
6.26,1.88114319,
6.28,1.79706589,
6.3,1.79238233,
6.32,1.89174822,
6.34,1.87586126,
6.36,1.80620143,
6.38,1.78869514,
6.4,1.83596773,
6.42,1.85541028,
6.44,2.00845562,
6.46,1.73450089,
6.48,1.83479597,
6.5,1.85621855,
6.52,1.97447322,
6.54,1.81352229,
6.56,1.8310989,
6.58,1.85904808,
6.6,1.95661004,
6.62,1.81853694,
6.64,1.8356089,
6.66,1.84995285,
6.68,1.73439573,
6.7,1.73014811,
6.72,1.82133663,
6.74,1.83980976,
6.76,1.72653471,
6.78,1.72653471,
6.8,1.72653471,
6.82,1.83676804,
6.84,1.83176598,
6.86,1.89830859,
6.88,1.77422527,
6.9,1.8355049,
6.92,1.93553041,
6.94,1.86516954,
6.96,1.81320764,
6.98,1.88650021,
7,1.96065207,
7.02,1.93267955,
7.04,1.83411628,
7.06,1.83411628,
7.08,1.9050171,
7.1,1.83411628,
7.12,1.85138258,
7.14,1.85138258,
7.16,1.85138258,
7.18,1.85138258,
7.2,1.79527395,
7.22,1.85702463,
7.24,1.85702463,
7.26,1.85702463,
7.28,1.85702463,
7.3,2.21958321,
7.32,2.25088648,
7.34,2.21528844,
7.36,2.28610798,
7.38,2.19177914,
7.4,2.17796381,
7.42,2.27201754,
7.44,2.22172054,
7.46,2.19657205,
7.48,2.17142355,
7.5,2.21170163,
7.52,2.22905297,
7.54,2.39505812,
7.56,2.24291625,
7.58,2.22277908,
7.6,2.24666034,
7.62,2.32312954,
7.64,2.24269016,
7.66,2.23009305,
7.68,2.26783379,
7.7,2.29424219,
7.72,2.23369749,
7.74,2.23243283,
7.76,2.23870556,
7.78,2.24624295,
7.8,2.17587712,
7.82,2.19956697,
7.84,2.23725071,
7.86,2.25738242,
7.88,2.18322892,
7.9,2.16941998,
7.92,2.23075357,
7.94,2.232018,
7.96,2.37904563,
7.98,2.1754728,
8,2.25214769,
8.02,2.22555721,
8.04,2.29969693,
8.06,2.20042253,
8.08,2.19035854,
8.1,2.24689893,
8.12,2.34725663,
8.14,2.21785082,
8.16,2.15974715,
8.18,2.24171934,
8.2,2.15974715,
8.22,2.19730208,
8.24,2.25034476,
8.26,2.19730208,
8.28,2.19730208,
8.3,2.19730208,
8.32,2.16340756,
8.34,2.23277574,
8.36,2.23277574,
8.38,2.30037433,
8.4,2.17094099,
8.42,2.23252294,
8.44,2.23252294,
8.46,2.28652092,
8.48,2.23252294,
8.5,2.23252294,
8.52,2.23227014,
8.54,2.29405434,
8.56,2.23227014,
8.58,2.23227014,
8.6,2.23227014,
8.62,2.23320033,
8.64,2.28785731,
8.66,2.23320033,
8.68,2.23320033,
8.7,2.23320033,
8.72,2.31684722,
8.74,2.23205307,
8.76,2.23205307,
8.78,2.23205307,
8.8,2.37464073,
8.82,2.23264459,
8.84,2.23264459,
8.86,2.23264459,
8.88,2.23264459,
8.9,2.23264459,
8.92,2.2327987,
8.94,2.29934225,
8.96,2.2327987,
8.98,2.2327987,
9,2.16236166,
9.02,2.23283204,
9.04,2.23283204,
9.06,2.39869147,
9.08,2.16244291,
9.1,2.23283204,
9.12,2.23249814,
9.14,2.35856541,
9.16,2.23249814,
9.18,2.23249814,
9.2,2.32716237,
9.22,2.3410046,
9.24,2.23233118,
9.26,2.23233118,
9.28,2.23233118,
9.3,2.23233118,
9.32,2.17897853,
9.34,2.23248328,
9.36,1.84222224,
9.38,1.86609204,
9.4,1.78694749,
9.42,1.79214896,
9.44,2.03345231,
9.46,1.83736489,
9.48,2.00204393,
9.5,1.79715609,
9.52,1.85270354,
9.54,2.0286818,
9.56,1.9394028,
9.58,1.81876235,
9.6,1.84516667,
9.62,1.90437397,
9.64,1.96725448,
9.66,1.8240388,
9.68,1.82267483,
9.7,2.38333831,
9.72,1.90447561,
9.74,2.04026024,
9.76,1.83410436,
9.78,1.83410436,
9.8,1.85044506,
9.82,1.95243404,
9.84,1.84431402,
9.86,1.848058,
