# 50.0 sps, start/stop: 50/0 mA (360 s), channels: 1
# P min: 1.1805416512000002, P max: 2.464756668,
Time,Power,
0,1.84292152,
0.02,1.84292152,
0.04,1.84292152,
0.06,1.84351388,
0.08,1.84351388,
0.1,1.7871701,
0.12,1.84351388,
0.14,1.84351388,
0.16,1.84295474,
0.18,1.84295474,
0.2,1.84295474,
0.22,1.78473647,
0.24,1.84295474,
0.26,1.84256467,
0.28,1.84256467,
0.3,1.84256467,
0.32,1.84256467,
0.34,1.77721402,
0.36,1.84215314,
0.38,1.84215314,
0.4,1.84215314,
0.42,1.78226382,
0.44,1.77098399,
0.46,1.84272412,
0.48,1.84272412,
0.5,1.7672043,
0.52,1.77600567,
0.54,1.84272412,
0.56,1.84283705,
0.58,1.99358244,
0.6,1.84283705,
0.62,1.84283705,
0.64,1.84283705,
0.66,2.18467918,
0.68,1.90311472,
0.7,1.84220857,
0.72,1.84220857,
0.74,1.78620932,
0.76,1.84328546,
0.78,1.84328546,
0.8,1.84328546,
0.82,1.84328546,
0.84,1.7676317,
0.86,1.64167552,
0.88,1.66671955,
0.9,1.65709302,
0.92,1.77217564,
0.94,1.65670604,
0.96,1.6587638,
0.98,1.67211642,
1,1.58128421,
1.02,1.60994403,
1.04,1.66334705,
1.06,1.66212993,
1.08,1.79735063,
1.1,1.7982474,
1.12,1.7995872,
1.14,1.80549662,
1.16,1.8053409,
1.18,1.80167097,
1.2,1.80578671,
1.22,1.80167097,
1.24,1.80167097,
1.26,1.90169364,
1.28,1.80182252,
1.3,1.80549276,
1.32,1.80549276,
1.34,1.80182252,
1.36,1.90291135,
1.38,1.80816641,
1.4,1.43376254,
1.42,1.39495908,
1.44,1.43502239,
1.46,1.40337947,
1.48,1.70130404,
1.5,1.768817,
1.52,1.76749529,
1.54,1.82970465,
1.56,1.76061781,
1.58,1.85196301,
1.6,1.77068016,
1.62,1.83596773,
1.64,1.76893201,
1.66,1.76997633,
1.68,1.76953914,
1.7,1.83599766,
1.72,1.76518825,
1.74,1.76518825,
1.76,1.77189562,
1.78,1.82978217,
1.8,1.83343738,
