# 50.0 sps, start/stop: 50/0 mA (360 s), channels: 1
# P min: 1.1449442712, P max: 2.865553245,
Time,Power,
0,2.22269673,
0.02,2.22269673,
0.04,2.37332033,
0.06,2.22269673,
0.08,2.22269673,
0.1,2.22509064,
0.12,2.35063087,
0.14,2.22509064,
0.16,2.22509064,
0.18,2.22509064,
0.2,2.13200986,
0.22,2.22544456,
0.24,2.22544456,
0.26,2.22544456,
0.28,2.12700443,
0.3,2.14077341,
0.32,2.22591494,
0.34,2.22591494,
0.36,2.29401804,
0.38,2.15457605,
0.4,2.22640291,
0.42,2.22640291,
0.44,2.22640291,
0.46,2.22640291,
0.48,2.22640291,
0.5,2.22596322,
0.52,2.2939636,
0.54,2.22596322,
0.56,2.22596322,
0.58,2.22596322,
0.6,2.22584677,
0.62,2.22584677,
0.64,2.22584677,
0.66,2.16841208,
0.68,2.22584677,
0.7,2.22600299,
0.72,2.29790087,
0.74,2.22600299,
0.76,2.22600299,
0.78,2.22600299,
0.8,2.30172482,
0.82,2.225781,
0.84,2.225781,
0.86,2.225781,
0.88,2.15974729,
0.9,2.2262406,
0.92,2.2262406,
0.94,2.2262406,
0.96,2.1359835,
0.98,2.16106334,
1,2.17616482,
1.02,2.22688032,
1.04,2.3118275,
1.06,2.15351224,
1.08,2.22688032,
1.1,2.22639456,
1.12,2.22639456,
1.14,2.28176368,
1.16,2.22639456,
1.18,2.22639456,
1.2,2.22627355,
1.22,2.22627355,
1.24,2.22627355,
1.26,2.17490073,
1.28,2.22627355,
1.3,2.22806322,
1.32,2.38982193,
1.34,2.17117715,
1.36,2.22806322,
1.38,2.22806322,
1.4,2.31323341,
1.42,2.22919122,
1.44,2.22919122,
1.46,2.22919122,
1.48,2.30443477,
1.5,2.23032133,
1.52,2.23032133,
1.54,2.23032133,
1.56,2.23032133,
1.58,2.31325171,
1.6,2.23102928,
1.62,2.23102928,
1.64,2.23102928,
1.66,2.30698136,
1.68,2.23102928,
1.7,2.23167139,
1.72,2.31834511,
1.74,2.23167139,
1.76,2.23167139,
1.78,2.23167139,
1.8,2.2326675,
1.82,2.12232616,
1.84,2.15372945,
1.86,2.2326675,
1.88,2.2326675,
1.9,2.16758533,
1.92,2.16252844,
1.94,2.15125157,
1.96,2.23281921,
1.98,2.23281921,
2,2.23286978,
2.02,2.16005056,
2.04,2.23286978,
2.06,2.23286978,
2.08,1.91499367,
2.1,1.82076205,
2.12,1.78561611,
2.14,1.85348064,
2.16,1.91001757,
2.18,1.80695652,
2.2,1.78452829,
2.22,1.83227081,
2.24,1.85740643,
2.26,2.02834892,
2.28,1.79206392,
2.3,1.84623466,
2.32,1.86135778,
2.34,1.97318795,
2.36,1.81234673,
2.38,1.83869839,
2.4,1.88787365,
2.42,1.97209502,
2.44,1.82504907,
2.46,1.8426521,
2.48,1.8426521,
2.5,1.76362675,
2.52,1.78876938,
2.54,1.84284881,
2.56,1.84284881,
2.58,1.77495864,
2.6,1.77139363,
2.62,1.78647061,
2.64,1.84303459,
2.66,1.84556428,
2.68,1.92600859,
2.7,1.78658007,
2.72,1.85448124,
2.74,1.83935274,
2.76,1.85949035,
2.78,2.0035906,
2.8,1.81434587,
2.82,1.84703405,
2.84,1.8721827,
2.86,1.82568047,
2.88,1.96665458,
2.9,1.82330536,
2.92,1.85478179,
2.94,1.93058838,
2.96,1.78934927,
2.98,1.86105684,
3,1.83478594,
3.02,1.89475784,
3.04,1.82344948,
3.06,1.84359194,
3.08,1.89475784,
3.1,1.85871548,
3.12,1.85871548,
3.14,1.85871548,
3.16,1.85871548,
3.18,1.76325918,
3.2,1.78845276,
3.22,1.79973972,
3.24,1.85678193,
3.26,1.7657776,
3.28,1.78592205,
3.3,1.77836648,
3.32,1.85626112,
3.34,1.85626112,
3.36,1.85626112,
3.38,1.79598008,
3.4,1.85679878,
3.42,1.85679878,
3.44,1.85679878,
3.46,1.85679878,
3.48,1.85679878,
3.5,1.85678626,
3.52,1.85678626,
3.54,1.85678626,
3.56,1.80207815,
3.58,1.85678626,
3.6,1.85626401,
3.62,1.93146394,
3.64,1.85626401,
3.66,1.85626401,
3.68,1.85626401,
3.7,1.74347603,
3.72,1.19859891,
3.74,1.21645913,
3.76,1.27698508,
3.78,1.18700247,
3.8,1.66295491,
3.82,1.70967836,
3.84,1.70257319,
3.86,1.72342913,
3.88,1.62541033,
3.9,1.77865976,
3.92,1.6750489,
3.94,1.69755271,
3.96,1.77556792,
3.98,1.78459285,
4,1.84907816,
4.02,1.84359447,
4.04,1.96286864,
4.06,1.77475913,
4.08,1.84233097,
4.1,1.84233097,
4.12,1.87497975,
4.14,1.77881704,
4.16,1.77470859,
4.18,1.8825102,
4.2,1.89108708,
4.22,1.77383888,
4.24,1.77383888,
4.26,1.8925564,
4.28,1.89381989,
4.3,1.94525381,
4.32,1.86489648,
4.34,1.83224816,
4.36,1.84857232,
4.38,1.88501108,
4.4,1.77864014,
4.42,1.77864014,
4.44,1.86238426,
4.46,1.85990782,
4.48,1.77864014,
4.5,1.77877768,
4.52,2.1261336,
4.54,1.8397785,
4.56,1.93019313,
4.58,1.87242682,
4.6,1.85287743,
4.62,1.88751365,
4.64,1.92647991,
4.66,1.77834746,
4.68,1.78246434,
4.7,1.84490964,
4.72,1.77824381,
4.74,1.77824381,
4.76,1.77824381,
4.78,1.78182193,
4.8,1.81906983,
4.82,1.81906983,
4.84,1.82313928,
4.86,1.90319568,
4.88,1.81906983,
4.9,1.84607197,
4.92,1.84607197,
4.94,1.84607197,
4.96,1.84607197,
4.98,2.32383837,
5,2.28974872,
5.02,2.23443931,
5.04,2.22563434,
5.06,2.2495191,
5.08,2.18788428,
5.1,2.15635735,
5.12,2.28589566,
5.14,2.30977928,
5.16,2.16895698,
5.18,2.15635735,
5.2,2.22406156,
5.22,2.2303355,
5.24,2.29196179,
5.26,2.25801168,
5.28,2.22279665,
5.3,2.20877866,
5.32,2.22764933,
5.34,2.20877866,
5.36,2.1748317,
5.38,2.25152857,
5.4,2.28770579,
5.42,2.19346388,
5.44,2.18339725,
5.46,2.20353052,
5.48,2.30030173,
5.5,2.27119136,
5.52,2.23603673,
5.54,2.32652829,
5.56,2.20836827,
5.58,2.31266877,
5.6,2.208198,
5.62,2.2308065,
5.64,2.23333541,
5.66,2.27607408,
5.68,2.23333541,
5.7,2.21677508,
5.72,2.22931723,
5.74,2.25571644,
5.76,2.18157613,
5.78,2.17024773,
5.8,2.30208445,
5.82,2.22916295,
5.84,2.15265099,
5.86,2.15265099,
5.88,2.21915015,
5.9,2.18853564,
5.92,2.28293751,
5.94,2.3093316,
5.96,2.18853564,
5.98,2.18853564,
6,2.22428168,
6.02,2.22428168,
6.04,2.17220498,
6.06,2.22428168,
6.08,2.22428168,
6.1,2.22542921,
6.12,2.16596983,
6.14,2.22542921,
6.16,2.22542921,
6.18,2.22542921,
6.2,2.29409064,
6.22,2.27654608,
6.24,2.224418,
6.26,2.27775953,
6.28,2.224418,
6.3,2.22426631,
6.32,2.32301136,
6.34,2.22426631,
6.36,2.38833579,
6.38,2.22426631,
6.4,2.22847815,
6.42,2.22847815,
6.44,2.22847815,
6.46,2.22847815,
6.48,2.22847815,
6.5,2.22842992,
