# 50.0 sps, start/stop: 50/0 mA (360 s), channels: 1
# P min: 1.1993339880000002, P max: 2.5785545211999996,
Time,Power,
0,1.91236686,
0.02,1.86744442,
0.04,1.95154032,
0.06,1.86744442,
0.08,1.86744442,
0.1,1.9490134,
0.12,1.81891511,
0.14,1.88175137,
0.16,1.80506383,
0.18,1.97087472,
0.2,1.82012836,
0.22,1.81759378,
0.24,1.80627047,
0.26,1.88229842,
0.28,1.88229842,
0.3,1.95448453,
0.32,1.88266587,
0.34,1.88266587,
0.36,1.88266587,
0.38,1.81561561,
0.4,1.88266587,
0.42,1.93752134,
0.44,1.97398008,
0.46,1.88290909,
0.48,1.80685647,
0.5,2.15243067,
0.52,2.00589371,
0.54,1.83119108,
0.56,1.88237784,
0.58,1.88237784,
0.6,2.03356086,
0.62,1.81735405,
0.64,1.8148251,
0.66,1.88078012,
0.68,1.88078012,
0.7,2.06493825,
0.72,1.88064325,
0.74,1.78595861,
0.76,1.88064325,
0.78,1.88064325,
0.8,1.88064325,
0.82,1.80730312,
0.84,1.82869821,
0.86,1.99206967,
0.88,1.87932819,
0.9,1.81236106,
0.92,1.80225656,
0.94,1.88040004,
0.96,1.81479998,
0.98,1.95682385,
1,1.82233615,
1.02,1.88383936,
1.04,1.88383936,
1.06,1.88383936,
1.08,1.88383936,
1.1,1.94048706,
1.12,2.01337039,
1.14,1.82233615,
1.16,1.82865844,
1.18,1.76078236,
1.2,2.07750367,
1.22,1.88421361,
1.24,1.88421361,
1.26,1.81112522,
1.28,2.03731988,
1.3,2.13286587,
1.32,2.26110456,
1.34,1.83122004,
1.36,1.96197089,
1.38,2.02858554,
1.4,1.88468374,
1.42,1.95691283,
1.44,1.7872655,
1.46,2.02732103,
1.48,1.88756683,
1.5,1.81488251,
1.52,1.77471303,
1.54,1.95443017,
1.56,2.07132471,
1.58,1.8187192,
1.6,1.8879151,
1.62,1.93937213,
1.64,1.97837101,
1.66,1.88833469,
1.68,1.78853601,
1.7,1.88833469,
1.72,2.02679439,
1.74,1.8766134,
1.76,1.88914059,
1.78,1.77336434,
1.8,1.95813089,
1.82,1.88867716,
1.84,1.82076205,
1.86,1.88867716,
1.88,1.94895624,
1.9,1.79815739,
1.92,1.88915297,
1.94,1.82452591,
1.96,1.88915297,
1.98,1.95898862,
2,1.94265486,
2.02,1.88971495,
2.04,1.80814925,
2.06,1.94761497,
2.08,1.82827519,
2.1,1.82069004,
2.12,1.88634225,
2.14,2.01412101,
2.16,1.88634225,
2.18,1.88634225,
2.2,1.81307298,
2.22,1.88628836,
2.24,2.13896043,
2.26,1.88628836,
2.28,1.8330965,
2.3,1.88628836,
2.32,1.88611635,
2.34,1.82170202,
2.36,1.83302762,
2.38,1.88611635,
2.4,1.9385478,
2.42,1.88446276,
2.44,1.88446276,
2.46,1.80791325,
2.48,1.88446276,
2.5,1.88446276,
2.52,1.88491781,
2.54,1.88491781,
2.56,1.9561584,
2.58,1.95995048,
2.6,1.88491781,
2.62,1.82424449,
2.64,1.76518912,
2.66,2.0654715,
2.68,1.83177809,
2.7,1.88577735,
