# 50.0 sps, start/stop: 50/0 mA (360 s), channels: 1
# P min: 1.2041283150000002, P max: 2.782448128,
Time,Power,
0,2.15136644,
0.02,2.00181038,
0.04,1.83087972,
0.06,1.90269083,
0.08,1.90269083,
0.1,1.83340828,
0.12,1.90502143,
0.14,1.99185699,
0.16,1.83477415,
0.18,1.90502143,
0.2,1.79077477,
0.22,1.84605215,
0.24,1.90441454,
0.26,1.90441454,
0.28,1.90441454,
0.3,1.99939252,
0.32,1.77954119,
0.34,1.8348721,
0.36,1.79213479,
0.38,2.10004574,
0.4,1.90360583,
0.42,1.81350684,
0.44,2.01333854,
0.46,1.81477128,
0.48,1.81730015,
0.5,1.90429345,
0.52,1.84120185,
0.54,1.90336259,
0.56,1.98823297,
0.58,1.90336259,
0.6,1.83867294,
0.62,2.05985355,
0.64,1.90346916,
0.66,1.90346916,
0.68,2.10759833,
0.7,1.90346916,
0.72,1.90434942,
0.74,1.90434942,
0.76,1.90434942,
0.78,1.83359318,
0.8,1.5200612,
0.82,1.43951858,
0.84,1.7458103,
0.86,1.4219727,
0.88,1.72053395,
0.9,1.8797846,
0.92,1.86135578,
0.94,2.08635428,
0.96,1.86135578,
0.98,1.86135578,
1,2.00724337,
1.02,1.86059753,
1.04,1.86059753,
1.06,1.92934567,
1.08,1.94946461,
1.1,1.86059753,
1.12,2.08637079,
1.14,1.92435643,
1.16,1.86147161,
1.18,1.91303312,
1.2,1.91808817,
1.22,1.86277119,
1.24,1.95446907,
1.26,1.95446907,
1.28,1.86277119,
1.3,1.86277119,
1.32,1.80129447,
1.34,1.86170328,
1.36,1.95451546,
1.38,1.86170328,
1.4,1.86170328,
1.42,1.91933675,
1.44,2.10773697,
1.46,1.86155798,
1.48,1.78366028,
1.5,2.09894125,
1.52,1.86267008,
1.54,1.86267008,
1.56,2.08261357,
1.58,1.86267008,
1.6,1.86267008,
1.62,1.86230355,
1.64,1.86230355,
1.66,2.22466387,
1.68,1.97968645,
1.7,1.86230355,
1.72,1.86271268,
1.74,1.94708731,
1.76,1.86271268,
1.78,1.86271268,
1.8,2.01872233,
1.82,1.86656188,
1.84,1.86656188,
1.86,2.02137139,
1.88,1.86656188,
1.9,1.86656188,
1.92,2.09009255,
1.94,1.90446615,
1.96,1.84751374,
1.98,2.07876276,
2,1.90446615,
2.02,1.832586,
2.04,1.90340276,
2.06,1.96835184,
2.08,1.90340276,
2.1,1.95575658,
2.12,1.90202197,
2.14,1.90202197,
2.16,1.90202197,
2.18,1.78355658,
2.2,1.90202197,
2.22,1.97587315,
2.24,1.78355658,
2.26,1.90197138,
2.28,1.78482115,
2.3,1.97587315,
2.32,1.84259381,
2.34,1.78224972,
2.36,2.03738432,
2.38,1.90263441,
2.4,1.78852187,
2.42,1.90243208,
2.44,1.84132927,
2.46,1.90243208,
2.48,2.44340443,
2.5,1.90243208,
2.52,1.90286266,
2.54,1.90286266,
2.56,1.59113935,
