# 50.0 sps, start/stop: 50/0 mA (360 s), channels: 1
# P min: 1.1812960512, P max: 2.8359171412,
Time,Power,
0,1.76138903,
0.02,1.76308528,
0.04,1.74672692,
0.06,2.17217801,
0.08,2.19284204,
0.1,2.30704046,
0.12,2.15270598,
0.14,2.19036824,
0.16,2.28442291,
0.18,2.21791581,
0.2,2.15268893,
0.22,2.1865645,
0.24,2.1790422,
0.26,2.31454448,
0.28,2.16769917,
0.3,2.18779196,
0.32,2.18526774,
0.34,2.11625556,
0.36,2.14260842,
0.38,2.20539548,
0.4,2.18908876,
0.42,2.21039351,
0.44,2.18030433,
0.46,2.1865645,
0.48,2.15523026,
0.5,2.14139721,
0.52,2.11630587,
0.54,2.20162653,
0.56,2.16901283,
0.58,2.15270598,
0.6,2.16275262,
0.62,2.18784396,
0.64,2.23550237,
0.66,2.16022834,
0.68,2.13767821,
0.7,2.18912345,
0.72,2.14772493,
0.74,2.17529028,
0.76,2.15772115,
0.78,2.19156253,
0.8,2.15768696,
0.82,2.1401686,
0.84,2.13512008,
0.86,2.20287122,
0.88,2.18914079,
0.9,2.16152473,
0.92,2.16404905,
0.94,2.18787863,
0.96,2.16652288,
0.98,2.15701077,
1,2.15701077,
1.02,2.15701077,
1.04,2.15701077,
1.06,2.15701077,
1.08,2.19487454,
1.1,2.19487454,
1.12,2.19487454,
1.14,2.14283935,
1.16,2.14283935,
1.18,2.19602075,
1.2,2.19602075,
1.22,2.19602075,
1.24,2.19602075,
1.26,2.19602075,
1.28,2.10651528,
1.3,2.13536265,
1.32,2.19613918,
1.34,2.19613918,
1.36,2.26343288,
1.38,2.19667751,
1.4,2.13787177,
1.42,2.19667751,
1.44,2.13287025,
1.46,2.19667751,
1.48,2.1955313,
1.5,2.1955313,
1.52,2.25711469,
1.54,2.1955313,
1.56,2.1955313,
1.58,2.19606962,
1.6,2.30604992,
1.62,2.19606962,
1.64,2.20042532,
1.66,2.19606962,
1.68,2.2558517,
1.7,2.19467246,
1.72,2.13783791,
1.74,2.19467246,
1.76,2.31859704,
1.78,2.19418464,
1.8,2.19418464,
1.82,2.19418464,
1.84,2.19418464,
1.86,2.19418464,
1.88,2.19396519,
1.9,2.19396519,
1.92,2.25458871,
1.94,2.19396519,
1.96,2.19396519,
1.98,2.19366207,
2,2.19366207,
2.02,1.75747584,
2.04,1.82471773,
2.06,1.77753213,
2.08,1.77817553,
2.1,1.7977777,
2.12,1.81035805,
2.14,1.81409679,
2.16,1.77893243,
2.18,1.75778894,
2.2,1.81806956,
2.22,1.81175348,
2.24,1.83439029,
2.26,1.79295684,
2.28,1.83581732,
2.3,1.83581732,
2.32,1.78811275,
2.34,1.76552383,
2.36,1.80569875,
2.38,1.81093495,
2.4,1.7820263,
2.42,1.85485386,
2.44,1.83352615,
2.46,1.83726608,
2.48,2.16150638,
2.5,1.76841792,
2.52,1.81360515,
2.54,1.78095307,
2.56,1.80233361,
2.58,1.8490149,
2.6,1.82768225,
2.62,1.85528326,
2.64,1.77991127,
2.66,1.75984241,
2.68,1.80898048,
2.7,1.78759546,
2.72,1.80771659,
2.74,1.80898048,
2.76,1.81777715,
2.78,1.83804767,
2.8,1.78025633,
2.82,1.75765552,
2.84,1.86444056,
2.86,1.8393117,
2.88,1.81316979,
2.9,1.79056585,
2.92,1.8182266,
2.94,1.83076749,
2.96,1.77170395,
2.98,1.84821893,
3,1.84821893,
3.02,1.84821893,
3.04,1.84821893,
3.06,1.84821893,
3.08,1.83280176,
3.1,1.83280176,
3.12,1.83280176,
3.14,1.83280176,
3.16,1.83280176,
3.18,1.83296056,
3.2,1.83296056,
3.22,1.83296056,
3.24,1.83296056,
3.26,1.90259931,
3.28,1.83298214,
3.3,1.83298214,
3.32,1.83298214,
3.34,1.83298214,
3.36,1.83298214,
3.38,1.83207184,
3.4,1.98045009,
3.42,1.95531581,
3.44,1.83207184,
3.46,1.83207184,
3.48,1.83445577,
3.5,1.92012271,
3.52,1.76552777,
3.54,1.83445577,
3.56,1.83445577,
3.58,1.83423898,
3.6,1.83423898,
3.62,1.83423898,
3.64,1.83423898,
3.66,1.83423898,
3.68,1.83423193,
3.7,1.83423193,
3.72,1.83423193,
3.74,1.83423193,
3.76,1.77688374,
3.78,1.78315462,
3.8,1.83478822,
3.82,1.83478822,
3.84,1.83478822,
3.86,1.83478822,
3.88,1.83347336,
3.9,1.83347336,
3.92,1.83347336,
3.94,1.76429141,
3.96,1.83347336,
3.98,1.94526737,
4,1.8332495,
4.02,1.8332495,
4.04,1.8332495,
4.06,1.8332495,
4.08,1.83357487,
4.1,1.83357487,
4.12,1.83357487,
4.14,1.94913738,
4.16,1.83357487,
4.18,1.8335243,
4.2,1.8335243,
4.22,1.8925952,
4.24,1.8335243,
4.26,1.8335243,
4.28,1.83401936,
4.3,1.93410827,
4.32,1.83401936,
4.34,1.83401936,
4.36,1.83401936,
4.38,1.74566861,
4.4,1.769541,
4.42,1.83407738,
4.44,1.83407738,
4.46,1.90523936,
4.48,1.83097056,
4.5,1.83097056,
4.52,1.83097056,
4.54,1.77836954,
4.56,1.77083343,
4.58,1.83091998,
4.6,1.83091998,
4.62,1.77584065,
4.64,1.83091998,
4.66,1.83091998,
4.68,1.83124506,
4.7,1.83124506,
4.72,1.7732837,
4.74,1.83124506,
4.76,1.74688246,
4.78,1.83162807,
4.8,1.83162807,
4.82,1.83162807,
4.84,1.88519007,
4.86,1.83162807,
4.88,1.77086144,
4.9,1.83297209,
4.92,1.74193043,
4.94,1.83297209,
4.96,1.83297209,
4.98,1.83275528,
5,1.83275528,
5.02,1.83275528,
5.04,2.05358014,
5.06,1.76958298,
5.08,1.72174564,
5.1,1.70166653,
5.12,1.71046694,
5.14,1.83721316,
5.16,1.83721316,
5.18,1.83094894,
5.2,1.83094894,
5.22,1.83094894,
5.24,1.76959698,
5.26,2.17680609,
5.28,2.32759496,
5.3,2.18177887,
5.32,2.20438719,
5.34,2.18678608,
5.36,2.13529778,
5.38,2.13761126,
5.4,2.20047474,
5.42,2.18034629,
5.44,2.33368666,
5.46,2.21053897,
5.48,2.24552804,
5.5,2.1261819,
5.52,2.13245263,
5.54,2.15257965,
5.56,2.21918086,
5.58,2.22394983,
5.6,2.30308405,
5.62,2.22015745,
5.64,2.1975549,
5.66,2.13222492,
5.68,2.12574044,
5.7,2.13701529,
5.72,2.2161921,
5.74,2.19986125,
5.76,2.34056945,
5.78,2.1507028,
5.8,2.19589986,
5.82,2.10671908,
5.84,2.13310931,
5.86,2.16950963,
5.88,2.21325254,
5.9,2.2195208,
5.92,2.15926461,
5.94,2.16426911,
5.96,2.20071602,
5.98,2.21427536,
6,2.13891277,
6.02,2.14897122,
6.04,2.21927932,
6.06,2.22054294,
6.08,2.20534526,
6.1,2.11639152,
6.12,2.19528743,
6.14,2.22293385,
6.16,2.11639152,
6.18,2.15958833,
6.2,2.15958833,
6.22,2.31306495,
6.24,2.15958833,
6.26,2.15958833,
6.28,2.19909002,
6.3,2.25881577,
6.32,2.19909002,
6.34,2.19909002,
6.36,2.19909002,
6.38,2.2599748,
6.4,2.20014941,
6.42,2.20014941,
6.44,2.20014941,
6.46,2.37047997,
6.48,2.1368752,
6.5,2.20043779,
6.52,2.14440367,
6.54,2.12434457,
6.56,2.13187305,
6.58,2.20045347,
6.6,2.25360672,
6.62,2.20045347,
6.64,2.14189395,
6.66,2.20045347,
6.68,2.13436559,
6.7,2.13057615,
6.72,2.12557409,
6.74,2.20065557,
6.76,2.25360672,
6.78,2.20102668,
6.8,2.20102668,
6.82,2.20102668,
6.84,2.20102668,
6.86,2.13812144,
6.88,2.20170095,
6.9,2.20170095,
6.92,2.20170095,
6.94,2.20170095,
6.96,2.20170095,
6.98,2.20277509,
7,2.20277509,
7.02,2.20277509,
7.04,2.20277509,
7.06,2.20277509,
7.08,2.20316623,
7.1,1.78157144,
7.12,1.78536094,
7.14,1.81800119,
7.16,1.76904082,
7.18,1.83945087,
7.2,1.83192187,
7.22,1.84197738,
7.24,1.88967789,
7.26,1.7954896,
7.28,1.78809859,
7.3,1.81948027,
7.32,1.95137427,
7.34,1.83206326,
7.36,1.81948027,
7.38,1.80839365,
7.4,1.83224816,
7.42,1.79707287,
7.44,1.84730884,
7.46,1.80713017,
7.48,1.7733938,
7.5,1.80604535,
7.52,1.82616195,
7.54,1.84496439,
7.56,1.94296959,
7.58,1.85772262,
7.6,2.02872955,
7.62,1.73463605,
7.64,1.75849513,
7.66,1.77734987,
7.68,1.82398832,
7.7,1.81771962,
7.72,1.86043775,
7.74,1.81145093,
7.76,1.82899317,
7.78,1.85677474,
7.8,1.78518533,
7.82,1.77011919,
7.84,1.80778453,
7.86,1.80904847,
7.88,1.81044131,
7.9,1.81923894,
7.92,1.82424449,
7.94,1.85690696,
7.96,1.78531244,
7.98,1.77406745,
8,1.88470017,
8.02,1.94244357,
8.04,1.81552944,
8.06,1.81052366,
8.08,1.8486686,
8.1,1.8486686,
8.12,1.78803745,
8.14,1.8486686,
8.16,1.8486686,
8.18,1.83461495,
8.2,1.83461495,
8.22,1.83461495,
8.24,1.83461495,
8.26,1.83461495,
