# 50.0 sps, start/stop: 50/0 mA (360 s), channels: 1
# P min: 1.1876746752, P max: 2.5773854234000004,
Time,Power,
0,1.69135419,
0.02,1.86167294,
0.04,1.71021668,
0.06,1.86167294,
0.08,1.7353361,
0.1,1.86418668,
0.12,1.68633445,
0.14,1.86418668,
0.16,1.69134081,
0.18,1.86328278,
0.2,1.7641693,
0.22,1.86328278,
0.24,1.69382908,
0.26,1.86328278,
0.28,1.69626666,
0.3,1.86207553,
0.32,1.76286327,
0.34,1.86207553,
0.36,2.04684698,
0.38,1.86268233,
0.4,2.01291659,
0.42,1.86268233,
0.44,2.03931251,
0.46,1.86268233,
0.48,1.26782335,
0.5,1.36216022,
0.52,1.78307685,
0.54,1.68045666,
0.56,1.72506019,
0.58,2.24336018,
0.6,2.35638752,
0.62,2.07877296,
0.64,2.17926418,
0.66,2.08630475,
0.68,2.19796672,
0.7,2.07736539,
0.72,2.30598224,
0.74,2.25700375,
0.76,2.18538091,
0.78,2.08732894,
0.8,2.1978667,
0.82,2.09111968,
0.84,2.19407597,
0.86,2.07479426,
0.88,2.27800035,
0.9,2.07832471,
0.92,2.22402577,
0.94,2.0745849,
0.96,2.20391164,
0.98,2.06568092,
1,2.28293218,
1.02,2.1045931,
1.04,2.2037939,
1.06,2.05941455,
1.08,2.22117358,
1.1,2.12577181,
1.12,2.21364452,
1.14,2.0266813,
1.16,2.2362317,
1.18,2.12684985,
1.2,2.2285615,
1.22,2.23361424,
1.24,2.2285615,
1.26,2.27125716,
1.28,2.20950924,
1.3,2.3262672,
1.32,2.21203537,
1.34,2.30115742,
1.36,2.21329844,
1.38,2.27473153,
1.4,2.20940865,
1.42,2.27220551,
1.44,2.29605114,
1.46,2.44291394,
1.48,2.28329156,
1.5,2.45271988,
1.52,2.29203071,
1.54,2.41129733,
1.56,2.29581935,
1.58,2.2965647,
1.6,2.22576979,
1.62,2.29909129,
1.64,2.22576979,
1.66,2.3078838,
1.68,2.23082784,
1.7,2.32052587,
1.72,2.12713187,
1.74,2.16983319,
1.76,2.12713187,
1.78,2.15733488,
1.8,2.1020497,
1.82,2.15480814,
1.84,2.13221904,
1.86,2.22869016,
1.88,2.06190302,
1.9,2.22664907,
1.92,2.06316641,
1.94,2.22664907,
1.96,2.06569319,
1.98,2.22432655,
2,2.06059477,
2.02,2.22432655,
2.04,2.06691158,
2.06,2.22432655,
2.08,2.06436852,
2.1,2.22420788,
2.12,2.09448684,
2.14,2.22420788,
2.16,2.0693714,
2.18,2.22568867,
2.2,2.05680638,
2.22,2.22568867,
2.24,2.07060197,
2.26,2.22568867,
2.28,2.45359385,
2.3,2.2274068,
2.32,2.51888287,
2.34,2.2274068,
2.36,2.36697977,
2.38,2.22976421,
2.4,2.44983499,
2.42,2.22976421,
2.44,2.35564167,
2.46,2.22976421,
2.48,2.37317076,
2.5,2.16599079,
2.52,2.36437824,
2.54,2.22895329,
2.56,2.22895329,
2.58,1.9010117,
2.6,1.87963726,
2.62,1.90222444,
2.64,1.88467121,
2.66,1.91859635,
2.68,1.95142061,
2.7,1.87505827,
2.72,1.95895037,
2.74,1.86475257,
2.76,2.30299469,
2.78,1.86495183,
2.8,1.92524689,
2.82,1.87627295,
2.84,1.82477197,
2.86,1.81218734,
2.88,1.80607394,
2.9,1.71064498,
2.92,1.82866756,
2.94,1.70559048,
2.96,1.86890138,
2.98,1.69572994,
3,1.82888101,
3.02,1.68946163,
3.04,1.84399573,
3.06,1.68946163,
3.08,1.84917218,
3.1,1.72354152,
3.12,1.8416394,
3.14,1.69467427,
3.16,1.8416394,
3.18,1.68355625,
3.2,1.82806188,
3.22,1.67728659,
3.24,1.86573042,
3.26,1.69849231,
3.28,1.849516,
3.3,1.6836628,
3.32,1.85578606,
3.34,1.69119699,
3.36,1.86084257,
3.38,1.7729962,
3.4,1.84085967,
3.42,2.00298356,
3.44,1.83585335,
3.46,2.10098609,
3.48,1.83975187,
3.5,2.0068963,
3.52,1.90241206,
3.54,1.90241206,
3.56,1.81840998,
3.58,2.28357413,
3.6,1.86544993,
3.62,2.00706693,
3.64,1.81350684,
3.66,2.0523338,
3.68,2.13405021,
3.7,1.86188838,
3.72,1.86188838,
3.74,1.86188838,
3.76,1.91408519,
3.78,1.86186533,
3.8,1.95047501,
3.82,1.92407418,
3.84,1.86186533,
3.86,1.93161005,
3.88,1.85755984,
3.9,1.91658379,
3.92,1.85755984,
3.94,1.99953089,
3.96,1.70542272,
3.98,1.90895715,
4,1.69780611,
4.02,1.85812917,
4.04,1.71039931,
4.06,1.85812917,
4.08,1.75309714,
4.1,1.85925196,
4.12,1.6889693,
4.14,1.85925196,
4.16,1.69650483,
4.18,1.858167,
4.2,1.76430536,
4.22,1.858167,
4.24,1.69269541,
4.26,1.858167,
4.28,1.69526424,
4.3,1.85628931,
4.32,1.68894259,
4.34,1.91515651,
4.36,1.85628931,
4.38,1.85605765,
4.4,1.85605765,
4.42,1.85605765,
4.44,1.91891915,
4.46,1.85605765,
4.48,1.96040402,
4.5,2.2142289,
4.52,2.07975583,
4.54,1.85642634,
4.56,1.85642634,
4.58,1.85959127,
4.6,1.96923484,
4.62,2.25826296,
4.64,2.45428623,
4.66,2.29846897,
4.68,2.41764854,
4.7,2.22159291,
4.72,2.34599241,
4.74,2.25051833,
4.76,2.40005056,
4.78,2.29178993,
4.8,2.29178993,
4.82,2.29805994,
4.84,2.28551992,
4.86,2.29805994,
4.88,2.29401804,
4.9,2.29280463,
4.92,2.30281533,
4.94,2.24254888,
4.96,2.31039919,
4.98,2.24990862,
5,2.33029139,
5.02,2.2725068,
5.04,2.41193804,
5.06,2.07903204,
5.08,2.17566128,
5.1,2.03381209,
5.12,2.17439748,
5.14,2.03381209,
5.16,2.16181,
5.18,2.13026544,
5.2,2.22822843,
5.22,2.07041601,
5.24,2.2156924,
5.26,2.07041601,
5.28,2.22803888,
5.3,2.10814804,
5.32,2.25315935,
5.34,2.10814804,
5.36,2.22429861,
5.38,2.06077011,
5.4,2.22653737,
5.42,2.06203358,
5.44,2.25044223,
5.46,2.08088455,
5.48,2.18527932,
5.5,2.06687886,
5.52,2.24516176,
5.54,2.07688454,
5.56,2.24142226,
5.58,2.06912979,
5.6,2.27629541,
5.62,2.46840363,
5.64,2.22036069,
5.66,2.44834393,
5.68,2.23918911,
5.7,2.51096577,
5.72,2.23918911,
5.74,2.09165465,
5.76,2.23918911,
5.78,2.06277039,
5.8,2.23865105,
5.82,2.06150725,
5.84,2.23865105,
5.86,2.09414698,
