# 50.0 sps, start/stop: 50/0 mA (360 s), channels: 1
# P min: 1.1775978436, P max: 2.4514833119999997,
Time,Power,
0,1.88085715,
0.02,1.81396739,
0.04,1.81396739,
0.06,1.81396739,
0.08,1.81396739,
0.1,1.87331814,
0.12,1.8142634,
0.14,1.8142634,
0.16,1.8142634,
0.18,1.8142634,
0.2,1.8142634,
0.22,1.81387295,
0.24,1.89604573,
0.26,1.86457315,
0.28,1.81387295,
0.3,1.81387295,
0.32,1.88347636,
0.34,1.81369923,
0.36,1.81369923,
0.38,1.90235008,
0.4,1.95138129,
0.42,1.8365034,
0.44,1.8365034,
0.46,1.8365034,
0.48,1.89020263,
0.5,1.8365034,
0.52,2.01759721,
0.54,1.85495226,
0.56,1.95720648,
0.58,1.85495226,
0.6,1.85495226,
0.62,1.8564496,
0.64,1.8564496,
0.66,1.8564496,
0.68,1.8564496,
0.7,1.8564496,
0.72,1.85602334,
0.74,1.85602334,
0.76,1.85602334,
0.78,1.85602334,
0.8,2.20886216,
0.82,1.91077268,
0.84,1.85569464,
0.86,1.85569464,
0.88,1.77363444,
0.9,1.85569464,
0.92,1.85598512,
0.94,1.94103613,
0.96,1.95991948,
0.98,1.79133623,
1,1.85598512,
1.02,1.85643413,
1.04,1.85643413,
1.06,1.85643413,
1.08,1.85643413,
1.1,1.85643413,
1.12,1.85699102,
1.14,1.79137869,
1.16,1.85699102,
1.18,1.85699102,
1.2,1.85699102,
1.22,1.85722948,
1.24,1.85722948,
1.26,1.76245686,
1.28,1.7838212,
1.3,1.78888384,
1.32,1.85674889,
1.34,1.85674889,
1.36,1.92226036,
1.38,1.85674889,
1.4,1.85674889,
1.42,1.85642384,
1.44,1.79521471,
1.46,1.79394901,
1.48,1.85642384,
1.5,1.85642384,
1.52,1.92859907,
1.54,1.80405247,
1.56,1.85731386,
1.58,1.76754917,
1.6,1.77889,
1.62,2.17897521,
1.64,1.85550589,
1.66,1.85550589,
1.68,1.79652298,
1.7,1.77136032,
1.72,1.85411757,
1.74,1.85411757,
1.76,1.85411757,
1.78,1.85411757,
1.8,1.85411757,
1.82,1.85451463,
1.84,1.79143177,
1.86,1.78135674,
1.88,1.85451463,
1.9,1.85451463,
1.92,1.85477444,
1.94,1.85477444,
1.96,1.85477444,
1.98,1.85477444,
2,1.79392066,
2.02,1.79389586,
2.04,1.85434378,
2.06,1.85434378,
2.08,1.85434378,
2.1,1.9184368,
2.12,1.85498727,
2.14,1.85498727,
2.16,1.79889366,
2.18,1.79889366,
2.2,1.94986039,
2.22,1.80269061,
2.24,1.85483539,
2.26,1.85483539,
2.28,1.85483539,
2.3,1.85483539,
2.32,1.85517511,
2.34,1.85517511,
2.36,1.85517511,
2.38,1.85517511,
2.4,1.85517511,
2.42,1.85474746,
2.44,1.85474746,
2.46,2.24034742,
2.48,1.85474746,
2.5,1.85474746,
2.52,1.91073116,
2.54,2.16606904,
2.56,1.85712236,
2.58,1.80255174,
2.6,1.85712236,
2.62,1.80130042,
2.64,1.85647894,
2.66,1.79876929,
2.68,1.85647894,
2.7,1.85647894,
2.72,1.85695582,
2.74,1.8062835,
2.76,1.85695582,
2.78,1.85695582,
2.8,1.85695582,
2.82,1.85666676,
2.84,1.85666676,
2.86,1.85666676,
2.88,1.85666676,
2.9,1.85666676,
2.92,1.85701085,
2.94,1.93593241,
2.96,1.85701085,
2.98,1.85701085,
3,1.85701085,
3.02,1.92331204,
3.04,1.85719866,
3.06,1.85719866,
3.08,1.90822645,
3.1,1.79250273,
3.12,1.85693894,
3.14,1.85693894,
3.16,1.85693894,
3.18,2.0390841,
3.2,1.85693894,
3.22,1.85664987,
3.24,1.77873892,
3.26,2.14855016,
3.28,1.78000453,
3.3,1.85664987,
3.32,1.85950608,
3.34,2.056685,
3.36,2.06802468,
3.38,1.85950608,
3.4,1.79632782,
3.42,1.77747331,
3.44,1.8606492,
3.46,1.8606492,
3.48,1.8606492,
3.5,2.08314344,
3.52,1.78254146,
3.54,1.85832858,
3.56,1.78254146,
3.58,1.77499819,
3.6,1.85832858,
3.62,1.85788763,
3.64,1.85788763,
3.66,1.85788763,
3.68,1.79516152,
3.7,1.85788763,
3.72,1.85793825,
3.74,1.85793825,
3.76,1.85793825,
3.78,1.92598014,
3.8,1.9184368,
3.82,1.85829922,
3.84,1.85829922,
3.86,1.85829922,
3.88,1.78003266,
3.9,1.85829922,
3.92,1.79381082,
3.94,1.85835642,
3.96,1.85835642,
3.98,1.85835642,
4,1.85835642,
4.02,1.85832048,
4.04,1.85832048,
4.06,1.85832048,
4.08,1.85832048,
4.1,1.85832048,
4.12,1.91828901,
4.14,1.85835197,
4.16,1.91575789,
4.18,2.20633104,
4.2,1.95726834,
4.22,1.8584451,
4.24,1.8584451,
4.26,1.8584451,
4.28,1.9710766,
4.3,1.91696286,
4.32,1.8551481,
4.34,1.8551481,
4.36,1.8551481,
4.38,1.8551481,
4.4,1.8551481,
4.42,1.85547977,
4.44,1.46684893,
4.46,1.38596398,
4.48,1.39066237,
4.5,1.36375895,
4.52,1.36216022,
4.54,1.40694778,
4.56,1.44239705,
4.58,1.45183894,
4.6,1.46757698,
4.62,1.41592449,
4.64,1.77670821,
4.66,1.77670821,
4.68,1.83249905,
4.7,1.77670821,
4.72,1.94543277,
4.74,1.82981443,
4.76,1.85747988,
4.78,1.87760941,
4.8,1.76988104,
4.82,1.77023508,
4.84,1.83107885,
