# 50.0 sps, start/stop: 50/0 mA (360 s), channels: 1
# P min: 1.1851537152, P max: 2.7277178032999996,
Time,Power,
0,2.16209225,
0.02,2.22355399,
0.04,2.23361464,
0.06,2.19842766,
0.08,2.17709303,
0.1,2.22229009,
0.12,2.13766263,
0.14,2.13766263,
0.16,2.13766263,
0.18,2.2232945,
0.2,2.26221808,
0.22,2.14093144,
0.24,2.14093144,
0.26,2.20947684,
0.28,2.14093144,
0.3,2.14093144,
0.32,2.14094839,
0.34,2.28233701,
0.36,2.24589039,
0.38,2.19190289,
0.4,2.14094839,
0.42,2.21570993,
0.44,2.14140305,
0.46,2.14140305,
0.48,2.25842375,
0.5,2.21823738,
0.52,2.25807527,
0.54,2.18559933,
0.56,2.18559933,
0.58,2.18559933,
0.6,2.18559933,
0.62,2.22533493,
0.64,2.22533493,
0.66,2.22533493,
0.68,2.22533493,
0.7,2.22533493,
0.72,2.16976448,
0.74,2.22580503,
0.76,2.22580503,
0.78,2.22580503,
0.8,2.22580503,
0.82,2.22627511,
0.84,2.22627511,
0.86,2.22627511,
0.88,2.16220091,
0.9,2.2965647,
0.92,2.32661253,
0.94,2.22610796,
0.96,2.22610796,
0.98,2.22610796,
1,2.22610796,
1.02,2.22551689,
1.04,2.22551689,
1.06,2.22551689,
1.08,2.33289187,
1.1,2.22551689,
1.12,2.22413499,
1.14,2.22413499,
1.16,2.22413499,
1.18,1.84567278,
1.2,1.84193364,
1.22,1.84329535,
1.24,1.92745517,
1.26,2.20222202,
1.28,1.8356089,
1.3,1.85208787,
1.32,1.90370619,
1.34,1.82082649,
1.36,1.89117316,
1.38,1.8484699,
1.4,1.94514604,
1.42,1.80976814,
1.44,1.84615859,
1.46,1.86501087,
1.48,1.81729894,
1.5,1.82983343,
1.52,1.8451104,
1.54,1.84136983,
1.56,1.94059595,
1.58,1.81245626,
1.6,1.90041013,
1.62,1.83401954,
1.64,1.80383928,
1.66,1.82775095,
1.68,1.83776048,
1.7,1.84028814,
1.72,2.02243967,
1.74,1.87182977,
1.76,1.84543891,
1.78,1.78765203,
1.8,1.77258599,
1.82,1.78407311,
1.84,1.85192705,
1.86,1.83680907,
1.88,1.98692705,
1.9,1.89839334,
1.92,1.83450205,
1.94,1.81943324,
1.96,1.77544038,
1.98,1.80557802,
2,1.83950814,
2.02,1.85735134,
2.04,2.01948902,
2.06,1.78573969,
2.08,2.23311022,
2.1,1.81461699,
2.12,2.00840682,
2.14,1.88570119,
2.16,1.88570119,
2.18,1.95433744,
2.2,1.78090067,
2.22,1.77733699,
2.24,1.86474701,
2.26,1.86474701,
2.28,1.97087329,
2.3,1.86474701,
2.32,1.86497884,
2.34,1.76603399,
2.36,1.78363768,
2.38,1.78110841,
2.4,1.86497884,
2.42,1.86548469,
2.44,1.97722762,
2.46,1.86548469,
2.48,1.86548469,
2.5,1.79997673,
2.52,1.77985785,
2.54,1.78865977,
2.56,1.86676409,
2.58,1.86676409,
2.6,1.98978851,
2.62,1.79506459,
2.64,1.86695014,
2.66,1.77493057,
2.68,1.78246818,
2.7,1.79253519,
2.72,1.86691431,
2.74,1.86691431,
2.76,1.86691431,
2.78,1.78875524,
2.8,1.86691431,
2.82,1.78128798,
2.84,1.78508226,
2.86,1.78128798,
2.88,1.86713989,
2.9,2.0251843,
2.92,2.20999103,
2.94,2.16597739,
2.96,2.20999103,
2.98,2.17478012,
3,2.14963669,
3.02,2.17459527,
3.04,2.23367983,
3.06,2.26635845,
3.08,2.1959426,
3.1,2.16705794,
3.12,2.22837891,
3.14,2.16176426,
3.16,2.22590046,
3.18,2.22964343,
3.2,2.22210692,
3.22,2.24951208,
3.24,2.19044083,
3.26,2.17157647,
3.28,2.21431209,
3.3,2.2005052,
3.32,2.20782253,
3.34,2.20655829,
3.36,2.22415655,
3.38,2.25181817,
3.4,2.17389026,
3.42,2.17365383,
3.44,2.26037143,
3.46,2.19499192,
3.48,2.2063183,
3.5,2.2276564,
3.52,2.23250528,
3.54,2.26016133,
3.56,2.19104649,
3.58,2.19605188,
3.6,2.27017211,
3.62,2.35788911,
3.64,2.20334554,
3.66,2.22599373,
3.68,2.24859137,
3.7,2.2862541,
3.72,2.25342236,
3.74,2.21449878,
3.76,2.21702629,
3.78,2.35517971,
3.8,2.225822,
3.82,2.19287899,
3.84,2.19287899,
3.86,2.28467016,
3.88,2.28588326,
3.9,2.19287899,
3.92,2.2286098,
