# 50.0 sps, start/stop: 50/0 mA (360 s), channels: 1
# P min: 1.1902422791999998, P max: 2.4840981516,
Time,Power,
0,1.97407352,
0.02,1.85883876,
0.04,1.85883876,
0.06,1.85883876,
0.08,1.85883876,
0.1,1.80808565,
0.12,1.85910195,
0.14,1.85910195,
0.16,1.96647557,
0.18,1.85910195,
0.2,1.85910195,
0.22,1.85939085,
0.24,1.35862494,
0.26,1.36652564,
0.28,1.37253624,
0.3,1.38005242,
0.32,1.448471,
0.34,1.40820826,
0.36,1.39943532,
0.38,1.43790152,
0.4,1.39726068,
0.42,1.47188584,
0.44,1.45076206,
0.46,1.48348621,
0.48,1.40871667,
0.5,1.4166299,
0.52,1.40920575,
0.54,1.36216022,
0.56,1.38154683,
0.58,1.36114464,
0.6,1.23588558,
0.62,1.19024228,
0.64,1.68380345,
0.66,1.68338569,
0.68,1.68338569,
0.7,2.12027029,
0.72,1.66802203,
0.74,1.66312743,
0.76,1.66271459,
0.78,1.66271459,
0.8,1.66312743,
0.82,1.64671118,
0.84,1.83690805,
0.86,1.82049472,
0.88,1.81790739,
0.9,1.8381405,
0.92,1.84897482,
0.94,1.99062241,
0.96,1.82887892,
0.98,1.85100838,
1,1.79326756,
1.02,1.77073428,
1.04,1.80081345,
1.06,1.85858901,
1.08,1.85059137,
1.1,1.98259216,
1.12,1.78940938,
1.14,1.84851824,
1.16,1.78060378,
1.18,1.78186895,
1.2,1.78985136,
1.22,1.84770934,
1.24,1.86739461,
1.26,1.82165137,
1.28,1.79282495,
1.3,1.84978341,
1.32,1.7685402,
1.34,1.78186895,
1.36,1.79023225,
1.38,1.85686507,
1.4,1.90509675,
1.42,1.82716212,
1.44,1.78819481,
1.46,1.84477333,
1.48,1.77812404,
1.5,1.78819481,
1.52,2.13129501,
1.54,1.84008756,
1.56,1.91943703,
1.58,1.81371978,
1.6,1.75765035,
1.62,1.87334181,
1.64,1.80340856,
1.66,1.80340856,
1.68,1.80340856,
1.7,1.80340856,
1.72,1.83540906,
1.74,1.906979,
1.76,1.83540906,
1.78,1.83540906,
1.8,1.83540906,
1.82,1.85217823,
1.84,1.85217823,
1.86,1.85217823,
1.88,1.93400502,
1.9,1.85217823,
1.92,1.85668682,
1.94,1.85668682,
1.96,1.85668682,
1.98,1.85668682,
2,1.85668682,
2.02,1.85655995,
2.04,1.97241471,
2.06,1.85655995,
2.08,1.85655995,
2.1,1.8002009,
2.12,1.78005137,
2.14,2.14466215,
2.16,1.85730413,
2.18,1.85730413,
2.2,1.85730413,
2.22,1.86044725,
2.24,1.86044725,
2.26,1.86044725,
2.28,1.86044725,
2.3,1.7838034,
2.32,1.86079493,
2.34,1.96111728,
2.36,1.76497519,
2.38,1.78131615,
2.4,1.86079493,
2.42,1.86083081,
2.44,1.9950482,
2.46,1.79890767,
2.48,1.86083081,
2.5,1.77629358,
2.52,1.78133024,
2.54,1.86146733,
2.56,1.86146733,
2.58,1.86146733,
2.6,1.86146733,
2.62,1.86162371,
2.64,2.24906567,
2.66,2.32197032,
2.68,2.22017701,
2.7,2.17236653,
2.72,2.22243202,
2.74,2.12565717,
2.76,2.14827001,
2.78,2.15707232,
2.8,2.23629313,
2.82,2.27756817,
2.84,2.19334681,
2.86,2.18828847,
2.88,2.20589149,
2.9,2.14433149,
2.92,2.14659363,
2.94,2.15291592,
2.96,2.23960712,
2.98,2.26727345,
3,2.20566908,
3.02,2.17284084,
3.04,2.22690519,
3.06,2.15397647,
3.08,2.16029831,
3.1,2.20551209,
3.12,2.22044724,
3.14,2.25690936,
3.16,2.19784174,
3.18,2.16643677,
3.2,2.21544065,
3.22,2.18010917,
3.24,2.22784584,
3.26,2.22911005,
3.28,2.22911005,
3.3,2.24170161,
3.32,2.18873928,
3.34,2.10818987,
3.36,2.2704011,
3.38,2.30938641,
3.4,2.20759987,
3.42,2.20621358,
3.44,2.23260684,
3.46,2.28660684,
3.48,2.1443765,
3.5,2.1443765,
3.52,2.18029338,
3.54,2.34177787,
3.56,2.18029338,
3.58,2.18029338,
3.6,2.18029338,
3.62,2.21568071,
3.64,2.21568071,
3.66,2.21568071,
3.68,2.21568071,
3.7,2.33903247,
3.72,2.22469693,
3.74,2.22469693,
3.76,2.22469693,
3.78,2.3076567,
3.8,2.22469693,
3.82,2.22584435,
3.84,2.22584435,
3.86,2.27751176,
3.88,2.22584435,
3.9,2.22584435,
3.92,2.22609712,
3.94,2.3566812,
3.96,2.22609712,
3.98,2.22609712,
4,2.22609712,
4.02,2.14687712,
4.04,2.14940488,
4.06,2.22806877,
4.08,2.22806877,
4.1,2.22806877,
4.12,2.16573421,
4.14,2.22786655,
4.16,2.15946537,
4.18,2.14060828,
4.2,2.15946537,
4.22,2.22891058,
4.24,2.22891058,
4.26,2.22891058,
4.28,2.170722,
4.3,2.22891058,
4.32,2.14180437,
4.34,2.15939702,
4.36,2.15434166,
4.38,2.22936321,
