# 50.0 sps, start/stop: 50/0 mA (360 s), channels: 1
# P min: 1.3771888636, P max: 2.698266945,
Time,Power,
0,1.86788169,
0.02,1.8901429,
0.04,1.8901429,
0.06,1.8901429,
0.08,1.8901429,
0.1,1.8901429,
0.12,1.88142097,
0.14,1.88142097,
0.16,1.88142097,
0.18,1.88142097,
0.2,1.88142097,
0.22,1.88208506,
0.24,1.88208506,
0.26,1.88208506,
0.28,1.88208506,
0.3,1.88208506,
0.32,1.78738161,
0.34,1.88128115,
0.36,1.88128115,
0.38,1.88128115,
0.4,1.88128115,
0.42,1.88080468,
0.44,1.88080468,
0.46,1.88080468,
0.48,1.88080468,
0.5,1.88080468,
0.52,1.88074802,
0.54,1.94468323,
0.56,1.81762276,
0.58,1.88074802,
0.6,1.88074802,
0.62,1.88181621,
0.64,1.88181621,
0.66,1.88181621,
0.68,1.88181621,
0.7,1.88181621,
0.72,1.88243256,
0.74,1.88243256,
0.76,1.88243256,
0.78,1.88243256,
0.8,1.88243256,
0.82,1.88284644,
0.84,1.88284644,
0.86,1.88284644,
0.88,1.88284644,
0.9,1.88284644,
0.92,1.8823908,
0.94,1.8823908,
0.96,1.8823908,
0.98,2.26816397,
1,2.28071932,
1.02,2.24797914,
1.04,2.24549849,
1.06,2.20899743,
1.08,2.2253495,
1.1,2.25805364,
1.12,2.24544526,
1.14,2.2567345,
1.16,2.25800011,
1.18,2.3536296,
1.2,2.2567345,
1.22,2.24663986,
1.24,2.26045989,
1.26,2.24078355,
1.28,2.30070501,
1.3,2.22522642,
1.32,2.25279693,
1.34,2.2892434,
1.36,2.24019253,
1.38,2.24145803,
1.4,2.24652004,
1.42,2.24379841,
1.44,2.23873683,
1.46,2.25260556,
1.48,2.26389289,
1.5,2.23246047,
1.52,2.26874378,
1.54,2.25867217,
1.56,2.21337524,
1.58,2.17187413,
1.6,2.24986584,
1.62,2.24972803,
1.64,2.25853382,
1.66,2.24846283,
1.68,2.22457586,
1.7,2.24846283,
1.72,2.25832407,
1.74,2.25204926,
1.76,2.24825402,
1.78,2.25832407,
1.8,2.33377359,
1.82,2.19387001,
1.84,2.31970674,
1.86,2.25428378,
1.88,2.2492746,
1.9,2.25428378,
1.92,2.23012852,
1.94,2.23012852,
1.96,2.23012852,
1.98,2.23012852,
2,2.23012852,
2.02,2.25656988,
2.04,2.25656988,
2.06,2.17734407,
2.08,2.19869355,
2.1,2.25656988,
2.12,2.25545106,
2.14,2.25545106,
2.16,2.25545106,
2.18,2.25545106,
2.2,2.25545106,
2.22,2.25398268,
2.24,2.32672607,
2.26,2.25398268,
2.28,2.25398268,
2.3,2.25398268,
2.32,2.25328655,
2.34,2.25328655,
2.36,2.25328655,
2.38,2.25328655,
2.4,2.25328655,
2.42,2.25389514,
2.44,2.25389514,
2.46,2.25389514,
2.48,2.25389514,
2.5,2.25389514,
2.52,2.25443217,
2.54,2.25443217,
2.56,2.25443217,
2.58,2.19964959,
2.6,2.25443217,
2.62,2.25374339,
2.64,2.25374339,
2.66,2.25374339,
2.68,2.25374339,
2.7,2.25374339,
2.72,2.25294741,
2.74,2.25294741,
2.76,2.25294741,
2.78,2.25294741,
2.8,2.25294741,
2.82,2.59816218,
2.84,2.25306926,
2.86,2.25306926,
2.88,2.25306926,
2.9,2.25306926,
2.92,2.25419996,
2.94,2.25419996,
2.96,2.25419996,
2.98,2.25419996,
3,2.25419996,
3.02,2.15946938,
3.04,1.87791383,
3.06,1.83264034,
3.08,1.83516959,
3.1,1.91768803,
3.12,1.87682357,
3.14,1.86174787,
3.16,1.85668891,
3.18,1.87055046,
3.2,1.86675624,
3.22,2.23913926,
3.24,1.86700347,
3.26,1.84939596,
3.28,1.84813105,
3.3,1.86826838,
3.32,1.80063146,
3.34,1.82198622,
3.36,1.87107181,
3.38,1.87608157,
3.4,1.87107181,
3.42,1.90144952,
3.44,1.86496007,
3.46,1.8762966,
3.48,1.88636789,
3.5,1.87503137,
3.52,1.8927781,
3.54,1.86382741,
3.56,1.85380601,
3.58,1.88144077,
3.6,1.90411544,
3.62,1.874029,
3.64,1.85767984,
3.66,1.85519962,
3.68,1.874029,
3.7,1.88789795,
3.72,1.86533594,
3.74,1.87414377,
3.76,1.87039791,
3.78,1.87794025,
3.8,1.86285558,
3.82,1.81014807,
3.84,1.88562785,
3.86,1.96161388,
3.88,1.87302258,
3.9,1.86674525,
3.92,1.92441711,
3.94,1.92441711,
3.96,1.86315735,
3.98,1.8707009,
4,1.8707009,
4.02,1.88763396,
4.04,1.88763396,
4.06,1.94510196,
4.08,1.88763396,
4.1,1.88763396,
4.12,1.87871041,
4.14,2.26475165,
4.16,1.87871041,
4.18,1.87871041,
4.2,1.87871041,
4.22,1.87898453,
4.24,1.87898453,
4.26,1.87898453,
4.28,1.87898453,
4.3,1.87898453,
4.32,1.82057453,
4.34,1.8243214,
4.36,1.87890421,
4.38,1.87890421,
4.4,1.87890421,
4.42,1.87944024,
4.44,1.87944024,
4.46,1.87944024,
4.48,1.87944024,
4.5,1.87944024,
4.52,1.8790858,
4.54,1.8790858,
4.56,1.8790858,
4.58,1.8790858,
4.6,1.8790858,
4.62,1.87886842,
4.64,1.87886842,
4.66,1.87886842,
4.68,1.87886842,
4.7,1.87886842,
4.72,1.87907095,
4.74,1.87907095,
4.76,1.87907095,
4.78,1.87907095,
4.8,1.87907095,
4.82,1.87885968,
4.84,1.98913661,
4.86,1.87885968,
4.88,1.87885968,
4.9,1.87885968,
4.92,1.8792141,
4.94,1.8792141,
4.96,2.08599601,
