# 50.0 sps, start/stop: 50/0 mA (360 s), channels: 1
# P min: 1.749958038, P max: 2.6888719693,
Time,Power,
0,1.88189056,
0.02,1.88189056,
0.04,1.88256956,
0.06,1.88256956,
0.08,1.88256956,
0.1,1.88256956,
0.12,1.88256956,
0.14,1.88307581,
0.16,1.88307581,
0.18,1.88307581,
0.2,1.88307581,
0.22,1.88307581,
0.24,1.8812236,
0.26,1.8812236,
0.28,1.8812236,
0.3,1.8812236,
0.32,1.8812236,
0.34,1.87985774,
0.36,1.87985774,
0.38,1.87985774,
0.4,1.87985774,
0.42,1.87985774,
0.44,1.87968496,
0.46,1.87968496,
0.48,1.87968496,
0.5,1.87968496,
0.52,1.87968496,
0.54,1.87936031,
0.56,1.87936031,
0.58,1.87936031,
0.6,1.87936031,
0.62,1.87936031,
0.64,1.87961343,
0.66,1.87961343,
0.68,1.87961343,
0.7,1.87961343,
0.72,1.87961343,
0.74,1.88057525,
0.76,1.88057525,
0.78,1.88057525,
0.8,1.88057525,
0.82,1.88057525,
0.84,1.88128397,
0.86,1.88128397,
0.88,1.88128397,
0.9,1.88128397,
0.92,1.88128397,
0.94,1.8817247,
0.96,1.8817247,
0.98,1.8817247,
1,1.8817247,
1.02,1.8817247,
1.04,1.88098023,
1.06,1.88098023,
1.08,1.88098023,
1.1,1.88098023,
1.12,1.88098023,
1.14,1.96731113,
1.16,1.88135548,
1.18,1.88135548,
1.2,1.88135548,
1.22,1.88135548,
1.24,1.8812691,
1.26,1.8812691,
1.28,1.8812691,
1.3,1.8812691,
1.32,1.8812691,
1.34,1.88141123,
1.36,1.88141123,
1.38,1.88141123,
1.4,1.88141123,
1.42,1.88141123,
1.44,1.88162859,
1.46,2.24667537,
1.48,1.88162859,
1.5,1.88162859,
1.52,1.88162859,
1.54,1.88134574,
1.56,1.93338598,
1.58,1.88134574,
1.6,1.88134574,
1.62,1.88134574,
1.64,1.88101507,
1.66,1.88101507,
1.68,1.88101507,
1.7,1.88101507,
1.72,1.88101507,
1.74,1.88081257,
