# 50.0 sps, start/stop: 50/0 mA (360 s), channels: 1
# P min: 1.3659425944999999, P max: 2.6987574249999997,
Time,Power,
0,2.0994146,
0.02,2.39090165,
0.04,2.24553734,
0.06,2.24553734,
0.08,2.24553734,
0.1,2.24465732,
0.12,2.24465732,
0.14,2.24465732,
0.16,2.24465732,
0.18,2.24465732,
0.2,2.2408627,
0.22,2.2408627,
0.24,2.2408627,
0.26,2.08670923,
0.28,2.35684436,
0.3,2.24288413,
0.32,2.24288413,
0.34,2.24288413,
0.36,2.24288413,
0.38,2.24288413,
0.4,2.24315197,
0.42,2.24315197,
0.44,2.24315197,
0.46,2.24315197,
0.48,2.24315197,
0.5,2.24368763,
0.52,2.07650555,
0.54,2.1694238,
0.56,2.24368763,
0.58,2.24368763,
0.6,2.24171868,
0.62,2.24171868,
0.64,2.24171868,
0.66,2.24171868,
0.68,2.24171868,
0.7,2.24154662,
0.72,2.24154662,
0.74,2.24154662,
0.76,2.24154662,
0.78,2.08649873,
0.8,2.24184905,
0.82,2.18942735,
0.84,2.24184905,
0.86,2.24184905,
0.88,2.24184905,
0.9,2.24150761,
0.92,2.24150761,
0.94,2.24150761,
0.96,2.24150761,
0.98,2.24150761,
1,2.24025897,
1.02,2.24025897,
1.04,2.08628824,
1.06,2.34004171,
1.08,2.15286061,
1.1,2.24010649,
1.12,2.24010649,
1.14,2.24010649,
1.16,2.24010649,
1.18,2.24010649,
1.2,2.24032641,
1.22,2.24032641,
1.24,2.24032641,
1.26,2.24032641,
1.28,2.24032641,
1.3,2.23894654,
1.32,2.23894654,
1.34,2.23894654,
1.36,2.23894654,
1.38,1.78356501,
1.4,1.79744623,
1.42,1.47225112,
1.44,1.53635131,
1.46,1.42893285,
1.48,1.86645716,
1.5,1.85271322,
1.52,1.9076021,
1.54,1.90254818,
1.56,1.85862962,
1.58,1.83477512,
1.6,1.89259759,
1.62,1.85742127,
1.64,1.86797319,
1.66,1.87121888,
1.68,1.86747887,
1.7,1.87009966,
1.72,1.86509574,
1.74,1.87262689,
1.76,1.88394888,
1.78,1.86009182,
1.8,1.87532848,
1.82,1.8916559,
1.84,1.78990016,
1.86,1.85146921,
1.88,1.9569656,
1.9,1.85661682,
1.92,2.23596804,
1.94,1.86414925,
1.96,1.86162159,
1.98,1.86414925,
2,1.87310482,
2.02,1.90829284,
2.04,1.89069883,
2.06,1.88025152,
2.08,1.87057694,
2.1,1.70248315,
2.12,1.8344041,
2.14,1.95242001,
2.16,1.85574202,
2.18,1.89093443,
2.2,1.91491281,
2.22,1.86343448,
2.24,1.91491281,
2.26,1.84962939,
2.28,1.84710099,
2.3,1.87811323,
2.32,1.87811323,
2.34,1.87811323,
2.36,1.70399658,
2.38,1.81833807,
2.4,1.91019509,
2.42,1.84293114,
2.44,1.84293114,
2.46,1.84293114,
2.48,1.84293114,
2.5,1.87225449,
2.52,1.87225449,
2.54,1.87225449,
2.56,1.87225449,
2.58,1.87225449,
2.6,1.87025548,
2.62,1.71595232,
2.64,1.77883718,
2.66,1.87025548,
2.68,1.87025548,
2.7,1.86974103,
2.72,1.86974103,
2.74,1.86974103,
2.76,1.86974103,
2.78,1.86974103,
2.8,1.86914873,
2.82,1.86914873,
2.84,1.86914873,
2.86,1.86914873,
2.88,1.7033653,
2.9,1.80779265,
2.92,1.93225168,
2.94,1.86911149,
2.96,1.86911149,
2.98,1.86911149,
3,1.86919164,
3.02,1.86919164,
3.04,1.86919164,
3.06,1.86919164,
3.08,1.86919164,
3.1,1.86878688,
3.12,1.86878688,
3.14,1.69843722,
3.16,1.86878688,
3.18,1.91973494,
3.2,1.86911149,
3.22,1.86911149,
3.24,1.86911149,
3.26,1.86911149,
3.28,1.86911149,
3.3,1.87003695,
3.32,1.87003695,
3.34,1.87003695,
3.36,1.87003695,
3.38,1.87003695,
3.4,1.70847839,
3.42,1.92850779,
3.44,1.86966801,
3.46,1.86966801,
3.48,1.86966801,
3.5,1.87081064,
3.52,1.87081064,
3.54,1.87081064,
3.56,2.3132037,
3.58,2.28557943,
3.6,2.24655377,
3.62,2.23901534,
3.64,2.24533953,
3.66,2.08187193,
3.68,2.33833038,
3.7,2.20486226,
3.72,2.23754262,
3.74,2.2426015,
3.76,2.24887452,
3.78,2.23754262,
3.8,2.25757432,
3.82,2.2374409,
3.84,2.25256626,
3.86,2.26384705,
3.88,2.24624295,
3.9,2.25734672,
3.92,2.10398391,
3.94,2.36417464,
3.96,2.19073102,
3.98,2.24480253,
4,2.26210828,
4.02,2.25330807,
4.04,2.26337268,
4.06,2.24577226,
4.08,2.25457247,
4.1,2.24426553,
4.12,2.25680672,
4.14,2.23546648,
4.16,2.24674343,
4.18,2.06909348,
4.2,2.21392242,
4.22,2.21392242,
4.24,2.23778948,
4.26,2.25538638,
4.28,2.23778948,
4.3,2.24513285,
4.32,2.25145303,
4.34,2.22000378,
4.36,2.22753744,
4.38,2.250189,
4.4,2.25629796,
4.42,2.25129273,
4.44,2.09673723,
4.46,2.31909087,
4.48,2.24750089,
4.5,2.2138938,
4.52,2.2138938,
4.54,2.2138938,
4.56,2.2138938,
4.58,2.2138938,
4.6,2.24269068,
4.62,2.24269068,
4.64,2.24269068,
4.66,2.24269068,
4.68,2.24269068,
4.7,2.24289382,
4.72,2.24289382,
4.74,2.24289382,
4.76,2.24289382,
4.78,2.24289382,
4.8,2.24346766,
4.82,2.24346766,
4.84,2.24346766,
4.86,2.24346766,
4.88,2.24346766,
4.9,2.24399268,
4.92,2.24399268,
4.94,2.24399268,
4.96,2.08272893,
